#wls	flux	fluxerr
1.593625E+03	4.056784E-15	1.630257E-16
1.633466E+03	3.187742E-15	1.257749E-16
1.673307E+03	2.470239E-15	9.563684E-17
1.713147E+03	1.886444E-15	7.162046E-17
1.752988E+03	1.418707E-15	5.278600E-17
1.792829E+03	1.049886E-15	3.825785E-17
1.832669E+03	7.635472E-16	2.723211E-17
1.872510E+03	5.451812E-16	1.901791E-17
1.912351E+03	3.816573E-16	1.301303E-17
1.952191E+03	2.616301E-16	8.713235E-18
1.992032E+03	1.754788E-16	5.704355E-18
2.031873E+03	1.152921E-16	3.655743E-18
2.071713E+03	7.473005E-17	2.309794E-18
2.111554E+03	4.867715E-17	1.465613E-18
2.151394E+03	3.297826E-17	9.666336E-19
2.191235E+03	2.424934E-17	6.915316E-19
2.231076E+03	2.019060E-17	5.598811E-19
2.270916E+03	1.971463E-17	5.313137E-19
2.310757E+03	2.270414E-17	5.944227E-19
2.350598E+03	3.022413E-17	7.684633E-19
2.390438E+03	4.527241E-17	1.117585E-18
2.430279E+03	7.413359E-17	1.776620E-18
2.470120E+03	1.288615E-16	2.998181E-18
2.509960E+03	2.308472E-16	5.215721E-18
2.549801E+03	4.141099E-16	9.089664E-18
2.589641E+03	7.240040E-16	1.544837E-17
2.629482E+03	1.207673E-15	2.506924E-17
2.669323E+03	1.901400E-15	3.843571E-17
2.709163E+03	2.822776E-15	5.562902E-17
2.749004E+03	3.964054E-15	7.624787E-17
2.788845E+03	5.289511E-15	9.940908E-17
2.828685E+03	6.740564E-15	1.238907E-16
2.868526E+03	8.246791E-15	1.483589E-16
2.908367E+03	9.737949E-15	1.715846E-16
2.948207E+03	1.115711E-14	1.926557E-16
2.988048E+03	1.246770E-14	2.110659E-16
2.998008E+03	1.277669E-14	2.152397E-16
3.007968E+03	1.307775E-14	2.192387E-16
3.017928E+03	1.337093E-14	2.230655E-16
3.027888E+03	1.365692E-14	2.267337E-16
3.037849E+03	1.393562E-14	2.302437E-16
3.047809E+03	1.420728E-14	2.336013E-16
3.057769E+03	1.447266E-14	2.368208E-16
3.067729E+03	1.473172E-14	2.399030E-16
3.077689E+03	1.498476E-14	2.428546E-16
3.087649E+03	1.523275E-14	2.456924E-16
3.097610E+03	1.547541E-14	2.484134E-16
3.107570E+03	1.571340E-14	2.510295E-16
3.117530E+03	1.594679E-14	2.535427E-16
3.127490E+03	1.617686E-14	2.559748E-16
3.137450E+03	1.640300E-14	2.583168E-16
3.147410E+03	1.662583E-14	2.605798E-16
3.157371E+03	1.684597E-14	2.627741E-16
3.167331E+03	1.706363E-14	2.649039E-16
3.177291E+03	1.727837E-14	2.669631E-16
3.187251E+03	1.749128E-14	2.689695E-16
3.197211E+03	1.770177E-14	2.709147E-16
3.207171E+03	1.791013E-14	2.728043E-16
3.217131E+03	1.811595E-14	2.746324E-16
3.227092E+03	1.831931E-14	2.764018E-16
3.237052E+03	1.851990E-14	2.781084E-16
3.247012E+03	1.871727E-14	2.797468E-16
3.256972E+03	1.891054E-14	2.813049E-16
3.266932E+03	1.909933E-14	2.827788E-16
3.276892E+03	1.928279E-14	2.841575E-16
3.286853E+03	1.945964E-14	2.854240E-16
3.296813E+03	1.962910E-14	2.865690E-16
3.306773E+03	1.978962E-14	2.875716E-16
3.316733E+03	1.994014E-14	2.884190E-16
3.326693E+03	2.007891E-14	2.890878E-16
3.336653E+03	2.020436E-14	2.895584E-16
3.346614E+03	2.031490E-14	2.898107E-16
3.356574E+03	2.040887E-14	2.898247E-16
3.366534E+03	2.048468E-14	2.895811E-16
3.376494E+03	2.054049E-14	2.890581E-16
3.386454E+03	2.057522E-14	2.882445E-16
3.396414E+03	2.058706E-14	2.871194E-16
3.406375E+03	2.057562E-14	2.856820E-16
3.416335E+03	2.053948E-14	2.839171E-16
3.426295E+03	2.047777E-14	2.818179E-16
3.436255E+03	2.038929E-14	2.793726E-16
3.446215E+03	2.027176E-14	2.765550E-16
3.456175E+03	2.012219E-14	2.733302E-16
3.466135E+03	1.993649E-14	2.696484E-16
3.476096E+03	1.971274E-14	2.654902E-16
3.486056E+03	1.944996E-14	2.608490E-16
3.486729E+03	2.276826E-14	3.052650E-16
3.489012E+03	2.268724E-14	3.038868E-16
3.491295E+03	2.253841E-14	3.016043E-16
3.493578E+03	2.234171E-14	2.986864E-16
3.495861E+03	2.218099E-14	2.962552E-16
3.498143E+03	2.202632E-14	2.939096E-16
3.500426E+03	2.182170E-14	2.909030E-16
3.502709E+03	2.161942E-14	2.879337E-16
3.504992E+03	2.139807E-14	2.847167E-16
3.507275E+03	2.112267E-14	2.807876E-16
3.509558E+03	2.085833E-14	2.770133E-16
3.511841E+03	2.061055E-14	2.734662E-16
3.514124E+03	2.035514E-14	2.698250E-16
3.516406E+03	2.005597E-14	2.656116E-16
3.518689E+03	1.969472E-14	2.605850E-16
3.520972E+03	1.932903E-14	2.555094E-16
3.523255E+03	1.896612E-14	2.504805E-16
3.525538E+03	1.869970E-14	2.467343E-16
3.527821E+03	1.846838E-14	2.434583E-16
3.530104E+03	1.815557E-14	2.391155E-16
3.532386E+03	1.781934E-14	2.344728E-16
3.534669E+03	1.749440E-14	2.299875E-16
3.536952E+03	1.712482E-14	2.249245E-16
3.539235E+03	1.673062E-14	2.195480E-16
3.541518E+03	1.636603E-14	2.145699E-16
3.543801E+03	1.605336E-14	2.102812E-16
3.546084E+03	1.577814E-14	2.064906E-16
3.548367E+03	1.548316E-14	2.024488E-16
3.550649E+03	1.514699E-14	1.978765E-16
3.552932E+03	1.485494E-14	1.938884E-16
3.555215E+03	1.472362E-14	1.920037E-16
3.557498E+03	1.448716E-14	1.887529E-16
3.559781E+03	1.426087E-14	1.856404E-16
3.562064E+03	1.408974E-14	1.832509E-16
3.564347E+03	1.395905E-14	1.813915E-16
3.566629E+03	1.381175E-14	1.793199E-16
3.568912E+03	1.365904E-14	1.771819E-16
3.571195E+03	1.353105E-14	1.753683E-16
3.573478E+03	1.343830E-14	1.740142E-16
3.575761E+03	1.336111E-14	1.728641E-16
3.578044E+03	1.328065E-14	1.716738E-16
3.580327E+03	1.317507E-14	1.701612E-16
3.582610E+03	1.312974E-14	1.694290E-16
3.584892E+03	1.315258E-14	1.695770E-16
3.587175E+03	1.313624E-14	1.692201E-16
3.589458E+03	1.296602E-14	1.668834E-16
3.591741E+03	1.286294E-14	1.654142E-16
3.594024E+03	1.289051E-14	1.656262E-16
3.596307E+03	1.297359E-14	1.665507E-16
3.598590E+03	1.310188E-14	1.680534E-16
3.600873E+03	1.306113E-14	1.673872E-16
3.603155E+03	1.310579E-14	1.678159E-16
3.605438E+03	1.329605E-14	1.701066E-16
3.607721E+03	1.347704E-14	1.722750E-16
3.610004E+03	1.348136E-14	1.721831E-16
3.612287E+03	1.344771E-14	1.716070E-16
3.614570E+03	1.353799E-14	1.726118E-16
3.616853E+03	1.373327E-14	1.749526E-16
3.619135E+03	1.386666E-14	1.765016E-16
3.621418E+03	1.396713E-14	1.776292E-16
3.623701E+03	1.418087E-14	1.801941E-16
3.625984E+03	1.444975E-14	1.834547E-16
3.628267E+03	1.464679E-14	1.857982E-16
3.630550E+03	1.484221E-14	1.881173E-16
3.632833E+03	1.508999E-14	1.910952E-16
3.635116E+03	1.529109E-14	1.934774E-16
3.637398E+03	1.552598E-14	1.962825E-16
3.639681E+03	1.568940E-14	1.981800E-16
3.641964E+03	1.581458E-14	1.995915E-16
3.644247E+03	1.616212E-14	2.038043E-16
3.646530E+03	1.647279E-14	2.075451E-16
3.648813E+03	1.671771E-14	2.104517E-16
3.651096E+03	1.700667E-14	2.139071E-16
