#wls	flux	fluxerr
1.600000E+03	1.405637E-14	4.904716E-16
1.640000E+03	1.189029E-14	4.026165E-16
1.680000E+03	9.932732E-15	3.259860E-16
1.720000E+03	8.186319E-15	2.600751E-16
1.760000E+03	6.651525E-15	2.042849E-16
1.800000E+03	5.324537E-15	1.578713E-16
1.840000E+03	4.198622E-15	1.200089E-16
1.880000E+03	3.262370E-15	8.975986E-17
1.920000E+03	2.500603E-15	6.612643E-17
1.960000E+03	1.895429E-15	4.809986E-17
2.000000E+03	1.426997E-15	3.469622E-17
2.040000E+03	1.074736E-15	2.499780E-17
2.080000E+03	8.185756E-16	1.818577E-17
2.120000E+03	6.405421E-16	1.357242E-17
2.160000E+03	5.230257E-16	1.055577E-17
2.200000E+03	4.537457E-16	8.712535E-18
2.240000E+03	4.258491E-16	7.773054E-18
2.280000E+03	4.381855E-16	7.600123E-18
2.320000E+03	4.961464E-16	8.178468E-18
2.360000E+03	6.144614E-16	9.635124E-18
2.400000E+03	8.224627E-16	1.229122E-17
2.440000E+03	1.171178E-15	1.673139E-17
2.480000E+03	1.742296E-15	2.389707E-17
2.520000E+03	2.657423E-15	3.519155E-17
2.560000E+03	4.079640E-15	5.250672E-17
2.600000E+03	6.195474E-15	7.801671E-17
2.640000E+03	9.175285E-15	1.137407E-16
2.680000E+03	1.310917E-14	1.608278E-16
2.720000E+03	1.794960E-14	2.188846E-16
2.760000E+03	2.347297E-14	2.854619E-16
2.800000E+03	2.928896E-14	3.560668E-16
2.840000E+03	3.490937E-14	4.248892E-16
2.880000E+03	3.985833E-14	4.860847E-16
2.920000E+03	4.377047E-14	5.349939E-16
2.960000E+03	4.645596E-14	5.690227E-16
3.000000E+03	4.791802E-14	5.879569E-16
3.010000E+03	4.810859E-14	5.905088E-16
3.020000E+03	4.823541E-14	5.922606E-16
3.030000E+03	4.830236E-14	5.932591E-16
3.040000E+03	4.831468E-14	5.935678E-16
3.050000E+03	4.827675E-14	5.932403E-16
3.060000E+03	4.819307E-14	5.923321E-16
3.070000E+03	4.806833E-14	5.909012E-16
3.080000E+03	4.790725E-14	5.890066E-16
3.090000E+03	4.771464E-14	5.867082E-16
3.100000E+03	4.749626E-14	5.840785E-16
3.110000E+03	4.725685E-14	5.811772E-16
3.120000E+03	4.700015E-14	5.780521E-16
3.130000E+03	4.673268E-14	5.747849E-16
3.140000E+03	4.645711E-14	5.714108E-16
3.150000E+03	4.617886E-14	5.679971E-16
3.160000E+03	4.590321E-14	5.646068E-16
3.170000E+03	4.563358E-14	5.612801E-16
3.180000E+03	4.537500E-14	5.580772E-16
3.190000E+03	4.513075E-14	5.550368E-16
3.200000E+03	4.490573E-14	5.522175E-16
3.210000E+03	4.470391E-14	5.496669E-16
3.220000E+03	4.452847E-14	5.474227E-16
