#wls	flux	fluxerr
1.600000E+03	9.339761E-17	1.533863E-17
1.640000E+03	9.144239E-17	1.499129E-17
1.680000E+03	8.973269E-17	1.468518E-17
1.720000E+03	8.823657E-17	1.441491E-17
1.760000E+03	8.697041E-17	1.418298E-17
1.800000E+03	8.593599E-17	1.398951E-17
1.840000E+03	8.515118E-17	1.383724E-17
1.880000E+03	8.459180E-17	1.372206E-17
1.920000E+03	8.429361E-17	1.364959E-17
1.960000E+03	8.425123E-17	1.361876E-17
2.000000E+03	8.449037E-17	1.363355E-17
2.040000E+03	8.499716E-17	1.369151E-17
2.080000E+03	8.581767E-17	1.379987E-17
2.120000E+03	8.697441E-17	1.396201E-17
2.160000E+03	8.848300E-17	1.418022E-17
2.200000E+03	9.037826E-17	1.445983E-17
2.240000E+03	9.272928E-17	1.481164E-17
2.280000E+03	9.554966E-17	1.523752E-17
2.320000E+03	9.887872E-17	1.574345E-17
2.360000E+03	1.027852E-16	1.634003E-17
2.400000E+03	1.072772E-16	1.702815E-17
2.440000E+03	1.124324E-16	1.781974E-17
2.480000E+03	1.182653E-16	1.871668E-17
2.520000E+03	1.248664E-16	1.973278E-17
2.560000E+03	1.322580E-16	2.087111E-17
2.600000E+03	1.405462E-16	2.214783E-17
2.640000E+03	1.497843E-16	2.357081E-17
2.680000E+03	1.600771E-16	2.515589E-17
2.720000E+03	1.714917E-16	2.691293E-17
2.760000E+03	1.841512E-16	2.886055E-17
2.800000E+03	1.981360E-16	3.101052E-17
2.840000E+03	2.135572E-16	3.337940E-17
2.880000E+03	2.305993E-16	3.599508E-17
2.920000E+03	2.493310E-16	3.886723E-17
2.960000E+03	2.698846E-16	4.201541E-17
3.000000E+03	2.924789E-16	4.547247E-17
3.010000E+03	2.984495E-16	4.638534E-17
3.020000E+03	3.045910E-16	4.732415E-17
3.030000E+03	3.108224E-16	4.827630E-17
3.040000E+03	3.172302E-16	4.925519E-17
3.050000E+03	3.237748E-16	5.025464E-17
3.060000E+03	3.304578E-16	5.127492E-17
3.070000E+03	3.372816E-16	5.231634E-17
3.080000E+03	3.442481E-16	5.337917E-17
3.090000E+03	3.514067E-16	5.447107E-17
3.100000E+03	3.587136E-16	5.558523E-17
3.110000E+03	3.661711E-16	5.672194E-17
3.120000E+03	3.737810E-16	5.788148E-17
3.130000E+03	3.815454E-16	5.906414E-17
3.140000E+03	3.895179E-16	6.027821E-17
3.150000E+03	3.975980E-16	6.150810E-17
3.160000E+03	4.058920E-16	6.277023E-17
3.170000E+03	4.143500E-16	6.405686E-17
3.180000E+03	4.230297E-16	6.537687E-17
3.190000E+03	4.318227E-16	6.671347E-17
3.200000E+03	4.408429E-16	6.808426E-17
3.210000E+03	4.500368E-16	6.948091E-17
3.220000E+03	4.594060E-16	7.090367E-17
3.230000E+03	4.689523E-16	7.235277E-17
