#wls	flux	fluxerr
1.600000E+03	3.712760E-14	9.159442E-15
1.640000E+03	2.925031E-14	6.588637E-15
1.680000E+03	2.270619E-14	4.630689E-15
1.720000E+03	1.735432E-14	3.173125E-15
1.760000E+03	1.305013E-14	2.114775E-15
1.800000E+03	9.649187E-15	1.366968E-15
1.840000E+03	7.008643E-15	8.538584E-16
1.880000E+03	4.999171E-15	5.135157E-16
1.920000E+03	3.501059E-15	2.961908E-16
1.960000E+03	2.408927E-15	1.635124E-16
2.000000E+03	1.632152E-15	8.689902E-17
2.040000E+03	1.095038E-15	4.584887E-17
2.080000E+03	7.355067E-16	2.596051E-17
2.120000E+03	5.031876E-16	1.698428E-17
2.160000E+03	3.581625E-16	1.249841E-17
2.200000E+03	2.722160E-16	9.953851E-18
2.240000E+03	2.271156E-16	8.718881E-18
2.280000E+03	2.125663E-16	8.691844E-18
2.320000E+03	2.243041E-16	9.880789E-18
2.360000E+03	2.640906E-16	1.243428E-17
2.400000E+03	3.408576E-16	1.673436E-17
2.440000E+03	4.722676E-16	2.336609E-17
2.480000E+03	6.868808E-16	3.299706E-17
2.520000E+03	1.025040E-15	4.627040E-17
2.560000E+03	1.535807E-15	6.438203E-17
2.600000E+03	2.266837E-15	9.173836E-17
2.640000E+03	3.249066E-15	1.394822E-16
2.680000E+03	4.476178E-15	2.212167E-16
2.720000E+03	5.894169E-15	3.434366E-16
2.760000E+03	7.410630E-15	5.025185E-16
2.800000E+03	8.912518E-15	6.860027E-16
2.840000E+03	1.028781E-14	8.755097E-16
2.880000E+03	1.144552E-14	1.050848E-15
2.920000E+03	1.232706E-14	1.194084E-15
2.960000E+03	1.291187E-14	1.292801E-15
3.000000E+03	1.321070E-14	1.341173E-15
3.010000E+03	1.324477E-14	1.345380E-15
3.020000E+03	1.326357E-14	1.346492E-15
3.030000E+03	1.326780E-14	1.344586E-15
3.040000E+03	1.325879E-14	1.339811E-15
3.050000E+03	1.323698E-14	1.332242E-15
3.060000E+03	1.320312E-14	1.321990E-15
3.070000E+03	1.315826E-14	1.309208E-15
3.080000E+03	1.310284E-14	1.293997E-15
3.090000E+03	1.303761E-14	1.276492E-15
3.100000E+03	1.296381E-14	1.256885E-15
3.110000E+03	1.288158E-14	1.235264E-15
3.120000E+03	1.279184E-14	1.211795E-15
3.130000E+03	1.269496E-14	1.186597E-15
3.140000E+03	1.259225E-14	1.159881E-15
3.150000E+03	1.248352E-14	1.131712E-15
3.160000E+03	1.236949E-14	1.102250E-15
3.170000E+03	1.225086E-14	1.071647E-15
3.180000E+03	1.212802E-14	1.040028E-15
3.190000E+03	1.200088E-14	1.007480E-15
3.200000E+03	1.187042E-14	9.741761E-16
3.210000E+03	1.173647E-14	9.401955E-16
3.220000E+03	1.159948E-14	9.056661E-16
3.230000E+03	1.145941E-14	8.706785E-16
3.240000E+03	1.131663E-14	8.353524E-16
3.250000E+03	1.117124E-14	7.997875E-16
3.260000E+03	1.102334E-14	7.640807E-16
3.270000E+03	1.087277E-14	7.283151E-16
3.280000E+03	1.071977E-14	6.925982E-16
3.290000E+03	1.056434E-14	6.570233E-16
3.300000E+03	1.040630E-14	6.216738E-16
3.310000E+03	1.024582E-14	5.866553E-16
3.320000E+03	1.008272E-14	5.520555E-16
3.330000E+03	9.917163E-15	5.179835E-16
3.340000E+03	9.748978E-15	4.845346E-16
3.350000E+03	9.578189E-15	4.518185E-16
3.360000E+03	9.404833E-15	4.199510E-16
3.370000E+03	9.228973E-15	3.890555E-16
3.380000E+03	9.050697E-15	3.592641E-16
3.390000E+03	8.869995E-15	3.307145E-16
3.400000E+03	8.687163E-15	3.035663E-16
3.410000E+03	8.502158E-15	2.779773E-16
3.420000E+03	8.315492E-15	2.541328E-16
3.430000E+03	8.127262E-15	2.322079E-16
3.440000E+03	7.937909E-15	2.123812E-16
3.450000E+03	7.748009E-15	1.948089E-16
3.460000E+03	7.558220E-15	1.795958E-16
3.470000E+03	7.369661E-15	1.667707E-16
3.480000E+03	7.183591E-15	1.562357E-16
3.490000E+03	7.001738E-15	1.477361E-16
3.500000E+03	6.826271E-15	1.409255E-16
3.510000E+03	6.659525E-15	1.354315E-16
3.520000E+03	6.504162E-15	1.309072E-16
3.530000E+03	6.362538E-15	1.270483E-16
3.540000E+03	6.237480E-15	1.236321E-16
3.550000E+03	6.131808E-15	1.205098E-16
3.557336E+03	1.118129E-15	3.826306E-16
3.558100E+03	1.133871E-15	3.829742E-16
3.558865E+03	1.152139E-15	3.860398E-16
3.559629E+03	1.171128E-15	3.860599E-16
3.560394E+03	1.189108E-15	3.776552E-16
3.561158E+03	1.207917E-15	3.658723E-16
3.561923E+03	1.223787E-15	3.672590E-16
3.562687E+03	1.236463E-15	3.615008E-16
3.563451E+03	1.255382E-15	3.623779E-16
3.564216E+03	1.273092E-15	3.610291E-16
3.564980E+03	1.294699E-15	3.706322E-16
3.565745E+03	1.311851E-15	3.750793E-16
3.566509E+03	1.325845E-15	3.852335E-16
3.567274E+03	1.343412E-15	3.827194E-16
3.568038E+03	1.366698E-15	3.807416E-16
3.568803E+03	1.390255E-15	3.835734E-16
3.569567E+03	1.412982E-15	3.840486E-16
3.570332E+03	1.431506E-15	3.853152E-16
3.571096E+03	1.450787E-15	3.902486E-16
3.571861E+03	1.473551E-15	3.917435E-16
3.572625E+03	1.494638E-15	3.890241E-16
