#wls	flux	fluxerr
1.600000E+03	4.644153E-15	1.182077E-15
1.640000E+03	3.862570E-15	9.081937E-16
1.680000E+03	3.207493E-15	6.928147E-16
1.720000E+03	2.660765E-15	5.247690E-16
1.760000E+03	2.207576E-15	3.949273E-16
1.800000E+03	1.834253E-15	2.955362E-16
1.840000E+03	1.527903E-15	2.200591E-16
1.880000E+03	1.278365E-15	1.633395E-16
1.920000E+03	1.075545E-15	1.210546E-16
1.960000E+03	9.117774E-16	8.991100E-17
2.000000E+03	7.802368E-16	6.729566E-17
2.040000E+03	6.755890E-16	5.122637E-17
2.080000E+03	5.931693E-16	4.015984E-17
2.120000E+03	5.295924E-16	3.290636E-17
2.160000E+03	4.824761E-16	2.847186E-17
2.200000E+03	4.497439E-16	2.613798E-17
2.240000E+03	4.302899E-16	2.551212E-17
2.280000E+03	4.231075E-16	2.640017E-17
2.320000E+03	4.276006E-16	2.862247E-17
2.360000E+03	4.435246E-16	3.203419E-17
2.400000E+03	4.707880E-16	3.659841E-17
2.440000E+03	5.098456E-16	4.239456E-17
2.480000E+03	5.608708E-16	4.953960E-17
2.520000E+03	6.243498E-16	5.823065E-17
2.560000E+03	7.001394E-16	6.866263E-17
2.600000E+03	7.878927E-16	8.105452E-17
2.640000E+03	8.867153E-16	9.558410E-17
2.680000E+03	9.949381E-16	1.122556E-16
2.720000E+03	1.110923E-15	1.309228E-16
2.760000E+03	1.232438E-15	1.512145E-16
2.800000E+03	1.357394E-15	1.726099E-16
2.840000E+03	1.483402E-15	1.944016E-16
2.880000E+03	1.608236E-15	2.157840E-16
2.920000E+03	1.730001E-15	2.359243E-16
2.960000E+03	1.847700E-15	2.540916E-16
3.000000E+03	1.961368E-15	2.697294E-16
3.010000E+03	1.989083E-15	2.731740E-16
3.020000E+03	2.016429E-15	2.764064E-16
3.030000E+03	2.043642E-15	2.794524E-16
3.040000E+03	2.070732E-15	2.823074E-16
3.050000E+03	2.097709E-15	2.849671E-16
3.060000E+03	2.124350E-15	2.873961E-16
3.070000E+03	2.150902E-15	2.896232E-16
3.080000E+03	2.177141E-15	2.916142E-16
3.090000E+03	2.203560E-15	2.934312E-16
3.100000E+03	2.229694E-15	2.950092E-16
3.110000E+03	2.256043E-15	2.964117E-16
3.120000E+03	2.282140E-15	2.975748E-16
3.130000E+03	2.308489E-15	2.985631E-16
3.140000E+03	2.334619E-15	2.993142E-16
3.150000E+03	2.361040E-15	2.998934E-16
3.160000E+03	2.387771E-15	3.003029E-16
3.170000E+03	2.414335E-15	3.004830E-16
3.180000E+03	2.441245E-15	3.005001E-16
3.190000E+03	2.468521E-15	3.003581E-16
3.200000E+03	2.495929E-15	3.000313E-16
3.210000E+03	2.523735E-15	2.995559E-16
3.220000E+03	2.551956E-15	2.989381E-16
3.230000E+03	2.580606E-15	2.981849E-16
3.240000E+03	2.609697E-15	2.973045E-16
3.250000E+03	2.639497E-15	2.963345E-16
3.260000E+03	2.669503E-15	2.952272E-16
3.270000E+03	2.700235E-15	2.940512E-16
3.280000E+03	2.731701E-15	2.928182E-16
3.290000E+03	2.763906E-15	2.915412E-16
3.300000E+03	2.796852E-15	2.902348E-16
3.310000E+03	2.830275E-15	2.888883E-16
3.320000E+03	2.864696E-15	2.875736E-16
3.330000E+03	2.900110E-15	2.863092E-16
3.340000E+03	2.936246E-15	2.850901E-16
3.350000E+03	2.973356E-15	2.839649E-16
3.360000E+03	3.011691E-15	2.829831E-16
3.370000E+03	3.050705E-15	2.821207E-16
3.380000E+03	3.090909E-15	2.814552E-16
3.390000E+03	3.132283E-15	2.810153E-16
3.400000E+03	3.174802E-15	2.808310E-16
3.410000E+03	3.218440E-15	2.809333E-16
3.420000E+03	3.263436E-15	2.813772E-16
3.430000E+03	3.309491E-15	2.821707E-16
3.440000E+03	3.357110E-15	2.833907E-16
3.450000E+03	3.405992E-15	2.850436E-16
3.460000E+03	3.456100E-15	2.871575E-16
3.470000E+03	3.507667E-15	2.897802E-16
3.480000E+03	3.560663E-15	2.929328E-16
3.490000E+03	3.615368E-15	2.966481E-16
3.500000E+03	3.671531E-15	3.009087E-16
3.510000E+03	3.729445E-15	3.057375E-16
3.520000E+03	3.789137E-15	3.111310E-16
3.530000E+03	3.850905E-15	3.171049E-16
3.540000E+03	3.914507E-15	3.236268E-16
3.550000E+03	3.980246E-15	3.307066E-16
3.560000E+03	4.047885E-15	3.383067E-16
3.570000E+03	4.117999E-15	3.464555E-16
3.580000E+03	4.190353E-15	3.551125E-16
3.590000E+03	4.265254E-15	3.642812E-16
3.600000E+03	4.342464E-15	3.739187E-16
3.610000E+03	4.422020E-15	3.840041E-16
3.620000E+03	4.504496E-15	3.945636E-16
3.630000E+03	4.589381E-15	4.055288E-16
3.640000E+03	4.676974E-15	4.169019E-16
3.650000E+03	4.767030E-15	4.286369E-16
3.660000E+03	4.860111E-15	4.407607E-16
3.670000E+03	4.955961E-15	4.532267E-16
3.680000E+03	5.054590E-15	4.660122E-16
3.690000E+03	5.155729E-15	4.790688E-16
3.700000E+03	5.259914E-15	4.924225E-16
3.710000E+03	5.366588E-15	5.059977E-16
