#wls	flux	fluxerr	mangling_mask
3.406318E+03	6.696132E-14	3.224897E-15	1.640686E+00
3.409164E+03	6.758997E-14	3.228143E-15	1.640135E+00
3.412010E+03	6.824261E-14	3.231667E-15	1.639580E+00
3.414856E+03	6.897659E-14	3.236299E-15	1.639022E+00
3.417702E+03	6.976232E-14	3.241604E-15	1.638459E+00
3.420549E+03	7.057682E-14	3.247248E-15	1.637893E+00
3.423395E+03	7.145279E-14	3.253702E-15	1.637323E+00
3.426241E+03	7.236070E-14	3.260538E-15	1.636750E+00
3.429087E+03	7.332996E-14	3.268180E-15	1.636172E+00
3.431933E+03	7.429344E-14	3.341791E-15	1.635591E+00
3.434780E+03	7.519227E-14	3.400498E-15	1.635006E+00
3.437626E+03	7.621611E-14	3.358606E-15	1.634416E+00
3.440472E+03	7.719000E-14	3.195548E-15	1.633824E+00
3.443318E+03	7.819237E-14	2.919387E-15	1.633227E+00
3.446164E+03	7.913012E-14	2.570701E-15	1.632626E+00
3.449010E+03	8.006698E-14	2.538553E-15	1.632022E+00
3.451857E+03	8.102902E-14	2.535897E-15	1.631413E+00
3.454703E+03	8.194610E-14	2.372410E-15	1.630801E+00
3.457549E+03	8.281010E-14	2.346943E-15	1.630184E+00
3.460395E+03	8.366507E-14	2.355069E-15	1.629564E+00
3.463242E+03	8.445075E-14	2.527750E-15	1.628940E+00
3.466088E+03	8.526653E-14	2.579058E-15	1.628312E+00
3.468934E+03	8.592356E-14	2.723042E-15	1.627679E+00
3.471780E+03	8.649361E-14	2.736776E-15	1.627043E+00
3.474626E+03	8.700768E-14	2.688772E-15	1.626403E+00
3.477472E+03	8.744468E-14	2.515744E-15	1.625759E+00
3.480319E+03	8.779821E-14	2.473701E-15	1.625110E+00
3.483165E+03	8.804888E-14	2.410095E-15	1.624458E+00
3.486011E+03	8.818055E-14	2.373116E-15	1.623802E+00
3.488857E+03	8.830376E-14	2.368528E-15	1.623141E+00
3.491703E+03	8.841038E-14	2.342608E-15	1.622477E+00
