#wls	flux	fluxerr
1.593625E+03	3.964197E-03	3.609345E-04
1.633466E+03	3.577952E-03	3.236535E-04
1.673307E+03	3.208212E-03	2.882975E-04
1.713147E+03	2.859566E-03	2.552525E-04
1.752988E+03	2.534223E-03	2.246819E-04
1.792829E+03	2.234885E-03	1.967859E-04
1.832669E+03	1.962840E-03	1.716338E-04
1.872510E+03	1.719001E-03	1.492580E-04
1.912351E+03	1.503589E-03	1.296284E-04
1.952191E+03	1.316403E-03	1.126775E-04
1.992032E+03	1.156718E-03	9.829306E-05
2.031873E+03	1.023282E-03	8.631943E-05
2.071713E+03	9.154009E-04	7.665054E-05
2.111554E+03	8.319367E-04	6.914490E-05
2.151394E+03	7.725679E-04	6.373086E-05
2.191235E+03	7.373196E-04	6.036593E-05
2.231076E+03	7.268252E-04	5.905695E-05
2.270916E+03	7.426124E-04	5.988152E-05
2.310757E+03	7.867008E-04	6.295300E-05
2.350598E+03	8.618050E-04	6.843493E-05
2.390438E+03	9.717704E-04	7.657319E-05
2.430279E+03	1.121306E-03	8.767176E-05
2.470120E+03	1.315307E-03	1.020376E-04
2.509960E+03	1.557730E-03	1.198929E-04
2.549801E+03	1.849838E-03	1.412439E-04
2.589641E+03	2.188168E-03	1.657349E-04
2.629482E+03	2.564728E-03	1.926773E-04
2.669323E+03	2.966848E-03	2.210522E-04
2.709163E+03	3.380500E-03	2.497706E-04
2.749004E+03	3.790134E-03	2.776655E-04
2.788845E+03	4.180230E-03	3.036105E-04
2.828685E+03	4.536913E-03	3.266362E-04
2.868526E+03	4.850224E-03	3.460884E-04
2.908367E+03	5.114653E-03	3.616538E-04
2.948207E+03	5.330763E-03	3.734598E-04
2.988048E+03	5.504545E-03	3.820112E-04
2.998008E+03	5.542619E-03	3.837357E-04
3.007968E+03	5.578821E-03	3.853159E-04
3.017928E+03	5.613519E-03	3.867781E-04
3.027888E+03	5.647087E-03	3.881485E-04
3.037849E+03	5.679294E-03	3.894121E-04
3.047809E+03	5.710935E-03	3.906236E-04
3.057769E+03	5.742003E-03	3.917828E-04
3.067729E+03	5.772694E-03	3.929034E-04
3.077689E+03	5.803224E-03	3.940001E-04
3.087649E+03	5.834195E-03	3.951137E-04
3.097610E+03	5.865822E-03	3.962585E-04
3.107570E+03	5.898133E-03	3.974359E-04
3.117530E+03	5.931737E-03	3.986864E-04
3.127490E+03	5.966864E-03	4.000247E-04
3.137450E+03	6.003740E-03	4.014651E-04
3.147410E+03	6.042606E-03	4.030227E-04
3.157371E+03	6.084067E-03	4.047366E-04
3.167331E+03	6.128002E-03	4.065972E-04
3.177291E+03	6.175194E-03	4.086551E-04
3.187251E+03	6.225708E-03	4.109127E-04
3.197211E+03	6.279968E-03	4.133961E-04
3.207171E+03	6.338398E-03	4.161311E-04
3.217131E+03	6.401068E-03	4.191198E-04
3.227092E+03	6.468405E-03	4.223880E-04
3.237052E+03	6.540654E-03	4.259489E-04
3.247012E+03	6.618400E-03	4.298376E-04
3.256972E+03	6.701714E-03	4.340559E-04
3.266932E+03	6.790996E-03	4.386264E-04
3.276892E+03	6.886475E-03	4.435604E-04
3.286853E+03	6.988529E-03	4.488787E-04
3.296813E+03	7.097364E-03	4.545909E-04
3.306773E+03	7.213164E-03	4.607047E-04
3.316733E+03	7.336096E-03	4.672269E-04
3.326693E+03	7.466472E-03	4.741731E-04
3.336653E+03	7.604411E-03	4.815467E-04
3.346614E+03	7.750007E-03	4.893490E-04
3.356574E+03	7.903156E-03	4.975693E-04
3.366534E+03	8.064222E-03	5.062258E-04
3.376494E+03	8.232876E-03	5.152934E-04
3.386454E+03	8.409083E-03	5.247652E-04
3.396414E+03	8.592950E-03	5.346437E-04
3.406375E+03	8.784052E-03	5.448975E-04
3.416335E+03	8.982271E-03	5.555154E-04
3.426295E+03	9.187473E-03	5.664845E-04
3.436255E+03	7.721075E-03	4.746175E-04
3.438247E+03	7.842193E-03	4.817674E-04
3.440239E+03	7.930967E-03	4.869221E-04
3.442231E+03	8.037262E-03	4.931450E-04
3.444223E+03	8.165823E-03	5.007251E-04
3.446215E+03	8.278493E-03	5.073215E-04
3.448207E+03	8.406857E-03	5.148703E-04
3.450199E+03	8.526868E-03	5.218980E-04
3.452191E+03	8.655038E-03	5.294154E-04
