#wls	flux	fluxerr
1.593625E+03	7.477253E-04	4.024010E-05
1.633466E+03	7.009190E-04	3.751176E-05
1.673307E+03	6.574363E-04	3.498712E-05
1.713147E+03	6.174337E-04	3.267183E-05
1.752988E+03	5.809018E-04	3.056256E-05
1.792829E+03	5.479159E-04	2.866038E-05
1.832669E+03	5.183193E-04	2.695413E-05
1.872510E+03	4.921599E-04	2.544339E-05
1.912351E+03	4.694703E-04	2.412686E-05
1.952191E+03	4.501975E-04	2.299881E-05
1.992032E+03	4.343196E-04	2.205511E-05
2.031873E+03	4.219370E-04	2.129786E-05
2.071713E+03	4.131285E-04	2.072791E-05
2.111554E+03	4.082353E-04	2.035915E-05
2.151394E+03	4.074826E-04	2.019932E-05
2.191235E+03	4.114369E-04	2.027275E-05
2.231076E+03	4.207314E-04	2.060644E-05
2.270916E+03	4.358607E-04	2.121996E-05
2.310757E+03	4.572928E-04	2.213111E-05
2.350598E+03	4.851422E-04	2.334002E-05
2.390438E+03	5.195590E-04	2.484846E-05
2.430279E+03	5.603647E-04	2.664243E-05
2.470120E+03	6.072378E-04	2.870144E-05
2.509960E+03	6.595629E-04	3.099154E-05
2.549801E+03	7.163835E-04	3.346357E-05
2.589641E+03	7.764006E-04	3.605348E-05
2.629482E+03	8.380709E-04	3.868736E-05
2.669323E+03	9.000566E-04	4.130235E-05
2.709163E+03	9.612166E-04	4.384602E-05
2.749004E+03	1.020913E-03	4.628993E-05
2.788845E+03	1.078639E-03	4.861225E-05
2.828685E+03	1.134008E-03	5.079703E-05
2.868526E+03	1.187225E-03	5.285508E-05
2.908367E+03	1.238615E-03	5.480228E-05
2.948207E+03	1.288921E-03	5.667255E-05
2.988048E+03	1.339286E-03	5.851658E-05
2.998008E+03	1.352061E-03	5.898102E-05
3.007968E+03	1.364994E-03	5.945052E-05
3.017928E+03	1.377932E-03	5.991833E-05
3.027888E+03	1.391241E-03	6.040033E-05
3.037849E+03	1.404591E-03	6.088218E-05
3.047809E+03	1.418178E-03	6.137228E-05
3.057769E+03	1.432023E-03	6.187148E-05
3.067729E+03	1.446145E-03	6.238061E-05
3.077689E+03	1.460568E-03	6.290056E-05
3.087649E+03	1.475492E-03	6.343987E-05
3.097610E+03	1.490583E-03	6.398412E-05
3.107570E+03	1.506222E-03	6.454957E-05
3.117530E+03	1.522255E-03	6.512948E-05
3.127490E+03	1.538705E-03	6.572478E-05
3.137450E+03	1.555780E-03	6.634416E-05
3.147410E+03	1.573323E-03	6.698089E-05
3.157371E+03	1.591543E-03	6.764370E-05
3.167331E+03	1.610469E-03	6.833365E-05
3.177291E+03	1.629944E-03	6.904397E-05
3.187251E+03	1.650182E-03	6.978352E-05
3.197211E+03	1.671399E-03	7.056126E-05
3.207171E+03	1.693253E-03	7.136256E-05
3.217131E+03	1.715960E-03	7.219640E-05
3.227092E+03	1.739743E-03	7.307187E-05
3.237052E+03	1.764446E-03	7.398220E-05
3.247012E+03	1.790102E-03	7.492856E-05
3.256972E+03	1.816936E-03	7.592015E-05
3.266932E+03	1.844791E-03	7.695015E-05
3.276892E+03	1.874092E-03	7.803600E-05
3.286853E+03	1.904487E-03	7.916272E-05
3.296813E+03	1.936406E-03	8.034789E-05
3.306773E+03	1.969490E-03	8.157634E-05
3.316733E+03	2.004174E-03	8.286574E-05
3.326693E+03	2.040295E-03	8.420897E-05
3.336653E+03	2.078090E-03	8.561547E-05
3.346614E+03	2.117592E-03	8.708620E-05
3.356574E+03	2.158831E-03	8.862202E-05
3.366534E+03	2.201831E-03	9.022347E-05
3.376494E+03	2.246609E-03	9.189079E-05
3.386454E+03	2.293169E-03	9.362381E-05
3.396414E+03	2.341721E-03	9.543059E-05
3.406375E+03	2.392249E-03	9.731004E-05
3.416335E+03	2.444723E-03	9.926041E-05
3.426295E+03	2.499088E-03	1.012791E-04
3.436255E+03	2.555271E-03	1.033626E-04
3.446215E+03	2.613391E-03	1.055153E-04
3.456175E+03	2.673095E-03	1.077225E-04
3.466135E+03	2.734437E-03	1.099860E-04
3.476096E+03	2.797208E-03	1.122971E-04
3.486056E+03	2.861147E-03	1.146447E-04
3.496016E+03	2.926185E-03	1.170260E-04
3.505976E+03	2.991733E-03	1.194171E-04
3.515936E+03	3.057619E-03	1.218110E-04
3.525896E+03	3.123388E-03	1.241894E-04
3.535857E+03	3.188534E-03	1.265324E-04
3.545817E+03	3.252503E-03	1.288181E-04
3.555777E+03	3.314699E-03	1.310231E-04
3.565737E+03	3.374724E-03	1.331322E-04
3.575697E+03	3.431910E-03	1.351194E-04
3.585657E+03	3.485569E-03	1.369584E-04
3.595618E+03	3.535002E-03	1.386226E-04
3.605578E+03	3.579519E-03	1.400859E-04
3.615538E+03	3.618463E-03	1.413239E-04
