#wls	flux	fluxerr
1.593625E+03	5.664083E-03	2.866739E-04
1.633466E+03	5.209062E-03	2.583621E-04
1.673307E+03	4.754685E-03	2.309837E-04
1.713147E+03	4.305708E-03	2.047752E-04
1.752988E+03	3.868119E-03	1.800091E-04
1.792829E+03	3.447329E-03	1.569045E-04
1.832669E+03	3.048541E-03	1.356469E-04
1.872510E+03	2.676775E-03	1.163898E-04
1.912351E+03	2.335736E-03	9.920893E-05
1.952191E+03	2.028730E-03	8.414621E-05
1.992032E+03	1.757842E-03	7.118033E-05
2.031873E+03	1.523629E-03	6.022093E-05
2.071713E+03	1.326736E-03	5.117965E-05
2.111554E+03	1.167765E-03	4.396571E-05
2.151394E+03	1.048984E-03	3.855016E-05
2.191235E+03	9.723511E-04	3.488927E-05
2.231076E+03	9.404441E-04	3.296036E-05
2.270916E+03	9.577070E-04	3.280463E-05
2.310757E+03	1.027473E-03	3.442312E-05
2.350598E+03	1.154386E-03	3.786386E-05
2.390438E+03	1.347883E-03	4.333047E-05
2.430279E+03	1.622075E-03	5.116683E-05
2.470120E+03	1.994402E-03	6.180416E-05
2.509960E+03	2.483481E-03	7.568811E-05
2.549801E+03	3.105789E-03	9.318160E-05
2.589641E+03	3.871620E-03	1.144516E-04
2.629482E+03	4.782390E-03	1.394029E-04
2.669323E+03	5.823575E-03	1.674890E-04
2.709163E+03	6.962632E-03	1.976777E-04
2.749004E+03	8.155237E-03	2.286515E-04
2.788845E+03	9.347639E-03	2.588867E-04
2.828685E+03	1.048292E-02	2.868359E-04
2.868526E+03	1.151075E-02	3.111949E-04
2.908367E+03	1.239461E-02	3.310872E-04
2.948207E+03	1.312046E-02	3.462720E-04
2.988048E+03	1.369387E-02	3.570381E-04
2.998008E+03	1.381601E-02	3.591236E-04
3.007968E+03	1.393043E-02	3.609905E-04
3.017928E+03	1.403787E-02	3.626594E-04
3.027888E+03	1.413873E-02	3.641430E-04
3.037849E+03	1.423349E-02	3.654548E-04
3.047809E+03	1.432301E-02	3.666182E-04
3.057769E+03	1.440815E-02	3.676572E-04
3.067729E+03	1.448917E-02	3.685789E-04
3.077689E+03	1.456733E-02	3.694170E-04
3.087649E+03	1.464295E-02	3.701801E-04
3.097610E+03	1.471735E-02	3.709025E-04
3.107570E+03	1.479091E-02	3.715939E-04
