#wls	flux	fluxerr
1.593625E+03	8.714188E-04	5.059812E-05
1.633466E+03	8.133558E-04	4.710203E-05
1.673307E+03	7.593410E-04	4.385534E-05
1.713147E+03	7.095800E-04	4.086847E-05
1.752988E+03	6.640782E-04	3.814011E-05
1.792829E+03	6.229260E-04	3.567375E-05
1.832669E+03	5.859441E-04	3.345738E-05
1.872510E+03	5.532783E-04	3.149749E-05
1.912351E+03	5.247351E-04	2.978117E-05
1.952191E+03	5.004357E-04	2.831339E-05
1.992032E+03	4.803211E-04	2.708878E-05
2.031873E+03	4.643879E-04	2.610506E-05
2.071713E+03	4.527962E-04	2.536904E-05
2.111554E+03	4.457472E-04	2.488963E-05
2.151394E+03	4.436942E-04	2.468953E-05
2.191235E+03	4.472316E-04	2.479883E-05
2.231076E+03	4.568198E-04	2.523965E-05
2.270916E+03	4.733453E-04	2.605709E-05
2.310757E+03	4.970193E-04	2.725835E-05
2.350598E+03	5.282379E-04	2.886042E-05
2.390438E+03	5.670101E-04	3.085869E-05
2.430279E+03	6.131439E-04	3.323750E-05
2.470120E+03	6.664688E-04	3.598235E-05
2.509960E+03	7.259236E-04	3.903080E-05
2.549801E+03	7.905155E-04	4.232488E-05
2.589641E+03	8.586121E-04	4.577326E-05
2.629482E+03	9.280567E-04	4.925817E-05
2.669323E+03	9.973953E-04	5.270090E-05
2.709163E+03	1.065181E-03	5.602451E-05
2.749004E+03	1.130470E-03	5.917972E-05
2.788845E+03	1.192508E-03	6.212822E-05
2.828685E+03	1.251049E-03	6.485876E-05
2.868526E+03	1.306374E-03	6.738767E-05
2.908367E+03	1.358591E-03	6.972215E-05
2.948207E+03	1.408797E-03	7.191988E-05
2.988048E+03	1.458370E-03	7.405165E-05
2.998008E+03	1.470805E-03	7.458143E-05
3.007968E+03	1.483210E-03	7.510748E-05
3.017928E+03	1.495964E-03	7.564906E-05
3.027888E+03	1.508732E-03	7.618908E-05
3.037849E+03	1.521716E-03	7.673778E-05
3.047809E+03	1.534941E-03	7.729633E-05
3.057769E+03	1.548250E-03	7.785673E-05
3.067729E+03	1.562030E-03	7.843847E-05
3.077689E+03	1.575943E-03	7.902444E-05
3.087649E+03	1.590380E-03	7.963420E-05
