#wls	flux	fluxerr
1.593625E+03	1.612528E-15	4.299635E-17
1.633466E+03	1.566693E-15	4.115039E-17
1.673307E+03	1.517414E-15	3.924711E-17
1.713147E+03	1.464658E-15	3.729079E-17
1.752988E+03	1.408524E-15	3.528902E-17
1.792829E+03	1.349100E-15	3.324903E-17
1.832669E+03	1.285964E-15	3.116545E-17
1.872510E+03	1.219221E-15	2.904625E-17
1.912351E+03	1.148596E-15	2.689026E-17
1.952191E+03	1.073834E-15	2.469707E-17
1.992032E+03	9.947174E-16	2.246752E-17
2.031873E+03	9.114720E-16	2.021247E-17
2.071713E+03	8.252225E-16	1.796180E-17
2.111554E+03	7.414056E-16	1.583541E-17
2.151394E+03	6.726778E-16	1.409546E-17
2.191235E+03	6.292096E-16	1.293255E-17
2.231076E+03	6.176204E-16	1.244977E-17
2.270916E+03	6.441678E-16	1.273334E-17
2.310757E+03	7.156202E-16	1.387085E-17
2.350598E+03	8.419775E-16	1.600280E-17
2.390438E+03	1.039744E-15	1.937851E-17
2.430279E+03	1.332898E-15	2.436342E-17
2.470120E+03	1.752299E-15	3.141695E-17
2.509960E+03	2.330706E-15	4.099626E-17
2.549801E+03	3.091188E-15	5.335687E-17
2.589641E+03	4.025453E-15	6.820413E-17
2.629482E+03	5.076801E-15	8.445844E-17
2.669323E+03	6.177343E-15	1.009347E-16
2.709163E+03	7.281418E-15	1.168888E-16
2.749004E+03	8.354301E-15	1.318019E-16
2.788845E+03	9.369547E-15	1.453205E-16
2.828685E+03	1.030978E-14	1.572544E-16
2.868526E+03	1.116773E-14	1.675798E-16
2.908367E+03	1.194503E-14	1.764068E-16
2.948207E+03	1.265344E-14	1.839878E-16
2.988048E+03	1.331100E-14	1.906512E-16
2.998008E+03	1.347056E-14	1.922246E-16
3.007968E+03	1.362867E-14	1.937694E-16
3.017928E+03	1.378574E-14	1.952918E-16
3.027888E+03	1.394282E-14	1.968070E-16
3.037849E+03	1.410004E-14	1.983177E-16
3.047809E+03	1.425792E-14	1.998310E-16
3.057769E+03	1.441737E-14	2.013601E-16
3.067729E+03	1.457854E-14	2.029067E-16
3.077689E+03	1.474186E-14	2.044768E-16
3.087649E+03	1.490838E-14	2.060846E-16
3.097610E+03	1.507791E-14	2.077274E-16
3.107570E+03	1.525124E-14	2.094155E-16
3.117530E+03	1.542850E-14	2.111502E-16
3.127490E+03	1.561106E-14	2.129501E-16
3.137450E+03	1.579843E-14	2.148077E-16
3.147410E+03	1.599137E-14	2.167330E-16
3.157371E+03	1.619064E-14	2.187354E-16
3.167331E+03	1.639663E-14	2.208198E-16
3.177291E+03	1.660915E-14	2.229827E-16
3.187251E+03	1.682953E-14	2.252414E-16
3.197211E+03	1.705751E-14	2.275914E-16
3.207171E+03	1.729375E-14	2.300409E-16
3.217131E+03	1.753825E-14	2.325891E-16
3.227092E+03	1.779163E-14	2.352433E-16
3.237052E+03	1.805410E-14	2.380056E-16
3.247012E+03	1.832588E-14	2.408777E-16
3.256972E+03	1.860678E-14	2.438566E-16
3.266932E+03	1.889718E-14	2.469463E-16
3.276892E+03	1.919709E-14	2.501462E-16
3.286853E+03	1.950610E-14	2.534502E-16
3.296813E+03	1.982436E-14	2.568594E-16
3.306773E+03	2.015128E-14	2.603654E-16
3.316733E+03	2.048678E-14	2.639668E-16
3.326693E+03	2.083006E-14	2.676524E-16
3.336653E+03	2.118050E-14	2.714140E-16
3.346614E+03	2.153736E-14	2.752416E-16
3.356574E+03	2.189982E-14	2.791246E-16
3.366534E+03	2.226697E-14	2.830511E-16
3.376494E+03	2.263752E-14	2.870047E-16
3.386454E+03	2.301080E-14	2.909770E-16
3.396414E+03	2.338521E-14	2.949477E-16
3.406375E+03	2.376050E-14	2.989144E-16
3.416335E+03	2.413527E-14	3.028595E-16
3.426295E+03	2.450886E-14	3.067755E-16
3.436255E+03	2.488081E-14	3.106569E-16
3.446215E+03	2.525032E-14	3.144946E-16
3.456175E+03	2.561704E-14	3.182848E-16
3.466135E+03	2.597860E-14	3.219988E-16
3.476096E+03	2.632904E-14	3.255638E-16
3.486056E+03	2.666086E-14	3.288889E-16
3.496016E+03	2.696580E-14	3.318744E-16
3.505976E+03	2.723624E-14	3.344288E-16
3.515936E+03	2.746337E-14	3.364469E-16
3.525896E+03	2.764015E-14	3.378462E-16
3.535857E+03	2.775947E-14	3.385435E-16
3.545817E+03	2.781524E-14	3.384692E-16
3.555777E+03	2.780169E-14	3.375577E-16
3.565737E+03	2.771454E-14	3.357625E-16
3.575697E+03	2.755165E-14	3.330627E-16
3.585657E+03	2.731130E-14	3.294434E-16
3.595618E+03	2.699524E-14	3.249306E-16
3.605578E+03	2.660690E-14	3.195711E-16
3.615538E+03	2.615211E-14	3.134396E-16
3.625498E+03	2.563977E-14	3.066471E-16
3.635458E+03	2.508175E-14	2.993389E-16
3.645418E+03	2.449178E-14	2.916815E-16
3.655378E+03	2.388639E-14	2.838731E-16
3.665339E+03	2.328236E-14	2.761134E-16
