#wls	flux	fluxerr
1.593625E+03	4.054872E-17	2.999470E-18
1.633466E+03	4.046973E-17	2.979800E-18
1.673307E+03	4.041994E-17	2.962069E-18
1.713147E+03	4.041507E-17	2.947394E-18
1.752988E+03	4.044929E-17	2.935304E-18
1.792829E+03	4.051368E-17	2.925115E-18
1.832669E+03	4.061836E-17	2.917517E-18
1.872510E+03	4.075803E-17	2.912088E-18
1.912351E+03	4.091966E-17	2.907861E-18
1.952191E+03	4.109814E-17	2.904449E-18
1.992032E+03	4.130797E-17	2.902852E-18
2.031873E+03	4.155759E-17	2.903619E-18
2.071713E+03	4.188675E-17	2.909465E-18
2.111554E+03	4.236093E-17	2.924812E-18
2.151394E+03	4.306542E-17	2.955330E-18
2.191235E+03	4.402923E-17	3.002700E-18
2.231076E+03	4.525264E-17	3.066602E-18
2.270916E+03	4.670047E-17	3.144320E-18
2.310757E+03	4.831677E-17	3.231805E-18
2.350598E+03	5.008057E-17	3.327429E-18
2.390438E+03	5.195825E-17	3.428763E-18
2.430279E+03	5.396721E-17	3.536783E-18
2.470120E+03	5.609364E-17	3.650403E-18
2.509960E+03	5.835886E-17	3.770833E-18
2.549801E+03	6.076968E-17	3.898313E-18
2.589641E+03	6.333287E-17	4.033073E-18
2.629482E+03	6.606422E-17	4.175902E-18
2.669323E+03	6.896495E-17	4.326649E-18
2.709163E+03	7.207593E-17	4.487636E-18
2.749004E+03	7.540304E-17	4.658950E-18
2.788845E+03	7.897222E-17	4.841906E-18
2.828685E+03	8.280111E-17	5.037274E-18
2.868526E+03	8.691920E-17	5.246518E-18
2.908367E+03	9.135854E-17	5.471213E-18
2.948207E+03	9.615432E-17	5.713076E-18
2.988048E+03	1.013455E-16	5.974005E-18
2.998008E+03	1.027036E-16	6.042080E-18
3.007968E+03	1.040903E-16	6.111539E-18
3.017928E+03	1.055060E-16	6.182398E-18
3.027888E+03	1.069514E-16	6.254694E-18
3.037849E+03	1.084272E-16	6.328459E-18
3.047809E+03	1.099344E-16	6.403745E-18
3.057769E+03	1.114752E-16	6.480665E-18
3.067729E+03	1.130498E-16	6.559226E-18
3.077689E+03	1.146588E-16	6.639449E-18
3.087649E+03	1.163024E-16	6.721346E-18
3.097610E+03	1.179814E-16	6.804942E-18
3.107570E+03	1.196962E-16	6.890256E-18
3.117530E+03	1.214473E-16	6.977309E-18
3.127490E+03	1.232354E-16	7.066130E-18
3.137450E+03	1.250612E-16	7.156748E-18
3.147410E+03	1.269254E-16	7.249188E-18
3.157371E+03	1.288413E-16	7.344215E-18
3.167331E+03	1.307844E-16	7.440404E-18
3.177291E+03	1.327811E-16	7.539256E-18
3.187251E+03	1.348194E-16	7.640078E-18
3.197211E+03	1.369003E-16	7.742912E-18
3.207171E+03	1.390380E-16	7.848555E-18
3.217131E+03	1.412070E-16	7.955544E-18
3.227092E+03	1.434349E-16	8.065443E-18
3.237052E+03	1.457096E-16	8.177545E-18
3.247012E+03	1.480460E-16	8.292678E-18
3.256972E+03	1.504178E-16	8.409355E-18
3.266932E+03	1.528539E-16	8.529186E-18
3.276892E+03	1.553560E-16	8.652248E-18
3.286853E+03	1.578974E-16	8.777036E-18
3.296813E+03	1.605078E-16	8.905201E-18
3.306773E+03	1.631891E-16	9.036825E-18
3.316733E+03	1.659288E-16	9.171200E-18
3.326693E+03	1.687283E-16	9.308396E-18
3.336653E+03	1.715895E-16	9.448506E-18
3.346614E+03	1.745442E-16	9.593265E-18
3.356574E+03	1.775497E-16	9.740303E-18
3.366534E+03	1.806382E-16	9.891383E-18
3.376494E+03	1.838121E-16	1.004662E-17
3.386454E+03	1.870587E-16	1.020529E-17
3.396414E+03	1.903959E-16	1.036837E-17
3.406375E+03	1.938106E-16	1.053512E-17
3.416335E+03	1.973217E-16	1.070656E-17
3.426295E+03	2.009319E-16	1.088281E-17
3.436255E+03	2.046284E-16	1.106316E-17
3.446215E+03	2.084141E-16	1.124776E-17
3.456175E+03	2.123253E-16	1.143854E-17
3.466135E+03	2.163322E-16	1.163388E-17
3.476096E+03	2.204532E-16	1.183475E-17
3.486056E+03	2.246726E-16	1.204029E-17
3.496016E+03	2.290085E-16	1.225145E-17
3.505976E+03	2.334621E-16	1.246828E-17
3.515936E+03	2.380348E-16	1.269084E-17
3.525896E+03	2.427278E-16	1.291917E-17
3.535857E+03	2.475244E-16	1.315236E-17
3.545817E+03	2.524433E-16	1.339141E-17
3.555777E+03	2.574857E-16	1.363635E-17
3.565737E+03	2.626526E-16	1.388721E-17
3.575697E+03	2.679262E-16	1.414306E-17
3.585657E+03	2.733447E-16	1.440587E-17
3.595618E+03	2.788712E-16	1.467370E-17
3.605578E+03	2.845445E-16	1.494856E-17
3.615538E+03	2.903269E-16	1.522846E-17
3.625498E+03	2.962381E-16	1.551443E-17
3.635458E+03	3.022786E-16	1.580646E-17
3.645418E+03	3.084489E-16	1.610458E-17
3.655378E+03	3.147494E-16	1.640879E-17
3.665339E+03	3.211803E-16	1.671909E-17
3.675299E+03	3.277418E-16	1.703548E-17
3.685259E+03	3.344340E-16	1.735795E-17
3.695219E+03	3.412568E-16	1.768650E-17
3.705179E+03	3.482101E-16	1.802109E-17
3.715139E+03	3.553152E-16	1.836284E-17
3.725100E+03	3.625289E-16	1.870948E-17
3.735060E+03	3.698718E-16	1.906211E-17
3.745020E+03	3.773436E-16	1.942067E-17
3.754980E+03	3.849433E-16	1.978512E-17
3.764940E+03	3.926701E-16	2.015543E-17
3.774900E+03	4.005229E-16	2.053152E-17
3.784861E+03	4.085237E-16	2.091453E-17
3.794821E+03	4.166250E-16	2.130203E-17
3.804781E+03	4.248484E-16	2.169512E-17
3.814741E+03	4.332159E-16	2.209493E-17
3.824701E+03	4.416784E-16	2.249895E-17
3.834661E+03	4.502818E-16	2.290955E-17
3.844622E+03	4.589756E-16	2.332415E-17
3.854582E+03	4.678063E-16	2.374512E-17
3.864542E+03	4.767223E-16	2.416986E-17
3.874502E+03	4.857454E-16	2.459949E-17
3.884462E+03	4.948982E-16	2.503517E-17
3.894422E+03	5.041272E-16	2.547419E-17
3.904382E+03	5.134545E-16	2.591771E-17
