#wls	flux	fluxerr
1.600000E+03	9.696303E-16	6.495969E-17
1.640000E+03	9.192643E-16	6.075949E-17
1.680000E+03	8.689557E-16	5.664933E-17
1.720000E+03	8.188371E-16	5.263898E-17
1.760000E+03	7.691318E-16	4.874336E-17
1.800000E+03	7.201228E-16	4.498016E-17
1.840000E+03	6.718621E-16	4.135169E-17
1.880000E+03	6.247412E-16	3.788048E-17
1.920000E+03	5.790317E-16	3.458032E-17
1.960000E+03	5.351326E-16	3.147132E-17
2.000000E+03	4.936249E-16	2.858254E-17
2.040000E+03	4.554910E-16	2.596365E-17
2.080000E+03	4.221782E-16	2.368677E-17
2.120000E+03	3.954666E-16	2.183722E-17
2.160000E+03	3.770225E-16	2.048794E-17
2.200000E+03	3.688064E-16	1.972209E-17
2.240000E+03	3.733256E-16	1.964546E-17
2.280000E+03	3.936546E-16	2.038557E-17
2.320000E+03	4.332503E-16	2.208066E-17
2.360000E+03	4.963962E-16	2.490120E-17
2.400000E+03	5.888581E-16	2.908011E-17
2.440000E+03	7.179281E-16	3.491039E-17
2.480000E+03	8.919490E-16	4.271849E-17
2.520000E+03	1.118741E-15	5.278850E-17
2.560000E+03	1.403553E-15	6.526988E-17
2.600000E+03	1.746661E-15	8.007683E-17
2.640000E+03	2.142920E-15	9.688529E-17
2.680000E+03	2.580995E-15	1.151147E-16
2.720000E+03	3.045849E-15	1.340545E-16
2.760000E+03	3.522746E-15	1.530452E-16
2.800000E+03	3.998740E-15	1.715386E-16
2.840000E+03	4.463530E-15	1.891261E-16
2.880000E+03	4.910070E-15	2.055552E-16
2.920000E+03	5.334098E-15	2.207005E-16
2.960000E+03	5.734819E-15	2.345835E-16
3.000000E+03	6.113378E-15	2.473031E-16
3.010000E+03	6.205064E-15	2.503275E-16
3.020000E+03	6.295527E-15	2.532894E-16
3.030000E+03	6.384814E-15	2.561913E-16
3.040000E+03	6.473260E-15	2.590472E-16
3.050000E+03	6.560773E-15	2.618539E-16
3.060000E+03	6.647402E-15	2.646137E-16
3.070000E+03	6.733339E-15	2.673346E-16
3.080000E+03	6.818484E-15	2.700127E-16
3.090000E+03	6.902877E-15	2.726501E-16
3.100000E+03	6.986844E-15	2.752598E-16
3.110000E+03	7.070125E-15	2.778317E-16
3.120000E+03	7.152886E-15	2.803726E-16
3.130000E+03	7.234997E-15	2.828775E-16
3.140000E+03	7.316891E-15	2.853635E-16
3.150000E+03	7.398129E-15	2.878136E-16
3.160000E+03	7.478832E-15	2.902326E-16
3.170000E+03	7.559110E-15	2.926250E-16
3.180000E+03	7.638909E-15	2.949887E-16
3.190000E+03	7.717874E-15	2.973102E-16
3.200000E+03	7.796347E-15	2.996028E-16
3.210000E+03	7.873930E-15	3.018514E-16
3.220000E+03	7.950636E-15	3.040566E-16
3.230000E+03	8.026166E-15	3.062072E-16
3.240000E+03	8.100481E-15	3.083021E-16
3.250000E+03	8.173369E-15	3.103334E-16
3.260000E+03	8.244592E-15	3.122924E-16
3.270000E+03	8.313738E-15	3.141640E-16
3.280000E+03	8.380643E-15	3.159426E-16
3.290000E+03	8.444970E-15	3.176157E-16
3.300000E+03	8.506203E-15	3.191650E-16
3.310000E+03	8.564071E-15	3.205807E-16
3.320000E+03	8.617984E-15	3.218419E-16
3.330000E+03	8.667591E-15	3.229362E-16
3.340000E+03	8.712224E-15	3.238400E-16
3.350000E+03	8.751316E-15	3.245335E-16
3.360000E+03	8.784258E-15	3.249954E-16
3.370000E+03	8.810404E-15	3.252035E-16
3.380000E+03	8.829076E-15	3.251344E-16
3.390000E+03	8.839433E-15	3.247590E-16
3.400000E+03	8.840870E-15	3.240572E-16
3.410000E+03	8.832388E-15	3.229947E-16
3.420000E+03	8.813496E-15	3.215560E-16
3.430000E+03	8.783230E-15	3.197086E-16
3.440000E+03	8.740936E-15	3.174314E-16
3.450000E+03	8.686076E-15	3.147080E-16
3.460000E+03	8.618183E-15	3.115245E-16
3.470000E+03	8.537321E-15	3.078865E-16
3.480000E+03	8.443848E-15	3.038100E-16
3.490000E+03	8.338977E-15	2.993413E-16
3.500000E+03	8.224527E-15	2.945483E-16
3.510000E+03	8.102416E-15	2.895015E-16
3.520000E+03	7.974838E-15	2.842810E-16
3.530000E+03	7.843569E-15	2.789508E-16
3.540000E+03	7.710725E-15	2.735870E-16
3.550000E+03	7.578127E-15	2.682541E-16
3.560000E+03	7.447582E-15	2.630156E-16
3.570000E+03	7.320606E-15	2.579244E-16
3.580000E+03	7.198703E-15	2.530323E-16
3.590000E+03	7.083448E-15	2.483932E-16
3.600000E+03	6.975995E-15	2.440455E-16
3.610000E+03	6.877758E-15	2.400367E-16
3.620000E+03	6.789929E-15	2.364058E-16
3.630000E+03	6.713586E-15	2.331877E-16
3.640000E+03	6.649862E-15	2.304186E-16
3.650000E+03	6.599946E-15	2.281365E-16
3.660000E+03	6.564883E-15	2.263737E-16
3.670000E+03	6.545934E-15	2.251699E-16
3.680000E+03	6.544087E-15	2.245550E-16
3.690000E+03	6.560561E-15	2.245662E-16
3.700000E+03	6.596513E-15	2.252383E-16
3.710000E+03	6.653185E-15	2.266086E-16
3.720000E+03	6.731675E-15	2.287090E-16
3.730000E+03	6.833214E-15	2.315757E-16
3.740000E+03	6.958922E-15	2.352404E-16
3.750000E+03	7.109928E-15	2.397350E-16
3.760000E+03	7.287177E-15	2.450845E-16
3.770000E+03	7.491527E-15	2.513109E-16
3.780000E+03	7.723538E-15	2.584258E-16
3.790000E+03	7.983467E-15	2.664303E-16
3.800000E+03	8.271435E-15	2.753210E-16
3.810000E+03	8.586719E-15	2.850666E-16
3.820000E+03	8.928397E-15	2.956291E-16
3.830000E+03	9.294985E-15	3.069524E-16
3.840000E+03	9.684134E-15	3.189524E-16
3.850000E+03	1.009304E-14	3.315311E-16
3.860000E+03	1.051840E-14	3.445745E-16
3.870000E+03	1.095630E-14	3.579507E-16
3.880000E+03	1.140235E-14	3.715128E-16
3.890000E+03	1.185174E-14	3.851028E-16
3.900000E+03	1.229970E-14	3.985647E-16
3.910000E+03	1.274129E-14	4.117397E-16
3.920000E+03	1.317176E-14	4.244758E-16
3.930000E+03	1.358660E-14	4.366319E-16
3.940000E+03	1.398171E-14	4.480806E-16
3.950000E+03	1.435364E-14	4.587172E-16
3.960000E+03	1.469937E-14	4.684518E-16
3.970000E+03	1.501635E-14	4.772110E-16
3.980000E+03	1.530301E-14	4.849532E-16
3.990000E+03	1.555797E-14	4.916426E-16
4.000000E+03	1.578057E-14	4.972684E-16
4.010000E+03	1.597054E-14	5.018303E-16
4.020000E+03	1.612774E-14	5.053340E-16
