#wls	flux	fluxerr
1.600000E+03	7.983682E-16	3.958726E-17
1.640000E+03	7.237199E-16	3.573725E-17
1.680000E+03	6.539100E-16	3.215409E-17
1.720000E+03	5.893519E-16	2.885561E-17
1.760000E+03	5.303936E-16	2.585596E-17
1.800000E+03	4.769915E-16	2.314994E-17
1.840000E+03	4.292459E-16	2.073921E-17
1.880000E+03	3.870074E-16	1.861326E-17
1.920000E+03	3.501245E-16	1.676152E-17
1.960000E+03	3.183864E-16	1.517066E-17
2.000000E+03	2.915903E-16	1.382781E-17
2.040000E+03	2.694737E-16	1.271741E-17
2.080000E+03	2.518465E-16	1.182750E-17
2.120000E+03	2.386305E-16	1.115142E-17
2.160000E+03	2.299148E-16	1.069036E-17
2.200000E+03	2.258907E-16	1.045006E-17
2.240000E+03	2.267965E-16	1.043822E-17
2.280000E+03	2.329530E-16	1.066603E-17
2.320000E+03	2.447181E-16	1.114601E-17
2.360000E+03	2.625599E-16	1.189524E-17
2.400000E+03	2.869319E-16	1.292957E-17
2.440000E+03	3.182214E-16	1.426138E-17
2.480000E+03	3.566559E-16	1.589541E-17
2.520000E+03	4.020975E-16	1.781987E-17
2.560000E+03	4.537169E-16	1.999246E-17
2.600000E+03	5.101609E-16	2.234863E-17
2.640000E+03	5.694081E-16	2.479596E-17
2.680000E+03	6.292872E-16	2.723755E-17
2.720000E+03	6.879911E-16	2.959435E-17
2.760000E+03	7.436974E-16	3.178859E-17
2.800000E+03	7.952319E-16	3.377200E-17
2.840000E+03	8.416119E-16	3.550575E-17
2.880000E+03	8.823411E-16	3.697260E-17
2.920000E+03	9.174892E-16	3.817956E-17
2.960000E+03	9.476697E-16	3.915619E-17
3.000000E+03	9.739609E-16	3.995050E-17
3.010000E+03	9.800768E-16	4.012710E-17
3.020000E+03	9.860647E-16	4.029723E-17
3.030000E+03	9.920101E-16	4.046438E-17
3.040000E+03	9.978740E-16	4.062698E-17
3.050000E+03	1.003679E-15	4.078592E-17
3.060000E+03	1.009450E-15	4.094228E-17
3.070000E+03	1.015273E-15	4.109949E-17
3.080000E+03	1.021171E-15	4.125848E-17
3.090000E+03	1.027108E-15	4.141777E-17
3.100000E+03	1.033169E-15	4.158076E-17
3.110000E+03	1.039380E-15	4.174843E-17
3.120000E+03	1.045763E-15	4.192167E-17
3.130000E+03	1.052344E-15	4.210143E-17
3.140000E+03	1.059205E-15	4.229095E-17
3.150000E+03	1.066311E-15	4.248872E-17
3.160000E+03	1.073684E-15	4.269561E-17
3.170000E+03	1.081406E-15	4.291477E-17
3.180000E+03	1.089501E-15	4.314703E-17
3.190000E+03	1.098048E-15	4.339540E-17
3.200000E+03	1.106950E-15	4.365601E-17
