#wls	flux	fluxerr
1.600000E+03	7.225804E-15	1.546420E-15
1.640000E+03	6.875884E-15	1.329035E-15
1.680000E+03	6.505909E-15	1.124319E-15
1.720000E+03	6.119690E-15	9.343028E-16
1.760000E+03	5.718027E-15	7.602116E-16
1.800000E+03	5.303369E-15	6.032785E-16
1.840000E+03	4.879013E-15	4.644934E-16
1.880000E+03	4.448008E-15	3.444390E-16
1.920000E+03	4.014903E-15	2.434417E-16
1.960000E+03	3.585713E-15	1.615315E-16
2.000000E+03	3.168112E-15	9.862179E-17
2.040000E+03	2.773476E-15	5.537865E-17
2.080000E+03	2.415362E-15	3.471407E-17
2.120000E+03	2.108968E-15	3.242796E-17
2.160000E+03	1.867317E-15	3.174907E-17
2.200000E+03	1.700152E-15	2.764648E-17
2.240000E+03	1.614682E-15	2.359953E-17
2.280000E+03	1.618271E-15	2.653942E-17
2.320000E+03	1.717381E-15	3.751082E-17
2.360000E+03	1.922564E-15	5.302102E-17
2.400000E+03	2.252555E-15	7.133492E-17
2.440000E+03	2.733886E-15	9.077955E-17
2.480000E+03	3.397338E-15	1.079289E-16
2.520000E+03	4.269819E-15	1.165902E-16
2.560000E+03	5.365197E-15	1.092246E-16
2.600000E+03	6.674822E-15	9.109293E-17
2.640000E+03	8.166358E-15	1.281594E-16
2.680000E+03	9.769378E-15	2.527890E-16
2.720000E+03	1.138378E-14	4.279327E-16
2.760000E+03	1.291104E-14	6.311169E-16
2.800000E+03	1.427174E-14	8.432991E-16
2.840000E+03	1.541434E-14	1.046089E-15
2.880000E+03	1.631574E-14	1.223412E-15
2.920000E+03	1.698046E-14	1.363377E-15
2.960000E+03	1.743507E-14	1.459116E-15
3.000000E+03	1.772168E-14	1.508621E-15
3.010000E+03	1.777286E-14	1.513921E-15
3.020000E+03	1.781760E-14	1.516502E-15
3.030000E+03	1.785669E-14	1.516427E-15
3.040000E+03	1.789131E-14	1.513801E-15
3.050000E+03	1.792187E-14	1.508668E-15
3.060000E+03	1.794917E-14	1.501111E-15
3.070000E+03	1.797477E-14	1.491281E-15
3.080000E+03	1.799868E-14	1.479201E-15
3.090000E+03	1.802245E-14	1.465025E-15
3.100000E+03	1.804645E-14	1.448813E-15
3.110000E+03	1.807146E-14	1.430654E-15
3.120000E+03	1.809895E-14	1.410696E-15
3.130000E+03	1.812892E-14	1.388967E-15
3.140000E+03	1.816246E-14	1.365581E-15
3.150000E+03	1.820029E-14	1.340618E-15
3.160000E+03	1.824344E-14	1.314181E-15
3.170000E+03	1.829226E-14	1.286318E-15
3.180000E+03	1.834776E-14	1.257122E-15
3.190000E+03	1.841061E-14	1.226658E-15
3.200000E+03	1.848112E-14	1.194964E-15
3.210000E+03	1.856028E-14	1.162120E-15
3.220000E+03	1.864904E-14	1.128197E-15
3.230000E+03	1.874737E-14	1.093206E-15
3.240000E+03	1.885655E-14	1.057233E-15
3.250000E+03	1.897655E-14	1.020287E-15
3.260000E+03	1.910891E-14	9.824649E-16
3.270000E+03	1.925330E-14	9.437634E-16
3.280000E+03	1.941062E-14	9.042500E-16
