#wls	flux	fluxerr
1.600000E+03	7.413307E-15	1.576363E-15
1.640000E+03	6.978830E-15	1.340581E-15
1.680000E+03	6.524994E-15	1.120982E-15
1.720000E+03	6.054306E-15	9.192479E-16
1.760000E+03	5.572396E-15	7.371517E-16
1.800000E+03	5.083241E-15	5.757043E-16
1.840000E+03	4.592851E-15	4.356627E-16
1.880000E+03	4.108743E-15	3.173180E-16
1.920000E+03	3.637744E-15	2.202809E-16
1.960000E+03	3.188687E-15	1.437740E-16
2.000000E+03	2.770538E-15	8.671099E-17
2.040000E+03	2.393190E-15	4.854523E-17
2.080000E+03	2.065792E-15	3.049880E-17
2.120000E+03	1.796531E-15	2.804304E-17
2.160000E+03	1.590480E-15	2.715235E-17
2.200000E+03	1.450450E-15	2.351365E-17
2.240000E+03	1.378629E-15	1.995223E-17
2.280000E+03	1.378244E-15	2.236561E-17
2.320000E+03	1.453149E-15	3.153394E-17
2.360000E+03	1.610809E-15	4.426185E-17
2.400000E+03	1.864191E-15	5.892564E-17
2.440000E+03	2.231547E-15	7.406844E-17
2.480000E+03	2.734682E-15	8.699655E-17
2.520000E+03	3.394148E-15	9.310715E-17
2.560000E+03	4.224418E-15	8.712321E-17
2.600000E+03	5.227261E-15	7.396112E-17
2.640000E+03	6.385818E-15	1.031716E-16
2.680000E+03	7.658587E-15	2.000292E-16
2.720000E+03	8.980740E-15	3.384641E-16
2.760000E+03	1.027462E-14	5.020189E-16
2.800000E+03	1.146381E-14	6.758253E-16
2.840000E+03	1.248571E-14	8.441666E-16
2.880000E+03	1.330038E-14	9.922633E-16
2.920000E+03	1.389365E-14	1.108424E-15
2.960000E+03	1.427601E-14	1.185488E-15
3.000000E+03	1.447741E-14	1.221114E-15
3.010000E+03	1.450470E-14	1.223719E-15
3.020000E+03	1.452374E-14	1.223869E-15
3.030000E+03	1.453589E-14	1.221687E-15
3.040000E+03	1.454153E-14	1.217220E-15
3.050000E+03	1.454171E-14	1.210579E-15
3.060000E+03	1.453745E-14	1.201879E-15
3.070000E+03	1.452888E-14	1.191164E-15
3.080000E+03	1.451763E-14	1.178608E-15
