#wls	flux	fluxerr	mangling_mask
3.450000E+03	8.269855E-16	7.955794E-17	9.029015E-16
3.452000E+03	8.237892E-16	7.952316E-17	9.029015E-16
3.454000E+03	8.225252E-16	7.950943E-17	9.029015E-16
3.456000E+03	8.182635E-16	7.946330E-17	9.029015E-16
3.458000E+03	8.172161E-16	7.945200E-17	9.029015E-16
3.460000E+03	8.152659E-16	7.943098E-17	9.029015E-16
3.462000E+03	8.134330E-16	7.941127E-17	9.029015E-16
3.464000E+03	8.149589E-16	7.942768E-17	9.029015E-16
3.466000E+03	8.140921E-16	7.941835E-17	9.029015E-16
3.468000E+03	8.149860E-16	7.942797E-17	9.029015E-16
3.470000E+03	8.159972E-16	7.943886E-17	9.029015E-16
3.472000E+03	8.174689E-16	7.945472E-17	9.029015E-16
3.474000E+03	8.172613E-16	7.945248E-17	9.029015E-16
3.476000E+03	8.204575E-16	7.921222E-17	9.029015E-16
3.478000E+03	8.228863E-16	7.959502E-17	9.029015E-16
3.480000E+03	8.257756E-16	8.392405E-17	9.029015E-16
3.482000E+03	8.276537E-16	8.359101E-17	9.029015E-16
3.484000E+03	8.284121E-16	8.225159E-17	9.029015E-16
3.486000E+03	8.319424E-16	8.042234E-17	9.029015E-16
3.488000E+03	8.357978E-16	8.174351E-17	9.029015E-16
3.490000E+03	8.421904E-16	8.038038E-17	9.029015E-16
3.492000E+03	8.472737E-16	7.422175E-17	9.029015E-16
3.494000E+03	8.517340E-16	7.429706E-17	9.029015E-16
3.496000E+03	8.558964E-16	7.254287E-17	9.029015E-16
3.498000E+03	8.628668E-16	7.248943E-17	9.029015E-16
3.500000E+03	8.672549E-16	7.269670E-17	9.029015E-16
3.502000E+03	8.751463E-16	7.392008E-17	9.029015E-16
3.504000E+03	8.822973E-16	7.389842E-17	9.029015E-16
3.506000E+03	8.920937E-16	7.130275E-17	9.029015E-16
3.508000E+03	8.981161E-16	7.566633E-17	9.029015E-16
3.510000E+03	9.050684E-16	7.702134E-17	9.029015E-16
3.512000E+03	9.112985E-16	7.914902E-17	9.029015E-16
3.514000E+03	9.187022E-16	7.643211E-17	9.029015E-16
3.516000E+03	9.261963E-16	7.127456E-17	9.029015E-16
3.518000E+03	9.378438E-16	7.370633E-17	9.029015E-16
3.520000E+03	9.481368E-16	8.156912E-17	9.029015E-16
3.522000E+03	9.564435E-16	8.062426E-17	9.029015E-16
3.524000E+03	9.649308E-16	7.859499E-17	9.029015E-16
3.526000E+03	9.749530E-16	8.530166E-17	9.029015E-16
3.528000E+03	9.834403E-16	8.527729E-17	9.029015E-16
3.530000E+03	9.931916E-16	8.256087E-17	9.029015E-16
3.532000E+03	1.000595E-15	8.775633E-17	9.029015E-16
3.534000E+03	1.008992E-15	8.769286E-17	9.029015E-16
3.536000E+03	1.018653E-15	8.841775E-17	9.029015E-16
3.538000E+03	1.029037E-15	8.933065E-17	9.029015E-16
3.540000E+03	1.040142E-15	9.027993E-17	9.029015E-16
3.542000E+03	1.048810E-15	9.117882E-17	9.029015E-16
3.544000E+03	1.058652E-15	9.110224E-17	9.029015E-16
3.546000E+03	1.068132E-15	9.107037E-17	9.029015E-16
3.548000E+03	1.078245E-15	9.116524E-17	9.029015E-16
3.550000E+03	1.088719E-15	9.315871E-17	9.029015E-16
3.552000E+03	1.096845E-15	9.117308E-17	9.029015E-16
3.554000E+03	1.105964E-15	9.101206E-17	9.029015E-16
3.556000E+03	1.116257E-15	9.059537E-17	9.029015E-16
3.558000E+03	1.126640E-15	8.781140E-17	9.029015E-16
3.560000E+03	1.135308E-15	9.195844E-17	9.029015E-16
3.562000E+03	1.145511E-15	9.039423E-17	9.029015E-16
3.564000E+03	1.155985E-15	8.909687E-17	9.029015E-16
3.566000E+03	1.162486E-15	9.154615E-17	9.029015E-16
3.568000E+03	1.173140E-15	8.996553E-17	9.029015E-16
3.570000E+03	1.182711E-15	8.059341E-17	9.029015E-16
3.572000E+03	1.190746E-15	7.715132E-17	9.029015E-16
3.574000E+03	1.198602E-15	8.012108E-17	9.029015E-16
3.576000E+03	1.203929E-15	7.670445E-17	9.029015E-16
3.578000E+03	1.214222E-15	8.050994E-17	9.029015E-16
3.580000E+03	1.219459E-15	8.110975E-17	9.029015E-16
3.582000E+03	1.221084E-15	8.959123E-17	9.029015E-16
3.584000E+03	1.221355E-15	8.972150E-17	9.029015E-16
3.586000E+03	1.221265E-15	8.907162E-17	9.029015E-16
3.588000E+03	1.221987E-15	8.653913E-17	9.029015E-16
3.590000E+03	1.224425E-15	8.582087E-17	9.029015E-16
3.592000E+03	1.219098E-15	8.417831E-17	9.029015E-16
3.594000E+03	1.213680E-15	9.396488E-17	9.029015E-16
3.596000E+03	1.208443E-15	9.801581E-17	9.029015E-16
3.598000E+03	1.206547E-15	9.809482E-17	9.029015E-16
3.600000E+03	1.203658E-15	9.362348E-17	9.029015E-16
3.602000E+03	1.199866E-15	9.511920E-17	9.029015E-16
3.604000E+03	1.195171E-15	9.486096E-17	9.029015E-16
3.606000E+03	1.187045E-15	9.482486E-17	9.029015E-16
3.608000E+03	1.180634E-15	9.651191E-17	9.029015E-16
3.610000E+03	1.176481E-15	9.176632E-17	9.029015E-16
3.612000E+03	1.171515E-15	9.171775E-17	9.029015E-16
3.614000E+03	1.166639E-15	9.107462E-17	9.029015E-16
3.616000E+03	1.162666E-15	9.033875E-17	9.029015E-16
3.618000E+03	1.159687E-15	9.600581E-17	9.029015E-16
3.620000E+03	1.156978E-15	9.814790E-17	9.029015E-16
3.622000E+03	1.155714E-15	1.004739E-16	9.029015E-16
3.624000E+03	1.152734E-15	1.014531E-16	9.029015E-16
3.626000E+03	1.152193E-15	1.005992E-16	9.029015E-16
3.628000E+03	1.156707E-15	1.060641E-16	9.029015E-16
3.630000E+03	1.162937E-15	1.115399E-16	9.029015E-16
3.632000E+03	1.168264E-15	1.028219E-16	9.029015E-16
3.634000E+03	1.172418E-15	1.054358E-16	9.029015E-16
3.636000E+03	1.177564E-15	1.051509E-16	9.029015E-16
3.638000E+03	1.185058E-15	1.087621E-16	9.029015E-16
3.640000E+03	1.194448E-15	1.088360E-16	9.029015E-16
3.642000E+03	1.206006E-15	1.114602E-16	9.029015E-16
3.644000E+03	1.217563E-15	1.004892E-16	9.029015E-16
3.646000E+03	1.227314E-15	9.007403E-17	9.029015E-16
3.648000E+03	1.239955E-15	8.798964E-17	9.029015E-16
3.650000E+03	1.255665E-15	8.548815E-17	9.029015E-16
3.652000E+03	1.275258E-15	7.652777E-17	9.029015E-16
3.654000E+03	1.295664E-15	8.882352E-17	9.029015E-16
3.656000E+03	1.315979E-15	8.974346E-17	9.029015E-16
3.658000E+03	1.340267E-15	9.232174E-17	9.029015E-16
3.660000E+03	1.363742E-15	9.421250E-17	9.029015E-16
3.662000E+03	1.391281E-15	9.570352E-17	9.029015E-16
3.664000E+03	1.421799E-15	1.037086E-16	9.029015E-16
3.666000E+03	1.448615E-15	1.103560E-16	9.029015E-16
3.668000E+03	1.479494E-15	1.114447E-16	9.029015E-16
3.670000E+03	1.510644E-15	1.117522E-16	9.029015E-16
3.672000E+03	1.541704E-15	1.114125E-16	9.029015E-16
3.674000E+03	1.572493E-15	1.140793E-16	9.029015E-16
3.676000E+03	1.607706E-15	1.162448E-16	9.029015E-16
3.678000E+03	1.639489E-15	1.157135E-16	9.029015E-16
3.680000E+03	1.670548E-15	1.116102E-16	9.029015E-16
3.682000E+03	1.700434E-15	1.111010E-16	9.029015E-16
3.684000E+03	1.729779E-15	1.084668E-16	9.029015E-16
