#wls	flux	fluxerr
1.586043E+03	1.007814E-01	7.223538E-03
1.625694E+03	9.338851E-02	6.652748E-03
1.665345E+03	8.630243E-02	6.109347E-03
1.704996E+03	7.955691E-02	5.595485E-03
1.744647E+03	7.318926E-02	5.113486E-03
1.784298E+03	6.723665E-02	4.665575E-03
1.823949E+03	6.170853E-02	4.251978E-03
1.863600E+03	5.663941E-02	3.874593E-03
1.903251E+03	5.204382E-02	3.533869E-03
1.942902E+03	4.793598E-02	3.230181E-03
1.982554E+03	4.432726E-02	2.963654E-03
2.022205E+03	4.123412E-02	2.734699E-03
2.061856E+03	3.866942E-02	2.543422E-03
2.101507E+03	3.664522E-02	2.389821E-03
2.141158E+03	3.518416E-02	2.274515E-03
2.180809E+03	3.430286E-02	2.197651E-03
2.220460E+03	3.402317E-02	2.159634E-03
2.260111E+03	3.437268E-02	2.161141E-03
2.299762E+03	3.538380E-02	2.203039E-03
2.339413E+03	3.709458E-02	2.286425E-03
2.379064E+03	3.954345E-02	2.412275E-03
2.418715E+03	4.276363E-02	2.581108E-03
2.458366E+03	4.678212E-02	2.792936E-03
2.498017E+03	5.160009E-02	3.046124E-03
2.537669E+03	5.719322E-02	3.337493E-03
2.577320E+03	6.349406E-02	3.661394E-03
2.616971E+03	7.039699E-02	4.010146E-03
2.656622E+03	7.775399E-02	4.373937E-03
2.696273E+03	8.538688E-02	4.741675E-03
2.735924E+03	9.309934E-02	5.101774E-03
2.775575E+03	1.006878E-01	5.442827E-03
2.815226E+03	1.079579E-01	5.754530E-03
2.854877E+03	1.147428E-01	6.028644E-03
2.894528E+03	1.209013E-01	6.258795E-03
2.934179E+03	1.263456E-01	6.441813E-03
2.973830E+03	1.310192E-01	6.576431E-03
2.983743E+03	1.320688E-01	6.602811E-03
2.993656E+03	1.330679E-01	6.626182E-03
3.003569E+03	1.340165E-01	6.646577E-03
3.013481E+03	1.349207E-01	6.664331E-03
3.023394E+03	1.357779E-01	6.679338E-03
3.033307E+03	1.365886E-01	6.691648E-03
3.043220E+03	1.373561E-01	6.701459E-03
3.053132E+03	1.380783E-01	6.708685E-03
3.063045E+03	1.387559E-01	6.713391E-03
3.072958E+03	1.393955E-01	6.715924E-03
3.082871E+03	1.399922E-01	6.716076E-03
3.092784E+03	1.405500E-01	6.714056E-03
3.102696E+03	1.410671E-01	6.709808E-03
3.112609E+03	1.415531E-01	6.703811E-03
3.122522E+03	1.420008E-01	6.695744E-03
3.132435E+03	1.424143E-01	6.685824E-03
3.142347E+03	1.427976E-01	6.674261E-03
3.152260E+03	1.431520E-01	6.661136E-03
3.162173E+03	1.434735E-01	6.646284E-03
3.172086E+03	1.437717E-01	6.630161E-03
