#wls	flux	fluxerr
1.586043E+03	4.736965E-02	3.046894E-03
1.625694E+03	4.359144E-02	2.758108E-03
1.665345E+03	3.995256E-02	2.485879E-03
1.704996E+03	3.647478E-02	2.231147E-03
1.744647E+03	3.318037E-02	1.994782E-03
1.784298E+03	3.008412E-02	1.777102E-03
1.823949E+03	2.720027E-02	1.578325E-03
1.863600E+03	2.453866E-02	1.398349E-03
1.903251E+03	2.210319E-02	1.236693E-03
1.942902E+03	1.989701E-02	1.092812E-03
1.982554E+03	1.792058E-02	9.660026E-04
2.022205E+03	1.617294E-02	8.554856E-04
2.061856E+03	1.465215E-02	7.604377E-04
2.101507E+03	1.336981E-02	6.807386E-04
2.141158E+03	1.237291E-02	6.180020E-04
2.180809E+03	1.170538E-02	5.735255E-04
2.220460E+03	1.140306E-02	5.480778E-04
2.260111E+03	1.150692E-02	5.425727E-04
2.299762E+03	1.204282E-02	5.571190E-04
2.339413E+03	1.303238E-02	5.915751E-04
2.379064E+03	1.451698E-02	6.466455E-04
2.418715E+03	1.655364E-02	7.236294E-04
2.458366E+03	1.920642E-02	8.239879E-04
2.498017E+03	2.253362E-02	9.487811E-04
2.537669E+03	2.656487E-02	1.097745E-03
2.577320E+03	3.128144E-02	1.268605E-03
2.616971E+03	3.659416E-02	1.456379E-03
2.656622E+03	4.239179E-02	1.655519E-03
2.696273E+03	4.856554E-02	1.860916E-03
2.735924E+03	5.498067E-02	2.066819E-03
2.775575E+03	6.148662E-02	2.267287E-03
2.815226E+03	6.792470E-02	2.456518E-03
2.854877E+03	7.414349E-02	2.629416E-03
2.894528E+03	8.002351E-02	2.782417E-03
2.934179E+03	8.549919E-02	2.914122E-03
2.973830E+03	9.055056E-02	3.024835E-03
2.983743E+03	9.174779E-02	3.049374E-03
2.993656E+03	9.292346E-02	3.072844E-03
3.003569E+03	9.407333E-02	3.095119E-03
3.013481E+03	9.519982E-02	3.116294E-03
3.023394E+03	9.630756E-02	3.136533E-03
3.033307E+03	9.739277E-02	3.155726E-03
3.043220E+03	9.846036E-02	3.174046E-03
3.053132E+03	9.951104E-02	3.191526E-03
3.063045E+03	1.005457E-01	3.208205E-03
3.072958E+03	1.015654E-01	3.224123E-03
3.082871E+03	1.025753E-01	3.239453E-03
3.092784E+03	1.035746E-01	3.254174E-03
3.102696E+03	1.045667E-01	3.268397E-03
3.112609E+03	1.055530E-01	3.282171E-03
3.122522E+03	1.065350E-01	3.295545E-03
3.132435E+03	1.075165E-01	3.308636E-03
3.142347E+03	1.085011E-01	3.321560E-03
3.152260E+03	1.094867E-01	3.334247E-03
3.162173E+03	1.104812E-01	3.346941E-03
3.172086E+03	1.114847E-01	3.359638E-03
3.181998E+03	1.125013E-01	3.372458E-03
3.191911E+03	1.135332E-01	3.385463E-03
3.201824E+03	1.145809E-01	3.398660E-03
3.211737E+03	1.156526E-01	3.412287E-03
3.221649E+03	1.167452E-01	3.426239E-03
3.231562E+03	1.178671E-01	3.440757E-03
3.241475E+03	1.190212E-01	3.455911E-03
3.251388E+03	1.202066E-01	3.471664E-03
3.261301E+03	1.214322E-01	3.488256E-03
3.271213E+03	1.226975E-01	3.505656E-03
3.281126E+03	1.240078E-01	3.524000E-03
3.291039E+03	1.253666E-01	3.543370E-03
3.300952E+03	1.267796E-01	3.563905E-03
3.310864E+03	1.282489E-01	3.585641E-03
3.320777E+03	1.297786E-01	3.608671E-03
3.330690E+03	1.313730E-01	3.633089E-03
3.340603E+03	1.330386E-01	3.659049E-03
3.350515E+03	1.347782E-01	3.686598E-03
3.360428E+03	1.365966E-01	3.715838E-03
3.370341E+03	1.384992E-01	3.746887E-03
3.380254E+03	1.404893E-01	3.779800E-03
3.390167E+03	1.425726E-01	3.814695E-03
3.400079E+03	1.447550E-01	3.851692E-03
3.409992E+03	1.470405E-01	3.890863E-03
3.419905E+03	1.494354E-01	3.932332E-03
3.429818E+03	1.519444E-01	3.976186E-03
3.439730E+03	1.545725E-01	4.022507E-03
3.449643E+03	1.573235E-01	4.071354E-03
3.459556E+03	1.601939E-01	4.122593E-03
3.469469E+03	1.631818E-01	4.176134E-03
3.479381E+03	1.662816E-01	4.231792E-03
3.489294E+03	1.694836E-01	4.289287E-03
3.499207E+03	1.727684E-01	4.348098E-03
3.509120E+03	1.761195E-01	4.407793E-03
3.519033E+03	1.795130E-01	4.467757E-03
3.528945E+03	1.829169E-01	4.527195E-03
3.538858E+03	1.863028E-01	4.585407E-03
3.548771E+03	1.896396E-01	4.641648E-03
3.558684E+03	1.928967E-01	4.695198E-03
3.568596E+03	1.960415E-01	4.745306E-03
3.578509E+03	1.990494E-01	4.791434E-03
3.588422E+03	2.019011E-01	4.833179E-03
3.598335E+03	2.045933E-01	4.870530E-03
3.608247E+03	2.071364E-01	4.903801E-03
3.618160E+03	2.095382E-01	4.933239E-03
3.628073E+03	2.118102E-01	4.959174E-03
3.637986E+03	2.139693E-01	4.982056E-03
3.647898E+03	2.160417E-01	5.002535E-03
3.657811E+03	2.180552E-01	5.021288E-03
3.667724E+03	2.200491E-01	5.039233E-03
3.677637E+03	2.220703E-01	5.057439E-03
3.687550E+03	2.241775E-01	5.077220E-03
3.697462E+03	2.264355E-01	5.099998E-03
3.707375E+03	2.289096E-01	5.127174E-03
3.717288E+03	2.316840E-01	5.160536E-03
3.727201E+03	2.348319E-01	5.201590E-03
3.737113E+03	2.384341E-01	5.251972E-03
3.747026E+03	2.425695E-01	5.313242E-03
3.756939E+03	2.473160E-01	5.386893E-03
3.766852E+03	2.527244E-01	5.473798E-03
3.776764E+03	2.588413E-01	5.574717E-03
3.786677E+03	2.657102E-01	5.690321E-03
3.796590E+03	2.733356E-01	5.820429E-03
3.806503E+03	2.817086E-01	5.964578E-03
3.816416E+03	2.908103E-01	6.122097E-03
3.826328E+03	3.005731E-01	6.291307E-03
3.836241E+03	3.109038E-01	6.470028E-03
3.846154E+03	3.216940E-01	6.655812E-03
3.856067E+03	3.328090E-01	6.845725E-03
3.865979E+03	3.440880E-01	7.036361E-03
3.875892E+03	3.553562E-01	7.224114E-03
3.885805E+03	3.664354E-01	7.405384E-03
3.895718E+03	3.771393E-01	7.576503E-03
3.905630E+03	3.872760E-01	7.733779E-03
3.915543E+03	3.967080E-01	7.874690E-03
3.925456E+03	4.053045E-01	7.996914E-03
3.935369E+03	4.129695E-01	8.098880E-03
3.945282E+03	4.196919E-01	8.180710E-03
3.955194E+03	4.255006E-01	8.243310E-03
3.965107E+03	4.304411E-01	8.287898E-03
3.975020E+03	4.346150E-01	8.316737E-03
3.984933E+03	4.381336E-01	8.332231E-03
3.994845E+03	4.411225E-01	8.337001E-03
4.004758E+03	4.436906E-01	8.333299E-03
4.014671E+03	4.459584E-01	8.323540E-03
4.024584E+03	4.480251E-01	8.309690E-03
4.034496E+03	4.499431E-01	8.292805E-03
4.044409E+03	4.517513E-01	8.273677E-03
