#wls	flux	fluxerr
1.586043E+03	8.015686E-03	5.919932E-04
1.625694E+03	7.451265E-03	5.406643E-04
1.665345E+03	6.858299E-03	4.886937E-04
1.704996E+03	6.250386E-03	4.371755E-04
1.744647E+03	5.639825E-03	3.870404E-04
1.784298E+03	5.032877E-03	3.387434E-04
1.823949E+03	4.435704E-03	2.926949E-04
1.863600E+03	3.854635E-03	2.492777E-04
1.903251E+03	3.296988E-03	2.088972E-04
1.942902E+03	2.773283E-03	1.721134E-04
1.982554E+03	2.298052E-03	1.396698E-04
2.022205E+03	1.889420E-03	1.124453E-04
2.061856E+03	1.565112E-03	9.120381E-05
2.101507E+03	1.337093E-03	7.629736E-05
2.141158E+03	1.208566E-03	6.754169E-05
2.180809E+03	1.172499E-03	6.419361E-05
2.220460E+03	1.218966E-03	6.540801E-05
2.260111E+03	1.343172E-03	7.067621E-05
2.299762E+03	1.546064E-03	7.983064E-05
2.339413E+03	1.834476E-03	9.301477E-05
2.379064E+03	2.222648E-03	1.107311E-04
2.418715E+03	2.730772E-03	1.337405E-04
2.458366E+03	3.382807E-03	1.629327E-04
2.498017E+03	4.203407E-03	1.991651E-04
2.537669E+03	5.212521E-03	2.430077E-04
2.577320E+03	6.419786E-03	2.944999E-04
2.616971E+03	7.817822E-03	3.528812E-04
2.656622E+03	9.390534E-03	4.170167E-04
2.696273E+03	1.111848E-02	4.856583E-04
2.735924E+03	1.297281E-02	5.571947E-04
2.775575E+03	1.491714E-02	6.297684E-04
2.815226E+03	1.690941E-02	7.013827E-04
2.854877E+03	1.890577E-02	7.700932E-04
2.894528E+03	2.086762E-02	8.343025E-04
2.934179E+03	2.276853E-02	8.930249E-04
2.973830E+03	2.459394E-02	9.458377E-04
2.983743E+03	2.503767E-02	9.581090E-04
2.993656E+03	2.547738E-02	9.700540E-04
3.003569E+03	2.591180E-02	9.816279E-04
3.013481E+03	2.634219E-02	9.928826E-04
3.023394E+03	2.677238E-02	1.003965E-03
3.033307E+03	2.720403E-02	1.014938E-03
3.043220E+03	2.763772E-02	1.025825E-03
3.053132E+03	2.807293E-02	1.036607E-03
3.063045E+03	2.850921E-02	1.047269E-03
3.072958E+03	2.894620E-02	1.057798E-03
3.082871E+03	2.938480E-02	1.068226E-03
3.092784E+03	2.982422E-02	1.078522E-03
3.102696E+03	3.026492E-02	1.088703E-03
3.112609E+03	3.070685E-02	1.098765E-03
3.122522E+03	3.115001E-02	1.108707E-03
3.132435E+03	3.159509E-02	1.118552E-03
3.142347E+03	3.204286E-02	1.128326E-03
3.152260E+03	3.249234E-02	1.137993E-03
3.162173E+03	3.294564E-02	1.147625E-03
3.172086E+03	3.340254E-02	1.157213E-03
3.181998E+03	3.386407E-02	1.166788E-03
3.191911E+03	3.433076E-02	1.176368E-03
