#wls	flux	fluxerr
1.586043E+03	8.606856E-04	8.355391E-05
1.625694E+03	8.685886E-04	8.406244E-05
1.665345E+03	8.715818E-04	8.408581E-05
1.704996E+03	8.694942E-04	8.361191E-05
1.744647E+03	8.623466E-04	8.264740E-05
1.784298E+03	8.489054E-04	8.107939E-05
1.823949E+03	8.280702E-04	7.880956E-05
1.863600E+03	7.984167E-04	7.571077E-05
1.903251E+03	7.592330E-04	7.172553E-05
1.942902E+03	7.107540E-04	6.688703E-05
1.982554E+03	6.555065E-04	6.144342E-05
2.022205E+03	5.989710E-04	5.591530E-05
2.061856E+03	5.495805E-04	5.108954E-05
2.101507E+03	5.165932E-04	4.781599E-05
2.141158E+03	5.067733E-04	4.669911E-05
2.180809E+03	5.223033E-04	4.791078E-05
2.220460E+03	5.602363E-04	5.114946E-05
2.260111E+03	6.148876E-04	5.586851E-05
2.299762E+03	6.797867E-04	6.145912E-05
2.339413E+03	7.491450E-04	6.738465E-05
2.379064E+03	8.189588E-04	7.327843E-05
2.418715E+03	8.870365E-04	7.894244E-05
2.458366E+03	9.521414E-04	8.426744E-05
2.498017E+03	1.014140E-03	8.924380E-05
2.537669E+03	1.073185E-03	9.388749E-05
2.577320E+03	1.129442E-03	9.821521E-05
2.616971E+03	1.183696E-03	1.022973E-04
2.656622E+03	1.236371E-03	1.061714E-04
2.696273E+03	1.287638E-03	1.098526E-04
2.735924E+03	1.338007E-03	1.133848E-04
2.775575E+03	1.387943E-03	1.168067E-04
2.815226E+03	1.437648E-03	1.201340E-04
2.854877E+03	1.487704E-03	1.234136E-04
2.894528E+03	1.538220E-03	1.266521E-04
2.934179E+03	1.589923E-03	1.299059E-04
2.973830E+03	1.642847E-03	1.331737E-04
2.983743E+03	1.656485E-03	1.340098E-04
2.993656E+03	1.670017E-03	1.348316E-04
3.003569E+03	1.683890E-03	1.356753E-04
3.013481E+03	1.697927E-03	1.365263E-04
3.023394E+03	1.712293E-03	1.373978E-04
3.033307E+03	1.727161E-03	1.383035E-04
3.043220E+03	1.742706E-03	1.392570E-04
3.053132E+03	1.758654E-03	1.402361E-04
3.063045E+03	1.774961E-03	1.412370E-04
3.072958E+03	1.791584E-03	1.422563E-04
3.082871E+03	1.808943E-03	1.433268E-04
3.092784E+03	1.826318E-03	1.443914E-04
3.102696E+03	1.844364E-03	1.455015E-04
3.112609E+03	1.862363E-03	1.466003E-04
3.122522E+03	1.880976E-03	1.477399E-04
3.132435E+03	1.899720E-03	1.488817E-04
3.142347E+03	1.919032E-03	1.500601E-04
3.152260E+03	1.938430E-03	1.512369E-04
3.162173E+03	1.958125E-03	1.524286E-04
3.172086E+03	1.978099E-03	1.536335E-04
3.181998E+03	1.998567E-03	1.548683E-04
3.191911E+03	2.019051E-03	1.560954E-04
3.201824E+03	2.040001E-03	1.573497E-04
3.211737E+03	2.061403E-03	1.586297E-04
3.221649E+03	2.083014E-03	1.599166E-04
3.231562E+03	2.104824E-03	1.612093E-04
3.241475E+03	2.127053E-03	1.625246E-04
3.251388E+03	2.149693E-03	1.638616E-04
3.261301E+03	2.172502E-03	1.652016E-04
3.271213E+03	2.195937E-03	1.665791E-04
3.281126E+03	2.219759E-03	1.679755E-04
3.291039E+03	2.243725E-03	1.693725E-04
3.300952E+03	2.268528E-03	1.708220E-04
3.310864E+03	2.293463E-03	1.722704E-04
3.320777E+03	2.318987E-03	1.737520E-04
3.330690E+03	2.344863E-03	1.752486E-04
3.340603E+03	2.371546E-03	1.767941E-04
3.350515E+03	2.398568E-03	1.783529E-04
3.360428E+03	2.426154E-03	1.799415E-04
3.370341E+03	2.454295E-03	1.815590E-04
3.380254E+03	2.482987E-03	1.832046E-04
3.390167E+03	2.512453E-03	1.848944E-04
3.400079E+03	2.542453E-03	1.866103E-04
3.409992E+03	2.573213E-03	1.883685E-04
3.419905E+03	2.604723E-03	1.901677E-04
3.429818E+03	2.636748E-03	1.919903E-04
3.439730E+03	2.669734E-03	1.938684E-04
3.449643E+03	2.703446E-03	1.957844E-04
3.459556E+03	2.737874E-03	1.977369E-04
3.469469E+03	2.773011E-03	1.997251E-04
3.479381E+03	2.809072E-03	2.017639E-04
3.489294E+03	2.846047E-03	2.038520E-04
3.499207E+03	2.883925E-03	2.059879E-04
3.509120E+03	2.922695E-03	2.081704E-04
3.519033E+03	2.962569E-03	2.104138E-04
3.528945E+03	3.003088E-03	2.126850E-04
3.538858E+03	3.044687E-03	2.150141E-04
3.548771E+03	3.087352E-03	2.173996E-04
3.558684E+03	3.131068E-03	2.198396E-04
3.568596E+03	3.175824E-03	2.223326E-04
3.578509E+03	3.221603E-03	2.248769E-04
3.588422E+03	3.268610E-03	2.274858E-04
3.598335E+03	3.316611E-03	2.301426E-04
3.608247E+03	3.365809E-03	2.328603E-04
3.618160E+03	3.416187E-03	2.356371E-04
3.628073E+03	3.467513E-03	2.384563E-04
3.637986E+03	3.520200E-03	2.413455E-04
3.647898E+03	3.574231E-03	2.443026E-04
3.657811E+03	3.629160E-03	2.472964E-04
3.667724E+03	3.685609E-03	2.503684E-04
3.677637E+03	3.743133E-03	2.534875E-04
3.687550E+03	3.802137E-03	2.566804E-04
3.697462E+03	3.862181E-03	2.599163E-04
3.707375E+03	3.923663E-03	2.632215E-04
3.717288E+03	3.986356E-03	2.665795E-04
3.727201E+03	4.050448E-03	2.700021E-04
3.737113E+03	4.115918E-03	2.734871E-04
3.747026E+03	4.182537E-03	2.770183E-04
3.756939E+03	4.250699E-03	2.806209E-04
3.766852E+03	4.319970E-03	2.842654E-04
3.776764E+03	4.390740E-03	2.879765E-04
3.786677E+03	4.462783E-03	2.917385E-04
