#wls	flux	fluxerr
1.586043E+03	4.633725E-16	3.422207E-17
1.625694E+03	4.316236E-16	3.131864E-17
1.665345E+03	3.978534E-16	2.834937E-17
1.704996E+03	3.628996E-16	2.538256E-17
1.744647E+03	3.275304E-16	2.247721E-17
1.784298E+03	2.921431E-16	1.966302E-17
1.823949E+03	2.571279E-16	1.696687E-17
1.863600E+03	2.228951E-16	1.441453E-17
1.903251E+03	1.899264E-16	1.203374E-17
1.942902E+03	1.589057E-16	9.861886E-18
1.982554E+03	1.307607E-16	7.947302E-18
2.022205E+03	1.066207E-16	6.345331E-18
2.061856E+03	8.755745E-17	5.102236E-18
2.101507E+03	7.425551E-17	4.237178E-18
2.141158E+03	6.685230E-17	3.736093E-18
2.180809E+03	6.490092E-17	3.553288E-18
2.220460E+03	6.781828E-17	3.639034E-18
2.260111E+03	7.533781E-17	3.964192E-18
2.299762E+03	8.754033E-17	4.520123E-18
2.339413E+03	1.048587E-16	5.316727E-18
2.379064E+03	1.281668E-16	6.385199E-18
2.418715E+03	1.587015E-16	7.772465E-18
2.458366E+03	1.979379E-16	9.533668E-18
2.498017E+03	2.474071E-16	1.172260E-17
2.537669E+03	3.083713E-16	1.437627E-17
2.577320E+03	3.814817E-16	1.750001E-17
2.616971E+03	4.663654E-16	2.105083E-17
2.656622E+03	5.621086E-16	2.496223E-17
2.696273E+03	6.675758E-16	2.915989E-17
2.735924E+03	7.810479E-16	3.354676E-17
2.775575E+03	9.003338E-16	3.801007E-17
2.815226E+03	1.022878E-15	4.242782E-17
2.854877E+03	1.146004E-15	4.668044E-17
2.894528E+03	1.267332E-15	5.066885E-17
2.934179E+03	1.385218E-15	5.433086E-17
2.973830E+03	1.498733E-15	5.763850E-17
2.983743E+03	1.526373E-15	5.840927E-17
2.993656E+03	1.553780E-15	5.916037E-17
3.003569E+03	1.580876E-15	5.988902E-17
3.013481E+03	1.607737E-15	6.059838E-17
3.023394E+03	1.634596E-15	6.129738E-17
3.033307E+03	1.661565E-15	6.199031E-17
3.043220E+03	1.688655E-15	6.267758E-17
3.053132E+03	1.715890E-15	6.336012E-17
3.063045E+03	1.743237E-15	6.403680E-17
3.072958E+03	1.770671E-15	6.470665E-17
3.082871E+03	1.798243E-15	6.537151E-17
3.092784E+03	1.825900E-15	6.602931E-17
3.102696E+03	1.853666E-15	6.668088E-17
3.112609E+03	1.881536E-15	6.732588E-17
3.122522E+03	1.909507E-15	6.796414E-17
3.132435E+03	1.937618E-15	6.859695E-17
3.142347E+03	1.965913E-15	6.922575E-17
