#wls	flux	fluxerr
1.586043E+03	1.639672E-16	2.297843E-17
1.625694E+03	1.620581E-16	2.259336E-17
1.665345E+03	1.592134E-16	2.207860E-17
1.704996E+03	1.554466E-16	2.143817E-17
1.744647E+03	1.507991E-16	2.068002E-17
1.784298E+03	1.451480E-16	1.978964E-17
1.823949E+03	1.383680E-16	1.875269E-17
1.863600E+03	1.303451E-16	1.755693E-17
1.903251E+03	1.210207E-16	1.619800E-17
1.942902E+03	1.105661E-16	1.470253E-17
1.982554E+03	9.945005E-17	1.313592E-17
2.022205E+03	8.861057E-17	1.162362E-17
2.061856E+03	7.937015E-17	1.033774E-17
2.101507E+03	7.304137E-17	9.444082E-18
2.141158E+03	7.053744E-17	9.051896E-18
2.180809E+03	7.201430E-17	9.170045E-18
2.220460E+03	7.702803E-17	9.730503E-18
2.260111E+03	8.471504E-17	1.061398E-17
2.299762E+03	9.412095E-17	1.169311E-17
2.339413E+03	1.044045E-16	1.285820E-17
2.379064E+03	1.149906E-16	1.403550E-17
2.418715E+03	1.255005E-16	1.517748E-17
2.458366E+03	1.357863E-16	1.626594E-17
2.498017E+03	1.457883E-16	1.729384E-17
2.537669E+03	1.555297E-16	1.826417E-17
2.577320E+03	1.650850E-16	1.918582E-17
2.616971E+03	1.744814E-16	2.006188E-17
2.656622E+03	1.838220E-16	2.090400E-17
2.696273E+03	1.931440E-16	2.171589E-17
2.735924E+03	2.025581E-16	2.250921E-17
2.775575E+03	2.121039E-16	2.328727E-17
2.815226E+03	2.218537E-16	2.405669E-17
2.854877E+03	2.317402E-16	2.480873E-17
2.894528E+03	2.417717E-16	2.554296E-17
2.934179E+03	2.518582E-16	2.624872E-17
2.973830E+03	2.620568E-16	2.693091E-17
2.983743E+03	2.646194E-16	2.709717E-17
2.993656E+03	2.671708E-16	2.726000E-17
3.003569E+03	2.697556E-16	2.742397E-17
3.013481E+03	2.723360E-16	2.758516E-17
3.023394E+03	2.749609E-16	2.774853E-17
3.033307E+03	2.776599E-16	2.791698E-17
3.043220E+03	2.804203E-16	2.808915E-17
3.053132E+03	2.832206E-16	2.826281E-17
3.063045E+03	2.860983E-16	2.844164E-17
3.072958E+03	2.890230E-16	2.862251E-17
3.082871E+03	2.919875E-16	2.880467E-17
3.092784E+03	2.949853E-16	2.898742E-17
3.102696E+03	2.980332E-16	2.917234E-17
3.112609E+03	3.010797E-16	2.935433E-17
3.122522E+03	3.041883E-16	2.953959E-17
3.132435E+03	3.072851E-16	2.972085E-17
3.142347E+03	3.104347E-16	2.990435E-17
3.152260E+03	3.135868E-16	3.008519E-17
3.162173E+03	3.167374E-16	3.026296E-17
3.172086E+03	3.199291E-16	3.044173E-17
3.181998E+03	3.231356E-16	3.061892E-17
3.191911E+03	3.263537E-16	3.079422E-17
3.201824E+03	3.295802E-16	3.096729E-17
3.211737E+03	3.328129E-16	3.113792E-17
3.221649E+03	3.360725E-16	3.130801E-17
3.231562E+03	3.393334E-16	3.147514E-17
3.241475E+03	3.426398E-16	3.164338E-17
3.251388E+03	3.459430E-16	3.180821E-17
3.261301E+03	3.492885E-16	3.197375E-17
3.271213E+03	3.526505E-16	3.213760E-17
3.281126E+03	3.560506E-16	3.230171E-17
3.291039E+03	3.594644E-16	3.246380E-17
3.300952E+03	3.629365E-16	3.262787E-17
3.310864E+03	3.664424E-16	3.279162E-17
3.320777E+03	3.699801E-16	3.295484E-17
3.330690E+03	3.735951E-16	3.312152E-17
3.340603E+03	3.772622E-16	3.328931E-17
3.350515E+03	3.809802E-16	3.345805E-17
3.360428E+03	3.847705E-16	3.362952E-17
3.370341E+03	3.886545E-16	3.380550E-17
3.380254E+03	3.926301E-16	3.398568E-17
3.390167E+03	3.966961E-16	3.416982E-17
3.400079E+03	4.008728E-16	3.435954E-17
3.409992E+03	4.051582E-16	3.455453E-17
3.419905E+03	4.095729E-16	3.475637E-17
3.429818E+03	4.141375E-16	3.496664E-17
3.439730E+03	4.188258E-16	3.518295E-17
3.449643E+03	4.237034E-16	3.541060E-17
3.459556E+03	4.287672E-16	3.564907E-17
3.469469E+03	4.340129E-16	3.589777E-17
3.479381E+03	4.394599E-16	3.615806E-17
3.489294E+03	4.451033E-16	3.642926E-17
3.499207E+03	4.510069E-16	3.671629E-17
3.509120E+03	4.571200E-16	3.701471E-17
3.519033E+03	4.634602E-16	3.732565E-17
3.528945E+03	4.700230E-16	3.764845E-17
3.538858E+03	4.768021E-16	3.798230E-17
3.548771E+03	4.837926E-16	3.832653E-17
3.558684E+03	4.909671E-16	3.867868E-17
3.568596E+03	4.983204E-16	3.903811E-17
3.578509E+03	5.058254E-16	3.940245E-17
3.588422E+03	5.134989E-16	3.977281E-17
3.598335E+03	5.213140E-16	4.014687E-17
3.608247E+03	5.292665E-16	4.052414E-17
3.618160E+03	5.373081E-16	4.090075E-17
3.628073E+03	5.454782E-16	4.127955E-17
3.637986E+03	5.537296E-16	4.165683E-17
3.647898E+03	5.620587E-16	4.203218E-17
3.657811E+03	5.704418E-16	4.240373E-17
3.667724E+03	5.788965E-16	4.277272E-17
3.677637E+03	5.873993E-16	4.313729E-17
3.687550E+03	5.959271E-16	4.349570E-17
3.697462E+03	6.044776E-16	4.384773E-17
3.707375E+03	6.130492E-16	4.419324E-17
3.717288E+03	6.216196E-16	4.453059E-17
3.727201E+03	6.301875E-16	4.485969E-17
3.737113E+03	6.387513E-16	4.518043E-17
3.747026E+03	6.472901E-16	4.549134E-17
3.756939E+03	6.558026E-16	4.579237E-17
3.766852E+03	6.642691E-16	4.608219E-17
3.776764E+03	6.726887E-16	4.636080E-17
3.786677E+03	6.810615E-16	4.662828E-17
3.796590E+03	6.893681E-16	4.688339E-17
3.806503E+03	6.976083E-16	4.712620E-17
3.816416E+03	7.057639E-16	4.735561E-17
3.826328E+03	7.138356E-16	4.757178E-17
3.836241E+03	7.218237E-16	4.777486E-17
3.846154E+03	7.297111E-16	4.796387E-17
3.856067E+03	7.374985E-16	4.813901E-17
3.865979E+03	7.451693E-16	4.829936E-17
3.875892E+03	7.527251E-16	4.844520E-17
3.885805E+03	7.601676E-16	4.857683E-17
3.895718E+03	7.674803E-16	4.869340E-17
3.905630E+03	7.746480E-16	4.879415E-17
3.915543E+03	7.816906E-16	4.888056E-17
3.925456E+03	7.885930E-16	4.895190E-17
3.935369E+03	7.953403E-16	4.900749E-17
3.945282E+03	8.019356E-16	4.904777E-17
3.955194E+03	8.083640E-16	4.907210E-17
3.965107E+03	8.146466E-16	4.908201E-17
3.975020E+03	8.207695E-16	4.907694E-17
3.984933E+03	8.267189E-16	4.905633E-17
3.994845E+03	8.324814E-16	4.901970E-17
4.004758E+03	8.380952E-16	4.896958E-17
4.014671E+03	8.435133E-16	4.890352E-17
4.024584E+03	8.487571E-16	4.882309E-17
4.034496E+03	8.538136E-16	4.872785E-17
4.044409E+03	8.586877E-16	4.861841E-17
4.054322E+03	8.633836E-16	4.849531E-17
4.064235E+03	8.678895E-16	4.835824E-17
4.074148E+03	8.722102E-16	4.820779E-17
4.084060E+03	8.763344E-16	4.804368E-17
4.093973E+03	8.802670E-16	4.786652E-17
4.103886E+03	8.840129E-16	4.767694E-17
4.113799E+03	8.875770E-16	4.747552E-17
4.123711E+03	8.909492E-16	4.726209E-17
4.133624E+03	8.941338E-16	4.703721E-17
4.143537E+03	8.971519E-16	4.680235E-17
4.153450E+03	8.999780E-16	4.655651E-17
4.163362E+03	9.026323E-16	4.630108E-17
4.173275E+03	9.051052E-16	4.603592E-17
4.183188E+03	9.074169E-16	4.576240E-17
4.193101E+03	9.095726E-16	4.548109E-17
4.203013E+03	9.115632E-16	4.519187E-17
4.212926E+03	9.134228E-16	4.489675E-17
4.222839E+03	9.151275E-16	4.459486E-17
4.232752E+03	9.167121E-16	4.428820E-17
4.242665E+03	9.181815E-16	4.397730E-17
4.252577E+03	9.195409E-16	4.366266E-17
4.262490E+03	9.208096E-16	4.334547E-17
4.272403E+03	9.219932E-16	4.302625E-17
4.282316E+03	9.231106E-16	4.270610E-17
4.292228E+03	9.241671E-16	4.238551E-17
4.302141E+03	9.252095E-16	4.206680E-17
4.312054E+03	9.262148E-16	4.174911E-17
4.321967E+03	9.272301E-16	4.143474E-17
4.331879E+03	9.282599E-16	4.112403E-17
4.341792E+03	9.293367E-16	4.081854E-17
4.351705E+03	9.304655E-16	4.051860E-17
4.361618E+03	9.316782E-16	4.022569E-17
4.371531E+03	9.329934E-16	3.994067E-17
4.381443E+03	9.344296E-16	3.966436E-17
4.391356E+03	9.359922E-16	3.939688E-17
4.401269E+03	9.377276E-16	3.914005E-17
4.411182E+03	9.396298E-16	3.889344E-17
4.421094E+03	9.416932E-16	3.865666E-17
4.431007E+03	9.439261E-16	3.842992E-17
4.440920E+03	9.463363E-16	3.821337E-17
4.450833E+03	9.488816E-16	3.800517E-17
4.460745E+03	9.515968E-16	3.780660E-17
4.470658E+03	9.544407E-16	3.761592E-17
4.480571E+03	9.574489E-16	3.743442E-17
4.490484E+03	9.605934E-16	3.726092E-17
4.500397E+03	9.638728E-16	3.709528E-17
4.510309E+03	9.672980E-16	3.693785E-17
4.520222E+03	9.708679E-16	3.678851E-17
4.530135E+03	9.745690E-16	3.664670E-17
4.540048E+03	9.784258E-16	3.651328E-17
4.549960E+03	9.824248E-16	3.638769E-17
4.559873E+03	9.865789E-16	3.627036E-17
4.569786E+03	9.908870E-16	3.616122E-17
4.579699E+03	9.953499E-16	3.606026E-17
4.589611E+03	9.999794E-16	3.596787E-17
4.599524E+03	1.004788E-15	3.588449E-17
4.609437E+03	1.009776E-15	3.581010E-17
4.619350E+03	1.014969E-15	3.574553E-17
4.629262E+03	1.020353E-15	3.569035E-17
4.639175E+03	1.025955E-15	3.564541E-17
4.649088E+03	1.031785E-15	3.561111E-17
4.659001E+03	1.037870E-15	3.558830E-17
4.668914E+03	1.044207E-15	3.557693E-17
4.678826E+03	1.050836E-15	3.557825E-17
4.688739E+03	1.057753E-15	3.559224E-17
4.698652E+03	1.064998E-15	3.562011E-17
4.708565E+03	1.072581E-15	3.566226E-17
4.718477E+03	1.080526E-15	3.571946E-17
4.728390E+03	1.088858E-15	3.579252E-17
4.738303E+03	1.097601E-15	3.588223E-17
4.748216E+03	1.106767E-15	3.598897E-17
4.758128E+03	1.116367E-15	3.611314E-17
4.768041E+03	1.126413E-15	3.625514E-17
4.777954E+03	1.136905E-15	3.641498E-17
4.787867E+03	1.147840E-15	3.659268E-17
4.797780E+03	1.159218E-15	3.678827E-17
4.807692E+03	1.171076E-15	3.700303E-17
4.817605E+03	1.183388E-15	3.723618E-17
4.827518E+03	1.196188E-15	3.748898E-17
4.837431E+03	1.209457E-15	3.776064E-17
4.847343E+03	1.223209E-15	3.805144E-17
4.857256E+03	1.237434E-15	3.836083E-17
4.867169E+03	1.252146E-15	3.868907E-17
4.877082E+03	1.267348E-15	3.903599E-17
4.886994E+03	1.283026E-15	3.940099E-17
4.896907E+03	1.299196E-15	3.978433E-17
4.906820E+03	1.315858E-15	4.018580E-17
4.916733E+03	1.332998E-15	4.060479E-17
4.926646E+03	1.350646E-15	4.104194E-17
4.936558E+03	1.368772E-15	4.149617E-17
4.946471E+03	1.387404E-15	4.196810E-17
4.956384E+03	1.406527E-15	4.245708E-17
4.966297E+03	1.426155E-15	4.296328E-17
4.976209E+03	1.446270E-15	4.348597E-17
4.986122E+03	1.466885E-15	4.402533E-17
4.996035E+03	1.487983E-15	4.458060E-17
5.005948E+03	1.509590E-15	4.515239E-17
5.015860E+03	1.531688E-15	4.573992E-17
5.025773E+03	1.554272E-15	4.634280E-17
5.035686E+03	1.577336E-15	4.696070E-17
5.045599E+03	1.600891E-15	4.759372E-17
5.055511E+03	1.624914E-15	4.824094E-17
5.065424E+03	1.649415E-15	4.890245E-17
5.075337E+03	1.674385E-15	4.957781E-17
5.085250E+03	1.699798E-15	5.026605E-17
5.095163E+03	1.725679E-15	5.096772E-17
5.105075E+03	1.751982E-15	5.168126E-17
5.114988E+03	1.778732E-15	5.240720E-17
5.124901E+03	1.805897E-15	5.314448E-17
5.134814E+03	1.833464E-15	5.389251E-17
5.144726E+03	1.861419E-15	5.465069E-17
5.154639E+03	1.889764E-15	5.541897E-17
5.164552E+03	1.918463E-15	5.619614E-17
5.174465E+03	1.947498E-15	5.698155E-17
5.184377E+03	1.976869E-15	5.777507E-17
5.194290E+03	2.006557E-15	5.857600E-17
5.204203E+03	2.036519E-15	5.938303E-17
5.214116E+03	2.066732E-15	6.019540E-17
5.224029E+03	2.097193E-15	6.101293E-17
5.233941E+03	2.127877E-15	6.183485E-17
5.243854E+03	2.158736E-15	6.265973E-17
5.253767E+03	2.189762E-15	6.348735E-17
5.263680E+03	2.220907E-15	6.431624E-17
5.273592E+03	2.252139E-15	6.514552E-17
5.283505E+03	2.283448E-15	6.597498E-17
5.293418E+03	2.314781E-15	6.680308E-17
5.303331E+03	2.346127E-15	6.762960E-17
5.313243E+03	2.377428E-15	6.845297E-17
5.323156E+03	2.408649E-15	6.927227E-17
5.333069E+03	2.439778E-15	7.008730E-17
5.342982E+03	2.470729E-15	7.089576E-17
