#wls	flux	fluxerr
1.600000E+03	3.462407E-15	2.557137E-16
1.640000E+03	3.159734E-15	2.292705E-16
1.680000E+03	2.872152E-15	2.046575E-16
1.720000E+03	2.600889E-15	1.819160E-16
1.760000E+03	2.347154E-15	1.610765E-16
1.800000E+03	2.111569E-15	1.421215E-16
1.840000E+03	1.894688E-15	1.250231E-16
1.880000E+03	1.696732E-15	1.097270E-16
1.920000E+03	1.517503E-15	9.614903E-17
1.960000E+03	1.356758E-15	8.420209E-17
2.000000E+03	1.214079E-15	7.378867E-17
2.040000E+03	1.088977E-15	6.480843E-17
2.080000E+03	9.809211E-16	5.716123E-17
2.120000E+03	8.903160E-16	5.080333E-17
2.160000E+03	8.199382E-16	4.582289E-17
2.200000E+03	7.724027E-16	4.228860E-17
2.240000E+03	7.498363E-16	4.023516E-17
2.280000E+03	7.547533E-16	3.971428E-17
2.320000E+03	7.887569E-16	4.072726E-17
2.360000E+03	8.532016E-16	4.326050E-17
2.400000E+03	9.508481E-16	4.737073E-17
2.440000E+03	1.085626E-15	5.316890E-17
2.480000E+03	1.262065E-15	6.078729E-17
2.520000E+03	1.484456E-15	7.033625E-17
2.560000E+03	1.755315E-15	8.183277E-17
2.600000E+03	2.074032E-15	9.514369E-17
2.640000E+03	2.435317E-15	1.099255E-16
2.680000E+03	2.832318E-15	1.257782E-16
2.720000E+03	3.258197E-15	1.423189E-16
2.760000E+03	3.704201E-15	1.590990E-16
2.800000E+03	4.160285E-15	1.756379E-16
2.840000E+03	4.615609E-15	1.914501E-16
2.880000E+03	5.059569E-15	2.060926E-16
2.920000E+03	5.483519E-15	2.192350E-16
2.960000E+03	5.882338E-15	2.307164E-16
3.000000E+03	6.254040E-15	2.405189E-16
3.010000E+03	6.342712E-15	2.427147E-16
3.020000E+03	6.429992E-15	2.448227E-16
3.030000E+03	6.515578E-15	2.468325E-16
3.040000E+03	6.599629E-15	2.487514E-16
3.050000E+03	6.682461E-15	2.505924E-16
3.060000E+03	6.763803E-15	2.523465E-16
3.070000E+03	6.843989E-15	2.540274E-16
3.080000E+03	6.923064E-15	2.556377E-16
3.090000E+03	7.001085E-15	2.571807E-16
3.100000E+03	7.078115E-15	2.586597E-16
3.110000E+03	7.154526E-15	2.600884E-16
3.120000E+03	7.230254E-15	2.614649E-16
3.130000E+03	7.305534E-15	2.627978E-16
3.140000E+03	7.380469E-15	2.640909E-16
3.150000E+03	7.455167E-15	2.653480E-16
3.160000E+03	7.529884E-15	2.665784E-16
3.170000E+03	7.604888E-15	2.677912E-16
3.180000E+03	7.680025E-15	2.689808E-16
3.190000E+03	7.755859E-15	2.701669E-16
3.200000E+03	7.832395E-15	2.713490E-16
3.210000E+03	7.909928E-15	2.725370E-16
3.220000E+03	7.988618E-15	2.737358E-16
3.230000E+03	8.068502E-15	2.749461E-16
3.240000E+03	8.150171E-15	2.761872E-16
3.250000E+03	8.233405E-15	2.774510E-16
3.260000E+03	8.318813E-15	2.787570E-16
3.270000E+03	8.406600E-15	2.801111E-16
3.280000E+03	8.496717E-15	2.815105E-16
3.290000E+03	8.589797E-15	2.829751E-16
3.300000E+03	8.685815E-15	2.845027E-16
3.310000E+03	8.785157E-15	2.861047E-16
3.320000E+03	8.888090E-15	2.877881E-16
3.330000E+03	8.995024E-15	2.895647E-16
3.340000E+03	9.106120E-15	2.914381E-16
3.350000E+03	9.221686E-15	2.934162E-16
3.360000E+03	9.342050E-15	2.955076E-16
3.370000E+03	9.467668E-15	2.977249E-16
3.380000E+03	9.598770E-15	3.000730E-16
3.390000E+03	9.735726E-15	3.025615E-16
3.400000E+03	9.878932E-15	3.052003E-16
3.410000E+03	1.002864E-14	3.079948E-16
3.420000E+03	1.018529E-14	3.109564E-16
3.430000E+03	1.034931E-14	3.140952E-16
3.440000E+03	1.052101E-14	3.174185E-16
3.450000E+03	1.070089E-14	3.209384E-16
3.460000E+03	1.088931E-14	3.246628E-16
3.470000E+03	1.108661E-14	3.285997E-16
3.480000E+03	1.129314E-14	3.327563E-16
3.490000E+03	1.150867E-14	3.371234E-16
3.500000E+03	8.572036E-15	2.496379E-16
3.500774E+03	8.609254E-15	2.506087E-16
3.501548E+03	8.646143E-15	2.515690E-16
3.502322E+03	8.682701E-15	2.525189E-16
3.503096E+03	8.721058E-15	2.535202E-16
3.503870E+03	8.761927E-15	2.545936E-16
3.504644E+03	8.803177E-15	2.556771E-16
3.505419E+03	8.841971E-15	2.566881E-16
3.506193E+03	8.880787E-15	2.576991E-16
3.506967E+03	8.922829E-15	2.588027E-16
3.507741E+03	8.966678E-15	2.599576E-16
3.508515E+03	9.010557E-15	2.611125E-16
3.509289E+03	9.054821E-15	2.622774E-16
3.510063E+03	9.095907E-15	2.633493E-16
3.510837E+03	9.139516E-15	2.644932E-16
3.511611E+03	9.187788E-15	2.657710E-16
3.512385E+03	9.242868E-15	2.672444E-16
3.513159E+03	9.292991E-15	2.685733E-16
3.513933E+03	9.348142E-15	2.700463E-16
3.514707E+03	9.399048E-15	2.713954E-16
3.515482E+03	9.450706E-15	2.727648E-16
3.516256E+03	9.507038E-15	2.742680E-16
3.517030E+03	9.565553E-15	2.758328E-16
3.517804E+03	9.624107E-15	2.773974E-16
3.518578E+03	9.685920E-15	2.790544E-16
3.519352E+03	9.749206E-15	2.807524E-16
3.520126E+03	9.816114E-15	2.825531E-16
3.520900E+03	9.881993E-15	2.843227E-16
3.521674E+03	9.950065E-15	2.861538E-16
3.522448E+03	1.001496E-14	2.878918E-16
3.523222E+03	1.008276E-14	2.897119E-16
3.523997E+03	1.015313E-14	2.916039E-16
3.524771E+03	1.022210E-14	2.934543E-16
3.525545E+03	1.028826E-14	2.952223E-16
3.526319E+03	1.035983E-14	2.971442E-16
3.527093E+03	1.043218E-14	2.990866E-16
3.527867E+03	1.050421E-14	3.010181E-16
3.528641E+03	1.057881E-14	3.030215E-16
3.529415E+03	1.065094E-14	3.049526E-16
3.530189E+03	1.072348E-14	3.068934E-16
3.530963E+03	1.080074E-14	3.089679E-16
3.531737E+03	1.088022E-14	3.111039E-16
3.532511E+03	1.096119E-14	3.132807E-16
3.533285E+03	1.103754E-14	3.153234E-16
3.534060E+03	1.111393E-14	3.173655E-16
3.534834E+03	1.119362E-14	3.195001E-16
3.535608E+03	1.127661E-14	3.217271E-16
3.536382E+03	1.135785E-14	3.239019E-16
3.537156E+03	1.143806E-14	3.260458E-16
3.537930E+03	1.151255E-14	3.280249E-16
3.538704E+03	1.159215E-14	3.301476E-16
3.539478E+03	1.167360E-14	3.323213E-16
3.540252E+03	1.175077E-14	3.343712E-16
3.541026E+03	1.182799E-14	3.364208E-16
3.541800E+03	1.191684E-14	3.387992E-16
3.542575E+03	1.199995E-14	3.410125E-16
3.543348E+03	1.207986E-14	3.431333E-16
3.544123E+03	1.215911E-14	3.452331E-16
3.544897E+03	1.223732E-14	3.473017E-16
3.545671E+03	1.231920E-14	3.494726E-16
3.546445E+03	1.240258E-14	3.516842E-16
3.547219E+03	1.248204E-14	3.537827E-16
3.547993E+03	1.256625E-14	3.560143E-16
3.548767E+03	1.264835E-14	3.581838E-16
3.549541E+03	1.273086E-14	3.603634E-16
3.550315E+03	1.281161E-14	3.624913E-16
3.551089E+03	1.288914E-14	3.645263E-16
3.551863E+03	1.296746E-14	3.665817E-16
3.552637E+03	1.304073E-14	3.684928E-16
3.553411E+03	1.311369E-14	3.703934E-16
3.554186E+03	1.318852E-14	3.723453E-16
3.554960E+03	1.326411E-14	3.743170E-16
3.555734E+03	1.334012E-14	3.762987E-16
3.556508E+03	1.341290E-14	3.781879E-16
3.557282E+03	1.349119E-14	3.802306E-16
3.558056E+03	1.356625E-14	3.821807E-16
3.558830E+03	1.363772E-14	3.840280E-16
3.559604E+03	1.370740E-14	3.858234E-16
3.560378E+03	1.378151E-14	3.877417E-16
3.561152E+03	1.385274E-14	3.895778E-16
3.561926E+03	1.392292E-14	3.913825E-16
3.562700E+03	1.398804E-14	3.930436E-16
3.563475E+03	1.405137E-14	3.946528E-16
3.564249E+03	1.412314E-14	3.964978E-16
3.565023E+03	1.419057E-14	3.982195E-16
