#wls	flux	fluxerr
1.600000E+03	1.721536E-15	9.734339E-17
1.640000E+03	1.636827E-15	9.206849E-17
1.680000E+03	1.556681E-15	8.708893E-17
1.720000E+03	1.480960E-15	8.239430E-17
1.760000E+03	1.410334E-15	7.801893E-17
1.800000E+03	1.344554E-15	7.394571E-17
1.840000E+03	1.283753E-15	7.017829E-17
1.880000E+03	1.227996E-15	6.671651E-17
1.920000E+03	1.177452E-15	6.356551E-17
1.960000E+03	1.132074E-15	6.071828E-17
2.000000E+03	1.091779E-15	5.816586E-17
2.040000E+03	1.056600E-15	5.590536E-17
2.080000E+03	1.026526E-15	5.393132E-17
2.120000E+03	1.001522E-15	5.223672E-17
2.160000E+03	9.817613E-16	5.082532E-17
2.200000E+03	9.669323E-16	4.967536E-17
2.240000E+03	9.571820E-16	4.878879E-17
2.280000E+03	9.523237E-16	4.815021E-17
2.320000E+03	9.524896E-16	4.776030E-17
2.360000E+03	9.574155E-16	4.759959E-17
2.400000E+03	9.671508E-16	4.766431E-17
2.440000E+03	9.814721E-16	4.793706E-17
2.480000E+03	1.000359E-15	4.841041E-17
2.520000E+03	1.023706E-15	4.907281E-17
2.560000E+03	1.051332E-15	4.990897E-17
2.600000E+03	1.083231E-15	5.091209E-17
2.640000E+03	1.119228E-15	5.206725E-17
2.680000E+03	1.159392E-15	5.337101E-17
2.720000E+03	1.203541E-15	5.480815E-17
2.760000E+03	1.251647E-15	5.637064E-17
2.800000E+03	1.303595E-15	5.804651E-17
2.840000E+03	1.359270E-15	5.982379E-17
2.880000E+03	1.418625E-15	6.169372E-17
2.920000E+03	1.481456E-15	6.364077E-17
2.960000E+03	1.548104E-15	6.567289E-17
3.000000E+03	1.618981E-15	6.780015E-17
3.010000E+03	1.637483E-15	6.835099E-17
3.020000E+03	1.656236E-15	6.890659E-17
3.030000E+03	1.675315E-15	6.946994E-17
3.040000E+03	1.694715E-15	7.004070E-17
3.050000E+03	1.714511E-15	7.062174E-17
3.060000E+03	1.734697E-15	7.121269E-17
3.070000E+03	1.755195E-15	7.181016E-17
3.080000E+03	1.776151E-15	7.242000E-17
3.090000E+03	1.797488E-15	7.303882E-17
3.100000E+03	1.819275E-15	7.366929E-17
3.110000E+03	1.841434E-15	7.430805E-17
3.120000E+03	1.864112E-15	7.496082E-17
3.130000E+03	1.887229E-15	7.562417E-17
3.140000E+03	1.910857E-15	7.630078E-17
3.150000E+03	1.934991E-15	7.699021E-17
3.160000E+03	1.959626E-15	7.769204E-17
3.170000E+03	1.984833E-15	7.840889E-17
3.180000E+03	2.010608E-15	7.914026E-17
3.190000E+03	2.036944E-15	7.988570E-17
3.200000E+03	2.063913E-15	8.064776E-17
3.210000E+03	2.091509E-15	8.142591E-17
3.220000E+03	2.119726E-15	8.221963E-17
3.230000E+03	2.148635E-15	8.303137E-17
3.240000E+03	2.178229E-15	8.386060E-17
3.250000E+03	2.208502E-15	8.470676E-17
3.260000E+03	2.239522E-15	8.557217E-17
3.270000E+03	2.271359E-15	8.645910E-17
3.280000E+03	2.303930E-15	8.736411E-17
3.290000E+03	2.337377E-15	8.829221E-17
3.300000E+03	2.371546E-15	8.923722E-17
3.310000E+03	2.406651E-15	9.020684E-17
3.320000E+03	2.442611E-15	9.119763E-17
3.330000E+03	2.479419E-15	9.220898E-17
