#wls	flux	fluxerr
1.600000E+03	5.936891E-15	1.713608E-15
1.640000E+03	5.499342E-15	1.502026E-15
1.680000E+03	5.080347E-15	1.310292E-15
1.720000E+03	4.681838E-15	1.138081E-15
1.760000E+03	4.305958E-15	9.849615E-16
1.800000E+03	3.954840E-15	8.503301E-16
1.840000E+03	3.628990E-15	7.331010E-16
1.880000E+03	3.330390E-15	6.324083E-16
1.920000E+03	3.059850E-15	5.470543E-16
1.960000E+03	2.818168E-15	4.757850E-16
2.000000E+03	2.605980E-15	4.172850E-16
2.040000E+03	2.424227E-15	3.702796E-16
2.080000E+03	2.273646E-15	3.334866E-16
2.120000E+03	2.154937E-15	3.056952E-16
2.160000E+03	2.069430E-15	2.859089E-16
2.200000E+03	2.018113E-15	2.732426E-16
2.240000E+03	2.002294E-15	2.670351E-16
2.280000E+03	2.023634E-15	2.668403E-16
2.320000E+03	2.084092E-15	2.723930E-16
2.360000E+03	2.185982E-15	2.835874E-16
2.400000E+03	2.331660E-15	3.004196E-16
2.440000E+03	2.523201E-15	3.229504E-16
2.480000E+03	2.762340E-15	3.513250E-16
2.520000E+03	3.049316E-15	3.856635E-16
2.560000E+03	3.382885E-15	4.260904E-16
2.600000E+03	3.759273E-15	4.725833E-16
2.640000E+03	4.172457E-15	5.249143E-16
2.680000E+03	4.613896E-15	5.824480E-16
2.720000E+03	5.073241E-15	6.440308E-16
2.760000E+03	5.539029E-15	7.079155E-16
2.800000E+03	5.999317E-15	7.717693E-16
2.840000E+03	6.442639E-15	8.328393E-16
2.880000E+03	6.859112E-15	8.882328E-16
2.920000E+03	7.240304E-15	9.350971E-16
2.960000E+03	7.580910E-15	9.710438E-16
3.000000E+03	7.877453E-15	9.941657E-16
3.010000E+03	7.944790E-15	9.978169E-16
3.020000E+03	8.009217E-15	1.000564E-15
3.030000E+03	8.070735E-15	1.002398E-15
3.040000E+03	8.129715E-15	1.003356E-15
3.050000E+03	8.185992E-15	1.003410E-15
3.060000E+03	8.239590E-15	1.002560E-15
3.070000E+03	8.290716E-15	1.000827E-15
3.080000E+03	8.339230E-15	9.981932E-16
3.090000E+03	8.385175E-15	9.946664E-16
3.100000E+03	8.428949E-15	9.902969E-16
3.110000E+03	8.470257E-15	9.850547E-16
3.120000E+03	8.509330E-15	9.789744E-16
3.130000E+03	8.546060E-15	9.720529E-16
3.140000E+03	8.581026E-15	9.643670E-16
3.150000E+03	8.613788E-15	9.558794E-16
3.160000E+03	8.644591E-15	9.466325E-16
3.170000E+03	8.673679E-15	9.366693E-16
3.180000E+03	8.701127E-15	9.260156E-16
3.190000E+03	8.726693E-15	9.146651E-16
3.200000E+03	8.750948E-15	9.026996E-16
3.210000E+03	8.773654E-15	8.901164E-16
3.220000E+03	8.795059E-15	8.769654E-16
3.230000E+03	8.815095E-15	8.632655E-16
3.240000E+03	8.834009E-15	8.490683E-16
3.250000E+03	8.851890E-15	8.344108E-16
3.260000E+03	8.868830E-15	8.193312E-16
3.270000E+03	8.884768E-15	8.038554E-16
