#wls	flux	fluxerr
1.587256E+03	8.473590E-03	7.437100E-04
1.626937E+03	8.634479E-03	7.548714E-04
1.666619E+03	8.809143E-03	7.670610E-04
1.706300E+03	8.997850E-03	7.802833E-04
1.745982E+03	9.201656E-03	7.946102E-04
1.785663E+03	9.422369E-03	8.101757E-04
1.825344E+03	9.658600E-03	8.268371E-04
1.865026E+03	9.912906E-03	8.447893E-04
1.904707E+03	1.018546E-02	8.640203E-04
1.944389E+03	1.047648E-02	8.845209E-04
1.984070E+03	1.078547E-02	9.062211E-04
2.023751E+03	1.111274E-02	9.291182E-04
2.063433E+03	1.145726E-02	9.530961E-04
2.103114E+03	1.181667E-02	9.779305E-04
2.142795E+03	1.219098E-02	1.003596E-03
2.182477E+03	1.257752E-02	1.029846E-03
2.222158E+03	1.297457E-02	1.056517E-03
2.261840E+03	1.338206E-02	1.083582E-03
2.301521E+03	1.380144E-02	1.111135E-03
2.341202E+03	1.423631E-02	1.139440E-03
2.380884E+03	1.469105E-02	1.168816E-03
2.420565E+03	1.517015E-02	1.199583E-03
2.460247E+03	1.568019E-02	1.232214E-03
2.499928E+03	1.622600E-02	1.267032E-03
2.539609E+03	1.681392E-02	1.304470E-03
2.579291E+03	1.744871E-02	1.344823E-03
2.618972E+03	1.813618E-02	1.388455E-03
2.658654E+03	1.888134E-02	1.435659E-03
2.698335E+03	1.968980E-02	1.486759E-03
2.738016E+03	2.056772E-02	1.542112E-03
2.777698E+03	2.152133E-02	1.602063E-03
2.817379E+03	2.255747E-02	1.666989E-03
2.857061E+03	2.368480E-02	1.737387E-03
2.896742E+03	2.491121E-02	1.813678E-03
2.936423E+03	2.624789E-02	1.896504E-03
2.976105E+03	2.770393E-02	1.986334E-03
2.986025E+03	2.808851E-02	2.010001E-03
2.995946E+03	2.848089E-02	2.034113E-03
3.005866E+03	2.888112E-02	2.058673E-03
3.015786E+03	2.929057E-02	2.083772E-03
3.025707E+03	2.970860E-02	2.109364E-03
3.035627E+03	3.013523E-02	2.135445E-03
3.045547E+03	3.057114E-02	2.162060E-03
3.055468E+03	3.101564E-02	2.189157E-03
3.065388E+03	3.146871E-02	2.216731E-03
3.075308E+03	3.193158E-02	2.244864E-03
3.085229E+03	3.240284E-02	2.273455E-03
3.095149E+03	3.288304E-02	2.302539E-03
3.105069E+03	3.337134E-02	2.332052E-03
3.114990E+03	3.386955E-02	2.362119E-03
3.124910E+03	3.437541E-02	2.392577E-03
