#wls	flux	fluxerr
1.587256E+03	5.511545E-03	3.322457E-04
1.626937E+03	5.576380E-03	3.357124E-04
1.666619E+03	5.643455E-03	3.392921E-04
1.706300E+03	5.712721E-03	3.429807E-04
1.745982E+03	5.784122E-03	3.467734E-04
1.785663E+03	5.857587E-03	3.506649E-04
1.825344E+03	5.933030E-03	3.546488E-04
1.865026E+03	6.011504E-03	3.587866E-04
1.904707E+03	6.091761E-03	3.630023E-04
1.944389E+03	6.176024E-03	3.674268E-04
1.984070E+03	6.261819E-03	3.719113E-04
2.023751E+03	6.351369E-03	3.765862E-04
2.063433E+03	6.443320E-03	3.813693E-04
2.103114E+03	6.539915E-03	3.863914E-04
2.142795E+03	6.638508E-03	3.914940E-04
2.182477E+03	6.740066E-03	3.967322E-04
2.222158E+03	6.845557E-03	4.021610E-04
2.261840E+03	6.954673E-03	4.077599E-04
2.301521E+03	7.067053E-03	4.135051E-04
2.341202E+03	7.182277E-03	4.193700E-04
2.380884E+03	7.301152E-03	4.253990E-04
2.420565E+03	7.423141E-03	4.315585E-04
2.460247E+03	7.548931E-03	4.378858E-04
2.499928E+03	7.676546E-03	4.442636E-04
2.539609E+03	7.807807E-03	4.507948E-04
2.579291E+03	7.941851E-03	4.574269E-04
2.618972E+03	8.079013E-03	4.641765E-04
2.658654E+03	8.218210E-03	4.709786E-04
2.698335E+03	8.359538E-03	4.778362E-04
2.738016E+03	8.504245E-03	4.848181E-04
2.777698E+03	8.650841E-03	4.918362E-04
2.817379E+03	8.798968E-03	4.988677E-04
2.857061E+03	8.949367E-03	5.059523E-04
2.896742E+03	9.102559E-03	5.131164E-04
2.936423E+03	9.258819E-03	5.203724E-04
2.976105E+03	9.416962E-03	5.276506E-04
2.986025E+03	9.457553E-03	5.295159E-04
2.995946E+03	9.497751E-03	5.313537E-04
3.005866E+03	9.537518E-03	5.331620E-04
3.015786E+03	9.579208E-03	5.350722E-04
3.025707E+03	9.619182E-03	5.368810E-04
3.035627E+03	9.660971E-03	5.387856E-04
3.045547E+03	9.702148E-03	5.406503E-04
3.055468E+03	9.743847E-03	5.425383E-04
3.065388E+03	9.784845E-03	5.443815E-04
3.075308E+03	9.827431E-03	5.463074E-04
3.085229E+03	9.869218E-03	5.481829E-04
3.095149E+03	9.911317E-03	5.500699E-04
3.105069E+03	9.954821E-03	5.520288E-04
3.114990E+03	9.997376E-03	5.539291E-04
3.124910E+03	1.004121E-02	5.558944E-04
3.134830E+03	1.008513E-02	5.578578E-04
3.144751E+03	1.012907E-02	5.598165E-04
3.154671E+03	1.017298E-02	5.617672E-04
3.164591E+03	1.021791E-02	5.637680E-04
3.174512E+03	1.026269E-02	5.657541E-04
3.184432E+03	1.030836E-02	5.677826E-04
3.194353E+03	1.035376E-02	5.697897E-04
