#wls	flux	fluxerr
1.587256E+03	3.278302E-05	0.000000E+00
1.626937E+03	3.476088E-05	0.000000E+00
1.666619E+03	3.634669E-05	0.000000E+00
1.706300E+03	3.746106E-05	0.000000E+00
1.745982E+03	3.801780E-05	0.000000E+00
1.785663E+03	3.785966E-05	0.000000E+00
1.825344E+03	3.681032E-05	0.000000E+00
1.865026E+03	3.474777E-05	0.000000E+00
1.904707E+03	3.164729E-05	0.000000E+00
1.944389E+03	2.768057E-05	0.000000E+00
1.984070E+03	2.327833E-05	0.000000E+00
2.023751E+03	1.909102E-05	0.000000E+00
2.063433E+03	1.579090E-05	0.000000E+00
2.103114E+03	1.385094E-05	0.000000E+00
2.142795E+03	1.349985E-05	0.000000E+00
2.182477E+03	1.485039E-05	0.000000E+00
2.222158E+03	1.801865E-05	0.000000E+00
2.261840E+03	2.309567E-05	0.000000E+00
2.301521E+03	3.004904E-05	0.000000E+00
2.341202E+03	3.868329E-05	0.000000E+00
2.380884E+03	4.868809E-05	0.000000E+00
2.420565E+03	5.972492E-05	0.000000E+00
2.460247E+03	7.150550E-05	0.000000E+00
2.499928E+03	8.380942E-05	0.000000E+00
2.539609E+03	9.649952E-05	0.000000E+00
2.579291E+03	1.094925E-04	0.000000E+00
2.618972E+03	1.227546E-04	0.000000E+00
2.658654E+03	1.362741E-04	0.000000E+00
2.698335E+03	1.500559E-04	0.000000E+00
2.738016E+03	1.641111E-04	0.000000E+00
2.777698E+03	1.784449E-04	0.000000E+00
2.817379E+03	1.930538E-04	0.000000E+00
2.857061E+03	2.079321E-04	0.000000E+00
2.896742E+03	2.230425E-04	0.000000E+00
2.936423E+03	2.383502E-04	0.000000E+00
2.976105E+03	2.537700E-04	0.000000E+00
2.986025E+03	2.576373E-04	0.000000E+00
2.995946E+03	2.614990E-04	0.000000E+00
3.005866E+03	2.653519E-04	0.000000E+00
3.015786E+03	2.692235E-04	0.000000E+00
3.025707E+03	2.731717E-04	0.000000E+00
3.035627E+03	2.772650E-04	0.000000E+00
3.045547E+03	2.814875E-04	0.000000E+00
3.055468E+03	2.858119E-04	0.000000E+00
3.065388E+03	2.902182E-04	0.000000E+00
3.075308E+03	2.946988E-04	0.000000E+00
3.085229E+03	2.992225E-04	0.000000E+00
3.095149E+03	3.037769E-04	0.000000E+00
3.105069E+03	3.083381E-04	0.000000E+00
3.114990E+03	3.129072E-04	0.000000E+00
3.124910E+03	3.174484E-04	0.000000E+00
3.134830E+03	3.219514E-04	0.000000E+00
3.144751E+03	3.264065E-04	0.000000E+00
3.154671E+03	3.307980E-04	0.000000E+00
3.164591E+03	3.350982E-04	0.000000E+00
3.174512E+03	3.393111E-04	0.000000E+00
3.184432E+03	3.434100E-04	0.000000E+00
3.194353E+03	3.473874E-04	0.000000E+00
3.204273E+03	3.512240E-04	0.000000E+00
3.214193E+03	3.549135E-04	0.000000E+00
3.224114E+03	3.584441E-04	0.000000E+00
3.234034E+03	3.618041E-04	0.000000E+00
3.243954E+03	3.649770E-04	0.000000E+00
3.253875E+03	3.679592E-04	0.000000E+00
3.263795E+03	3.707417E-04	0.000000E+00
3.273715E+03	3.733102E-04	0.000000E+00
3.283636E+03	3.756636E-04	0.000000E+00
3.293556E+03	3.777897E-04	0.000000E+00
3.303476E+03	3.796890E-04	0.000000E+00
3.313397E+03	3.813520E-04	0.000000E+00
3.323317E+03	3.827755E-04	0.000000E+00
3.333237E+03	3.839581E-04	0.000000E+00
3.343158E+03	3.848994E-04	0.000000E+00
3.353078E+03	3.856002E-04	0.000000E+00
3.362998E+03	3.860574E-04	0.000000E+00
3.372919E+03	3.862807E-04	0.000000E+00
3.382839E+03	3.862637E-04	0.000000E+00
3.392760E+03	3.860249E-04	0.000000E+00
3.402680E+03	3.855612E-04	0.000000E+00
3.412600E+03	3.848827E-04	0.000000E+00
3.422521E+03	3.840005E-04	0.000000E+00
3.432441E+03	3.829221E-04	0.000000E+00
3.442361E+03	3.816673E-04	0.000000E+00
3.452282E+03	3.802456E-04	0.000000E+00
3.462202E+03	3.786697E-04	0.000000E+00
3.472122E+03	3.769568E-04	0.000000E+00
3.482043E+03	3.751216E-04	0.000000E+00
3.491963E+03	3.731885E-04	0.000000E+00
3.501883E+03	3.711646E-04	0.000000E+00
3.511804E+03	3.690756E-04	0.000000E+00
3.521724E+03	3.669395E-04	0.000000E+00
3.531644E+03	3.647786E-04	0.000000E+00
3.541565E+03	3.626070E-04	0.000000E+00
3.551485E+03	3.604427E-04	0.000000E+00
3.561405E+03	3.583136E-04	0.000000E+00
3.571326E+03	3.562291E-04	0.000000E+00
