#wls	flux	fluxerr
1.587256E+03	2.160933E-04	4.924799E-06
1.626937E+03	2.316331E-04	5.242932E-06
1.666619E+03	2.448741E-04	5.503941E-06
1.706300E+03	2.552086E-04	5.695246E-06
1.745982E+03	2.619565E-04	5.803102E-06
1.785663E+03	2.638619E-04	5.801595E-06
1.825344E+03	2.595902E-04	5.663994E-06
1.865026E+03	2.480093E-04	5.368941E-06
1.904707E+03	2.286725E-04	4.910678E-06
1.944389E+03	2.025566E-04	4.314194E-06
1.984070E+03	1.726000E-04	3.645327E-06
2.023751E+03	1.435101E-04	3.004943E-06
2.063433E+03	1.204236E-04	2.499404E-06
2.103114E+03	1.072591E-04	2.206182E-06
2.142795E+03	1.062392E-04	2.165132E-06
2.182477E+03	1.188769E-04	2.399918E-06
2.222158E+03	1.468226E-04	2.935600E-06
2.261840E+03	1.916413E-04	3.794039E-06
2.301521E+03	2.540814E-04	4.979615E-06
2.341202E+03	3.336370E-04	6.471530E-06
2.380884E+03	4.287882E-04	8.229681E-06
2.420565E+03	5.376293E-04	1.020766E-05
2.460247E+03	6.584277E-04	1.236368E-05
2.499928E+03	7.899742E-04	1.466699E-05
2.539609E+03	9.315516E-04	1.709673E-05
2.579291E+03	1.083013E-03	1.964291E-05
2.618972E+03	1.244524E-03	2.230115E-05
2.658654E+03	1.416417E-03	2.506982E-05
2.698335E+03	1.599296E-03	2.795167E-05
2.738016E+03	1.793711E-03	3.094788E-05
2.777698E+03	2.000185E-03	3.405870E-05
2.817379E+03	2.219108E-03	3.728155E-05
2.857061E+03	2.450823E-03	4.061275E-05
2.896742E+03	2.696053E-03	4.405447E-05
2.936423E+03	2.956349E-03	4.762159E-05
2.976105E+03	3.233677E-03	5.133420E-05
2.986025E+03	3.305891E-03	5.228712E-05
2.995946E+03	3.379457E-03	5.325264E-05
3.005866E+03	3.454227E-03	5.422824E-05
3.015786E+03	3.530534E-03	5.521889E-05
3.025707E+03	3.609448E-03	5.624097E-05
3.035627E+03	3.691803E-03	5.730697E-05
3.045547E+03	3.777579E-03	5.841600E-05
3.055468E+03	3.866610E-03	5.956485E-05
3.065388E+03	3.958734E-03	6.075049E-05
3.075308E+03	4.053802E-03	6.197005E-05
3.085229E+03	4.151836E-03	6.322339E-05
3.095149E+03	4.252618E-03	6.450668E-05
3.105069E+03	4.356106E-03	6.581874E-05
3.114990E+03	4.462178E-03	6.715731E-05
3.124910E+03	4.570717E-03	6.852016E-05
3.134830E+03	4.681703E-03	6.990657E-05
3.144751E+03	4.795124E-03	7.131591E-05
3.154671E+03	4.910704E-03	7.274368E-05
3.164591E+03	5.028624E-03	7.419218E-05
3.174512E+03	5.148711E-03	7.565846E-05
3.184432E+03	5.270982E-03	7.714238E-05
3.194353E+03	5.395367E-03	7.864257E-05
3.204273E+03	5.521713E-03	8.015643E-05
3.214193E+03	5.650245E-03	8.168689E-05
3.224114E+03	5.780632E-03	8.322883E-05
3.234034E+03	5.913118E-03	8.478541E-05
3.243954E+03	6.047680E-03	8.635598E-05
3.253875E+03	6.184102E-03	8.793711E-05
3.263795E+03	6.322656E-03	8.953236E-05
3.273715E+03	6.463147E-03	9.113863E-05
3.283636E+03	6.605671E-03	9.275697E-05
3.293556E+03	6.750232E-03	9.438712E-05
3.303476E+03	6.896942E-03	9.603029E-05
3.313397E+03	7.045721E-03	9.768504E-05
3.323317E+03	7.196563E-03	9.935100E-05
3.333237E+03	7.349462E-03	1.010277E-04
3.343158E+03	7.504500E-03	1.027161E-04
3.353078E+03	7.661520E-03	1.044136E-04
3.362998E+03	7.820444E-03	1.061189E-04
3.372919E+03	7.981148E-03	1.078300E-04
3.382839E+03	8.143300E-03	1.095423E-04
3.392760E+03	8.306636E-03	1.112520E-04
3.402680E+03	8.470811E-03	1.129544E-04
3.412600E+03	8.635294E-03	1.146424E-04
3.422521E+03	8.799593E-03	1.163095E-04
3.432441E+03	8.963059E-03	1.179473E-04
3.442361E+03	9.124863E-03	1.195452E-04
3.452282E+03	9.284125E-03	1.210920E-04
3.462202E+03	9.439782E-03	1.225746E-04
3.472122E+03	9.590848E-03	1.239808E-04
3.482043E+03	9.736056E-03	1.252954E-04
3.491963E+03	9.873932E-03	1.265005E-04
3.501883E+03	1.000258E-02	1.275734E-04
3.511804E+03	1.012039E-02	1.284952E-04
3.521724E+03	1.022540E-02	1.292431E-04
3.531644E+03	1.031515E-02	1.297887E-04
3.541565E+03	1.038770E-02	1.301102E-04
3.551485E+03	1.044134E-02	1.301893E-04
3.561405E+03	1.047452E-02	1.300100E-04
3.571326E+03	1.048651E-02	1.295670E-04
3.581246E+03	1.047856E-02	1.288795E-04
