#wls	flux	fluxerr
1.587256E+03	1.490701E-17	3.327891E-19
1.626937E+03	1.604430E-17	3.564180E-19
1.666619E+03	1.701720E-17	3.761260E-19
1.706300E+03	1.777693E-17	3.908887E-19
1.745982E+03	1.827489E-17	3.997104E-19
1.785663E+03	1.841549E-17	4.005995E-19
1.825344E+03	1.809931E-17	3.915315E-19
1.865026E+03	1.724686E-17	3.709641E-19
1.904707E+03	1.582742E-17	3.384444E-19
1.944389E+03	1.392052E-17	2.958866E-19
1.984070E+03	1.174711E-17	2.481585E-19
2.023751E+03	9.653098E-18	2.026413E-19
2.063433E+03	8.000619E-18	1.668710E-19
2.103114E+03	7.052880E-18	1.461341E-19
2.142795E+03	6.950490E-18	1.430404E-19
2.182477E+03	7.791547E-18	1.592409E-19
2.222158E+03	9.702895E-18	1.969010E-19
2.261840E+03	1.282452E-17	2.583627E-19
2.301521E+03	1.724027E-17	3.447469E-19
2.341202E+03	2.294128E-17	4.552662E-19
2.380884E+03	2.983242E-17	5.874230E-19
2.420565E+03	3.777986E-17	7.380047E-19
2.460247E+03	4.666285E-17	9.041220E-19
2.499928E+03	5.638620E-17	1.083441E-18
2.539609E+03	6.690217E-17	1.274582E-18
2.579291E+03	7.820032E-17	1.476892E-18
2.618972E+03	9.030860E-17	1.690437E-18
2.658654E+03	1.032743E-16	1.915614E-18
2.698335E+03	1.171665E-16	2.153181E-18
2.738016E+03	1.320686E-16	2.404101E-18
2.777698E+03	1.480755E-16	2.669484E-18
2.817379E+03	1.652971E-16	2.950631E-18
2.857061E+03	1.838694E-16	3.249218E-18
2.896742E+03	2.039589E-16	3.567360E-18
2.936423E+03	2.257796E-16	3.907863E-18
2.976105E+03	2.495968E-16	4.274250E-18
2.986025E+03	2.559063E-16	4.370493E-18
2.995946E+03	2.623602E-16	4.468594E-18
3.005866E+03	2.689746E-16	4.568803E-18
3.015786E+03	2.757673E-16	4.671402E-18
3.025707E+03	2.828197E-16	4.777737E-18
3.035627E+03	2.902231E-16	4.889310E-18
3.045547E+03	2.979555E-16	5.005702E-18
3.055468E+03	3.060399E-16	5.127251E-18
3.065388E+03	3.144566E-16	5.253580E-18
3.075308E+03	3.232124E-16	5.384751E-18
3.085229E+03	3.322954E-16	5.520523E-18
3.095149E+03	3.417010E-16	5.660769E-18
3.105069E+03	3.514388E-16	5.805603E-18
3.114990E+03	3.614922E-16	5.954705E-18
3.124910E+03	3.718795E-16	6.108330E-18
3.134830E+03	3.825782E-16	6.266061E-18
3.144751E+03	3.936085E-16	6.428185E-18
3.154671E+03	4.049558E-16	6.594419E-18
3.164591E+03	4.166352E-16	6.764960E-18
3.174512E+03	4.286405E-16	6.939661E-18
3.184432E+03	4.409809E-16	7.118625E-18
3.194353E+03	4.536595E-16	7.301857E-18
3.204273E+03	4.666794E-16	7.489357E-18
3.214193E+03	4.800363E-16	7.681007E-18
3.224114E+03	4.937507E-16	7.877091E-18
3.234034E+03	5.078202E-16	8.077519E-18
3.243954E+03	5.222588E-16	8.282462E-18
3.253875E+03	5.370642E-16	8.491836E-18
3.263795E+03	5.522436E-16	8.705703E-18
3.273715E+03	5.678126E-16	8.924256E-18
3.283636E+03	5.837702E-16	9.147427E-18
3.293556E+03	6.001326E-16	9.375414E-18
3.303476E+03	6.169074E-16	9.608284E-18
3.313397E+03	6.340824E-16	9.845791E-18
3.323317E+03	6.516798E-16	1.008822E-17
3.333237E+03	6.696921E-16	1.033541E-17
3.343158E+03	6.881151E-16	1.058723E-17
3.353078E+03	7.069386E-16	1.084348E-17
3.362998E+03	7.261242E-16	1.110351E-17
3.372919E+03	7.456636E-16	1.136716E-17
3.382839E+03	7.655093E-16	1.163365E-17
3.392760E+03	7.856016E-16	1.190205E-17
3.402680E+03	8.058804E-16	1.217142E-17
3.412600E+03	8.262739E-16	1.244065E-17
3.422521E+03	8.466776E-16	1.270817E-17
3.432441E+03	8.670046E-16	1.297270E-17
3.442361E+03	8.871255E-16	1.323230E-17
3.452282E+03	9.069166E-16	1.348519E-17
3.462202E+03	9.262309E-16	1.372924E-17
3.472122E+03	9.449051E-16	1.396211E-17
3.482043E+03	9.627617E-16	1.418129E-17
3.491963E+03	9.796076E-16	1.438406E-17
3.497948E+03	6.537615E-16	9.581265E-18
3.500766E+03	6.721510E-16	9.841954E-18
3.503584E+03	6.909045E-16	1.010749E-17
3.506402E+03	7.029758E-16	1.027488E-17
3.509220E+03	7.157508E-16	1.045223E-17
3.512038E+03	7.283616E-16	1.062685E-17
3.514856E+03	7.435293E-16	1.083843E-17
3.517674E+03	7.541354E-16	1.098318E-17
3.520492E+03	7.582045E-16	1.103254E-17
3.523310E+03	7.805882E-16	1.134805E-17
3.526128E+03	7.864653E-16	1.142324E-17
3.528946E+03	7.948403E-16	1.153452E-17
3.531763E+03	8.044388E-16	1.166334E-17
3.534582E+03	8.206649E-16	1.188792E-17
