#wls	flux	fluxerr
1.587256E+03	4.245787E-18	8.719561E-20
1.626937E+03	4.510793E-18	9.234476E-20
1.666619E+03	4.718105E-18	9.627497E-20
1.706300E+03	4.856431E-18	9.876703E-20
1.745982E+03	4.913784E-18	9.959133E-20
1.785663E+03	4.870355E-18	9.836434E-20
1.825344E+03	4.704148E-18	9.466502E-20
1.865026E+03	4.402596E-18	8.826893E-20
1.904707E+03	3.965724E-18	7.920818E-20
1.944389E+03	3.421663E-18	6.807546E-20
1.984070E+03	2.832433E-18	5.612739E-20
2.023751E+03	2.283173E-18	4.505789E-20
2.063433E+03	1.856570E-18	3.648503E-20
2.103114E+03	1.606566E-18	3.143592E-20
2.142795E+03	1.555772E-18	3.030751E-20
2.182477E+03	1.716379E-18	3.328472E-20
2.222158E+03	2.107084E-18	4.067162E-20
2.261840E+03	2.751181E-18	5.285128E-20
2.301521E+03	3.659777E-18	6.996256E-20
2.341202E+03	4.823316E-18	9.174417E-20
2.380884E+03	6.215230E-18	1.176136E-19
2.420565E+03	7.797680E-18	1.467837E-19
2.460247E+03	9.535162E-18	1.785239E-19
2.499928E+03	1.139734E-17	2.122122E-19
2.539609E+03	1.336127E-17	2.473742E-19
2.579291E+03	1.541076E-17	2.836685E-19
2.618972E+03	1.753667E-17	3.208883E-19
2.658654E+03	1.973417E-17	3.589082E-19
2.698335E+03	2.199731E-17	3.975841E-19
2.738016E+03	2.432735E-17	4.369033E-19
2.777698E+03	2.672490E-17	4.768400E-19
2.817379E+03	2.918875E-17	5.173354E-19
2.857061E+03	3.171492E-17	5.582816E-19
2.896742E+03	3.429598E-17	5.995123E-19
2.936423E+03	3.693400E-17	6.410284E-19
2.976105E+03	3.962288E-17	6.826896E-19
2.986025E+03	4.030457E-17	6.931497E-19
2.995946E+03	4.099107E-17	7.036443E-19
3.005866E+03	4.167949E-17	7.141230E-19
3.015786E+03	4.237557E-17	7.246835E-19
3.025707E+03	4.308990E-17	7.355056E-19
3.035627E+03	4.383127E-17	7.467374E-19
3.045547E+03	4.460249E-17	7.584232E-19
3.055468E+03	4.539683E-17	7.704463E-19
3.065388E+03	4.621759E-17	7.828595E-19
3.075308E+03	4.705639E-17	7.955186E-19
3.085229E+03	4.791685E-17	8.084824E-19
3.095149E+03	4.879681E-17	8.217124E-19
3.105069E+03	4.969127E-17	8.351221E-19
3.114990E+03	5.059816E-17	8.486753E-19
3.124910E+03	5.151876E-17	8.623918E-19
3.134830E+03	5.245133E-17	8.762409E-19
3.144751E+03	5.339431E-17	8.901948E-19
3.154671E+03	5.434606E-17	9.042253E-19
3.164591E+03	5.530523E-17	9.183088E-19
3.174512E+03	5.627043E-17	9.324210E-19
3.184432E+03	5.724365E-17	9.465939E-19
3.194353E+03	5.822051E-17	9.607544E-19
3.204273E+03	5.920635E-17	9.749896E-19
3.214193E+03	6.019377E-17	9.891767E-19
3.224114E+03	6.118839E-17	1.003407E-18
3.234034E+03	6.218269E-17	1.017558E-18
3.243954E+03	6.318594E-17	1.031779E-18
3.253875E+03	6.419074E-17	1.045949E-18
3.263795E+03	6.519983E-17	1.060112E-18
3.273715E+03	6.621260E-17	1.074257E-18
3.283636E+03	6.723188E-17	1.088430E-18
3.293556E+03	6.825392E-17	1.102569E-18
3.303476E+03	6.928162E-17	1.116721E-18
3.313397E+03	7.031800E-17	1.130933E-18
3.323317E+03	7.135936E-17	1.145144E-18
3.333237E+03	7.240887E-17	1.159405E-18
3.343158E+03	7.346615E-17	1.173707E-18
3.353078E+03	7.453445E-17	1.188104E-18
3.362998E+03	7.561361E-17	1.202589E-18
3.372919E+03	7.670337E-17	1.217157E-18
3.382839E+03	7.780700E-17	1.231860E-18
3.392760E+03	7.892431E-17	1.246692E-18
3.402680E+03	8.005860E-17	1.261703E-18
3.412600E+03	8.120971E-17	1.276890E-18
3.422521E+03	8.238091E-17	1.292300E-18
3.432441E+03	8.357538E-17	1.307982E-18
3.442361E+03	8.479296E-17	1.323931E-18
3.452282E+03	8.603687E-17	1.340193E-18
3.462202E+03	8.730679E-17	1.356760E-18
3.472122E+03	8.860926E-17	1.373732E-18
3.482043E+03	8.994385E-17	1.391097E-18
3.491963E+03	9.131361E-17	1.408898E-18
3.501883E+03	9.271789E-17	1.427123E-18
3.511804E+03	9.415949E-17	1.445808E-18
3.521724E+03	9.563429E-17	1.464888E-18
3.531644E+03	9.714478E-17	1.484396E-18
3.541565E+03	9.868317E-17	1.504209E-18
3.551485E+03	1.002483E-16	1.524306E-18
3.561405E+03	1.018357E-16	1.544615E-18
