#wls	flux	fluxerr
1.600000E+03	1.805962E-15	4.115814E-17
1.640000E+03	1.847844E-15	4.182529E-17
1.680000E+03	1.892889E-15	4.254573E-17
1.720000E+03	1.941254E-15	4.332110E-17
1.760000E+03	1.993286E-15	4.415711E-17
1.800000E+03	2.049132E-15	4.505475E-17
1.840000E+03	2.109128E-15	4.601903E-17
1.880000E+03	2.173605E-15	4.705451E-17
1.920000E+03	2.242694E-15	4.816121E-17
1.960000E+03	2.316711E-15	4.934294E-17
2.000000E+03	2.395970E-15	5.060310E-17
2.040000E+03	2.480772E-15	5.194461E-17
2.080000E+03	2.571224E-15	5.336601E-17
2.120000E+03	2.667617E-15	5.486947E-17
2.160000E+03	2.769853E-15	5.644897E-17
2.200000E+03	2.877835E-15	5.809848E-17
2.240000E+03	2.990712E-15	5.979689E-17
2.280000E+03	3.107644E-15	6.152392E-17
2.320000E+03	3.229842E-15	6.330006E-17
2.360000E+03	3.359225E-15	6.515861E-17
2.400000E+03	3.497308E-15	6.712342E-17
2.440000E+03	3.645208E-15	6.920947E-17
2.480000E+03	3.803827E-15	7.142670E-17
2.520000E+03	3.974223E-15	7.378708E-17
2.560000E+03	4.157058E-15	7.629432E-17
2.600000E+03	4.353333E-15	7.895758E-17
2.640000E+03	4.563650E-15	8.177793E-17
2.680000E+03	4.788227E-15	8.474902E-17
2.720000E+03	5.027614E-15	8.787001E-17
2.760000E+03	5.281799E-15	9.112980E-17
2.800000E+03	5.550568E-15	9.451381E-17
2.840000E+03	5.833337E-15	9.800147E-17
2.880000E+03	6.129505E-15	1.015724E-16
2.920000E+03	6.439487E-15	1.052235E-16
2.960000E+03	6.765536E-15	1.089809E-16
3.000000E+03	7.110491E-15	1.128781E-16
3.010000E+03	7.199959E-15	1.138770E-16
3.020000E+03	7.291086E-15	1.148911E-16
3.030000E+03	7.383521E-15	1.159146E-16
3.040000E+03	7.477421E-15	1.169497E-16
3.050000E+03	7.573111E-15	1.180012E-16
3.060000E+03	7.670240E-15	1.190633E-16
3.070000E+03	7.769132E-15	1.201409E-16
3.080000E+03	7.869773E-15	1.212333E-16
3.090000E+03	7.972148E-15	1.223401E-16
3.100000E+03	8.076243E-15	1.234607E-16
3.110000E+03	8.182378E-15	1.245998E-16
3.120000E+03	8.290372E-15	1.257541E-16
3.130000E+03	8.400376E-15	1.269258E-16
3.140000E+03	8.512375E-15	1.281142E-16
3.150000E+03	8.626355E-15	1.293187E-16
3.160000E+03	8.742469E-15	1.305414E-16
3.170000E+03	8.860866E-15	1.317840E-16
3.180000E+03	8.981204E-15	1.330412E-16
3.190000E+03	9.103968E-15	1.343197E-16
3.200000E+03	9.228979E-15	1.356165E-16
3.210000E+03	9.356394E-15	1.369336E-16
3.220000E+03	9.486207E-15	1.382704E-16
3.230000E+03	9.618247E-15	1.396241E-16
3.240000E+03	9.753004E-15	1.410014E-16
3.250000E+03	9.889988E-15	1.423948E-16
3.260000E+03	1.002969E-14	1.438109E-16
3.270000E+03	1.017212E-14	1.452497E-16
3.280000E+03	1.031698E-14	1.467061E-16
3.290000E+03	1.046475E-14	1.481868E-16
3.300000E+03	1.061515E-14	1.496873E-16
3.310000E+03	1.076836E-14	1.512096E-16
3.320000E+03	1.092440E-14	1.527537E-16
3.330000E+03	1.108345E-14	1.543215E-16
3.340000E+03	1.124538E-14	1.559110E-16
3.350000E+03	1.141016E-14	1.575212E-16
3.360000E+03	1.157779E-14	1.591515E-16
3.370000E+03	1.174835E-14	1.608028E-16
3.380000E+03	1.192158E-14	1.624710E-16
3.390000E+03	1.209732E-14	1.641536E-16
3.400000E+03	1.227535E-14	1.658472E-16
3.410000E+03	1.245512E-14	1.675441E-16
3.420000E+03	1.263619E-14	1.692384E-16
3.430000E+03	1.281801E-14	1.709223E-16
3.440000E+03	1.299975E-14	1.725850E-16
3.450000E+03	1.318064E-14	1.742164E-16
3.460000E+03	1.335969E-14	1.758038E-16
3.470000E+03	1.353568E-14	1.773314E-16
3.480000E+03	1.370728E-14	1.787828E-16
3.490000E+03	1.387295E-14	1.801388E-16
3.500000E+03	1.403127E-14	1.813822E-16
3.510000E+03	1.418044E-14	1.824911E-16
3.520000E+03	1.431836E-14	1.834406E-16
3.530000E+03	1.444239E-14	1.841989E-16
3.540000E+03	1.455030E-14	1.847402E-16
3.550000E+03	1.463940E-14	1.850336E-16
3.560000E+03	1.470637E-14	1.850405E-16
3.570000E+03	1.474862E-14	1.847325E-16
3.580000E+03	1.476397E-14	1.840865E-16
3.590000E+03	1.475047E-14	1.830832E-16
3.600000E+03	1.470739E-14	1.817185E-16
3.610000E+03	1.463675E-14	1.800224E-16
3.620000E+03	1.454136E-14	1.780340E-16
3.630000E+03	1.442492E-14	1.758024E-16
3.640000E+03	1.429224E-14	1.733895E-16
3.650000E+03	1.414718E-14	1.708450E-16
3.660000E+03	1.399398E-14	1.682215E-16
3.670000E+03	1.383734E-14	1.655769E-16
3.680000E+03	1.368237E-14	1.629722E-16
3.690000E+03	1.353435E-14	1.604698E-16
3.700000E+03	1.339933E-14	1.581399E-16
3.710000E+03	1.328366E-14	1.560549E-16
3.720000E+03	1.319435E-14	1.542935E-16
3.730000E+03	1.313876E-14	1.529371E-16
3.740000E+03	1.312429E-14	1.520661E-16
3.750000E+03	1.315942E-14	1.517715E-16
3.760000E+03	1.325183E-14	1.521337E-16
3.770000E+03	1.340939E-14	1.532336E-16
3.780000E+03	1.363973E-14	1.551478E-16
3.790000E+03	1.395051E-14	1.579517E-16
3.800000E+03	1.434844E-14	1.617084E-16
3.810000E+03	1.483997E-14	1.664771E-16
3.820000E+03	1.543114E-14	1.723111E-16
3.830000E+03	1.612500E-14	1.792290E-16
3.840000E+03	1.692288E-14	1.872303E-16
3.850000E+03	1.782436E-14	1.962951E-16
3.860000E+03	1.882469E-14	2.063561E-16
3.870000E+03	1.991539E-14	2.173066E-16
3.880000E+03	2.108442E-14	2.290030E-16
3.890000E+03	2.231557E-14	2.412590E-16
3.900000E+03	2.358794E-14	2.538416E-16
3.910000E+03	2.487698E-14	2.664825E-16
3.920000E+03	2.615662E-14	2.789024E-16
3.930000E+03	2.739893E-14	2.908075E-16
3.940000E+03	2.857460E-14	3.018944E-16
3.950000E+03	2.965765E-14	3.119009E-16
3.960000E+03	3.062365E-14	3.205856E-16
3.970000E+03	3.145203E-14	3.277520E-16
3.980000E+03	3.212747E-14	3.332618E-16
3.990000E+03	3.264013E-14	3.370357E-16
4.000000E+03	3.298507E-14	3.390469E-16
4.010000E+03	3.316512E-14	3.393483E-16
4.020000E+03	3.318743E-14	3.380360E-16
4.030000E+03	3.306418E-14	3.352557E-16
4.040000E+03	3.281161E-14	3.311917E-16
4.050000E+03	3.244925E-14	3.260577E-16
4.060000E+03	3.199723E-14	3.200699E-16
4.070000E+03	3.147713E-14	3.134550E-16
4.080000E+03	3.091016E-14	3.064324E-16
4.090000E+03	3.031621E-14	2.992038E-16
4.100000E+03	2.971276E-14	2.919443E-16
4.110000E+03	2.911579E-14	2.848111E-16
4.120000E+03	2.853874E-14	2.779337E-16
4.130000E+03	2.799233E-14	2.714130E-16
4.140000E+03	2.748516E-14	2.653275E-16
4.150000E+03	2.702338E-14	2.597312E-16
4.160000E+03	2.661103E-14	2.546566E-16
4.170000E+03	2.624999E-14	2.501148E-16
4.180000E+03	2.594114E-14	2.461079E-16
4.190000E+03	2.568314E-14	2.426165E-16
4.200000E+03	2.547321E-14	2.396080E-16
4.210000E+03	2.530814E-14	2.370465E-16
4.220000E+03	2.518298E-14	2.348804E-16
4.230000E+03	2.509244E-14	2.330558E-16
4.240000E+03	2.502991E-14	2.315077E-16
4.250000E+03	2.498840E-14	2.301683E-16
4.260000E+03	2.495982E-14	2.289613E-16
4.270000E+03	2.493628E-14	2.278130E-16
4.280000E+03	2.490809E-14	2.266350E-16
4.290000E+03	2.486596E-14	2.253437E-16
4.300000E+03	2.480060E-14	2.238568E-16
4.310000E+03	2.470163E-14	2.220836E-16
4.320000E+03	2.456001E-14	2.199467E-16
4.330000E+03	2.436682E-14	2.173709E-16
4.340000E+03	2.411502E-14	2.142990E-16
4.350000E+03	2.379862E-14	2.106838E-16
4.360000E+03	2.341534E-14	2.065113E-16
4.370000E+03	2.296643E-14	2.017987E-16
4.380000E+03	2.245771E-14	1.966027E-16
4.390000E+03	2.190255E-14	1.910446E-16
4.400000E+03	2.132685E-14	1.853531E-16
4.410000E+03	2.076758E-14	1.798491E-16
4.420000E+03	2.026212E-14	1.748529E-16
4.430000E+03	1.983854E-14	1.705999E-16
4.440000E+03	1.952086E-14	1.672880E-16
4.450000E+03	1.932689E-14	1.650591E-16
4.460000E+03	1.925915E-14	1.639232E-16
4.470000E+03	1.931569E-14	1.638529E-16
4.480000E+03	1.949329E-14	1.648098E-16
4.490000E+03	1.978245E-14	1.667038E-16
4.500000E+03	2.017182E-14	1.694302E-16
4.510000E+03	2.064939E-14	1.728804E-16
4.520000E+03	2.120112E-14	1.769304E-16
4.530000E+03	2.181199E-14	1.814495E-16
4.540000E+03	2.246581E-14	1.862989E-16
4.550000E+03	2.314598E-14	1.913385E-16
4.560000E+03	2.383538E-14	1.964256E-16
4.570000E+03	2.451596E-14	2.014113E-16
4.580000E+03	2.517119E-14	2.061613E-16
4.590000E+03	2.578480E-14	2.105448E-16
4.600000E+03	2.634149E-14	2.144407E-16
4.610000E+03	2.682826E-14	2.177478E-16
4.620000E+03	2.723485E-14	2.203881E-16
4.630000E+03	2.755240E-14	2.222962E-16
4.640000E+03	2.777611E-14	2.234396E-16
4.650000E+03	2.790376E-14	2.238072E-16
4.660000E+03	2.793560E-14	2.234077E-16
4.670000E+03	2.787562E-14	2.222792E-16
4.680000E+03	2.772922E-14	2.204710E-16
4.690000E+03	2.750447E-14	2.180527E-16
4.700000E+03	2.721141E-14	2.151086E-16
4.710000E+03	2.686043E-14	2.117252E-16
4.720000E+03	2.646290E-14	2.079952E-16
4.730000E+03	2.603039E-14	2.040122E-16
4.740000E+03	2.557390E-14	1.998642E-16
4.750000E+03	2.510374E-14	1.956327E-16
4.760000E+03	2.462967E-14	1.913942E-16
4.770000E+03	2.415946E-14	1.872089E-16
4.780000E+03	2.370054E-14	1.831335E-16
4.790000E+03	2.325846E-14	1.792101E-16
4.800000E+03	2.283738E-14	1.754690E-16
4.810000E+03	2.244094E-14	1.719366E-16
4.820000E+03	2.207098E-14	1.686252E-16
4.830000E+03	2.172868E-14	1.655418E-16
4.840000E+03	2.141441E-14	1.626874E-16
4.850000E+03	2.112788E-14	1.600577E-16
4.860000E+03	2.086863E-14	1.576474E-16
4.870000E+03	2.063488E-14	1.554412E-16
4.880000E+03	2.042550E-14	1.534289E-16
4.890000E+03	2.023862E-14	1.515948E-16
4.900000E+03	2.007265E-14	1.499255E-16
4.910000E+03	1.992564E-14	1.484051E-16
4.920000E+03	1.979588E-14	1.470196E-16
4.930000E+03	1.968206E-14	1.457583E-16
4.940000E+03	1.958257E-14	1.446081E-16
4.950000E+03	1.949661E-14	1.435622E-16
4.960000E+03	1.942350E-14	1.426148E-16
4.970000E+03	1.936298E-14	1.417630E-16
4.980000E+03	1.931494E-14	1.410053E-16
4.990000E+03	1.927970E-14	1.403433E-16
5.000000E+03	1.925814E-14	1.397824E-16
