#wls	flux	fluxerr
1.600000E+03	3.575784E-16	9.758236E-18
1.640000E+03	3.635812E-16	9.921330E-18
1.680000E+03	3.697614E-16	1.008922E-17
1.720000E+03	3.761156E-16	1.026181E-17
1.760000E+03	3.826403E-16	1.043901E-17
1.800000E+03	3.893995E-16	1.062255E-17
1.840000E+03	3.963201E-16	1.081045E-17
1.880000E+03	4.035368E-16	1.100636E-17
1.920000E+03	4.109033E-16	1.120630E-17
1.960000E+03	4.184829E-16	1.141200E-17
2.000000E+03	4.263409E-16	1.162521E-17
2.040000E+03	4.344701E-16	1.184576E-17
2.080000E+03	4.427867E-16	1.207135E-17
2.120000E+03	4.514296E-16	1.230575E-17
2.160000E+03	4.603885E-16	1.254869E-17
2.200000E+03	4.695741E-16	1.279773E-17
2.240000E+03	4.791259E-16	1.305666E-17
2.280000E+03	4.889505E-16	1.332294E-17
2.320000E+03	4.991084E-16	1.359820E-17
2.360000E+03	5.096592E-16	1.388406E-17
2.400000E+03	5.205020E-16	1.417778E-17
2.440000E+03	5.318535E-16	1.448523E-17
2.480000E+03	5.435269E-16	1.480134E-17
2.520000E+03	5.556553E-16	1.512971E-17
2.560000E+03	5.682889E-16	1.547171E-17
2.600000E+03	5.813112E-16	1.582415E-17
2.640000E+03	5.949303E-16	1.619270E-17
2.680000E+03	6.091049E-16	1.657620E-17
2.720000E+03	6.237893E-16	1.697342E-17
2.760000E+03	6.391808E-16	1.738971E-17
2.800000E+03	6.551426E-16	1.782133E-17
2.840000E+03	6.718620E-16	1.827337E-17
2.880000E+03	6.893557E-16	1.874627E-17
2.920000E+03	7.076341E-16	1.924029E-17
2.960000E+03	7.268640E-16	1.975995E-17
3.000000E+03	7.469590E-16	2.030289E-17
3.010000E+03	7.521527E-16	2.044320E-17
3.020000E+03	7.573631E-16	2.058395E-17
3.030000E+03	7.626690E-16	2.072728E-17
3.040000E+03	7.680688E-16	2.087314E-17
3.050000E+03	7.734804E-16	2.101931E-17
3.060000E+03	7.790625E-16	2.117010E-17
3.070000E+03	7.845733E-16	2.131893E-17
3.080000E+03	7.902508E-16	2.147227E-17
3.090000E+03	7.960130E-16	2.162789E-17
3.100000E+03	8.017787E-16	2.178360E-17
3.110000E+03	8.077049E-16	2.194364E-17
3.120000E+03	8.136309E-16	2.210366E-17
3.130000E+03	8.196341E-16	2.226575E-17
3.140000E+03	8.257909E-16	2.243200E-17
3.150000E+03	8.319421E-16	2.259808E-17
3.160000E+03	8.382423E-16	2.276818E-17
3.170000E+03	8.446111E-16	2.294013E-17
3.180000E+03	8.510460E-16	2.311385E-17
3.190000E+03	8.575450E-16	2.328929E-17
3.200000E+03	8.641833E-16	2.346849E-17
3.210000E+03	8.708806E-16	2.364927E-17
3.220000E+03	8.776350E-16	2.383158E-17
3.230000E+03	8.845207E-16	2.401743E-17
3.240000E+03	8.915347E-16	2.420674E-17
3.250000E+03	8.985978E-16	2.439736E-17
3.260000E+03	9.057836E-16	2.459129E-17
3.270000E+03	9.130131E-16	2.478639E-17
3.280000E+03	9.203597E-16	2.498463E-17
3.290000E+03	9.278199E-16	2.518594E-17
3.300000E+03	9.353907E-16	2.539022E-17
3.310000E+03	9.430685E-16	2.559738E-17
3.320000E+03	9.508504E-16	2.580733E-17
3.330000E+03	9.587327E-16	2.601999E-17
3.340000E+03	9.667121E-16	2.623525E-17
3.350000E+03	9.748589E-16	2.645503E-17
3.360000E+03	9.830218E-16	2.667522E-17
3.370000E+03	9.913444E-16	2.689972E-17
3.380000E+03	9.998224E-16	2.712840E-17
3.390000E+03	1.008379E-15	2.735917E-17
3.400000E+03	1.017009E-15	2.759193E-17
3.410000E+03	1.025783E-15	2.782854E-17
3.420000E+03	1.034694E-15	2.806884E-17
3.430000E+03	1.043667E-15	2.831081E-17
3.440000E+03	1.052840E-15	2.855816E-17
3.450000E+03	1.062066E-15	2.880691E-17
3.460000E+03	1.071410E-15	2.905884E-17
3.470000E+03	1.080939E-15	2.931575E-17
3.480000E+03	1.090577E-15	2.957556E-17
3.490000E+03	1.100316E-15	2.983810E-17
3.500000E+03	1.110154E-15	3.010327E-17
3.510000E+03	1.120152E-15	3.037277E-17
3.520000E+03	1.130236E-15	3.064454E-17
3.530000E+03	1.140469E-15	3.092031E-17
3.540000E+03	1.150842E-15	3.119987E-17
3.550000E+03	1.161284E-15	3.148124E-17
3.560000E+03	1.171854E-15	3.176604E-17
3.570000E+03	1.182612E-15	3.205588E-17
3.580000E+03	1.193416E-15	3.234697E-17
3.590000E+03	1.204393E-15	3.264269E-17
3.600000E+03	1.215468E-15	3.294100E-17
3.610000E+03	1.226634E-15	3.324176E-17
3.620000E+03	1.237948E-15	3.354649E-17
3.630000E+03	1.249335E-15	3.385314E-17
3.640000E+03	1.260853E-15	3.416330E-17
3.650000E+03	1.272491E-15	3.447667E-17
3.660000E+03	1.284240E-15	3.479303E-17
3.670000E+03	1.296091E-15	3.511207E-17
3.680000E+03	1.308033E-15	3.543354E-17
3.690000E+03	1.320055E-15	3.575713E-17
3.700000E+03	1.332147E-15	3.608257E-17
3.710000E+03	1.344362E-15	3.641130E-17
3.720000E+03	1.356624E-15	3.674127E-17
3.730000E+03	1.368984E-15	3.707383E-17
3.740000E+03	1.381370E-15	3.740705E-17
3.750000E+03	1.393829E-15	3.774219E-17
3.760000E+03	1.406409E-15	3.808057E-17
3.770000E+03	1.418978E-15	3.841857E-17
3.780000E+03	1.431579E-15	3.875742E-17
3.790000E+03	1.444262E-15	3.909842E-17
3.800000E+03	1.456949E-15	3.943949E-17
3.810000E+03	1.469629E-15	3.978032E-17
3.820000E+03	1.482344E-15	4.012206E-17
3.830000E+03	1.495022E-15	4.046273E-17
3.840000E+03	1.507705E-15	4.080346E-17
3.850000E+03	1.520374E-15	4.114380E-17
3.860000E+03	1.533017E-15	4.148335E-17
3.870000E+03	1.545559E-15	4.182013E-17
3.880000E+03	1.558096E-15	4.215672E-17
3.890000E+03	1.570498E-15	4.248963E-17
3.900000E+03	1.582862E-15	4.282142E-17
3.910000E+03	1.595112E-15	4.315009E-17
3.920000E+03	1.607233E-15	4.347523E-17
3.930000E+03	1.619210E-15	4.379640E-17
3.940000E+03	1.631077E-15	4.411457E-17
3.950000E+03	1.642768E-15	4.442791E-17
3.960000E+03	1.654319E-15	4.473741E-17
3.970000E+03	1.665664E-15	4.504130E-17
3.980000E+03	1.676794E-15	4.533932E-17
3.990000E+03	1.687748E-15	4.563253E-17
4.000000E+03	1.698520E-15	4.592078E-17
4.010000E+03	1.709054E-15	4.620254E-17
4.020000E+03	1.719350E-15	4.647782E-17
4.030000E+03	1.729410E-15	4.674669E-17
4.040000E+03	1.739288E-15	4.701057E-17
4.050000E+03	1.748946E-15	4.726846E-17
4.060000E+03	1.758444E-15	4.752201E-17
4.070000E+03	1.767707E-15	4.776912E-17
4.080000E+03	1.776849E-15	4.801293E-17
4.090000E+03	1.785806E-15	4.825171E-17
4.100000E+03	1.794652E-15	4.848746E-17
4.110000E+03	1.803424E-15	4.872115E-17
4.120000E+03	1.812115E-15	4.895260E-17
4.130000E+03	1.820768E-15	4.918300E-17
4.140000E+03	1.829471E-15	4.941468E-17
4.150000E+03	1.838186E-15	4.964667E-17
4.160000E+03	1.846965E-15	4.988033E-17
4.170000E+03	1.855902E-15	5.011822E-17
4.180000E+03	1.865011E-15	5.036070E-17
4.190000E+03	1.874345E-15	5.060922E-17
4.200000E+03	1.883920E-15	5.086420E-17
4.210000E+03	1.893754E-15	5.112612E-17
4.220000E+03	1.903982E-15	5.139864E-17
4.230000E+03	1.914541E-15	5.168003E-17
4.240000E+03	1.925565E-15	5.197392E-17
4.250000E+03	1.936991E-15	5.227861E-17
4.260000E+03	1.948949E-15	5.259763E-17
4.270000E+03	1.961376E-15	5.292921E-17
4.280000E+03	1.974397E-15	5.327678E-17
4.290000E+03	1.987945E-15	5.363850E-17
4.300000E+03	2.002139E-15	5.401761E-17
4.310000E+03	2.016911E-15	5.441222E-17
4.320000E+03	2.032334E-15	5.482433E-17
4.330000E+03	2.048407E-15	5.525390E-17
4.340000E+03	2.065124E-15	5.570076E-17
4.350000E+03	2.082510E-15	5.616561E-17
4.360000E+03	2.100553E-15	5.664809E-17
4.370000E+03	2.119233E-15	5.714765E-17
4.380000E+03	2.138558E-15	5.766453E-17
4.390000E+03	2.158535E-15	5.819889E-17
4.400000E+03	2.179088E-15	5.874870E-17
4.410000E+03	2.200205E-15	5.931363E-17
4.420000E+03	2.221869E-15	5.989320E-17
4.430000E+03	2.244012E-15	6.048559E-17
4.440000E+03	2.266561E-15	6.108882E-17
4.450000E+03	2.289500E-15	6.170245E-17
4.460000E+03	2.312696E-15	6.232291E-17
4.470000E+03	2.336076E-15	6.294822E-17
4.480000E+03	2.359554E-15	6.357606E-17
4.490000E+03	2.383033E-15	6.420383E-17
4.500000E+03	2.406370E-15	6.482766E-17
4.510000E+03	2.429411E-15	6.544343E-17
4.520000E+03	2.452103E-15	6.604968E-17
4.530000E+03	2.474241E-15	6.664089E-17
4.540000E+03	2.495688E-15	6.721340E-17
4.550000E+03	2.516302E-15	6.776340E-17
4.560000E+03	2.535981E-15	6.828810E-17
4.570000E+03	2.554517E-15	6.878194E-17
4.580000E+03	2.571817E-15	6.924239E-17
4.590000E+03	2.587756E-15	6.966614E-17
4.600000E+03	2.602228E-15	7.005032E-17
4.610000E+03	2.615101E-15	7.039140E-17
4.620000E+03	2.626300E-15	7.068733E-17
4.630000E+03	2.635835E-15	7.093845E-17
4.640000E+03	2.643600E-15	7.114185E-17
4.650000E+03	2.649577E-15	7.129713E-17
4.660000E+03	2.653808E-15	7.140536E-17
4.670000E+03	2.656317E-15	7.146725E-17
4.680000E+03	2.657116E-15	7.148311E-17
