#wls	flux	fluxerr
1.600000E+03	1.880703E-15	1.397204E-15
1.640000E+03	1.926072E-15	1.410321E-15
1.680000E+03	1.974893E-15	1.424397E-15
1.720000E+03	2.027707E-15	1.439656E-15
1.760000E+03	2.084265E-15	1.455734E-15
1.800000E+03	2.145490E-15	1.473079E-15
1.840000E+03	2.211126E-15	1.491292E-15
1.880000E+03	2.281890E-15	1.510621E-15
1.920000E+03	2.358100E-15	1.531012E-15
1.960000E+03	2.439688E-15	1.552140E-15
2.000000E+03	2.527353E-15	1.574149E-15
2.040000E+03	2.621216E-15	1.596787E-15
2.080000E+03	2.721397E-15	1.619782E-15
2.120000E+03	2.828021E-15	1.642850E-15
2.160000E+03	2.940844E-15	1.665478E-15
2.200000E+03	3.058885E-15	1.686753E-15
2.240000E+03	3.180636E-15	1.705531E-15
2.280000E+03	3.305177E-15	1.721063E-15
2.320000E+03	3.433092E-15	1.733413E-15
2.360000E+03	3.566987E-15	1.743598E-15
2.400000E+03	3.708896E-15	1.752193E-15
2.440000E+03	3.860841E-15	1.759633E-15
2.480000E+03	4.023939E-15	1.765811E-15
2.520000E+03	4.199683E-15	1.770700E-15
2.560000E+03	4.389048E-15	1.773957E-15
2.600000E+03	4.593405E-15	1.775319E-15
2.640000E+03	4.813635E-15	1.774248E-15
2.680000E+03	5.050679E-15	1.770169E-15
2.720000E+03	5.305558E-15	1.762476E-15
2.760000E+03	5.578851E-15	1.750371E-15
2.800000E+03	5.871252E-15	1.733073E-15
2.840000E+03	6.183410E-15	1.709782E-15
2.880000E+03	6.516482E-15	1.679835E-15
2.920000E+03	6.872505E-15	1.642772E-15
2.960000E+03	7.254424E-15	1.598280E-15
3.000000E+03	7.666482E-15	1.546218E-15
3.010000E+03	7.774790E-15	1.532006E-15
3.020000E+03	7.885236E-15	1.517284E-15
3.030000E+03	7.998205E-15	1.502105E-15
3.040000E+03	8.113375E-15	1.486389E-15
3.050000E+03	8.231132E-15	1.470191E-15
3.060000E+03	8.351513E-15	1.453496E-15
3.070000E+03	8.474732E-15	1.436321E-15
3.080000E+03	8.600467E-15	1.418593E-15
3.090000E+03	8.729295E-15	1.400389E-15
3.100000E+03	8.860897E-15	1.381640E-15
3.110000E+03	8.995674E-15	1.362390E-15
3.120000E+03	9.133668E-15	1.342628E-15
3.130000E+03	9.274745E-15	1.322317E-15
3.140000E+03	9.419311E-15	1.301501E-15
3.150000E+03	9.567233E-15	1.280147E-15
3.160000E+03	9.718742E-15	1.258272E-15
3.170000E+03	9.873889E-15	1.235871E-15
3.180000E+03	1.003273E-14	1.212942E-15
3.190000E+03	1.019549E-14	1.189504E-15
3.200000E+03	1.036224E-14	1.165558E-15
3.210000E+03	1.053285E-14	1.141087E-15
3.220000E+03	1.070774E-14	1.116138E-15
3.230000E+03	1.088679E-14	1.090700E-15
3.240000E+03	1.107026E-14	1.064805E-15
3.250000E+03	1.125821E-14	1.038468E-15
3.260000E+03	1.145052E-14	1.011693E-15
3.270000E+03	1.164763E-14	9.845406E-16
3.280000E+03	1.184925E-14	9.570086E-16
3.290000E+03	1.205584E-14	9.291648E-16
3.300000E+03	1.226747E-14	9.010505E-16
3.310000E+03	1.248386E-14	8.726880E-16
3.320000E+03	1.270548E-14	8.441612E-16
3.330000E+03	1.293243E-14	8.155331E-16
3.340000E+03	1.316464E-14	7.868633E-16
3.350000E+03	1.340223E-14	7.582325E-16
3.357661E+03	5.634932E-15	1.209894E-15
3.361748E+03	5.881617E-15	1.223384E-15
3.365834E+03	6.159493E-15	1.239069E-15
3.369921E+03	6.466743E-15	1.256875E-15
3.374008E+03	6.834886E-15	1.279188E-15
3.378095E+03	7.305032E-15	1.309303E-15
3.382181E+03	7.748739E-15	1.337629E-15
3.386268E+03	8.270644E-15	1.384699E-15
3.390355E+03	8.859278E-15	1.434335E-15
3.394441E+03	9.464514E-15	1.515031E-15
3.398528E+03	1.004164E-14	1.570898E-15
3.402615E+03	1.057992E-14	1.497046E-15
3.406702E+03	1.110596E-14	1.646020E-15
3.410788E+03	1.160567E-14	1.684344E-15
3.414875E+03	1.202974E-14	1.795653E-15
3.418962E+03	1.244381E-14	1.814669E-15
3.423048E+03	1.281264E-14	1.816281E-15
3.427135E+03	1.309234E-14	1.734734E-15
3.431222E+03	1.337881E-14	1.717596E-15
3.435309E+03	1.356712E-14	1.746719E-15
3.439395E+03	1.374442E-14	1.710343E-15
3.443482E+03	1.390939E-14	1.718455E-15
3.447569E+03	1.403288E-14	1.731690E-15
3.451655E+03	1.407602E-14	1.814055E-15
3.455742E+03	1.410560E-14	1.726662E-15
3.459829E+03	1.409696E-14	1.796582E-15
3.463915E+03	1.406792E-14	1.716099E-15
3.468002E+03	1.401186E-14	1.655874E-15
