#wls	flux	fluxerr
1.600000E+03	4.534654E-16	3.409721E-16
1.640000E+03	4.574876E-16	3.393984E-16
1.680000E+03	4.616026E-16	3.376977E-16
1.720000E+03	4.658958E-16	3.359246E-16
1.760000E+03	4.703663E-16	3.340688E-16
1.800000E+03	4.751032E-16	3.321826E-16
1.840000E+03	4.800167E-16	3.301912E-16
1.880000E+03	4.851969E-16	3.281453E-16
1.920000E+03	4.907372E-16	3.260932E-16
1.960000E+03	4.966403E-16	3.240196E-16
2.000000E+03	5.029086E-16	3.219085E-16
2.040000E+03	5.096394E-16	3.198025E-16
2.080000E+03	5.168368E-16	3.176821E-16
2.120000E+03	5.246978E-16	3.156429E-16
2.160000E+03	5.330356E-16	3.135440E-16
2.200000E+03	5.419509E-16	3.114191E-16
2.240000E+03	5.515473E-16	3.092976E-16
2.280000E+03	5.617312E-16	3.070947E-16
2.320000E+03	5.726061E-16	3.048358E-16
2.360000E+03	5.840755E-16	3.024359E-16
2.400000E+03	5.962428E-16	2.999163E-16
2.440000E+03	6.090086E-16	2.971929E-16
2.480000E+03	6.223726E-16	2.942343E-16
2.520000E+03	6.363339E-16	2.910088E-16
2.560000E+03	6.508897E-16	2.874847E-16
2.600000E+03	6.660363E-16	2.836298E-16
2.640000E+03	6.817674E-16	2.794123E-16
2.680000E+03	6.980745E-16	2.748002E-16
2.720000E+03	7.148396E-16	2.697221E-16
2.760000E+03	7.321519E-16	2.641902E-16
2.800000E+03	7.499903E-16	2.581747E-16
2.840000E+03	7.682192E-16	2.516113E-16
2.880000E+03	7.869088E-16	2.445114E-16
2.920000E+03	8.060116E-16	2.368499E-16
2.960000E+03	8.255752E-16	2.286346E-16
3.000000E+03	8.457399E-16	2.198982E-16
3.010000E+03	8.509016E-16	2.176387E-16
3.020000E+03	8.561407E-16	2.153559E-16
3.030000E+03	8.613468E-16	2.130222E-16
3.040000E+03	8.667352E-16	2.106907E-16
3.050000E+03	8.720866E-16	2.083072E-16
3.060000E+03	8.775074E-16	2.058978E-16
3.070000E+03	8.829954E-16	2.034615E-16
3.080000E+03	8.885480E-16	2.009977E-16
3.090000E+03	8.941626E-16	1.985055E-16
3.100000E+03	8.999452E-16	1.960080E-16
3.110000E+03	9.056755E-16	1.934566E-16
3.120000E+03	9.115677E-16	1.908977E-16
3.130000E+03	9.175098E-16	1.883071E-16
3.140000E+03	9.234984E-16	1.856843E-16
3.150000E+03	9.296384E-16	1.830503E-16
3.160000E+03	9.358173E-16	1.803825E-16
3.170000E+03	9.421395E-16	1.777011E-16
3.180000E+03	9.486005E-16	1.750047E-16
3.190000E+03	9.550874E-16	1.722722E-16
3.200000E+03	9.617036E-16	1.695229E-16
3.210000E+03	9.685522E-16	1.667742E-16
3.220000E+03	9.754110E-16	1.639874E-16
3.230000E+03	9.823827E-16	1.611807E-16
3.240000E+03	9.895691E-16	1.583705E-16
3.250000E+03	9.968555E-16	1.555382E-16
3.260000E+03	1.004235E-15	1.526835E-16
3.270000E+03	1.011809E-15	1.498220E-16
3.280000E+03	1.019462E-15	1.469370E-16
3.290000E+03	1.027400E-15	1.440590E-16
3.300000E+03	1.035400E-15	1.411566E-16
3.310000E+03	1.043669E-15	1.382590E-16
3.320000E+03	1.051981E-15	1.353374E-16
3.330000E+03	1.060543E-15	1.324199E-16
3.340000E+03	1.069236E-15	1.294930E-16
3.350000E+03	1.078155E-15	1.265703E-16
3.360000E+03	1.087291E-15	1.236519E-16
3.370000E+03	1.096630E-15	1.207389E-16
3.380000E+03	1.106160E-15	1.178325E-16
3.390000E+03	1.115870E-15	1.149348E-16
3.400000E+03	1.125745E-15	1.120487E-16
3.410000E+03	1.135876E-15	1.091877E-16
3.420000E+03	1.146249E-15	1.063550E-16
3.430000E+03	1.156850E-15	1.035547E-16
3.440000E+03	1.167662E-15	1.007921E-16
3.450000E+03	1.178671E-15	9.807346E-17
3.460000E+03	1.189964E-15	9.541434E-17
3.470000E+03	1.201422E-15	9.281457E-17
3.480000E+03	1.213130E-15	9.029163E-17
3.490000E+03	1.225073E-15	8.785584E-17
3.500000E+03	1.237235E-15	8.551885E-17
3.510000E+03	1.249698E-15	8.330023E-17
3.520000E+03	1.262346E-15	8.120689E-17
3.530000E+03	1.275264E-15	7.926000E-17
3.540000E+03	1.288435E-15	7.747444E-17
3.550000E+03	1.301845E-15	7.586526E-17
3.560000E+03	1.315477E-15	7.444704E-17
3.570000E+03	1.329321E-15	7.323304E-17
3.580000E+03	1.343457E-15	7.223943E-17
3.590000E+03	1.357872E-15	7.147367E-17
3.600000E+03	1.372554E-15	7.093930E-17
3.610000E+03	1.387490E-15	7.063519E-17
3.620000E+03	1.402668E-15	7.055558E-17
3.630000E+03	1.418079E-15	7.069047E-17
3.640000E+03	1.433804E-15	7.103083E-17
3.650000E+03	1.449743E-15	7.155567E-17
3.660000E+03	1.465978E-15	7.225120E-17
3.670000E+03	1.482414E-15	7.309360E-17
3.680000E+03	1.499224E-15	7.407198E-17
3.690000E+03	1.516313E-15	7.516247E-17
3.700000E+03	1.533677E-15	7.634638E-17
3.710000E+03	1.551315E-15	7.760612E-17
3.720000E+03	1.569225E-15	7.892539E-17
3.730000E+03	1.587493E-15	8.029364E-17
3.740000E+03	1.606030E-15	8.169318E-17
3.750000E+03	1.624922E-15	8.311640E-17
