MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
56677.31	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.36	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.41	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.46000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.51000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.56000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.610000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.66000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.71000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.760000000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.81000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.86000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.91000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56677.960000000036	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56678.01000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56678.06000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56678.110000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56678.16000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56678.21000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56678.26000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56678.310000000056	nan	nan	nan	nan	nan	nan	nan	nan	5.126634423118167e-18	3.231887471137027e-15
56678.36000000006	nan	nan	nan	nan	nan	nan	nan	nan	2.5087813296559356e-17	3.209920807422279e-15
56678.41000000006	nan	nan	nan	nan	nan	nan	nan	nan	4.5241328934387754e-17	3.1878939054174765e-15
56678.460000000065	nan	nan	nan	nan	nan	nan	nan	nan	6.558857186202607e-17	3.1658072186545103e-15
56678.51000000007	nan	nan	nan	nan	nan	nan	nan	nan	8.613094154195795e-17	3.1436612137258986e-15
56678.56000000007	nan	nan	nan	nan	nan	nan	nan	nan	1.0686984642714155e-16	3.121456370542935e-15
56678.61000000007	nan	nan	nan	nan	nan	nan	nan	nan	1.2780670401585562e-16	3.099193182599924e-15
56678.660000000076	nan	nan	nan	nan	nan	nan	nan	nan	1.489429409053951e-16	3.076872157244791e-15
56678.71000000008	nan	nan	nan	nan	nan	nan	nan	nan	1.702799928475685e-16	3.0544938159560917e-15
56678.76000000008	nan	nan	nan	nan	nan	nan	nan	nan	1.918193048032832e-16	3.0320586946268574e-15
56678.810000000085	nan	nan	nan	nan	nan	nan	nan	nan	2.135623309982816e-16	3.0095673438553614e-15
56678.86000000009	nan	nan	nan	nan	nan	nan	nan	nan	2.355105349787901e-16	2.9870203292428526e-15
56678.91000000009	nan	nan	nan	nan	nan	nan	nan	nan	2.576653896674504e-16	2.964418231699032e-15
56678.960000000094	nan	nan	nan	nan	nan	nan	nan	nan	2.8002837742001023e-16	2.941761647754776e-15
56679.0100000001	nan	nan	nan	nan	nan	nan	nan	nan	3.026009900816454e-16	2.9190511898831537e-15
56679.0600000001	nan	nan	nan	nan	nan	nan	nan	nan	3.253847290445623e-16	2.896287486828224e-15
56679.1100000001	nan	nan	nan	nan	nan	nan	nan	nan	3.4838110530468855e-16	2.873471183942596e-15
56679.160000000105	nan	nan	nan	nan	nan	nan	nan	nan	3.7159163951988337e-16	2.8506029435335637e-15
56679.21000000011	nan	nan	nan	nan	nan	nan	nan	nan	3.950178620678004e-16	2.8276834452182624e-15
56679.26000000011	nan	nan	nan	nan	nan	nan	nan	nan	4.1866131310442344e-16	2.8047133862883076e-15
56679.310000000114	nan	nan	-3.542838389892786e-16	7.38535355711999e-16	nan	nan	nan	nan	4.4252354262238506e-16	2.781693482083934e-15
56679.36000000012	nan	nan	-3.442588856481989e-16	7.313176215901442e-16	nan	nan	nan	nan	4.666061105104574e-16	2.7586244663783812e-15
56679.41000000012	nan	nan	-3.3416239050896054e-16	7.240979383875884e-16	nan	nan	nan	nan	4.909105866126521e-16	2.7355070917724725e-15
56679.46000000012	nan	nan	-3.2399398540031865e-16	7.168765512696732e-16	nan	nan	nan	nan	5.154385507881017e-16	2.712342130100124e-15
56679.510000000126	nan	nan	-3.137533004829014e-16	7.096537095351904e-16	nan	nan	nan	nan	5.401915929711582e-16	2.6891303728449408e-15
56679.56000000013	nan	nan	-3.034399642412816e-16	7.024296666949552e-16	nan	nan	nan	nan	5.651713132315346e-16	2.665872631568379e-15
56679.61000000013	nan	nan	-2.9305360347805957e-16	6.952046805525226e-16	nan	nan	nan	nan	5.903793218355321e-16	2.6425697383499443e-15
56679.660000000134	nan	nan	-2.8259384330613895e-16	6.879790132873099e-16	nan	nan	nan	nan	6.158172393068763e-16	2.6192225462398885e-15
56679.71000000014	nan	nan	-2.720603071410607e-16	6.807529315398493e-16	nan	nan	nan	nan	6.414866964880747e-16	2.5958319297248113e-15
56679.76000000014	nan	nan	-2.6145261669491095e-16	6.735267064997929e-16	nan	nan	nan	nan	6.673893346024898e-16	2.57239878520671e-15
56679.81000000014	nan	nan	-2.507703919681305e-16	6.663006139961916e-16	nan	nan	nan	nan	6.935268053166086e-16	2.5489240314959592e-15
56679.860000000146	nan	nan	-2.4001325124307295e-16	6.590749345905727e-16	nan	nan	nan	nan	7.199007708022018e-16	2.525408610318855e-15
56679.91000000015	nan	nan	-2.2918081107619305e-16	6.518499536727788e-16	nan	nan	nan	nan	7.465129037995703e-16	2.501853486840146e-15
56679.96000000015	nan	nan	-2.1827268629087614e-16	6.446259615596671e-16	nan	nan	nan	nan	7.733648876807902e-16	2.478259650201358e-15
56680.010000000155	nan	nan	-2.0728848997032605e-16	6.374032535967748e-16	nan	nan	nan	nan	8.004584165130234e-16	2.454628114075345e-15
56680.06000000016	nan	nan	-1.9622783344986981e-16	6.301821302633013e-16	nan	nan	nan	nan	8.277951951228486e-16	2.430959917237862e-15
56680.11000000016	nan	nan	-1.8509032630990396e-16	6.229628972802066e-16	nan	nan	nan	nan	8.553769391605046e-16	2.407256124156674e-15
