#wls	flux	fluxerr	mangling_mask
6.011663E+03	1.903836E-14	1.773337E-15	6.954653E+00
6.015876E+03	1.900686E-14	1.761530E-15	6.954069E+00
6.020090E+03	1.897114E-14	1.749349E-15	6.953467E+00
6.024303E+03	1.893538E-14	1.737181E-15	6.952846E+00
6.028516E+03	1.890027E-14	1.725089E-15	6.952207E+00
6.032730E+03	1.885330E-14	1.711942E-15	6.951550E+00
6.036943E+03	1.881045E-14	1.700292E-15	6.950874E+00
6.041157E+03	1.875019E-14	1.685001E-15	6.950179E+00
6.045370E+03	1.868850E-14	1.670958E-15	6.949466E+00
6.049584E+03	1.862191E-14	1.655703E-15	6.948734E+00
6.053797E+03	1.856015E-14	1.640767E-15	6.947982E+00
6.058011E+03	1.851015E-14	1.628252E-15	6.947212E+00
6.062224E+03	1.847887E-14	1.618936E-15	6.946422E+00
6.066437E+03	1.845936E-14	1.610285E-15	6.945613E+00
6.070651E+03	1.845924E-14	1.602425E-15	6.944785E+00
6.074864E+03	1.848754E-14	1.597967E-15	6.943937E+00
6.079078E+03	1.852966E-14	1.591729E-15	6.943069E+00
6.083291E+03	1.858144E-14	1.583910E-15	6.942182E+00
6.087505E+03	1.865815E-14	1.580029E-15	6.941275E+00
6.091718E+03	1.876323E-14	1.580161E-15	6.940348E+00
6.095931E+03	1.888766E-14	1.580060E-15	6.939400E+00
6.100145E+03	1.902310E-14	1.579043E-15	6.938433E+00
6.104358E+03	1.916677E-14	1.581517E-15	6.937445E+00
6.108572E+03	1.930688E-14	1.589548E-15	6.936437E+00
6.112785E+03	1.944480E-14	1.595495E-15	6.935408E+00
6.116999E+03	1.957292E-14	1.613937E-15	6.934358E+00
6.121212E+03	1.969192E-14	1.618789E-15	6.933288E+00
6.125426E+03	1.978241E-14	1.620973E-15	6.932197E+00
6.129639E+03	1.985132E-14	1.615762E-15	6.931084E+00
6.133852E+03	1.988827E-14	1.606633E-15	6.929951E+00
6.138066E+03	1.988426E-14	1.590136E-15	6.928796E+00
6.142279E+03	1.984209E-14	1.568971E-15	6.927620E+00
6.146493E+03	1.975139E-14	1.543972E-15	6.926422E+00
6.150706E+03	1.962533E-14	1.521609E-15	6.925203E+00
6.154919E+03	1.945841E-14	1.499074E-15	6.923962E+00
6.159133E+03	1.924787E-14	1.474834E-15	6.922699E+00
6.163346E+03	1.898060E-14	1.451818E-15	6.921415E+00
6.167560E+03	1.868568E-14	1.430237E-15	6.920108E+00
6.171773E+03	1.836936E-14	1.396751E-15	6.918779E+00
6.175987E+03	1.803512E-14	1.363151E-15	6.917427E+00
6.180200E+03	1.768642E-14	1.328935E-15	6.916053E+00
6.184414E+03	1.732882E-14	1.293132E-15	6.914657E+00
6.188627E+03	1.697960E-14	1.254674E-15	6.913238E+00
6.192840E+03	1.663462E-14	1.218299E-15	6.911795E+00
6.197054E+03	1.629940E-14	1.184132E-15	6.910330E+00
6.201267E+03	1.598637E-14	1.146409E-15	6.908842E+00
6.205481E+03	1.569069E-14	1.115195E-15	6.907331E+00
6.209694E+03	1.541857E-14	1.092969E-15	6.905796E+00
