#wls	flux	fluxerr
1.574803E+03	1.754150E-03	1.021672E-04
1.614173E+03	1.745494E-03	1.007749E-04
1.653543E+03	1.736970E-03	9.938135E-05
1.692913E+03	1.728843E-03	9.800153E-05
1.732283E+03	1.721089E-03	9.663354E-05
1.771654E+03	1.713962E-03	9.529095E-05
1.811024E+03	1.707426E-03	9.397098E-05
1.850394E+03	1.701448E-03	9.267081E-05
1.889764E+03	1.696806E-03	9.143159E-05
1.929134E+03	1.693437E-03	9.024772E-05
1.968504E+03	1.691279E-03	8.911370E-05
2.007874E+03	1.690791E-03	8.805136E-05
2.047244E+03	1.692152E-03	8.706670E-05
2.086614E+03	1.696035E-03	8.619053E-05
2.125984E+03	1.702063E-03	8.539908E-05
2.165354E+03	1.711121E-03	8.473182E-05
2.204724E+03	1.722807E-03	8.416297E-05
2.244094E+03	1.736972E-03	8.367993E-05
2.283465E+03	1.753710E-03	8.328176E-05
2.322835E+03	1.772387E-03	8.293329E-05
2.362205E+03	1.793101E-03	8.263458E-05
2.401575E+03	1.815706E-03	8.237433E-05
2.440945E+03	1.839829E-03	8.213158E-05
2.480315E+03	1.865341E-03	8.189703E-05
2.519685E+03	1.892114E-03	8.166183E-05
2.559055E+03	1.920242E-03	8.142698E-05
2.598425E+03	1.949176E-03	8.116633E-05
2.637795E+03	1.979233E-03	8.089109E-05
2.677165E+03	2.010307E-03	8.059435E-05
2.716535E+03	2.042500E-03	8.027803E-05
2.755906E+03	2.076117E-03	7.995144E-05
2.795276E+03	2.111058E-03	7.960799E-05
2.834646E+03	2.147057E-03	7.923525E-05
2.874016E+03	2.183323E-03	7.880295E-05
2.913386E+03	2.220260E-03	7.832577E-05
2.952756E+03	2.257564E-03	7.779291E-05
2.962598E+03	2.266820E-03	7.764672E-05
2.972441E+03	2.276325E-03	7.750483E-05
2.982283E+03	2.285899E-03	7.736107E-05
2.992126E+03	2.295546E-03	7.721552E-05
3.001969E+03	2.305268E-03	7.706828E-05
3.011811E+03	2.315069E-03	7.691946E-05
3.021654E+03	2.324953E-03	7.676916E-05
3.031496E+03	2.334926E-03	7.661752E-05
3.041339E+03	2.345165E-03	7.647038E-05
3.051181E+03	2.355501E-03	7.632208E-05
3.061024E+03	2.365940E-03	7.617281E-05
3.070866E+03	2.376660E-03	7.602824E-05
3.080709E+03	2.387495E-03	7.588299E-05
3.090551E+03	2.398625E-03	7.574266E-05
3.100394E+03	2.410054E-03	7.560731E-05
3.110236E+03	2.421623E-03	7.547178E-05
3.120079E+03	2.433510E-03	7.534160E-05
3.129921E+03	2.445893E-03	7.522205E-05
3.139764E+03	2.458445E-03	7.510294E-05
3.149606E+03	2.471515E-03	7.499476E-05
3.159449E+03	2.484781E-03	7.488759E-05
3.169291E+03	2.498756E-03	7.479670E-05
3.179134E+03	2.513123E-03	7.471231E-05
3.188976E+03	2.527901E-03	7.463479E-05
3.198819E+03	2.543436E-03	7.457409E-05
3.208661E+03	2.559420E-03	7.452088E-05
3.218504E+03	2.576201E-03	7.448501E-05
3.228346E+03	2.593642E-03	7.446212E-05
3.238189E+03	2.611928E-03	7.445719E-05
3.248031E+03	2.630927E-03	7.446601E-05
3.257874E+03	2.650829E-03	7.449363E-05
3.267717E+03	2.671826E-03	7.454493E-05
3.277559E+03	2.693791E-03	7.461579E-05
3.287402E+03	2.716918E-03	7.471110E-05
3.297244E+03	2.741241E-03	7.483120E-05
3.307087E+03	2.766797E-03	7.497644E-05
3.316929E+03	2.793776E-03	7.515135E-05
3.326772E+03	2.822210E-03	7.535605E-05
3.336614E+03	2.852122E-03	7.559040E-05
3.346457E+03	2.883689E-03	7.585830E-05
3.356299E+03	2.916911E-03	7.615895E-05
3.366142E+03	2.952088E-03	7.649931E-05
3.375984E+03	2.988866E-03	7.686924E-05
3.385827E+03	3.027483E-03	7.727405E-05
3.395669E+03	3.067975E-03	7.771381E-05
3.405512E+03	3.110169E-03	7.818320E-05
3.415354E+03	3.153991E-03	7.867965E-05
3.425197E+03	3.199354E-03	7.920022E-05
3.435039E+03	3.246066E-03	7.973957E-05
3.444882E+03	3.294947E-03	8.031713E-05
3.454724E+03	3.345883E-03	8.092914E-05
3.464567E+03	3.399360E-03	8.158637E-05
3.474409E+03	3.455521E-03	8.229107E-05
3.484252E+03	3.514801E-03	8.305226E-05
3.494094E+03	3.577145E-03	8.386727E-05
3.503937E+03	3.642654E-03	8.473702E-05
3.513780E+03	3.711269E-03	8.565875E-05
3.523622E+03	3.783254E-03	8.663701E-05
3.533465E+03	3.858420E-03	8.766582E-05
3.543307E+03	3.937074E-03	8.875052E-05
3.553150E+03	4.019244E-03	8.988997E-05
3.562992E+03	4.105150E-03	9.108736E-05
3.572835E+03	4.194742E-03	9.233971E-05
3.582677E+03	4.288650E-03	9.365902E-05
3.592520E+03	4.386769E-03	9.504085E-05
3.602362E+03	4.489689E-03	9.649585E-05
3.612205E+03	4.597753E-03	9.802899E-05
3.622047E+03	4.711541E-03	9.965003E-05
3.631890E+03	4.831405E-03	1.013635E-04
3.641732E+03	4.958415E-03	1.031888E-04
3.651575E+03	5.093104E-03	1.051335E-04
3.661417E+03	5.236426E-03	1.072132E-04
3.671260E+03	5.389288E-03	1.094423E-04
3.681102E+03	5.552859E-03	1.118397E-04
3.690945E+03	5.728290E-03	1.144232E-04
3.700787E+03	5.917187E-03	1.172189E-04
3.710630E+03	6.120794E-03	1.202446E-04
3.720472E+03	6.340828E-03	1.235270E-04
3.730315E+03	6.579161E-03	1.270940E-04
3.740157E+03	6.837789E-03	1.309754E-04
3.750000E+03	7.118468E-03	1.351947E-04
3.759843E+03	7.423811E-03	1.397906E-04
3.769685E+03	7.755546E-03	1.447836E-04
3.779528E+03	8.116243E-03	1.502087E-04
3.789370E+03	8.508109E-03	1.560929E-04
3.799213E+03	8.933585E-03	1.624656E-04
3.809055E+03	9.395072E-03	1.693543E-04
3.818898E+03	9.894666E-03	1.767795E-04
3.828740E+03	1.043427E-02	1.847570E-04
3.838583E+03	1.101600E-02	1.933053E-04
3.848425E+03	1.164116E-02	2.024272E-04
3.858268E+03	1.231052E-02	2.121157E-04
3.868110E+03	1.302451E-02	2.223576E-04
3.877953E+03	1.378280E-02	2.331267E-04
3.887795E+03	1.458386E-02	2.443768E-04
3.897638E+03	1.542509E-02	2.560451E-04
3.907480E+03	1.630342E-02	2.680627E-04
3.917323E+03	1.721394E-02	2.803328E-04
3.927165E+03	1.815089E-02	2.927479E-04
3.937008E+03	1.910694E-02	3.051794E-04
3.946850E+03	2.007361E-02	3.174847E-04
3.956693E+03	4.330002E-02	6.780840E-04
3.965748E+03	3.961363E-02	6.146821E-04
3.974803E+03	3.714126E-02	5.710085E-04
3.983858E+03	3.497182E-02	5.326639E-04
3.992913E+03	3.450984E-02	5.207099E-04
4.001969E+03	3.505542E-02	5.239555E-04
4.011024E+03	3.684698E-02	5.455014E-04
4.020079E+03	3.924564E-02	5.754511E-04
4.029134E+03	4.242048E-02	6.160040E-04
4.038189E+03	4.481042E-02	6.443861E-04
4.047244E+03	4.650706E-02	6.622367E-04
4.056299E+03	4.678070E-02	6.595632E-04
4.065354E+03	4.484221E-02	6.259510E-04
4.074409E+03	4.324193E-02	5.975723E-04
4.083465E+03	4.209164E-02	5.758138E-04
4.092520E+03	3.813415E-02	5.163810E-04
4.101575E+03	3.607389E-02	4.834914E-04
4.110630E+03	3.360528E-02	4.457721E-04
4.119685E+03	3.221982E-02	4.229694E-04
4.128740E+03	3.081986E-02	4.003763E-04
4.137795E+03	2.962100E-02	3.807689E-04
4.146850E+03	2.908571E-02	3.699466E-04
4.155906E+03	2.867649E-02	3.608754E-04
4.164961E+03	2.807339E-02	3.495212E-04
4.174016E+03	2.822407E-02	3.476345E-04
4.183071E+03	2.717800E-02	3.311491E-04
4.192126E+03	2.657830E-02	3.203439E-04
4.201181E+03	2.570693E-02	3.064817E-04
4.210236E+03	2.514346E-02	2.965026E-04
4.219291E+03	2.493715E-02	2.908609E-04
4.228346E+03	2.504033E-02	2.888700E-04
4.237402E+03	2.453375E-02	2.799246E-04
4.246457E+03	2.451281E-02	2.766170E-04
4.255512E+03	2.451103E-02	2.735601E-04
4.264567E+03	2.435426E-02	2.688263E-04
4.273622E+03	2.483005E-02	2.710710E-04
4.282677E+03	2.470360E-02	2.667360E-04
4.291732E+03	2.443694E-02	2.609726E-04
4.300787E+03	2.373380E-02	2.507017E-04
4.309843E+03	2.271376E-02	2.373231E-04
4.318898E+03	2.176893E-02	2.249951E-04
4.327953E+03	2.101043E-02	2.148248E-04
4.337008E+03	2.001513E-02	2.024676E-04
4.346063E+03	1.894281E-02	1.895954E-04
4.355118E+03	1.843157E-02	1.825477E-04
4.364173E+03	1.815737E-02	1.779703E-04
4.373228E+03	1.835745E-02	1.780917E-04
4.382283E+03	1.834395E-02	1.761663E-04
4.391339E+03	1.860996E-02	1.769464E-04
4.400394E+03	1.908219E-02	1.796637E-04
4.409449E+03	1.926376E-02	1.796289E-04
4.418504E+03	1.961558E-02	1.811777E-04
4.427559E+03	1.917995E-02	1.755022E-04
4.436614E+03	1.885212E-02	1.709176E-04
4.445669E+03	1.881975E-02	1.690790E-04
4.454724E+03	1.880384E-02	1.674274E-04
4.463780E+03	1.893454E-02	1.671055E-04
4.472835E+03	1.928759E-02	1.687403E-04
4.481890E+03	2.006665E-02	1.740468E-04
4.490945E+03	2.111146E-02	1.815528E-04
