#wls	flux	fluxerr
1.574803E+03	8.773598E-04	8.593815E-05
1.614173E+03	8.635578E-04	8.407024E-05
1.653543E+03	8.498636E-04	8.221693E-05
1.692913E+03	8.362798E-04	8.037870E-05
1.732283E+03	8.231284E-04	7.858650E-05
1.771654E+03	8.102409E-04	7.682396E-05
1.811024E+03	7.976142E-04	7.509070E-05
1.850394E+03	7.853975E-04	7.340054E-05
1.889764E+03	7.735813E-04	7.175221E-05
1.929134E+03	7.623035E-04	7.015796E-05
1.968504E+03	7.515499E-04	6.861573E-05
2.007874E+03	7.411637E-04	6.711061E-05
2.047244E+03	7.314189E-04	6.566673E-05
2.086614E+03	7.222962E-04	6.428129E-05
2.125984E+03	7.137794E-04	6.295176E-05
2.165354E+03	7.057224E-04	6.166427E-05
2.204724E+03	6.983778E-04	6.043988E-05
2.244094E+03	6.917297E-04	5.927579E-05
2.283465E+03	6.855155E-04	5.814823E-05
2.322835E+03	6.801052E-04	5.708742E-05
2.362205E+03	6.751280E-04	5.606070E-05
2.401575E+03	6.709484E-04	5.509709E-05
2.440945E+03	6.673334E-04	5.417572E-05
2.480315E+03	6.644133E-04	5.330567E-05
2.519685E+03	6.620934E-04	5.247767E-05
2.559055E+03	6.605130E-04	5.170107E-05
2.598425E+03	6.598119E-04	5.098469E-05
2.637795E+03	6.598149E-04	5.031265E-05
2.677165E+03	6.606821E-04	4.969502E-05
2.716535E+03	6.625778E-04	4.914145E-05
2.755906E+03	6.654706E-04	4.864651E-05
2.795276E+03	6.696445E-04	4.822758E-05
2.834646E+03	6.751910E-04	4.788709E-05
2.874016E+03	6.823116E-04	4.763468E-05
2.913386E+03	6.913136E-04	4.748625E-05
2.952756E+03	7.024141E-04	4.745020E-05
2.962598E+03	7.055914E-04	4.746291E-05
2.972441E+03	7.089335E-04	4.748430E-05
2.982283E+03	7.123480E-04	4.750806E-05
2.992126E+03	7.160259E-04	4.754680E-05
3.001969E+03	7.198749E-04	4.759422E-05
3.011811E+03	7.238969E-04	4.765028E-05
3.021654E+03	7.280936E-04	4.771493E-05
3.031496E+03	7.324676E-04	4.778820E-05
3.041339E+03	7.371139E-04	4.787611E-05
3.051181E+03	7.418473E-04	4.796644E-05
3.061024E+03	7.469507E-04	4.807733E-05
3.070866E+03	7.521446E-04	4.819053E-05
3.080709E+03	7.577116E-04	4.832400E-05
3.090551E+03	7.633720E-04	4.845965E-05
3.100394E+03	7.694082E-04	4.861524E-05
3.110236E+03	7.756344E-04	4.877875E-05
3.120079E+03	7.821450E-04	4.895592E-05
3.129921E+03	7.889411E-04	4.914658E-05
3.139764E+03	7.959291E-04	4.934466E-05
3.149606E+03	8.032976E-04	4.956163E-05
3.159449E+03	8.109528E-04	4.979139E-05
3.169291E+03	8.188007E-04	5.002794E-05
3.179134E+03	8.271232E-04	5.028826E-05
3.188976E+03	8.356378E-04	5.055482E-05
3.198819E+03	8.445319E-04	5.083873E-05
3.208661E+03	8.537101E-04	5.113395E-05
3.218504E+03	8.632660E-04	5.144579E-05
3.228346E+03	8.731983E-04	5.177385E-05
3.238189E+03	8.835053E-04	5.211769E-05
3.248031E+03	8.940913E-04	5.247134E-05
3.257874E+03	9.051438E-04	5.284553E-05
3.267717E+03	9.164710E-04	5.322869E-05
3.277559E+03	9.282623E-04	5.363152E-05
3.287402E+03	9.405169E-04	5.405356E-05
3.297244E+03	9.530421E-04	5.448338E-05
3.307087E+03	9.661259E-04	5.493711E-05
3.316929E+03	9.795767E-04	5.540344E-05
3.326772E+03	9.934921E-04	5.588752E-05
3.336614E+03	1.007875E-03	5.638913E-05
3.346457E+03	1.022731E-03	5.690809E-05
3.356299E+03	1.038163E-03	5.744975E-05
3.366142E+03	1.054082E-03	5.800870E-05
3.375984E+03	1.070500E-03	5.858515E-05
3.385827E+03	1.087529E-03	5.918476E-05
3.395669E+03	1.105186E-03	5.980797E-05
3.405512E+03	1.123497E-03	6.045549E-05
3.415354E+03	1.142486E-03	6.112819E-05
3.425197E+03	1.162287E-03	6.183249E-05
3.435039E+03	1.182835E-03	6.256431E-05
3.444882E+03	1.204167E-03	6.332494E-05
3.454724E+03	1.226426E-03	6.412110E-05
3.464567E+03	1.249660E-03	6.495459E-05
3.474409E+03	1.274028E-03	6.583265E-05
3.484252E+03	1.299391E-03	6.674725E-05
3.494094E+03	1.326020E-03	6.771134E-05
3.503937E+03	1.353892E-03	6.872263E-05
3.513780E+03	1.383193E-03	6.978942E-05
3.523622E+03	1.414014E-03	7.091509E-05
3.533465E+03	1.446560E-03	7.210842E-05
3.543307E+03	1.480731E-03	7.336300E-05
3.553150E+03	1.516745E-03	7.468803E-05
3.562992E+03	1.554935E-03	7.609815E-05
3.572835E+03	1.595121E-03	7.758255E-05
3.582677E+03	1.637759E-03	7.916156E-05
3.592520E+03	1.682897E-03	8.083522E-05
3.602362E+03	1.730588E-03	8.260377E-05
3.612205E+03	1.781220E-03	8.448328E-05
3.622047E+03	1.834976E-03	8.647971E-05
3.631890E+03	1.891939E-03	8.859412E-05
3.641732E+03	1.952424E-03	9.083819E-05
3.651575E+03	2.016645E-03	9.321865E-05
3.661417E+03	2.084710E-03	9.573706E-05
3.671260E+03	2.157085E-03	9.841114E-05
3.681102E+03	2.234019E-03	1.012483E-04
3.690945E+03	2.315527E-03	1.042449E-04
3.700787E+03	2.402108E-03	1.074193E-04
3.710630E+03	2.494036E-03	1.107789E-04
3.720472E+03	2.591587E-03	1.143310E-04
3.730315E+03	2.694912E-03	1.180770E-04
3.740157E+03	2.804550E-03	1.220352E-04
3.750000E+03	2.920515E-03	1.262004E-04
3.759843E+03	3.043352E-03	1.305900E-04
3.769685E+03	3.173191E-03	1.352034E-04
3.779528E+03	3.310282E-03	1.400447E-04
3.789370E+03	3.455007E-03	1.451231E-04
3.799213E+03	3.607428E-03	1.504343E-04
3.809055E+03	3.767876E-03	1.559850E-04
3.818898E+03	3.936337E-03	1.617669E-04
3.828740E+03	4.113060E-03	1.677829E-04
3.838583E+03	4.298083E-03	1.740269E-04
3.848425E+03	4.491205E-03	1.804829E-04
3.858268E+03	4.692480E-03	1.871457E-04
3.868110E+03	4.901531E-03	1.939927E-04
3.877953E+03	5.118227E-03	2.010115E-04
3.887795E+03	5.342127E-03	2.081776E-04
3.897638E+03	5.572654E-03	2.154620E-04
3.907480E+03	5.808914E-03	2.228242E-04
3.917323E+03	6.050020E-03	2.302248E-04
3.927165E+03	6.295153E-03	2.376283E-04
3.937008E+03	6.543171E-03	2.449881E-04
3.946850E+03	6.792396E-03	2.522390E-04
3.956693E+03	7.041844E-03	2.593434E-04
3.966535E+03	7.289822E-03	2.662391E-04
3.976378E+03	7.534518E-03	2.728617E-04
3.986220E+03	7.774485E-03	2.791621E-04
3.996063E+03	8.008002E-03	2.850832E-04
4.005906E+03	8.233298E-03	2.905683E-04
4.015748E+03	8.448154E-03	2.955474E-04
4.025591E+03	8.651125E-03	2.999799E-04
4.035433E+03	8.840725E-03	3.038257E-04
4.045276E+03	9.015458E-03	3.070463E-04
4.055118E+03	9.174573E-03	3.096300E-04
4.064961E+03	9.317083E-03	3.115585E-04
4.074803E+03	9.443051E-03	3.128494E-04
4.084646E+03	9.552451E-03	3.135172E-04
4.094488E+03	9.645929E-03	3.135986E-04
4.104331E+03	9.724229E-03	3.131325E-04
4.114173E+03	9.788766E-03	3.121783E-04
4.124016E+03	9.840457E-03	3.107781E-04
4.133858E+03	9.880804E-03	3.089910E-04
4.143701E+03	9.911322E-03	3.068750E-04
4.153543E+03	9.933256E-03	3.044774E-04
4.163386E+03	9.948225E-03	3.018560E-04
4.173228E+03	9.956972E-03	2.990398E-04
4.183071E+03	9.960913E-03	2.960771E-04
4.192913E+03	9.961185E-03	2.930063E-04
4.202756E+03	9.958252E-03	2.898446E-04
4.212598E+03	9.953430E-03	2.866335E-04
4.222441E+03	9.947364E-03	2.833937E-04
4.232283E+03	9.940423E-03	2.801370E-04
4.242126E+03	9.933167E-03	2.768807E-04
4.251969E+03	9.926054E-03	2.736381E-04
4.261811E+03	9.919255E-03	2.704143E-04
4.271654E+03	9.912640E-03	2.672063E-04
4.281496E+03	9.906527E-03	2.640229E-04
4.291339E+03	9.900838E-03	2.608624E-04
4.301181E+03	9.895402E-03	2.577208E-04
4.311024E+03	9.890068E-03	2.545945E-04
4.320866E+03	9.884729E-03	2.514816E-04
4.330709E+03	9.879488E-03	2.483855E-04
4.340551E+03	9.874593E-03	2.453132E-04
4.350394E+03	9.870241E-03	2.422700E-04
4.360236E+03	9.867245E-03	2.392762E-04
4.370079E+03	9.867388E-03	2.363743E-04
4.379921E+03	9.872239E-03	2.335995E-04
4.389764E+03	9.883708E-03	2.309936E-04
4.399606E+03	9.903234E-03	2.285851E-04
4.409449E+03	9.932690E-03	2.264110E-04
4.419291E+03	9.973513E-03	2.244964E-04
4.429134E+03	1.002751E-02	2.228734E-04
4.438976E+03	1.009569E-02	2.215543E-04
4.448819E+03	1.017957E-02	2.205611E-04
4.458661E+03	1.028023E-02	2.199049E-04
4.468504E+03	1.039840E-02	2.195875E-04
4.478346E+03	1.053454E-02	2.196061E-04
4.488189E+03	1.068870E-02	2.199481E-04
4.498031E+03	1.086059E-02	2.205948E-04
4.507874E+03	1.104925E-02	2.215148E-04
4.517717E+03	1.125375E-02	2.226785E-04
4.527559E+03	1.147237E-02	2.240424E-04
4.537402E+03	1.170297E-02	2.255570E-04
4.547244E+03	1.194301E-02	2.271675E-04
4.557087E+03	1.218978E-02	2.288193E-04
4.566929E+03	1.244016E-02	2.304533E-04
4.576772E+03	1.269068E-02	2.320065E-04
4.586614E+03	1.293814E-02	2.334257E-04
4.596457E+03	1.317930E-02	2.346590E-04
4.606299E+03	1.341132E-02	2.356659E-04
4.616142E+03	1.363126E-02	2.364060E-04
4.625984E+03	1.383620E-02	2.368426E-04
4.635827E+03	1.402342E-02	2.369447E-04
4.645669E+03	1.419026E-02	2.366846E-04
4.655512E+03	1.433419E-02	2.360390E-04
4.665354E+03	1.445293E-02	2.349903E-04
4.675197E+03	1.454363E-02	2.335134E-04
4.685039E+03	1.460272E-02	2.315733E-04
4.694882E+03	1.462563E-02	2.291221E-04
4.704724E+03	1.460697E-02	2.261009E-04
4.714567E+03	1.454346E-02	2.224865E-04
4.724409E+03	1.443336E-02	2.182797E-04
4.734252E+03	1.427691E-02	2.135106E-04
4.744094E+03	1.407796E-02	2.082603E-04
4.753937E+03	1.384242E-02	2.026363E-04
4.763780E+03	1.357792E-02	1.967650E-04
4.773622E+03	1.329349E-02	1.907870E-04
4.783465E+03	1.299912E-02	1.848500E-04
4.793307E+03	1.270447E-02	1.790908E-04
4.803150E+03	1.241865E-02	1.736329E-04
4.812992E+03	1.215081E-02	1.685950E-04
4.822835E+03	1.190920E-02	1.640804E-04
4.832677E+03	1.170081E-02	1.601729E-04
4.842520E+03	1.153174E-02	1.569429E-04
4.852362E+03	1.140705E-02	1.544465E-04
4.862205E+03	1.132943E-02	1.527088E-04
4.872047E+03	1.130069E-02	1.517444E-04
4.881890E+03	1.132163E-02	1.515569E-04
4.891732E+03	1.139092E-02	1.521239E-04
4.901575E+03	1.150627E-02	1.534101E-04
4.911417E+03	1.166499E-02	1.553756E-04
4.921260E+03	1.186266E-02	1.579589E-04
4.931102E+03	1.209484E-02	1.611000E-04
4.940945E+03	1.235588E-02	1.647238E-04
4.950787E+03	1.263913E-02	1.687430E-04
4.960630E+03	1.293711E-02	1.730584E-04
4.970472E+03	1.324221E-02	1.775691E-04
4.980315E+03	1.354684E-02	1.821730E-04
4.990157E+03	1.384381E-02	1.867718E-04
5.000000E+03	1.412611E-02	1.912675E-04
5.009843E+03	1.438852E-02	1.955847E-04
5.019685E+03	1.462614E-02	1.996504E-04
5.029528E+03	1.483601E-02	2.034159E-04
5.039370E+03	1.501774E-02	2.068667E-04
5.049213E+03	1.517271E-02	2.100121E-04
5.059055E+03	1.530379E-02	2.128820E-04
5.068898E+03	1.541505E-02	2.155232E-04
5.078740E+03	1.551198E-02	2.180038E-04
5.088583E+03	1.560022E-02	2.203957E-04
5.098425E+03	1.568454E-02	2.227597E-04
5.108268E+03	1.577012E-02	2.251644E-04
5.118110E+03	1.586102E-02	2.276639E-04
5.127953E+03	1.596118E-02	2.303120E-04
5.137795E+03	1.607355E-02	2.331495E-04
5.147638E+03	1.620096E-02	2.362164E-04
5.157480E+03	1.634566E-02	2.395453E-04
5.167323E+03	1.650983E-02	2.431687E-04
5.177165E+03	1.669491E-02	2.471080E-04
5.187008E+03	1.690241E-02	2.513873E-04
5.196850E+03	1.713347E-02	2.560242E-04
5.206693E+03	1.738878E-02	2.610309E-04
5.216535E+03	1.766834E-02	2.664084E-04
5.226378E+03	1.797137E-02	2.721463E-04
