#wls	flux	fluxerr
1.574803E+03	3.694930E-03	2.193058E-04
1.614173E+03	3.730004E-03	2.203817E-04
1.653543E+03	3.765881E-03	2.214606E-04
1.692913E+03	3.801874E-03	2.225005E-04
1.732283E+03	3.838661E-03	2.235395E-04
1.771654E+03	3.875140E-03	2.245118E-04
1.811024E+03	3.911943E-03	2.254528E-04
1.850394E+03	3.948089E-03	2.263046E-04
1.889764E+03	3.982977E-03	2.270324E-04
1.929134E+03	4.016148E-03	2.276099E-04
1.968504E+03	4.048301E-03	2.280769E-04
2.007874E+03	4.082195E-03	2.285878E-04
2.047244E+03	4.121806E-03	2.293605E-04
2.086614E+03	4.175638E-03	2.308578E-04
2.125984E+03	4.251140E-03	2.334715E-04
2.165354E+03	4.352547E-03	2.374064E-04
2.204724E+03	4.479521E-03	2.426118E-04
2.244094E+03	4.628277E-03	2.488509E-04
2.283465E+03	4.794900E-03	2.558848E-04
2.322835E+03	4.977341E-03	2.635782E-04
2.362205E+03	5.172688E-03	2.717533E-04
2.401575E+03	5.381199E-03	2.804013E-04
2.440945E+03	5.601703E-03	2.894384E-04
2.480315E+03	5.835350E-03	2.989009E-04
2.519685E+03	6.081739E-03	3.087437E-04
2.559055E+03	6.341673E-03	3.189819E-04
2.598425E+03	6.615519E-03	3.296068E-04
2.637795E+03	6.904364E-03	3.406434E-04
2.677165E+03	7.207334E-03	3.520180E-04
2.716535E+03	7.525877E-03	3.637700E-04
2.755906E+03	7.860312E-03	3.758808E-04
2.795276E+03	8.211409E-03	3.883517E-04
2.834646E+03	8.580432E-03	4.012041E-04
2.874016E+03	8.970669E-03	4.145494E-04
2.913386E+03	9.386334E-03	4.285329E-04
2.952756E+03	9.833097E-03	4.433544E-04
2.962598E+03	9.950774E-03	4.472335E-04
2.972441E+03	1.007089E-02	4.511818E-04
2.982283E+03	1.019349E-02	4.551996E-04
2.992126E+03	1.031932E-02	4.593192E-04
3.001969E+03	1.044816E-02	4.635289E-04
3.011811E+03	1.058049E-02	4.678483E-04
3.021654E+03	1.071599E-02	4.722619E-04
3.031496E+03	1.085574E-02	4.768154E-04
3.041339E+03	1.099911E-02	4.814785E-04
3.051181E+03	1.114649E-02	4.862668E-04
3.061024E+03	1.129830E-02	4.911965E-04
3.070866E+03	1.145462E-02	4.962688E-04
3.080709E+03	1.161590E-02	5.015005E-04
3.090551E+03	1.178190E-02	5.068790E-04
