#wls	flux	fluxerr
1.574803E+03	1.514888E-03	1.128757E-04
1.614173E+03	1.505553E-03	1.112155E-04
1.653543E+03	1.495350E-03	1.094827E-04
1.692913E+03	1.484523E-03	1.076968E-04
1.732283E+03	1.473523E-03	1.058921E-04
1.771654E+03	1.461676E-03	1.040210E-04
1.811024E+03	1.449259E-03	1.021052E-04
1.850394E+03	1.436245E-03	1.001444E-04
1.889764E+03	1.422111E-03	9.810432E-05
1.929134E+03	1.407365E-03	9.602263E-05
1.968504E+03	1.391819E-03	9.388858E-05
2.007874E+03	1.376538E-03	9.177566E-05
2.047244E+03	1.363367E-03	8.980538E-05
2.086614E+03	1.354128E-03	8.809188E-05
2.125984E+03	1.351315E-03	8.678610E-05
2.165354E+03	1.355891E-03	8.593316E-05
2.204724E+03	1.366600E-03	8.543579E-05
2.244094E+03	1.381360E-03	8.514936E-05
2.283465E+03	1.398811E-03	8.498011E-05
2.322835E+03	1.417130E-03	8.481128E-05
2.362205E+03	1.436081E-03	8.462598E-05
2.401575E+03	1.454991E-03	8.438301E-05
2.440945E+03	1.473800E-03	8.407859E-05
2.480315E+03	1.492535E-03	8.371415E-05
2.519685E+03	1.511061E-03	8.328226E-05
2.559055E+03	1.529634E-03	8.279720E-05
2.598425E+03	1.548305E-03	8.226151E-05
2.637795E+03	1.566938E-03	8.166788E-05
2.677165E+03	1.585762E-03	8.102831E-05
2.716535E+03	1.604995E-03	8.035352E-05
2.755906E+03	1.625024E-03	7.966163E-05
2.795276E+03	1.646053E-03	7.896062E-05
2.834646E+03	1.667296E-03	7.821127E-05
2.874016E+03	1.689037E-03	7.742683E-05
2.913386E+03	1.710939E-03	7.659193E-05
2.952756E+03	1.733379E-03	7.572391E-05
2.962598E+03	1.738960E-03	7.549683E-05
2.972441E+03	1.744822E-03	7.527841E-05
2.982283E+03	1.750656E-03	7.505519E-05
2.992126E+03	1.756626E-03	7.483427E-05
3.001969E+03	1.762598E-03	7.460982E-05
3.011811E+03	1.768745E-03	7.438923E-05
3.021654E+03	1.775070E-03	7.417245E-05
3.031496E+03	1.781573E-03	7.395943E-05
3.041339E+03	1.788106E-03	7.374390E-05
3.051181E+03	1.794977E-03	7.353851E-05
3.061024E+03	1.802036E-03	7.333697E-05
3.070866E+03	1.809139E-03	7.313331E-05
3.080709E+03	1.816594E-03	7.293986E-05
3.090551E+03	1.824255E-03	7.275063E-05
3.100394E+03	1.832130E-03	7.256578E-05
3.110236E+03	1.840227E-03	7.238552E-05
3.120079E+03	1.848702E-03	7.221581E-05
3.129921E+03	1.857419E-03	7.205106E-05
3.139764E+03	1.866532E-03	7.189714E-05
3.149606E+03	1.876053E-03	7.175419E-05
3.159449E+03	1.885846E-03	7.161679E-05
3.169291E+03	1.896068E-03	7.149073E-05
3.179134E+03	1.906879E-03	7.138164E-05
3.188976E+03	1.917999E-03	7.127876E-05
3.198819E+03	1.929733E-03	7.119311E-05
3.208661E+03	1.942091E-03	7.112471E-05
3.218504E+03	1.954944E-03	7.106835E-05
3.228346E+03	1.968449E-03	7.102942E-05
3.238189E+03	1.982475E-03	7.100277E-05
3.248031E+03	1.997320E-03	7.099867E-05
3.257874E+03	2.012994E-03	7.101692E-05
3.267717E+03	2.029363E-03	7.105221E-05
3.277559E+03	2.046575E-03	7.110923E-05
3.287402E+03	2.064632E-03	7.118749E-05
3.297244E+03	2.083531E-03	7.128631E-05
3.307087E+03	2.103404E-03	7.140961E-05
3.316929E+03	2.124232E-03	7.155614E-05
3.326772E+03	2.145988E-03	7.172428E-05
3.336614E+03	2.168912E-03	7.192148E-05
3.346457E+03	2.192664E-03	7.213570E-05
3.356299E+03	2.217309E-03	7.236856E-05
3.366142E+03	2.243031E-03	7.262549E-05
3.375984E+03	2.269564E-03	7.289727E-05
3.385827E+03	2.296900E-03	7.318316E-05
3.395669E+03	2.324864E-03	7.347719E-05
3.405512E+03	2.353545E-03	7.378183E-05
3.415354E+03	2.382607E-03	7.408628E-05
3.425197E+03	2.412039E-03	7.439010E-05
3.435039E+03	2.441961E-03	7.469684E-05
3.444882E+03	2.472488E-03	7.500990E-05
3.454724E+03	2.504078E-03	7.534274E-05
3.464567E+03	2.536792E-03	7.569661E-05
3.474409E+03	2.570975E-03	7.608114E-05
3.484252E+03	2.606968E-03	7.650546E-05
3.494094E+03	2.644969E-03	7.697426E-05
3.503937E+03	2.685168E-03	7.749185E-05
3.513780E+03	2.727620E-03	7.805836E-05
3.523622E+03	2.772789E-03	7.868545E-05
3.533465E+03	2.820596E-03	7.936902E-05
3.543307E+03	2.871248E-03	8.011304E-05
3.553150E+03	2.924967E-03	8.092173E-05
3.562992E+03	2.981992E-03	8.179958E-05
3.572835E+03	3.042586E-03	8.275148E-05
3.582677E+03	3.106765E-03	8.377549E-05
3.592520E+03	3.175117E-03	8.488496E-05
3.602362E+03	3.247723E-03	8.607919E-05
3.612205E+03	3.325115E-03	8.736939E-05
3.622047E+03	3.407599E-03	8.876035E-05
3.631890E+03	3.495675E-03	9.026161E-05
3.641732E+03	3.589760E-03	9.188017E-05
3.651575E+03	3.690471E-03	9.362773E-05
3.661417E+03	3.798633E-03	9.552073E-05
3.671260E+03	3.914725E-03	9.756621E-05
3.681102E+03	4.039584E-03	9.977967E-05
3.690945E+03	4.174135E-03	1.021781E-04
3.700787E+03	4.319402E-03	1.047800E-04
3.710630E+03	4.476362E-03	1.076020E-04
3.720472E+03	4.646244E-03	1.106657E-04
3.730315E+03	4.830387E-03	1.139945E-04
3.740157E+03	5.030074E-03	1.176091E-04
3.750000E+03	5.246831E-03	1.215349E-04
3.759843E+03	5.482111E-03	1.257944E-04
3.769685E+03	5.737563E-03	1.304131E-04
3.779528E+03	6.014894E-03	1.354167E-04
3.789370E+03	6.315869E-03	1.408304E-04
3.799213E+03	6.641887E-03	1.466701E-04
3.809055E+03	6.994882E-03	1.529623E-04
3.818898E+03	7.376591E-03	1.597273E-04
3.828740E+03	7.788188E-03	1.669722E-04
3.838583E+03	8.231090E-03	1.747082E-04
3.848425E+03	8.706705E-03	1.829449E-04
3.858268E+03	9.215449E-03	1.916705E-04
3.868110E+03	9.758009E-03	2.008783E-04
3.877953E+03	1.033383E-02	2.105357E-04
3.887795E+03	1.094218E-02	2.206069E-04
3.897638E+03	1.158187E-02	2.310480E-04
3.907480E+03	1.225016E-02	2.417857E-04
3.917323E+03	1.294404E-02	2.527431E-04
3.927165E+03	1.365966E-02	2.638301E-04
3.937008E+03	1.439236E-02	2.749447E-04
3.946850E+03	1.513606E-02	2.859616E-04
3.956693E+03	1.588490E-02	2.967651E-04
3.966535E+03	1.663141E-02	3.072146E-04
3.976378E+03	1.736908E-02	3.171934E-04
3.986220E+03	1.808930E-02	3.265525E-04
3.996063E+03	1.878530E-02	3.351829E-04
4.005906E+03	1.944911E-02	3.429605E-04
4.015748E+03	2.007407E-02	3.497902E-04
4.025591E+03	2.065441E-02	3.555983E-04
4.035433E+03	2.118528E-02	3.603314E-04
4.045276E+03	2.166362E-02	3.639704E-04
4.055118E+03	2.208790E-02	3.665238E-04
4.064961E+03	2.245838E-02	3.680308E-04
4.074803E+03	2.277595E-02	3.685410E-04
4.084646E+03	2.304447E-02	3.681500E-04
4.094488E+03	2.326716E-02	3.669408E-04
4.104331E+03	2.344933E-02	3.650256E-04
4.114173E+03	2.359586E-02	3.625063E-04
4.124016E+03	2.371228E-02	3.594898E-04
4.133858E+03	2.380411E-02	3.560794E-04
4.143701E+03	2.387718E-02	3.523777E-04
4.153543E+03	2.393572E-02	3.484597E-04
4.163386E+03	2.398527E-02	3.444159E-04
4.173228E+03	2.402968E-02	3.403084E-04
4.183071E+03	2.407223E-02	3.361884E-04
4.192913E+03	2.411720E-02	3.321187E-04
4.202756E+03	2.416612E-02	3.281210E-04
4.212598E+03	2.422111E-02	3.242245E-04
4.222441E+03	2.428177E-02	3.204237E-04
4.232283E+03	2.434852E-02	3.167237E-04
4.242126E+03	2.441861E-02	3.130898E-04
4.251969E+03	2.448883E-02	3.094828E-04
4.261811E+03	2.455422E-02	3.058450E-04
4.271654E+03	2.460900E-02	3.021122E-04
4.281496E+03	2.464513E-02	2.981970E-04
4.291339E+03	2.465489E-02	2.940212E-04
4.301181E+03	2.462935E-02	2.894980E-04
4.311024E+03	2.455901E-02	2.845394E-04
4.320866E+03	2.443475E-02	2.790674E-04
4.330709E+03	2.424761E-02	2.730112E-04
4.340551E+03	2.399066E-02	2.663268E-04
4.350394E+03	2.366273E-02	2.590361E-04
4.360236E+03	2.327037E-02	2.512437E-04
4.370079E+03	2.283458E-02	2.432019E-04
4.379921E+03	2.237881E-02	2.351752E-04
4.389764E+03	2.192643E-02	2.274129E-04
4.399606E+03	2.149868E-02	2.201289E-04
4.409449E+03	2.111449E-02	2.135030E-04
4.419291E+03	2.078918E-02	2.076678E-04
4.429134E+03	2.053510E-02	2.027156E-04
4.438976E+03	2.036110E-02	1.987000E-04
4.448819E+03	2.027329E-02	1.956461E-04
4.458661E+03	2.027446E-02	1.935473E-04
4.468504E+03	2.036494E-02	1.923749E-04
4.478346E+03	2.054334E-02	1.920860E-04
4.488189E+03	2.080603E-02	1.926194E-04
4.498031E+03	2.114762E-02	1.939014E-04
4.507874E+03	2.155966E-02	1.958332E-04
4.517717E+03	2.203224E-02	1.983078E-04
4.527559E+03	2.255292E-02	2.011995E-04
4.537402E+03	2.310679E-02	2.043657E-04
4.547244E+03	2.367804E-02	2.076608E-04
4.557087E+03	2.424931E-02	2.109308E-04
4.566929E+03	2.480197E-02	2.140159E-04
4.576772E+03	2.531867E-02	2.167720E-04
4.586614E+03	2.578183E-02	2.190577E-04
4.596457E+03	2.617838E-02	2.207736E-04
4.606299E+03	2.649678E-02	2.218362E-04
4.616142E+03	2.673245E-02	2.222219E-04
4.625984E+03	2.688562E-02	2.219474E-04
4.635827E+03	2.696252E-02	2.210784E-04
4.645669E+03	2.697462E-02	2.197212E-04
4.655512E+03	2.693641E-02	2.180041E-04
4.665354E+03	2.686418E-02	2.160665E-04
4.675197E+03	2.677205E-02	2.140274E-04
4.685039E+03	2.666693E-02	2.119462E-04
4.694882E+03	2.654254E-02	2.097765E-04
4.704724E+03	2.638660E-02	2.074266E-04
4.714567E+03	2.618901E-02	2.048238E-04
4.724409E+03	2.594285E-02	2.019215E-04
4.734252E+03	2.564562E-02	1.987083E-04
4.744094E+03	2.530093E-02	1.952193E-04
4.753937E+03	2.491724E-02	1.915261E-04
4.763780E+03	2.450656E-02	1.877255E-04
4.773622E+03	2.408387E-02	1.839348E-04
4.783465E+03	2.366575E-02	1.802800E-04
4.793307E+03	2.326966E-02	1.768925E-04
4.803150E+03	2.291311E-02	1.739036E-04
4.812992E+03	2.261040E-02	1.714193E-04
4.822835E+03	2.237349E-02	1.695289E-04
4.832677E+03	2.221113E-02	1.682982E-04
4.842520E+03	2.212910E-02	1.677725E-04
4.852362E+03	2.213132E-02	1.679844E-04
4.862205E+03	2.222005E-02	1.689566E-04
4.872047E+03	2.239587E-02	1.707008E-04
4.881890E+03	2.265804E-02	1.732182E-04
4.891732E+03	2.300374E-02	1.764894E-04
4.901575E+03	2.342728E-02	1.804742E-04
4.911417E+03	2.392136E-02	1.851201E-04
4.921260E+03	2.447426E-02	1.903403E-04
4.931102E+03	2.507204E-02	1.960294E-04
4.940945E+03	2.569699E-02	2.020504E-04
4.950787E+03	2.632763E-02	2.082330E-04
4.960630E+03	2.694116E-02	2.143921E-04
4.970472E+03	2.751574E-02	2.203454E-04
4.980315E+03	2.803338E-02	2.259365E-04
4.990157E+03	2.848128E-02	2.310467E-04
5.000000E+03	2.885060E-02	2.355863E-04
5.009843E+03	2.913839E-02	2.395119E-04
5.019685E+03	2.934800E-02	2.428315E-04
5.029528E+03	2.948550E-02	2.455765E-04
5.039370E+03	2.956157E-02	2.478184E-04
5.049213E+03	2.958971E-02	2.496557E-04
5.059055E+03	2.958426E-02	2.511970E-04
5.068898E+03	2.955974E-02	2.525564E-04
5.078740E+03	2.952979E-02	2.538440E-04
5.088583E+03	2.950757E-02	2.551692E-04
5.098425E+03	2.950309E-02	2.566170E-04
5.108268E+03	2.952576E-02	2.582696E-04
5.118110E+03	2.958255E-02	2.601900E-04
5.127953E+03	2.967937E-02	2.624330E-04
5.137795E+03	2.982143E-02	2.650488E-04
5.147638E+03	3.001302E-02	2.680799E-04
5.157480E+03	3.025907E-02	2.715757E-04
5.167323E+03	3.056488E-02	2.755893E-04
5.177165E+03	3.093497E-02	2.801677E-04
5.187008E+03	3.137409E-02	2.853605E-04
5.196850E+03	3.188688E-02	2.912167E-04
5.206693E+03	3.247653E-02	2.977723E-04
5.216535E+03	3.314426E-02	3.050457E-04
5.226378E+03	3.389004E-02	3.130435E-04
5.236220E+03	3.471237E-02	3.217584E-04
5.246063E+03	3.560695E-02	3.311566E-04
5.255906E+03	3.656839E-02	3.411938E-04
5.265748E+03	3.758969E-02	3.518097E-04
5.275591E+03	3.866373E-02	3.629424E-04
5.285433E+03	3.978334E-02	3.745285E-04
5.295276E+03	4.094070E-02	3.864983E-04
5.305118E+03	4.212902E-02	3.987911E-04
5.314961E+03	4.333745E-02	4.113073E-04
5.324803E+03	4.454969E-02	4.238944E-04
5.334646E+03	4.574009E-02	4.363087E-04
5.344488E+03	4.687966E-02	4.482676E-04
5.354331E+03	4.793808E-02	4.594675E-04
5.364173E+03	4.889097E-02	4.696588E-04
5.374016E+03	4.971709E-02	4.786203E-04
5.383858E+03	5.040309E-02	4.862050E-04
5.393701E+03	5.094025E-02	4.923103E-04
5.403543E+03	5.132709E-02	4.969043E-04
5.413386E+03	5.156349E-02	4.999694E-04
5.423228E+03	5.165381E-02	5.015325E-04
5.433071E+03	5.160314E-02	5.016299E-04
5.442913E+03	5.141625E-02	5.002970E-04
5.452756E+03	5.109623E-02	4.975543E-04
5.462598E+03	5.064545E-02	4.934182E-04
5.472441E+03	5.006410E-02	4.878857E-04
5.482283E+03	4.935269E-02	4.809593E-04
5.492126E+03	4.851032E-02	4.726304E-04
5.501969E+03	4.753824E-02	4.629138E-04
5.511811E+03	4.644086E-02	4.518580E-04
5.521654E+03	4.522461E-02	4.395336E-04
5.531496E+03	4.390073E-02	4.260601E-04
5.541339E+03	4.248440E-02	4.115978E-04
5.551181E+03	4.099407E-02	3.963395E-04
5.561024E+03	3.945034E-02	3.804999E-04
5.570866E+03	3.787687E-02	3.643225E-04
5.580709E+03	3.629802E-02	3.480569E-04
5.590551E+03	3.473680E-02	3.319373E-04
5.600394E+03	3.321714E-02	3.162042E-04
5.610236E+03	3.176016E-02	3.010677E-04
5.620079E+03	3.038499E-02	2.867149E-04
5.629921E+03	2.910838E-02	2.733063E-04
5.639764E+03	2.794457E-02	2.609739E-04
5.649606E+03	2.690409E-02	2.498107E-04
5.659449E+03	2.599487E-02	2.398811E-04
5.669291E+03	2.522269E-02	2.312253E-04
5.679134E+03	2.459080E-02	2.238567E-04
5.688976E+03	2.409995E-02	2.177626E-04
5.698819E+03	2.375049E-02	2.129235E-04
5.708661E+03	2.354100E-02	2.093020E-04
5.718504E+03	2.346837E-02	2.068431E-04
5.728346E+03	2.352858E-02	2.054830E-04
5.738189E+03	2.371633E-02	2.051456E-04
5.748031E+03	2.402446E-02	2.057386E-04
5.757874E+03	2.444345E-02	2.071511E-04
5.767717E+03	2.496198E-02	2.092586E-04
5.777559E+03	2.556710E-02	2.119269E-04
5.787402E+03	2.624278E-02	2.150008E-04
5.797244E+03	2.697103E-02	2.183155E-04
5.807087E+03	2.773151E-02	2.216949E-04
5.816929E+03	2.850221E-02	2.249591E-04
5.826772E+03	2.926013E-02	2.279304E-04
5.836614E+03	2.998146E-02	2.304367E-04
5.846457E+03	3.064214E-02	2.323155E-04
5.856299E+03	3.122050E-02	2.334346E-04
5.866142E+03	3.169764E-02	2.336930E-04
5.875984E+03	3.205794E-02	2.330239E-04
5.885827E+03	3.229054E-02	2.314022E-04
5.895669E+03	3.238970E-02	2.288447E-04
5.905512E+03	3.235478E-02	2.254061E-04
5.915354E+03	3.218982E-02	2.211732E-04
5.925197E+03	3.190293E-02	2.162579E-04
5.935039E+03	3.150589E-02	2.107913E-04
5.944882E+03	3.101425E-02	2.049227E-04
5.954724E+03	3.044456E-02	1.987999E-04
5.964567E+03	2.981458E-02	1.925691E-04
5.974409E+03	2.914277E-02	1.863727E-04
5.984252E+03	2.844734E-02	1.803427E-04
5.994094E+03	2.774575E-02	1.745987E-04
6.003937E+03	2.705437E-02	1.692469E-04
6.013780E+03	2.638831E-02	1.643807E-04
6.023622E+03	2.576117E-02	1.600806E-04
6.033465E+03	2.518461E-02	1.564132E-04
6.043307E+03	2.466928E-02	1.534375E-04
6.053150E+03	2.422362E-02	1.511909E-04
6.062992E+03	2.385463E-02	1.497008E-04
6.072835E+03	2.356798E-02	1.489907E-04
6.082677E+03	2.336718E-02	1.490756E-04
6.092520E+03	2.325454E-02	1.499660E-04
6.102362E+03	2.322925E-02	1.516548E-04
6.112205E+03	2.328197E-02	1.540829E-04
6.122047E+03	2.339108E-02	1.571098E-04
6.131890E+03	2.353125E-02	1.605642E-04
6.141732E+03	2.367956E-02	1.642824E-04
6.151575E+03	2.381781E-02	1.681240E-04
6.161417E+03	2.393526E-02	1.719933E-04
6.171260E+03	2.402420E-02	1.758112E-04
6.181102E+03	2.408003E-02	1.795170E-04
6.190945E+03	2.409965E-02	1.830588E-04
6.200787E+03	2.408213E-02	1.863996E-04
6.210630E+03	2.402777E-02	1.895118E-04
6.220472E+03	2.393912E-02	1.923859E-04
6.230315E+03	2.381942E-02	1.950206E-04
6.240157E+03	2.367327E-02	1.974282E-04
6.250000E+03	2.350545E-02	1.996263E-04
6.259843E+03	2.332147E-02	2.016425E-04
6.269685E+03	2.312634E-02	2.035045E-04
6.279528E+03	2.292446E-02	2.052380E-04
6.289370E+03	2.272015E-02	2.068722E-04
6.299213E+03	2.251709E-02	2.084333E-04
6.309055E+03	2.231781E-02	2.099399E-04
6.318898E+03	2.212469E-02	2.114113E-04
6.328740E+03	2.193964E-02	2.128640E-04
6.338583E+03	2.176414E-02	2.143125E-04
6.348425E+03	2.159940E-02	2.157689E-04
6.358268E+03	2.144662E-02	2.172471E-04
6.368110E+03	2.130627E-02	2.187539E-04
6.377953E+03	2.117974E-02	2.203065E-04
6.387795E+03	2.106763E-02	2.219142E-04
6.397638E+03	2.097081E-02	2.235900E-04
6.407480E+03	2.089066E-02	2.253524E-04
6.417323E+03	2.082866E-02	2.272221E-04
6.427165E+03	2.078697E-02	2.292275E-04
6.437008E+03	2.076811E-02	2.314018E-04
6.446850E+03	2.077474E-02	2.337811E-04
6.456693E+03	2.080971E-02	2.364039E-04
6.466535E+03	2.087613E-02	2.393127E-04
6.476378E+03	2.097660E-02	2.425445E-04
6.486220E+03	2.111333E-02	2.461326E-04
6.496063E+03	2.128802E-02	2.501038E-04
6.505906E+03	2.150187E-02	2.544791E-04
6.515748E+03	2.175515E-02	2.592677E-04
6.525591E+03	2.204638E-02	2.644571E-04
6.535433E+03	2.237441E-02	2.700372E-04
6.545276E+03	2.273566E-02	2.759672E-04
6.555118E+03	2.312658E-02	2.822047E-04
6.564961E+03	2.354184E-02	2.886839E-04
6.574803E+03	2.397577E-02	2.953326E-04
6.584646E+03	2.442157E-02	3.020631E-04
6.594488E+03	2.487173E-02	3.087770E-04
6.604331E+03	2.531857E-02	3.153721E-04
6.614173E+03	2.575308E-02	3.217287E-04
6.624016E+03	2.616777E-02	3.277448E-04
6.633858E+03	2.655383E-02	3.333018E-04
