#wls	flux	fluxerr
1.574803E+03	7.762439E-18	7.421405E-19
1.614173E+03	7.848038E-18	7.483700E-19
1.653543E+03	7.921444E-18	7.533476E-19
1.692913E+03	7.980807E-18	7.569049E-19
1.732283E+03	8.028203E-18	7.592473E-19
1.771654E+03	8.060928E-18	7.601272E-19
1.811024E+03	8.072767E-18	7.589708E-19
1.850394E+03	8.059276E-18	7.553781E-19
1.889764E+03	8.013961E-18	7.487633E-19
1.929134E+03	7.931165E-18	7.386278E-19
1.968504E+03	7.810741E-18	7.249927E-19
2.007874E+03	7.659504E-18	7.085251E-19
2.047244E+03	7.503098E-18	6.916203E-19
2.086614E+03	7.384890E-18	6.782692E-19
2.125984E+03	7.353675E-18	6.729003E-19
2.165354E+03	7.448229E-18	6.789595E-19
2.204724E+03	7.676303E-18	6.970159E-19
2.244094E+03	8.017253E-18	7.250533E-19
2.283465E+03	8.434739E-18	7.596659E-19
2.322835E+03	8.895793E-18	7.978001E-19
2.362205E+03	9.375118E-18	8.371343E-19
2.401575E+03	9.864227E-18	8.768791E-19
2.440945E+03	1.035553E-17	9.163377E-19
2.480315E+03	1.085230E-17	9.557806E-19
2.519685E+03	1.135901E-17	9.955790E-19
2.559055E+03	1.187966E-17	1.036053E-18
2.598425E+03	1.242198E-17	1.077843E-18
2.637795E+03	1.298869E-17	1.121134E-18
2.677165E+03	1.358938E-17	1.166701E-18
2.716535E+03	1.422838E-17	1.214848E-18
2.755906E+03	1.491169E-17	1.266011E-18
2.795276E+03	1.564732E-17	1.320781E-18
2.834646E+03	1.644148E-17	1.379579E-18
2.874016E+03	1.730257E-17	1.442992E-18
2.913386E+03	1.823928E-17	1.511613E-18
2.952756E+03	1.926068E-17	1.586041E-18
2.962598E+03	1.952829E-17	1.605456E-18
2.972441E+03	1.980475E-17	1.625513E-18
2.982283E+03	2.008595E-17	1.645870E-18
2.992126E+03	2.037412E-17	1.666710E-18
3.001969E+03	2.066738E-17	1.687873E-18
3.011811E+03	2.097029E-17	1.709730E-18
3.021654E+03	2.127859E-17	1.731929E-18
3.031496E+03	2.159511E-17	1.754698E-18
3.041339E+03	2.191826E-17	1.777902E-18
3.051181E+03	2.225067E-17	1.801752E-18
3.061024E+03	2.259227E-17	1.826238E-18
3.070866E+03	2.294296E-17	1.851347E-18
3.080709E+03	2.330267E-17	1.877068E-18
3.090551E+03	2.367134E-17	1.903393E-18
3.100394E+03	2.405120E-17	1.930496E-18
3.110236E+03	2.443994E-17	1.958187E-18
3.120079E+03	2.483525E-17	1.986275E-18
3.129921E+03	2.524399E-17	2.015305E-18
3.139764E+03	2.565925E-17	2.044721E-18
3.149606E+03	2.608798E-17	2.075071E-18
3.159449E+03	2.652321E-17	2.105794E-18
3.169291E+03	2.696962E-17	2.137259E-18
3.179134E+03	2.742726E-17	2.169462E-18
3.188976E+03	2.789378E-17	2.202214E-18
3.198819E+03	2.837399E-17	2.235888E-18
3.208661E+03	2.886315E-17	2.270104E-18
3.218504E+03	2.936125E-17	2.304857E-18
3.228346E+03	2.987322E-17	2.340528E-18
