#wls	flux	fluxerr
1.574803E+03	9.353607E-18	8.795488E-19
1.614173E+03	9.577250E-18	8.982624E-19
1.653543E+03	9.789262E-18	9.157180E-19
1.692913E+03	9.992006E-18	9.321395E-19
1.732283E+03	1.018401E-17	9.473923E-19
1.771654E+03	1.035779E-17	9.607839E-19
1.811024E+03	1.051158E-17	9.721626E-19
1.850394E+03	1.063313E-17	9.804096E-19
1.889764E+03	1.071415E-17	9.847871E-19
1.929134E+03	1.074523E-17	9.844646E-19
1.968504E+03	1.072217E-17	9.791009E-19
2.007874E+03	1.065239E-17	9.694193E-19
2.047244E+03	1.057187E-17	9.587263E-19
2.086614E+03	1.054022E-17	9.524200E-19
2.125984E+03	1.062831E-17	9.568309E-19
2.165354E+03	1.089910E-17	9.774829E-19
2.204724E+03	1.137071E-17	1.015799E-18
2.244094E+03	1.201530E-17	1.069078E-18
2.283465E+03	1.278493E-17	1.132869E-18
2.322835E+03	1.363019E-17	1.202653E-18
2.362205E+03	1.451748E-17	1.275371E-18
2.401575E+03	1.542218E-17	1.348795E-18
2.440945E+03	1.634044E-17	1.422545E-18
2.480315E+03	1.727157E-17	1.496516E-18
2.519685E+03	1.821612E-17	1.570716E-18
2.559055E+03	1.918163E-17	1.645743E-18
2.598425E+03	2.017373E-17	1.722025E-18
2.637795E+03	2.120110E-17	1.800234E-18
2.677165E+03	2.226639E-17	1.880513E-18
2.716535E+03	2.337468E-17	1.963206E-18
2.755906E+03	2.453740E-17	2.049172E-18
2.795276E+03	2.575267E-17	2.138144E-18
2.834646E+03	2.703174E-17	2.230932E-18
2.874016E+03	2.837536E-17	2.327466E-18
2.913386E+03	2.978735E-17	2.427918E-18
2.952756E+03	3.127911E-17	2.533061E-18
2.962598E+03	3.166461E-17	2.560067E-18
2.972441E+03	3.205364E-17	2.587236E-18
2.982283E+03	3.244621E-17	2.614566E-18
2.992126E+03	3.284650E-17	2.642390E-18
3.001969E+03	3.325486E-17	2.670734E-18
3.011811E+03	3.366340E-17	2.698960E-18
3.021654E+03	3.408030E-17	2.727722E-18
3.031496E+03	3.450660E-17	2.757100E-18
3.041339E+03	3.493544E-17	2.786541E-18
3.051181E+03	3.537089E-17	2.816368E-18
3.061024E+03	3.581693E-17	2.846893E-18
3.070866E+03	3.626900E-17	2.877750E-18
3.080709E+03	3.672681E-17	2.908911E-18
3.090551E+03	3.719452E-17	2.940703E-18
3.100394E+03	3.767196E-17	2.973107E-18
3.110236E+03	3.815002E-17	3.005401E-18
3.120079E+03	3.864196E-17	3.038625E-18
3.129921E+03	3.913408E-17	3.071699E-18
3.139764E+03	3.963527E-17	3.105316E-18
3.149606E+03	4.014545E-17	3.139467E-18
3.159449E+03	4.065989E-17	3.173776E-18
3.169291E+03	4.117841E-17	3.208228E-18
3.179134E+03	4.170560E-17	3.243177E-18
3.188976E+03	4.223664E-17	3.278243E-18
3.198819E+03	4.277621E-17	3.313786E-18
3.208661E+03	4.331942E-17	3.349425E-18
3.218504E+03	4.386615E-17	3.385145E-18
3.228346E+03	4.442120E-17	3.421316E-18
3.238189E+03	4.498459E-17	3.457933E-18
3.248031E+03	4.555128E-17	3.494606E-18
3.257874E+03	4.612117E-17	3.531324E-18
3.267717E+03	4.669924E-17	3.568465E-18
3.277559E+03	4.728038E-17	3.605635E-18
3.287402E+03	4.786965E-17	3.643217E-18
3.297244E+03	4.846186E-17	3.680811E-18
3.307087E+03	4.906216E-17	3.718805E-18
3.316929E+03	4.966528E-17	3.756797E-18
3.326772E+03	5.027645E-17	3.795178E-18
3.336614E+03	5.089033E-17	3.833541E-18
3.346457E+03	5.151221E-17	3.872283E-18
3.356299E+03	5.213668E-17	3.910992E-18
3.366142E+03	5.276365E-17	3.949660E-18
3.375984E+03	5.339853E-17	3.988687E-18
3.385827E+03	5.404131E-17	4.028069E-18
3.395669E+03	5.468643E-17	4.067388E-18
3.405512E+03	5.533380E-17	4.106634E-18
3.415354E+03	5.598895E-17	4.146216E-18
3.425197E+03	5.665188E-17	4.186127E-18
3.435039E+03	5.731686E-17	4.225942E-18
3.444882E+03	5.798377E-17	4.265649E-18
3.454724E+03	5.865830E-17	4.305663E-18
3.464567E+03	5.933458E-17	4.345552E-18
3.474409E+03	6.001835E-17	4.385731E-18
3.484252E+03	6.070369E-17	4.425765E-18
3.494094E+03	6.139638E-17	4.466072E-18
3.503937E+03	6.209040E-17	4.506211E-18
3.513780E+03	6.279162E-17	4.546605E-18
3.523622E+03	6.349394E-17	4.586810E-18
3.533465E+03	6.420326E-17	4.627249E-18
3.543307E+03	6.491341E-17	4.667472E-18
3.553150E+03	6.563033E-17	4.707908E-18
3.562992E+03	6.634778E-17	4.748102E-18
3.572835E+03	6.707176E-17	4.788484E-18
3.582677E+03	6.779593E-17	4.828598E-18
3.592520E+03	6.852008E-17	4.868426E-18
3.602362E+03	6.925029E-17	4.908401E-18
3.612205E+03	6.998642E-17	4.948507E-18
3.622047E+03	7.072194E-17	4.988281E-18
3.631890E+03	7.145669E-17	5.027710E-18
3.641732E+03	7.219671E-17	5.067219E-18
3.651575E+03	7.293552E-17	5.106351E-18
3.661417E+03	7.367921E-17	5.145530E-18
3.671260E+03	7.442108E-17	5.184287E-18
3.681102E+03	7.516737E-17	5.223055E-18
3.690945E+03	7.591137E-17	5.261367E-18
3.700787E+03	7.665276E-17	5.299202E-18
3.710630E+03	7.739773E-17	5.336986E-18
3.720472E+03	7.813939E-17	5.374244E-18
3.730315E+03	7.888415E-17	5.411417E-18
3.740157E+03	7.962499E-17	5.448022E-18
3.750000E+03	8.036822E-17	5.484492E-18
3.759843E+03	8.110683E-17	5.520348E-18
3.769685E+03	8.184043E-17	5.555565E-18
3.779528E+03	8.257532E-17	5.590574E-18
3.789370E+03	8.330435E-17	5.624889E-18
3.799213E+03	8.403396E-17	5.658948E-18
3.809055E+03	8.475012E-17	5.691808E-18
3.818898E+03	8.547273E-17	5.724808E-18
3.828740E+03	8.618093E-17	5.756554E-18
3.838583E+03	8.688791E-17	5.787930E-18
3.848425E+03	8.758633E-17	5.818449E-18
3.858268E+03	8.828258E-17	5.848541E-18
3.868110E+03	8.896915E-17	5.877710E-18
3.877953E+03	8.964558E-17	5.905931E-18
3.877953E+03	4.300144E-17	2.832974E-18
3.879921E+03	4.439604E-17	2.923218E-18
3.881890E+03	4.452721E-17	2.930217E-18
3.883858E+03	4.532293E-17	2.980914E-18
