#wls	flux	fluxerr
1.600000E+03	1.416837E-17	1.240984E-18
1.640000E+03	1.425426E-17	1.243602E-18
1.680000E+03	1.434571E-17	1.246527E-18
1.720000E+03	1.444812E-17	1.250215E-18
1.760000E+03	1.455928E-17	1.254460E-18
1.800000E+03	1.467954E-17	1.259276E-18
1.840000E+03	1.481190E-17	1.264905E-18
1.880000E+03	1.495680E-17	1.271363E-18
1.920000E+03	1.511473E-17	1.278671E-18
1.960000E+03	1.528621E-17	1.286851E-18
2.000000E+03	1.547446E-17	1.296147E-18
2.040000E+03	1.567747E-17	1.306364E-18
2.080000E+03	1.589858E-17	1.317750E-18
2.120000E+03	1.613855E-17	1.330336E-18
2.160000E+03	1.640090E-17	1.344374E-18
2.200000E+03	1.668387E-17	1.359680E-18
2.240000E+03	1.699386E-17	1.376730E-18
2.280000E+03	1.732929E-17	1.395349E-18
2.320000E+03	1.769412E-17	1.415799E-18
2.360000E+03	1.809248E-17	1.438351E-18
2.400000E+03	1.852307E-17	1.462835E-18
2.440000E+03	1.899312E-17	1.489751E-18
2.480000E+03	1.950162E-17	1.518938E-18
2.520000E+03	2.005624E-17	1.550904E-18
2.560000E+03	2.066214E-17	1.585948E-18
2.600000E+03	2.131877E-17	1.623916E-18
2.640000E+03	2.203168E-17	1.665112E-18
2.680000E+03	2.281281E-17	1.710304E-18
2.720000E+03	2.365929E-17	1.759122E-18
2.760000E+03	2.458378E-17	1.812347E-18
2.800000E+03	2.559013E-17	1.870076E-18
2.840000E+03	2.669210E-17	1.933107E-18
2.880000E+03	2.788774E-17	2.001070E-18
2.920000E+03	2.919831E-17	2.075241E-18
2.960000E+03	3.062591E-17	2.155482E-18
3.000000E+03	3.218283E-17	2.242352E-18
3.010000E+03	3.259633E-17	2.265349E-18
3.020000E+03	3.301730E-17	2.288690E-18
3.030000E+03	3.344581E-17	2.312375E-18
3.040000E+03	3.388549E-17	2.336649E-18
3.050000E+03	3.433644E-17	2.361512E-18
3.060000E+03	3.479523E-17	2.386722E-18
3.070000E+03	3.526550E-17	2.412521E-18
3.080000E+03	3.574738E-17	2.438913E-18
3.090000E+03	3.623737E-17	2.465650E-18
3.100000E+03	3.673917E-17	2.492978E-18
3.110000E+03	3.725289E-17	2.520898E-18
3.120000E+03	3.777499E-17	2.549161E-18
3.130000E+03	3.831289E-17	2.578263E-18
3.140000E+03	3.885936E-17	2.607706E-18
3.150000E+03	3.941816E-17	2.637738E-18
3.160000E+03	3.999314E-17	2.668605E-18
3.170000E+03	4.057694E-17	2.699809E-18
3.180000E+03	4.117338E-17	2.731595E-18
3.190000E+03	4.178635E-17	2.764213E-18
3.200000E+03	4.240835E-17	2.797158E-18
3.210000E+03	4.304710E-17	2.830929E-18
3.220000E+03	4.369887E-17	2.865272E-18
3.230000E+03	4.436373E-17	2.900181E-18
3.240000E+03	4.504564E-17	2.935906E-18
3.250000E+03	4.574081E-17	2.972189E-18
3.260000E+03	4.644927E-17	3.009022E-18
3.270000E+03	4.717504E-17	3.046655E-18
3.280000E+03	4.791819E-17	3.085081E-18
3.290000E+03	4.867483E-17	3.124038E-18
3.300000E+03	4.944497E-17	3.163518E-18
3.310000E+03	5.023263E-17	3.203766E-18
3.320000E+03	5.103787E-17	3.244773E-18
3.330000E+03	5.186071E-17	3.286530E-18
3.340000E+03	5.270120E-17	3.329026E-18
3.350000E+03	5.355522E-17	3.371990E-18
3.360000E+03	5.443096E-17	3.415925E-18
3.370000E+03	5.532019E-17	3.460300E-18
3.380000E+03	5.623109E-17	3.505616E-18
3.390000E+03	5.715534E-17	3.551341E-18
3.400000E+03	5.810117E-17	3.597974E-18
3.410000E+03	5.906434E-17	3.645237E-18
3.420000E+03	6.004896E-17	3.693370E-18
3.430000E+03	6.105068E-17	3.742092E-18
3.440000E+03	6.206934E-17	3.791379E-18
