#wls	flux	fluxerr
1.600000E+03	1.702636E-17	6.960343E-18
1.640000E+03	1.738440E-17	7.106681E-18
1.680000E+03	1.775470E-17	7.258027E-18
1.720000E+03	1.813763E-17	7.414534E-18
1.760000E+03	1.853688E-17	7.577712E-18
1.800000E+03	1.894620E-17	7.745004E-18
1.840000E+03	1.936922E-17	7.917893E-18
1.880000E+03	1.980985E-17	8.097978E-18
1.920000E+03	2.026139E-17	8.282519E-18
1.960000E+03	2.073137E-17	8.474599E-18
2.000000E+03	2.121277E-17	8.671339E-18
2.040000E+03	2.171340E-17	8.875940E-18
2.080000E+03	2.222986E-17	9.087006E-18
2.120000E+03	2.275831E-17	9.302970E-18
2.160000E+03	2.330710E-17	9.527242E-18
2.200000E+03	2.387241E-17	9.758268E-18
2.240000E+03	2.445007E-17	9.994332E-18
2.280000E+03	2.504885E-17	1.023903E-17
2.320000E+03	2.566460E-17	1.049065E-17
2.360000E+03	2.629733E-17	1.074922E-17
2.400000E+03	2.694702E-17	1.101471E-17
2.440000E+03	2.761360E-17	1.128710E-17
2.480000E+03	2.829691E-17	1.156632E-17
2.520000E+03	2.899670E-17	1.185227E-17
2.560000E+03	2.971267E-17	1.214482E-17
2.600000E+03	3.044436E-17	1.244380E-17
2.640000E+03	3.119127E-17	1.274899E-17
2.680000E+03	3.195276E-17	1.306014E-17
2.720000E+03	3.273388E-17	1.337930E-17
2.760000E+03	3.352219E-17	1.370139E-17
2.800000E+03	3.432236E-17	1.402832E-17
2.840000E+03	3.513944E-17	1.436215E-17
2.880000E+03	3.595967E-17	1.469727E-17
2.920000E+03	3.678765E-17	1.503553E-17
2.960000E+03	3.762834E-17	1.537899E-17
3.000000E+03	3.846658E-17	1.572144E-17
3.010000E+03	3.867997E-17	1.580862E-17
3.020000E+03	3.888657E-17	1.589302E-17
3.030000E+03	3.910015E-17	1.598027E-17
3.040000E+03	3.930677E-17	1.606468E-17
3.050000E+03	3.952038E-17	1.615194E-17
3.060000E+03	3.973397E-17	1.623920E-17
3.070000E+03	3.994038E-17	1.632352E-17
3.080000E+03	4.015377E-17	1.641069E-17
3.090000E+03	4.036700E-17	1.649780E-17
3.100000E+03	4.057284E-17	1.658188E-17
3.110000E+03	4.078563E-17	1.666880E-17
3.120000E+03	4.099086E-17	1.675264E-17
3.130000E+03	4.120302E-17	1.683931E-17
3.140000E+03	4.141482E-17	1.692582E-17
3.150000E+03	4.161882E-17	1.700915E-17
3.160000E+03	4.182972E-17	1.709530E-17
3.170000E+03	4.204011E-17	1.718124E-17
3.180000E+03	4.224245E-17	1.726389E-17
3.190000E+03	4.245165E-17	1.734935E-17
3.200000E+03	4.266020E-17	1.743453E-17
3.210000E+03	4.286043E-17	1.751632E-17
3.220000E+03	4.306748E-17	1.760089E-17
3.230000E+03	4.326602E-17	1.768199E-17
3.240000E+03	4.347136E-17	1.776586E-17
3.250000E+03	4.367577E-17	1.784935E-17
3.260000E+03	4.387142E-17	1.792926E-17
3.270000E+03	4.407378E-17	1.801192E-17
3.280000E+03	4.427505E-17	1.809413E-17
3.290000E+03	4.446728E-17	1.817264E-17
3.300000E+03	4.466615E-17	1.825386E-17
3.310000E+03	4.486375E-17	1.833457E-17
3.320000E+03	4.505202E-17	1.841146E-17
3.330000E+03	4.524686E-17	1.849103E-17
3.340000E+03	4.544023E-17	1.857001E-17
3.350000E+03	4.562399E-17	1.864506E-17
3.360000E+03	4.581422E-17	1.872275E-17
3.370000E+03	4.599465E-17	1.879643E-17
3.380000E+03	4.618147E-17	1.887273E-17
3.390000E+03	4.636651E-17	1.894830E-17
3.400000E+03	4.654145E-17	1.901974E-17
3.410000E+03	4.672268E-17	1.909375E-17
