#wls	flux	fluxerr
1.600000E+03	1.559311E-17	1.171284E-17
1.640000E+03	1.556077E-17	1.154417E-17
1.680000E+03	1.553109E-17	1.137439E-17
1.720000E+03	1.550711E-17	1.120561E-17
1.760000E+03	1.549186E-17	1.103980E-17
1.800000E+03	1.547975E-17	1.087276E-17
1.840000E+03	1.547955E-17	1.071046E-17
1.880000E+03	1.548573E-17	1.054872E-17
1.920000E+03	1.549853E-17	1.038749E-17
1.960000E+03	1.552386E-17	1.023043E-17
2.000000E+03	1.556195E-17	1.007726E-17
2.040000E+03	1.560748E-17	9.924124E-18
2.080000E+03	1.566921E-17	9.776208E-18
2.120000E+03	1.574466E-17	9.631410E-18
2.160000E+03	1.583426E-17	9.489450E-18
2.200000E+03	1.594122E-17	9.351677E-18
2.240000E+03	1.606605E-17	9.217696E-18
2.280000E+03	1.620930E-17	9.087111E-18
2.320000E+03	1.637436E-17	8.961036E-18
2.360000E+03	1.656467E-17	8.840427E-18
2.400000E+03	1.677826E-17	8.723224E-18
2.440000E+03	1.702149E-17	8.611694E-18
2.480000E+03	1.729258E-17	8.503736E-18
2.520000E+03	1.759813E-17	8.401346E-18
2.560000E+03	1.793936E-17	8.303661E-18
2.600000E+03	1.832313E-17	8.212295E-18
2.640000E+03	1.874824E-17	8.124967E-18
2.680000E+03	1.922192E-17	8.043042E-18
2.720000E+03	1.974891E-17	7.966479E-18
2.760000E+03	2.033416E-17	7.895113E-18
2.800000E+03	2.098575E-17	7.829724E-18
2.840000E+03	2.170648E-17	7.768830E-18
2.880000E+03	2.250800E-17	7.713969E-18
2.920000E+03	2.339679E-17	7.664480E-18
2.960000E+03	2.438563E-17	7.621535E-18
3.000000E+03	2.548219E-17	7.584353E-18
3.010000E+03	2.577378E-17	7.575777E-18
3.020000E+03	2.607400E-17	7.567875E-18
3.030000E+03	2.638296E-17	7.560616E-18
3.040000E+03	2.670075E-17	7.553970E-18
3.050000E+03	2.702452E-17	7.547078E-18
3.060000E+03	2.735733E-17	7.540760E-18
3.070000E+03	2.770230E-17	7.535807E-18
3.080000E+03	2.805356E-17	7.530560E-18
3.090000E+03	2.841723E-17	7.526617E-18
3.100000E+03	2.878743E-17	7.522357E-18
3.110000E+03	2.917031E-17	7.519349E-18
3.120000E+03	2.955996E-17	7.516011E-18
3.130000E+03	2.996258E-17	7.513882E-18
3.140000E+03	3.037834E-17	7.512928E-18
3.150000E+03	3.080435E-17	7.512370E-18
3.160000E+03	3.124074E-17	7.512204E-18
3.170000E+03	3.168768E-17	7.512427E-18
3.180000E+03	3.214842E-17	7.513764E-18
3.190000E+03	3.262314E-17	7.516193E-18
3.200000E+03	3.311205E-17	7.519696E-18
3.210000E+03	3.361221E-17	7.523558E-18
3.220000E+03	3.412693E-17	7.528482E-18
3.230000E+03	3.465643E-17	7.534458E-18
3.240000E+03	3.519776E-17	7.540800E-18
3.250000E+03	3.575744E-17	7.548867E-18
3.260000E+03	3.633255E-17	7.557970E-18
3.270000E+03	3.692332E-17	7.568109E-18
3.280000E+03	3.752997E-17	7.579284E-18
3.290000E+03	3.815597E-17	7.592142E-18
3.300000E+03	3.879834E-17	7.606030E-18
3.310000E+03	3.945733E-17	7.620952E-18
3.320000E+03	4.013644E-17	7.637538E-18
3.330000E+03	4.083596E-17	7.655774E-18
3.340000E+03	4.155288E-17	7.675035E-18
3.350000E+03	4.229074E-17	7.695932E-18
3.360000E+03	4.304984E-17	7.718448E-18
3.370000E+03	4.383381E-17	7.743159E-18
3.380000E+03	4.463624E-17	7.768858E-18
3.390000E+03	4.546076E-17	7.796121E-18
3.400000E+03	4.631101E-17	7.825496E-18
3.410000E+03	4.718393E-17	7.856370E-18
3.420000E+03	4.808318E-17	7.889270E-18
3.430000E+03	4.900563E-17	7.923586E-18
3.440000E+03	4.995499E-17	7.959821E-18
3.450000E+03	5.093152E-17	7.997907E-18
3.460000E+03	5.193550E-17	8.037767E-18
3.470000E+03	5.296368E-17	8.078781E-18
3.480000E+03	5.402327E-17	8.121928E-18
3.490000E+03	5.511100E-17	8.166566E-18
3.500000E+03	5.623062E-17	8.213098E-18
3.510000E+03	5.737877E-17	8.260867E-18
3.520000E+03	5.855917E-17	8.310247E-18
3.530000E+03	5.977197E-17	8.361071E-18
3.540000E+03	6.101367E-17	8.412662E-18
3.550000E+03	6.229159E-17	8.465835E-18
3.560000E+03	6.359847E-17	8.519388E-18
3.570000E+03	6.494162E-17	8.574093E-18
3.580000E+03	6.631734E-17	8.629222E-18
3.590000E+03	6.772923E-17	8.685010E-18
3.600000E+03	6.917716E-17	8.741186E-18
3.610000E+03	7.065718E-17	8.796999E-18
3.620000E+03	7.217275E-17	8.852633E-18
3.630000E+03	7.372735E-17	8.908241E-18
3.640000E+03	7.531298E-17	8.962586E-18
3.650000E+03	7.693674E-17	9.016258E-18
3.660000E+03	7.859811E-17	9.068909E-18
3.670000E+03	8.029257E-17	9.119751E-18
3.680000E+03	8.201934E-17	9.168444E-18
3.690000E+03	8.378532E-17	9.215503E-18
3.700000E+03	8.558567E-17	9.260134E-18
3.710000E+03	8.741931E-17	9.301984E-18
3.720000E+03	8.928502E-17	9.340705E-18
3.730000E+03	9.118543E-17	9.376366E-18
3.740000E+03	9.311511E-17	9.408223E-18
3.750000E+03	9.507643E-17	9.436362E-18
3.760000E+03	9.706764E-17	9.460473E-18
3.770000E+03	9.908684E-17	9.480269E-18
3.780000E+03	1.011280E-16	9.495112E-18
3.790000E+03	1.032008E-16	9.505906E-18
3.800000E+03	1.052910E-16	9.511320E-18
3.810000E+03	1.074039E-16	9.511932E-18
3.820000E+03	1.095328E-16	9.507252E-18
3.830000E+03	1.116789E-16	9.497555E-18
3.840000E+03	1.138389E-16	9.482794E-18
3.850000E+03	1.160055E-16	9.462641E-18
3.860000E+03	1.181834E-16	9.437825E-18
3.870000E+03	1.203608E-16	9.407797E-18
3.880000E+03	1.225418E-16	9.373365E-18
3.890000E+03	1.247143E-16	9.334113E-18
3.900000E+03	1.268821E-16	9.290926E-18
3.910000E+03	1.290368E-16	9.243807E-18
3.920000E+03	1.311737E-16	9.193115E-18
3.930000E+03	1.332921E-16	9.139528E-18
3.940000E+03	1.353831E-16	9.083184E-18
3.950000E+03	1.374417E-16	9.024536E-18
3.960000E+03	1.394628E-16	8.964055E-18
3.970000E+03	1.414452E-16	8.902465E-18
3.980000E+03	1.433797E-16	8.839971E-18
3.990000E+03	1.452611E-16	8.777022E-18
4.000000E+03	1.470845E-16	8.714043E-18
4.010000E+03	1.488448E-16	8.651417E-18
4.020000E+03	1.505372E-16	8.589481E-18
4.030000E+03	1.521573E-16	8.528513E-18
4.040000E+03	1.537009E-16	8.468729E-18
4.050000E+03	1.551602E-16	8.410069E-18
4.060000E+03	1.565322E-16	8.352623E-18
4.070000E+03	1.578176E-16	8.296604E-18
4.080000E+03	1.590070E-16	8.241562E-18
4.090000E+03	1.601025E-16	8.187580E-18
4.100000E+03	1.611034E-16	8.134480E-18
4.110000E+03	1.620060E-16	8.081854E-18
4.120000E+03	1.628113E-16	8.029448E-18
4.130000E+03	1.635174E-16	7.976805E-18
4.140000E+03	1.641304E-16	7.923804E-18
4.150000E+03	1.646503E-16	7.869975E-18
4.160000E+03	1.650778E-16	7.814874E-18
4.170000E+03	1.654216E-16	7.758402E-18
4.180000E+03	1.656808E-16	7.700023E-18
4.190000E+03	1.658655E-16	7.639715E-18
4.200000E+03	1.659765E-16	7.577061E-18
4.210000E+03	1.660249E-16	7.512151E-18
4.220000E+03	1.660161E-16	7.444855E-18
4.230000E+03	1.659559E-16	7.375125E-18
4.240000E+03	1.658537E-16	7.303130E-18
4.250000E+03	1.657162E-16	7.228988E-18
4.260000E+03	1.655532E-16	7.153032E-18
4.270000E+03	1.653716E-16	7.075549E-18
4.280000E+03	1.651816E-16	6.997034E-18
