#wls	flux	fluxerr
1.600000E+03	1.593661E-17	1.226841E-17
1.640000E+03	1.602443E-17	1.219912E-17
1.680000E+03	1.611821E-17	1.212942E-17
1.720000E+03	1.622399E-17	1.206357E-17
1.760000E+03	1.633928E-17	1.199930E-17
1.800000E+03	1.646444E-17	1.193653E-17
1.840000E+03	1.660280E-17	1.187727E-17
1.880000E+03	1.675483E-17	1.182136E-17
1.920000E+03	1.692103E-17	1.176865E-17
1.960000E+03	1.710195E-17	1.171899E-17
2.000000E+03	1.730115E-17	1.167421E-17
2.040000E+03	1.751634E-17	1.163209E-17
2.080000E+03	1.775119E-17	1.159442E-17
2.120000E+03	1.800650E-17	1.156094E-17
2.160000E+03	1.828614E-17	1.153328E-17
2.200000E+03	1.858806E-17	1.150924E-17
2.240000E+03	1.891933E-17	1.149223E-17
2.280000E+03	1.927811E-17	1.147997E-17
2.320000E+03	1.966870E-17	1.147389E-17
2.360000E+03	2.009560E-17	1.147528E-17
2.400000E+03	2.055724E-17	1.148182E-17
2.440000E+03	2.106154E-17	1.149644E-17
2.480000E+03	2.160723E-17	1.151674E-17
2.520000E+03	2.220265E-17	1.154541E-17
2.560000E+03	2.285335E-17	1.158327E-17
2.600000E+03	2.355854E-17	1.162775E-17
2.640000E+03	2.432413E-17	1.167952E-17
2.680000E+03	2.516309E-17	1.174227E-17
2.720000E+03	2.607197E-17	1.181158E-17
2.760000E+03	2.706447E-17	1.189079E-17
2.800000E+03	2.814449E-17	1.197838E-17
2.840000E+03	2.932680E-17	1.207715E-17
2.880000E+03	3.060888E-17	1.218229E-17
2.920000E+03	3.201363E-17	1.229902E-17
2.960000E+03	3.354283E-17	1.242356E-17
3.000000E+03	3.520943E-17	1.255618E-17
3.010000E+03	3.565192E-17	1.259158E-17
3.020000E+03	3.610229E-17	1.262683E-17
3.030000E+03	3.656059E-17	1.266191E-17
3.040000E+03	3.703078E-17	1.269808E-17
3.050000E+03	3.751296E-17	1.273529E-17
3.060000E+03	3.800338E-17	1.277216E-17
3.070000E+03	3.850599E-17	1.280995E-17
3.080000E+03	3.902093E-17	1.284860E-17
3.090000E+03	3.954436E-17	1.288676E-17
3.100000E+03	4.008031E-17	1.292564E-17
3.110000E+03	4.062889E-17	1.296519E-17
3.120000E+03	4.118622E-17	1.300407E-17
3.130000E+03	4.176038E-17	1.304474E-17
3.140000E+03	4.234347E-17	1.308460E-17
3.150000E+03	4.293958E-17	1.312485E-17
3.160000E+03	4.355288E-17	1.316663E-17
3.170000E+03	4.417535E-17	1.320740E-17
3.180000E+03	4.481113E-17	1.324831E-17
3.190000E+03	4.546443E-17	1.329048E-17
3.200000E+03	4.612709E-17	1.333141E-17
3.210000E+03	4.680747E-17	1.337341E-17
