spec_file	spec_mjd	LT_IOO_B_fitflux	LT_IOO_B_fitfluxerr	LT_IOO_B_inrange	LT_IOO_V_fitflux	LT_IOO_V_fitfluxerr	LT_IOO_V_inrange	LT_IOO_g_fitflux	LT_IOO_g_fitfluxerr	LT_IOO_g_inrange	LT_IOO_i_fitflux	LT_IOO_i_fitfluxerr	LT_IOO_i_inrange	LT_IOO_r_fitflux	LT_IOO_r_fitfluxerr	LT_IOO_r_inrange	LT_IOO_u_fitflux	LT_IOO_u_fitfluxerr	LT_IOO_u_inrange	LT_IOO_z_fitflux	LT_IOO_z_fitfluxerr	LT_IOO_z_inrange	lascumbres_V_fitflux	lascumbres_V_fitfluxerr	lascumbres_V_inrange	lascumbres_g'_fitflux	lascumbres_g'_fitfluxerr	lascumbres_g'_inrange	lascumbres_i'_fitflux	lascumbres_i'_fitfluxerr	lascumbres_i'_inrange	lascumbres_r'_fitflux	lascumbres_r'_fitfluxerr	lascumbres_r'_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/SN_2015ah_2015-08-11_11-19-40_Lick-3m_KAST_UCB-SNDB_0.flm	57245.47	1.246659826171e-15	9.504050194562626e-17	False	1.0625741779449334e-15	1.337277033976264e-16	False	1.2426692954975729e-15	6.376907653492119e-17	False	4.202647769143015e-16	1.695768315584149e-17	False	8.445451179478821e-16	3.139105370371216e-17	False	2.6366732848407794e-16	3.991453451675888e-17	False	2.26555766990677e-16	6.033238945873499e-18	False	1.2055031930476542e-15	3.5179620954218076e-17	True	1.05146971393506e-15	1.8656135728664985e-17	True	4.93011635321804e-16	6.562116252572549e-18	True	7.643536558437583e-16	7.425262086012825e-18	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/SN_2015ah_2015-08-12_10-23-31_Lick-3m_KAST_UCB-SNDB_0.flm	57246.43	1.2071212404856568e-15	8.204223197641707e-17	False	1.0584178652822005e-15	1.2098535425648138e-16	False	1.204790105915303e-15	5.433412649097274e-17	False	4.165099638083169e-16	1.4761901535011447e-17	False	8.304482943862377e-16	2.6843229419813693e-17	False	2.5290916511207047e-16	3.3622378660662015e-17	False	2.2364008349161577e-16	5.344793962823953e-18	False	1.2198259069467506e-15	3.446269153808679e-17	True	1.0522845837793985e-15	1.8908695037197617e-17	True	5.127504474433123e-16	6.5744389734970605e-18	True	7.831097068888158e-16	7.550547343439166e-18	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/2015ah_2457249.60268733_LT_SPRAT_None.txt	57249.1	1.086236625253116e-15	4.8575463703437536e-17	False	1.0392744470789715e-15	8.61099778202151e-17	False	1.0926950833052415e-15	3.1086365693775684e-17	True	4.0509300498111235e-16	9.290527516557902e-18	True	7.88720642470913e-16	1.5728862749148747e-17	True	2.1427357915621098e-16	1.7297228779972793e-17	True	2.1527845494523595e-16	3.640575966846929e-18	True	1.2066465377205752e-15	2.815446043897776e-17	True	1.0051903173905751e-15	1.9598878715996017e-17	True	5.404133383005498e-16	8.074084200467653e-18	True	8.132328272424579e-16	8.214530888132822e-18	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/2015ah_2457251.50484553_LT_SPRAT_None.txt	57251.0	9.8982770321474e-16	2.8404337881823425e-17	False	1.0180372257475828e-15	6.249371236876634e-17	False	1.006631487609686e-15	1.8549655738221682e-17	True	3.9605621894667235e-16	6.230677326413298e-18	True	7.566806970386591e-16	9.903415527200092e-18	True	1.7776107502546392e-16	8.464032391336084e-18	True	2.0909757140250573e-16	2.6765739015181224e-18	True	1.1558136346707558e-15	3.20573214016596e-17	True	9.342697446322687e-16	1.8664461446031465e-17	True	5.466227519743233e-16	8.010528531184887e-18	True	8.079252864177729e-16	8.046428448707979e-18	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/2015ah_2457254.65757091_LT_SPRAT_None.txt	57254.16	8.089946709212643e-16	1.0534725381256197e-17	True	9.665573089673858e-16	2.8250163963004984e-17	True	8.513210762726721e-16	9.225681326598422e-18	True	3.789298831072909e-16	3.5240763929874186e-18	True	6.967176907321326e-16	5.871805519957546e-18	True	1.1331839327635414e-16	4.1885847928610535e-18	True	1.9832523452229937e-16	1.7001455280619116e-18	True	1.0234524833925159e-15	4.180634610238091e-17	True	7.844831328998803e-16	1.4909941370281144e-17	True	5.350242357132033e-16	7.70110751419673e-18	True	7.516362030923339e-16	7.851026288509814e-18	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/2015ah_2457257.67669594_LT_SPRAT_None.txt	57257.18	6.306703525344223e-16	7.425306918201723e-18	True	9.07616820271693e-16	6.297278424113042e-18	True	6.973147835797448e-16	7.08819359639988e-18	True	3.567645678201638e-16	2.7389231071063295e-18	True	6.26490323251039e-16	4.863258274343732e-18	True	7.661838723305829e-17	2.948902181673949e-18	True	1.872526665412417e-16	1.3324218411401874e-18	True	8.78045485876593e-16	4.506297638676445e-17	True	6.388823523415232e-16	1.3416912657043878e-17	True	5.003007951558355e-16	7.79858743649889e-18	True	6.645748739906887e-16	7.352906162120432e-18	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/2015ah_2457258.46436332_LT_SPRAT_None.txt	57257.96	5.898105385954672e-16	7.02385515079162e-18	True	8.931802936679303e-16	6.604740940028532e-18	True	6.585499920567586e-16	6.872916021569964e-18	True	3.4961305935604576e-16	2.654058443379494e-18	True	6.068449126904062e-16	4.655352000269198e-18	True	6.949990375459442e-17	3.0608047112632182e-18	True	1.8424977343636313e-16	1.2965144719289263e-18	True	8.403410135025692e-16	4.396360419113723e-17	True	6.051232387442235e-16	1.3789709824989988e-17	True	4.899646977792521e-16	7.983214589010465e-18	True	6.43078423031314e-16	7.090216262111461e-18	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/SN_2015ah_2015-08-24_10-56-38_Lick-3m_KAST_UCB-SNDB_0.flm	57258.46	5.651981890747243e-16	6.79721900847301e-18	True	8.822433215379089e-16	8.586440029736403e-18	True	6.341658223523356e-16	6.700284945970085e-18	True	3.447617266430721e-16	2.63268794309329e-18	True	5.941040756082298e-16	4.5494856743677565e-18	True	6.524928276474006e-17	3.070471779322688e-18	True	1.8229955611126173e-16	1.2842866716439228e-18	True	8.163051396447269e-16	4.2623295209740773e-17	True	5.845429280473904e-16	1.392827986522196e-17	True	4.829815247297662e-16	8.076647334222887e-18	True	6.298502079174703e-16	7.129842477459767e-18	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/SN_2015ah_2015-09-05_07-49-26_Lick-3m_KAST_UCB-SNDB_0.flm	57270.33	2.518115830219592e-16	1.118412921435776e-17	True	4.713956455972895e-16	2.6193199600461377e-17	True	3.0151518352622254e-16	5.002807435670852e-18	True	2.2867891851999394e-16	3.099824240608821e-18	True	3.5065112877917945e-16	5.0072470368708895e-18	True	3.135609887639009e-17	2.1168161568653843e-18	True	1.3614996574090838e-16	1.5174228796330834e-18	True	4.711872721979344e-16	1.5369202921582465e-17	True	2.989781452520325e-16	7.975644907402e-18	True	3.3214173250090422e-16	6.005959374424075e-18	True	3.9112264166258185e-16	8.563394574491615e-18	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2015ah/SN_2015ah_2015-09-06_08-47-02_Lick-3m_KAST_UCB-SNDB_0.flm	57271.37	2.4031259733629764e-16	9.965985360477638e-18	True	4.45036138803208e-16	2.4853424862229078e-17	True	2.8935600567776544e-16	4.94567306841729e-18	True	2.2072493163201668e-16	2.8933027476713697e-18	True	3.3718484255389414e-16	4.621099870310554e-18	True	2.909742010993226e-17	3.0138942556070137e-18	True	1.325443796442936e-16	1.4518120079565373e-18	True	4.495219273082859e-16	1.4994833312149663e-17	True	2.890326486533163e-16	9.416607712992893e-18	True	3.243194606212703e-16	7.841990491901322e-18	True	3.786304968322419e-16	1.2036271087296298e-17	True
