MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	LT_IOO_u	LT_IOO_u_err	LT_IOO_z	LT_IOO_z_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err
57230.11375	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.3951582102518774e-16	4.422993858309372e-17	nan	nan	nan	nan	nan	nan
57230.16375	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4251952543706033e-16	4.3468555488336475e-17	nan	nan	nan	nan	nan	nan
57230.21375	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4553960308845128e-16	4.271503900809811e-17	nan	nan	nan	nan	nan	nan
57230.263750000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4857612405024783e-16	4.1969645196085716e-17	nan	nan	nan	nan	nan	nan
57230.31375000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.51629158663129e-16	4.123263847410702e-17	nan	nan	nan	nan	nan	nan
57230.36375000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5469877753854532e-16	4.050429178788402e-17	nan	nan	nan	nan	nan	nan
57230.413750000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5778505155969355e-16	3.978488673436546e-17	nan	nan	nan	nan	nan	nan
57230.46375000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.608880518825185e-16	3.907471365410726e-17	nan	nan	nan	nan	nan	nan
57230.51375000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6400784993667475e-16	3.837407168133802e-17	nan	nan	nan	nan	nan	nan
57230.56375000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6714451742654723e-16	3.7683268743510485e-17	nan	nan	nan	nan	nan	nan
57230.613750000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7029812633223095e-16	3.70026215010152e-17	nan	nan	nan	nan	nan	nan
57230.66375000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7346874891053358e-16	3.633245521669944e-17	nan	nan	nan	nan	nan	nan
57230.71375000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7665645769597604e-16	3.5673103543826923e-17	nan	nan	nan	nan	nan	nan
57230.763750000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7986132550180703e-16	3.502490821984748e-17	nan	nan	nan	nan	nan	nan
57230.81375000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8308342542100765e-16	3.438821865240948e-17	nan	nan	nan	nan	nan	nan
57230.86375000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.863228308272956e-16	3.3763391382833957e-17	nan	nan	nan	nan	nan	nan
