#wls	flux	fluxerr	mangling_mask
4.084400E+03	1.386043E-15	1.247529E-16	3.325677E+00
4.093600E+03	1.343563E-15	1.228655E-16	3.328288E+00
4.102800E+03	1.290738E-15	1.207337E-16	3.330938E+00
4.112000E+03	1.227441E-15	1.114292E-16	3.333627E+00
4.121200E+03	1.176399E-15	1.064831E-16	3.336356E+00
4.130400E+03	1.127956E-15	1.143075E-16	3.339125E+00
4.139600E+03	1.068450E-15	1.074937E-16	3.341934E+00
4.148800E+03	1.026715E-15	1.271046E-16	3.344784E+00
4.158000E+03	9.999172E-16	9.666693E-17	3.347676E+00
4.167200E+03	9.830351E-16	1.406716E-16	3.350609E+00
4.176400E+03	9.635181E-16	1.332798E-16	3.353584E+00
4.185600E+03	9.439434E-16	1.313387E-16	3.356601E+00
4.194800E+03	9.343890E-16	1.046770E-16	3.359661E+00
4.204000E+03	9.432892E-16	1.009374E-16	3.362765E+00
4.213200E+03	9.522165E-16	8.938502E-17	3.365912E+00
4.222400E+03	9.790950E-16	9.992883E-17	3.369103E+00
4.231600E+03	1.006609E-15	9.887613E-17	3.372338E+00
4.240800E+03	1.052788E-15	9.192867E-17	3.375619E+00
4.250000E+03	1.091129E-15	1.118574E-16	3.378944E+00
4.259200E+03	1.127190E-15	1.100702E-16	3.382315E+00
4.268400E+03	1.168315E-15	9.801852E-17	3.385733E+00
4.277600E+03	1.172391E-15	1.082950E-16	3.389197E+00
4.286800E+03	1.161086E-15	1.115794E-16	3.392707E+00
4.296000E+03	1.162644E-15	8.585241E-17	3.396266E+00
4.305200E+03	1.131749E-15	8.321973E-17	3.399872E+00
4.314400E+03	1.102436E-15	8.024558E-17	3.403526E+00
4.323600E+03	1.091063E-15	6.655622E-17	3.407229E+00
4.332800E+03	1.083635E-15	8.222838E-17	3.410981E+00
4.342000E+03	1.073300E-15	8.430875E-17	3.414783E+00
4.351200E+03	1.092767E-15	6.723375E-17	3.418635E+00
4.360400E+03	1.120607E-15	6.921975E-17	3.422537E+00
4.369600E+03	1.151027E-15	6.534954E-17	3.426491E+00
4.378800E+03	1.148976E-15	8.847363E-17	3.430496E+00
4.388000E+03	1.128354E-15	7.919124E-17	3.434552E+00
4.397200E+03	1.087717E-15	7.270739E-17	3.438662E+00
4.406400E+03	1.044346E-15	7.267661E-17	3.442824E+00
4.415600E+03	9.944708E-16	7.898923E-17	3.447039E+00
4.424800E+03	9.281949E-16	5.346657E-17	3.451309E+00
4.434000E+03	8.521589E-16	5.072951E-17	3.455632E+00
4.443200E+03	7.809244E-16	3.979125E-17	3.460011E+00
4.452400E+03	7.148881E-16	6.124656E-17	3.464445E+00
4.461600E+03	6.690880E-16	6.483946E-17	3.468934E+00
4.470800E+03	6.385993E-16	7.100058E-17	3.473480E+00
4.480000E+03	6.257767E-16	7.092689E-17	3.478083E+00
4.489200E+03	6.285655E-16	5.877664E-17	3.482743E+00
4.498400E+03	6.454942E-16	5.556962E-17	3.487461E+00
4.507600E+03	6.592996E-16	5.951754E-17	3.492238E+00
4.516800E+03	6.860908E-16	3.541725E-17	3.497073E+00
4.526000E+03	7.093237E-16	3.362619E-17	3.501968E+00
4.535200E+03	7.422403E-16	3.988093E-17	3.506923E+00
4.544400E+03	7.732586E-16	3.624250E-17	3.511939E+00
4.553600E+03	8.182336E-16	3.541694E-17	3.517015E+00
4.562800E+03	8.724726E-16	3.579595E-17	3.522153E+00
4.572000E+03	9.527029E-16	3.259951E-17	3.527354E+00
4.581200E+03	1.020184E-15	2.813594E-17	3.532617E+00
4.590400E+03	1.104829E-15	2.750799E-17	3.537943E+00
4.599600E+03	1.178477E-15	3.069786E-17	3.543333E+00
4.608800E+03	1.255455E-15	3.354371E-17	3.548788E+00
4.618000E+03	1.328955E-15	4.762121E-17	3.554307E+00
4.627200E+03	1.388073E-15	4.548615E-17	3.559892E+00
4.636400E+03	1.443154E-15	4.723190E-17	3.565544E+00
4.645600E+03	1.482109E-15	5.502442E-17	3.571262E+00
4.654800E+03	1.518671E-15	6.423667E-17	3.577047E+00
4.664000E+03	1.535452E-15	6.622799E-17	3.582901E+00
4.673200E+03	1.539031E-15	6.641652E-17	3.588823E+00
4.682400E+03	1.545159E-15	6.694520E-17	3.594814E+00
4.691600E+03	1.551329E-15	6.180723E-17	3.600874E+00
4.700800E+03	1.552347E-15	4.339199E-17	3.607006E+00
4.710000E+03	1.550789E-15	3.191315E-17	3.613208E+00
4.719200E+03	1.545917E-15	3.250823E-17	3.619482E+00
4.728400E+03	1.539708E-15	3.093337E-17	3.625828E+00
4.737600E+03	1.536186E-15	3.946226E-17	3.632247E+00
4.746800E+03	1.527543E-15	3.954086E-17	3.638739E+00
4.756000E+03	1.506350E-15	5.716453E-17	3.645306E+00
4.765200E+03	1.480244E-15	5.894864E-17	3.651947E+00
4.774400E+03	1.453148E-15	6.096182E-17	3.658664E+00
4.783600E+03	1.393202E-15	5.949180E-17	3.665453E+00
4.792800E+03	1.332901E-15	6.056001E-17	3.672309E+00
4.802000E+03	1.254910E-15	4.148357E-17	3.679225E+00
4.811200E+03	1.163916E-15	2.346908E-17	3.686194E+00
4.820400E+03	1.062906E-15	4.481123E-17	3.693210E+00
4.829600E+03	9.740208E-16	4.145929E-17	3.700265E+00
4.838800E+03	8.922488E-16	4.786647E-17	3.707354E+00
4.848000E+03	8.148430E-16	4.691546E-17	3.714469E+00
4.857200E+03	7.559694E-16	5.155898E-17	3.721604E+00
4.866400E+03	7.119308E-16	4.808869E-17	3.728753E+00
4.875600E+03	6.765357E-16	4.466444E-17	3.735909E+00
4.884800E+03	6.621485E-16	4.180958E-17	3.743067E+00
4.894000E+03	6.609768E-16	3.269330E-17	3.750223E+00
4.903200E+03	6.595315E-16	5.103562E-17	3.757372E+00
4.912400E+03	6.595796E-16	4.928554E-17	3.764509E+00
4.921600E+03	6.516998E-16	5.020662E-17	3.771629E+00
4.930800E+03	6.449533E-16	5.080913E-17	3.778728E+00
4.940000E+03	6.309794E-16	4.607649E-17	3.785801E+00
4.949200E+03	6.219125E-16	3.590886E-17	3.792843E+00
4.958400E+03	6.137137E-16	3.336861E-17	3.799849E+00
4.967600E+03	6.266779E-16	2.263537E-17	3.806815E+00
4.976800E+03	6.618739E-16	2.288840E-17	3.813736E+00
4.986000E+03	7.112060E-16	2.600998E-17	3.820607E+00
4.995200E+03	7.812154E-16	2.348983E-17	3.827424E+00
5.004400E+03	8.598917E-16	2.375718E-17	3.834181E+00
5.013600E+03	9.351758E-16	3.955196E-17	3.840873E+00
5.022800E+03	9.969249E-16	5.340314E-17	3.847497E+00
5.032000E+03	1.066530E-15	4.161709E-17	3.854047E+00
5.041200E+03	1.070946E-15	3.795979E-17	3.860518E+00
5.050400E+03	1.055047E-15	2.976448E-17	3.866906E+00
5.059600E+03	1.027329E-15	4.253975E-17	3.873206E+00
5.068800E+03	9.862244E-16	4.450727E-17	3.879413E+00
5.078000E+03	9.348567E-16	4.298527E-17	3.885522E+00
5.087200E+03	8.790185E-16	3.008610E-17	3.891529E+00
5.096400E+03	8.275408E-16	2.246706E-17	3.897428E+00
5.105600E+03	7.872394E-16	1.681680E-17	3.903215E+00
5.114800E+03	7.637569E-16	1.603829E-16	3.908884E+00
5.124000E+03	7.603001E-16	1.586622E-16	3.914432E+00
5.133200E+03	7.779340E-16	1.586308E-16	3.919853E+00
5.142400E+03	7.989626E-16	1.522123E-16	3.925142E+00
5.151600E+03	8.267767E-16	1.523860E-16	3.930294E+00
5.160800E+03	8.600216E-16	2.944306E-17	3.935305E+00
5.170000E+03	8.881931E-16	3.389370E-17	3.940170E+00
5.179200E+03	8.996700E-16	3.144515E-17	3.944883E+00
5.188400E+03	9.026840E-16	3.874559E-17	3.949440E+00
5.197600E+03	9.020676E-16	2.651027E-17	3.953836E+00
5.206800E+03	8.995099E-16	2.587058E-17	3.958065E+00
5.216000E+03	9.024134E-16	2.706957E-17	3.962124E+00
5.225200E+03	9.131730E-16	4.113370E-17	3.966006E+00
5.234400E+03	9.351838E-16	3.682997E-17	3.969708E+00
5.243600E+03	9.294959E-16	3.785860E-17	3.973223E+00
5.252800E+03	9.378290E-16	6.023297E-17	3.976548E+00
5.262000E+03	9.552018E-16	6.138421E-17	3.979676E+00
5.271200E+03	9.788442E-16	5.435064E-17	3.982603E+00
5.280400E+03	1.014584E-15	4.360203E-17	3.985324E+00
5.289600E+03	1.052748E-15	4.875109E-17	3.987834E+00
5.298800E+03	1.096607E-15	2.735012E-17	3.990127E+00
5.308000E+03	1.141689E-15	2.488158E-17	3.992199E+00
5.317200E+03	1.184474E-15	2.824812E-17	3.994044E+00
5.326400E+03	1.232740E-15	4.306295E-17	3.995658E+00
5.335600E+03	1.273735E-15	4.048909E-17	3.997035E+00
5.344800E+03	1.303963E-15	4.173875E-17	3.998170E+00
5.354000E+03	1.334965E-15	4.205496E-17	3.999057E+00
5.363200E+03	1.367935E-15	3.605181E-17	3.999692E+00
5.372400E+03	1.396664E-15	2.779976E-17	4.000070E+00
5.381600E+03	1.405585E-15	2.666559E-17	4.000185E+00
5.390800E+03	1.416451E-15	2.697337E-17	4.000031E+00
5.400000E+03	1.421340E-15	3.008326E-17	3.999605E+00
5.409200E+03	1.417652E-15	2.952376E-17	3.998905E+00
5.418400E+03	1.419747E-15	3.402537E-17	3.997937E+00
5.427600E+03	1.413155E-15	3.393247E-17	3.996706E+00
5.436800E+03	1.399844E-15	3.348295E-17	3.995217E+00
5.446000E+03	1.393244E-15	2.899959E-17	3.993476E+00
5.455200E+03	1.373830E-15	3.090898E-17	3.991487E+00
5.464400E+03	1.353954E-15	3.423593E-17	3.989257E+00
5.473600E+03	1.338724E-15	3.583847E-17	3.986789E+00
5.482800E+03	1.306423E-15	3.481967E-17	3.984090E+00
5.492000E+03	1.291609E-15	4.621033E-17	3.981164E+00
5.501200E+03	1.280921E-15	4.211458E-17	3.978016E+00
5.510400E+03	1.274552E-15	4.042919E-17	3.974652E+00
5.519600E+03	1.276304E-15	4.021758E-17	3.971077E+00
5.528800E+03	1.273224E-15	4.264571E-17	3.967295E+00
5.538000E+03	1.274364E-15	3.303422E-17	3.963313E+00
5.547200E+03	1.275871E-15	3.397628E-17	3.959134E+00
