#wls	flux	fluxerr
1.581966E+03	1.798909E-02	4.981260E-04
1.621515E+03	1.840593E-02	5.085751E-04
1.661064E+03	1.881870E-02	5.188343E-04
1.700613E+03	1.922482E-02	5.288317E-04
1.740162E+03	1.962148E-02	5.384886E-04
1.779711E+03	2.001188E-02	5.478920E-04
1.819260E+03	2.038973E-02	5.568688E-04
1.858810E+03	2.076109E-02	5.655847E-04
1.898359E+03	2.111920E-02	5.738546E-04
1.937908E+03	2.146333E-02	5.816591E-04
1.977457E+03	2.179900E-02	5.891479E-04
2.017006E+03	2.212495E-02	5.962871E-04
2.056555E+03	2.243628E-02	6.029444E-04
2.096104E+03	2.273412E-02	6.091513E-04
2.135654E+03	2.302231E-02	6.150113E-04
2.175203E+03	2.329757E-02	6.204372E-04
2.214752E+03	2.354970E-02	6.251592E-04
2.254301E+03	2.378068E-02	6.292336E-04
2.293850E+03	2.397941E-02	6.323713E-04
2.333399E+03	2.413780E-02	6.343661E-04
2.372948E+03	2.425360E-02	6.351687E-04
2.412498E+03	2.431283E-02	6.344249E-04
2.452047E+03	2.431086E-02	6.320291E-04
2.491596E+03	2.424078E-02	6.278198E-04
2.531145E+03	2.409669E-02	6.216648E-04
2.570694E+03	2.387398E-02	6.134682E-04
2.610243E+03	2.357191E-02	6.032362E-04
2.649792E+03	2.319105E-02	5.910100E-04
2.689342E+03	2.272927E-02	5.767627E-04
2.728891E+03	2.219289E-02	5.606831E-04
2.768440E+03	2.158754E-02	5.429407E-04
2.807989E+03	2.091873E-02	5.237011E-04
2.847538E+03	2.019242E-02	5.031385E-04
2.887087E+03	1.941532E-02	4.814449E-04
2.926636E+03	1.860198E-02	4.590020E-04
2.966185E+03	1.776328E-02	4.360961E-04
2.976073E+03	1.755205E-02	4.303578E-04
2.985960E+03	1.734102E-02	4.246357E-04
2.995847E+03	1.712920E-02	4.189050E-04
3.005735E+03	1.691795E-02	4.131994E-04
3.015622E+03	1.670743E-02	4.075226E-04
3.025509E+03	1.649669E-02	4.018518E-04
3.035396E+03	1.628809E-02	3.962443E-04
3.045284E+03	1.607963E-02	3.906514E-04
3.055171E+03	1.587355E-02	3.851277E-04
3.065058E+03	1.566795E-02	3.796268E-04
3.074946E+03	1.546497E-02	3.742008E-04
3.084833E+03	1.526469E-02	3.688512E-04
3.094720E+03	1.506626E-02	3.635572E-04
3.104607E+03	1.486980E-02	3.583220E-04
3.114495E+03	1.467634E-02	3.531698E-04
3.124382E+03	1.448593E-02	3.481020E-04
3.134269E+03	1.429863E-02	3.431197E-04
3.144157E+03	1.411451E-02	3.382242E-04
3.154044E+03	1.393362E-02	3.334164E-04
3.163931E+03	1.375600E-02	3.286973E-04
3.173818E+03	1.358247E-02	3.240861E-04
3.183706E+03	1.341227E-02	3.195643E-04
3.193593E+03	1.324690E-02	3.151674E-04
3.203480E+03	1.308487E-02	3.108592E-04
3.213368E+03	1.292759E-02	3.066735E-04
3.223255E+03	1.277364E-02	3.025756E-04
3.233142E+03	1.262502E-02	2.986131E-04
3.243029E+03	1.248031E-02	2.947516E-04
3.252917E+03	1.234011E-02	2.910049E-04
3.262804E+03	1.220433E-02	2.873707E-04
3.272691E+03	1.207348E-02	2.838605E-04
3.282579E+03	1.194684E-02	2.804567E-04
3.292466E+03	1.182489E-02	2.771703E-04
3.302353E+03	1.170804E-02	2.740106E-04
3.312240E+03	1.159555E-02	2.709597E-04
3.322128E+03	1.148781E-02	2.680262E-04
3.332015E+03	1.138461E-02	2.652048E-04
3.341902E+03	1.128628E-02	2.625026E-04
3.351790E+03	1.119254E-02	2.599130E-04
3.361677E+03	1.110316E-02	2.574297E-04
3.371564E+03	1.101834E-02	2.550573E-04
3.381451E+03	1.093777E-02	2.527879E-04
3.391339E+03	1.086158E-02	2.506244E-04
3.401226E+03	1.078941E-02	2.485576E-04
3.411113E+03	1.072131E-02	2.465884E-04
