#wls	flux	fluxerr
1.581966E+03	3.810009E-02	1.444521E-03
1.621515E+03	3.952633E-02	1.490293E-03
1.661064E+03	4.101631E-02	1.537663E-03
1.700613E+03	4.256982E-02	1.586558E-03
1.740162E+03	4.419022E-02	1.637034E-03
1.779711E+03	4.587557E-02	1.688950E-03
1.819260E+03	4.762722E-02	1.742283E-03
1.858810E+03	4.944537E-02	1.796962E-03
1.898359E+03	5.132443E-02	1.852710E-03
1.937908E+03	5.326164E-02	1.909349E-03
1.977457E+03	5.525260E-02	1.966648E-03
2.017006E+03	5.729098E-02	2.024307E-03
2.056555E+03	5.936410E-02	2.081809E-03
2.096104E+03	6.146149E-02	2.138727E-03
2.135654E+03	6.356177E-02	2.194266E-03
2.175203E+03	6.564156E-02	2.247587E-03
2.214752E+03	6.765860E-02	2.297236E-03
2.254301E+03	6.956993E-02	2.341785E-03
2.293850E+03	7.137755E-02	2.381360E-03
2.333399E+03	7.309649E-02	2.416521E-03
2.372948E+03	7.472927E-02	2.447399E-03
2.412498E+03	7.626621E-02	2.473732E-03
2.452047E+03	7.768996E-02	2.495029E-03
2.491596E+03	7.898325E-02	2.510825E-03
2.531145E+03	8.011814E-02	2.520347E-03
2.570694E+03	8.107093E-02	2.522999E-03
2.610243E+03	8.180866E-02	2.517937E-03
2.649792E+03	8.229116E-02	2.504150E-03
2.689342E+03	8.248527E-02	2.480903E-03
2.728891E+03	8.235074E-02	2.447306E-03
2.768440E+03	8.184924E-02	2.402598E-03
2.807989E+03	8.094433E-02	2.346137E-03
2.847538E+03	7.960943E-02	2.277631E-03
2.887087E+03	7.784213E-02	2.197525E-03
2.926636E+03	7.567068E-02	2.107133E-03
2.966185E+03	7.313466E-02	2.008051E-03
2.976073E+03	7.244822E-02	1.982102E-03
2.985960E+03	7.174509E-02	1.955812E-03
2.995847E+03	7.102208E-02	1.929100E-03
3.005735E+03	7.028120E-02	1.902028E-03
3.015622E+03	6.952593E-02	1.874694E-03
3.025509E+03	6.875344E-02	1.847029E-03
3.035396E+03	6.796728E-02	1.819134E-03
3.045284E+03	6.716784E-02	1.791023E-03
3.055171E+03	6.635562E-02	1.762714E-03
3.065058E+03	6.553127E-02	1.734231E-03
3.074946E+03	6.469811E-02	1.705664E-03
3.084833E+03	6.385543E-02	1.676999E-03
3.094720E+03	6.300529E-02	1.648293E-03
3.104607E+03	6.214845E-02	1.619569E-03
3.114495E+03	6.128578E-02	1.590853E-03
3.124382E+03	6.041937E-02	1.562201E-03
3.134269E+03	5.955127E-02	1.533668E-03
3.144157E+03	5.868024E-02	1.505224E-03
3.154044E+03	5.781057E-02	1.476981E-03
3.163931E+03	5.694225E-02	1.448937E-03
3.173818E+03	5.607735E-02	1.421146E-03
3.183706E+03	5.521697E-02	1.393636E-03
3.193593E+03	5.436131E-02	1.366411E-03
3.203480E+03	5.351430E-02	1.339569E-03
3.213368E+03	5.267435E-02	1.313067E-03
3.223255E+03	5.184536E-02	1.287003E-03
