#wls	flux	fluxerr
1.581966E+03	9.676926E-03	3.137217E-04
1.621515E+03	9.876344E-03	3.200432E-04
1.661064E+03	1.007398E-02	3.262973E-04
1.700613E+03	1.026899E-02	3.324568E-04
1.740162E+03	1.046047E-02	3.384923E-04
1.779711E+03	1.064750E-02	3.443735E-04
1.819260E+03	1.082907E-02	3.500678E-04
1.858810E+03	1.100625E-02	3.556102E-04
1.898359E+03	1.117593E-02	3.608994E-04
1.937908E+03	1.134131E-02	3.660396E-04
1.977457E+03	1.149703E-02	3.708572E-04
2.017006E+03	1.164633E-02	3.754575E-04
2.056555E+03	1.178594E-02	3.797346E-04
2.096104E+03	1.191919E-02	3.837962E-04
2.135654E+03	1.204051E-02	3.874633E-04
2.175203E+03	1.215101E-02	3.907721E-04
2.214752E+03	1.225183E-02	3.937595E-04
2.254301E+03	1.234186E-02	3.963903E-04
2.293850E+03	1.242000E-02	3.986295E-04
2.333399E+03	1.248516E-02	4.004429E-04
2.372948E+03	1.253847E-02	4.018676E-04
2.412498E+03	1.257887E-02	4.028695E-04
2.452047E+03	1.260743E-02	4.034845E-04
2.491596E+03	1.262092E-02	4.036096E-04
2.531145E+03	1.262253E-02	4.033480E-04
2.570694E+03	1.261112E-02	4.026635E-04
2.610243E+03	1.258754E-02	4.015850E-04
2.649792E+03	1.255056E-02	4.000732E-04
2.689342E+03	1.250085E-02	3.981514E-04
2.728891E+03	1.244081E-02	3.958967E-04
2.768440E+03	1.236877E-02	3.932566E-04
2.807989E+03	1.228481E-02	3.902351E-04
2.847538E+03	1.219051E-02	3.868833E-04
2.887087E+03	1.208699E-02	3.832378E-04
2.926636E+03	1.197489E-02	3.793195E-04
2.966185E+03	1.185283E-02	3.750861E-04
2.976073E+03	1.182173E-02	3.740093E-04
2.985960E+03	1.178936E-02	3.728925E-04
2.995847E+03	1.175570E-02	3.717349E-04
3.005735E+03	1.172364E-02	3.706281E-04
3.015622E+03	1.168871E-02	3.694304E-04
3.025509E+03	1.165521E-02	3.682783E-04
3.035396E+03	1.162019E-02	3.670782E-04
3.045284E+03	1.158502E-02	3.658733E-04
3.055171E+03	1.154823E-02	3.646176E-04
3.065058E+03	1.151252E-02	3.633963E-04
3.074946E+03	1.147508E-02	3.621203E-04
3.084833E+03	1.143721E-02	3.608309E-04
3.094720E+03	1.140014E-02	3.595670E-04
3.104607E+03	1.136116E-02	3.582432E-04
3.114495E+03	1.132280E-02	3.569393E-04
3.124382E+03	1.128369E-02	3.556118E-04
3.134269E+03	1.124376E-02	3.542584E-04
3.144157E+03	1.120293E-02	3.528773E-04
3.154044E+03	1.116235E-02	3.515043E-04
3.163931E+03	1.112072E-02	3.500985E-04
3.173818E+03	1.107916E-02	3.486950E-04
3.183706E+03	1.103639E-02	3.472540E-04
3.193593E+03	1.099351E-02	3.458096E-04
3.203480E+03	1.095040E-02	3.443586E-04
3.213368E+03	1.090587E-02	3.428632E-04
3.223255E+03	1.086205E-02	3.413904E-04
3.233142E+03	1.081665E-02	3.398685E-04
3.243029E+03	1.077070E-02	3.383294E-04
3.252917E+03	1.072514E-02	3.368031E-04
3.262804E+03	1.067882E-02	3.352535E-04
3.272691E+03	1.063168E-02	3.336784E-04
3.282579E+03	1.058462E-02	3.321065E-04
3.292466E+03	1.053658E-02	3.305040E-04
3.302353E+03	1.048843E-02	3.288990E-04
