#wls	flux	fluxerr
1.581966E+03	1.294459E-15	6.517327E-17
1.621515E+03	1.347321E-15	6.741293E-17
1.661064E+03	1.401637E-15	6.968318E-17
1.700613E+03	1.457229E-15	7.197259E-17
1.740162E+03	1.513992E-15	7.427371E-17
1.779711E+03	1.571721E-15	7.657421E-17
1.819260E+03	1.629452E-15	7.882518E-17
1.858810E+03	1.686672E-15	8.100080E-17
1.898359E+03	1.742280E-15	8.304790E-17
1.937908E+03	1.795094E-15	8.491111E-17
1.977457E+03	1.844038E-15	8.654179E-17
2.017006E+03	1.889062E-15	8.794087E-17
2.056555E+03	1.931701E-15	8.918262E-17
2.096104E+03	1.975718E-15	9.044111E-17
2.135654E+03	2.026862E-15	9.197458E-17
2.175203E+03	2.089274E-15	9.395969E-17
2.214752E+03	2.163351E-15	9.639894E-17
2.254301E+03	2.245606E-15	9.912250E-17
2.293850E+03	2.330847E-15	1.018912E-16
2.333399E+03	2.414580E-15	1.045050E-16
2.372948E+03	2.493821E-15	1.068363E-16
2.412498E+03	2.566947E-15	1.088203E-16
2.452047E+03	2.633591E-15	1.104485E-16
2.491596E+03	2.693557E-15	1.117202E-16
2.531145E+03	2.747093E-15	1.126536E-16
2.570694E+03	2.794198E-15	1.132567E-16
2.610243E+03	2.834989E-15	1.135424E-16
2.649792E+03	2.869370E-15	1.135154E-16
2.689342E+03	2.897246E-15	1.131810E-16
2.728891E+03	2.918543E-15	1.125455E-16
2.768440E+03	2.933127E-15	1.116136E-16
2.807989E+03	2.940927E-15	1.103930E-16
2.847538E+03	2.942097E-15	1.089000E-16
2.887087E+03	2.936689E-15	1.071474E-16
2.926636E+03	2.925186E-15	1.051633E-16
2.966185E+03	2.907860E-15	1.029680E-16
2.976073E+03	2.902749E-15	1.023920E-16
2.985960E+03	2.897265E-15	1.018032E-16
2.995847E+03	2.891410E-15	1.012019E-16
3.005735E+03	2.885311E-15	1.005927E-16
3.015622E+03	2.878902E-15	9.997345E-17
3.025509E+03	2.872182E-15	9.934416E-17
3.035396E+03	2.865228E-15	9.870770E-17
3.045284E+03	2.857955E-15	9.806124E-17
3.055171E+03	2.850462E-15	9.740835E-17
3.065058E+03	2.842850E-15	9.675256E-17
3.074946E+03	2.834983E-15	9.608930E-17
3.084833E+03	2.826904E-15	9.542017E-17
3.094720E+03	2.818545E-15	9.474302E-17
3.104607E+03	2.810068E-15	9.406339E-17
3.114495E+03	2.801310E-15	9.337590E-17
3.124382E+03	2.792343E-15	9.268306E-17
3.134269E+03	2.783250E-15	9.198779E-17
3.144157E+03	2.774078E-15	9.129167E-17
3.154044E+03	2.764785E-15	9.059337E-17
3.163640E+03	1.928800E-15	6.293451E-17
3.165362E+03	1.965301E-15	6.407675E-17
3.167083E+03	2.013433E-15	6.559611E-17
3.168806E+03	2.063358E-15	6.717140E-17
3.170527E+03	2.105446E-15	6.848930E-17
3.172248E+03	2.145822E-15	6.974946E-17
3.173971E+03	2.190041E-15	7.113237E-17
3.175692E+03	2.233976E-15	7.250388E-17
3.177414E+03	2.276669E-15	7.383288E-17
3.179136E+03	2.320730E-15	7.520409E-17
3.180858E+03	2.361693E-15	7.647276E-17
3.182580E+03	2.401567E-15	7.770418E-17
3.184302E+03	2.438562E-15	7.884045E-17
3.186023E+03	2.472899E-15	7.988904E-17
3.187746E+03	2.510168E-15	8.103049E-17
3.189467E+03	2.542763E-15	8.201937E-17
3.191189E+03	2.576947E-15	8.305776E-17
3.192911E+03	2.604662E-15	8.388614E-17
3.194633E+03	2.629485E-15	8.461999E-17
3.196355E+03	2.651860E-15	8.527391E-17
3.198076E+03	2.670442E-15	8.580482E-17
3.199798E+03	2.689037E-15	8.633516E-17
3.201520E+03	2.713251E-15	8.704485E-17
3.203242E+03	2.733670E-15	8.763161E-17
3.204963E+03	2.748267E-15	8.803091E-17
3.206686E+03	2.761978E-15	8.840104E-17
3.208407E+03	2.773453E-15	8.869900E-17
3.210130E+03	2.784488E-15	8.898225E-17
3.211851E+03	2.791711E-15	8.914324E-17
3.213573E+03	2.798715E-15	8.929683E-17
3.215295E+03	2.805275E-15	8.943592E-17
3.217017E+03	2.805317E-15	8.936700E-17
3.218738E+03	2.803785E-15	8.924800E-17
3.220460E+03	2.805404E-15	8.922925E-17
3.222182E+03	2.800721E-15	8.901010E-17
3.223904E+03	2.793333E-15	8.870526E-17
3.225626E+03	2.785490E-15	8.838636E-17
3.227347E+03	2.776065E-15	8.801767E-17
3.229070E+03	2.760998E-15	8.747066E-17
3.230791E+03	2.745020E-15	8.689558E-17
3.232513E+03	2.733092E-15	8.644936E-17
3.234235E+03	2.720255E-15	8.597501E-17
3.235957E+03	2.703797E-15	8.538692E-17
3.237678E+03	2.684620E-15	8.471384E-17
3.239401E+03	2.669270E-15	8.416236E-17
3.241122E+03	2.650069E-15	8.349034E-17
3.242845E+03	2.629726E-15	8.278327E-17
3.244566E+03	2.616379E-15	8.229732E-17
3.246288E+03	2.600990E-15	8.174777E-17
3.248010E+03	2.586268E-15	8.122000E-17
3.249731E+03	2.573802E-15	8.076370E-17
3.251453E+03	2.560648E-15	8.028644E-17
3.253175E+03	2.547260E-15	7.980251E-17
3.254897E+03	2.533863E-15	7.931892E-17
3.256619E+03	2.526125E-15	7.901304E-17
3.258341E+03	2.519290E-15	7.873572E-17
3.260062E+03	2.514720E-15	7.852947E-17
3.261785E+03	2.511963E-15	7.838000E-17
3.263506E+03	2.509659E-15	7.824478E-17
3.265228E+03	2.507580E-15	7.811667E-17
3.266950E+03	2.498687E-15	7.777656E-17
3.268672E+03	2.491379E-15	7.748613E-17
3.270394E+03	2.484749E-15	7.721717E-17
3.272116E+03	2.483345E-15	7.711078E-17
3.273837E+03	2.483533E-15	7.705387E-17
3.275560E+03	2.480992E-15	7.691229E-17
3.277281E+03	2.488011E-15	7.706700E-17
3.279002E+03	2.502324E-15	7.744705E-17
3.280725E+03	2.523254E-15	7.803097E-17
3.282446E+03	2.535767E-15	7.835379E-17
3.284168E+03	2.539400E-15	7.840175E-17
3.285890E+03	2.547597E-15	7.859033E-17
3.287612E+03	2.561048E-15	7.894039E-17
3.289334E+03	2.572684E-15	7.923390E-17
3.291056E+03	2.579306E-15	7.937248E-17
3.292777E+03	2.577941E-15	7.926515E-17
3.294500E+03	2.572464E-15	7.903151E-17
3.296221E+03	2.573383E-15	7.899449E-17
3.297943E+03	2.569730E-15	7.881718E-17
3.299665E+03	2.575225E-15	7.892039E-17
3.301387E+03	2.584843E-15	7.914953E-17
3.303109E+03	2.589891E-15	7.923841E-17
3.304831E+03	2.600439E-15	7.949507E-17
3.306552E+03	2.610995E-15	7.975148E-17
3.308274E+03	2.613999E-15	7.977687E-17
3.309996E+03	2.622966E-15	7.998388E-17
3.311717E+03	2.632857E-15	8.021860E-17
3.313440E+03	2.643903E-15	8.048793E-17
3.315161E+03	2.651517E-15	8.065233E-17
3.316884E+03	2.664646E-15	8.098391E-17
3.318605E+03	2.680771E-15	8.140580E-17
3.320327E+03	2.697598E-15	8.184814E-17
3.322049E+03	2.712140E-15	8.222036E-17
3.323771E+03	2.725085E-15	8.254343E-17
3.325492E+03	2.732292E-15	8.269219E-17
3.327215E+03	2.733295E-15	8.265292E-17
3.328936E+03	2.737750E-15	8.271795E-17
3.330658E+03	2.743593E-15	8.282457E-17
3.332380E+03	2.744374E-15	8.277823E-17
3.334101E+03	2.746539E-15	8.277357E-17
3.335824E+03	2.755390E-15	8.297007E-17
3.337545E+03	2.758486E-15	8.299297E-17
3.339267E+03	2.763891E-15	8.308509E-17
3.340989E+03	2.772762E-15	8.328106E-17
3.342711E+03	2.776102E-15	8.331055E-17
3.344432E+03	2.772750E-15	8.313922E-17
3.346155E+03	2.775171E-15	8.314096E-17
3.347876E+03	2.780830E-15	8.323954E-17
3.349599E+03	2.785801E-15	8.331720E-17
3.351320E+03	2.787540E-15	8.329804E-17
3.353042E+03	2.789282E-15	8.327884E-17
3.354764E+03	2.792877E-15	8.331485E-17
3.356485E+03	2.801338E-15	8.349570E-17
3.358207E+03	2.810733E-15	8.370387E-17
3.359930E+03	2.812955E-15	8.369814E-17
3.361651E+03	2.823987E-15	8.395419E-17
3.363373E+03	2.838970E-15	8.432704E-17
3.365095E+03	2.841441E-15	8.432775E-17
3.366816E+03	2.840203E-15	8.421839E-17
3.368539E+03	2.846161E-15	8.432223E-17
3.370260E+03	2.856073E-15	8.454282E-17
3.371982E+03	2.862974E-15	8.467381E-17
3.373704E+03	2.868952E-15	8.477721E-17
3.375426E+03	2.875867E-15	8.490788E-17
