#wls	flux	fluxerr
1.581966E+03	6.672694E-17	3.740712E-18
1.621515E+03	6.846731E-17	3.837960E-18
1.661064E+03	7.017021E-17	3.933084E-18
1.700613E+03	7.185350E-17	4.027084E-18
1.740162E+03	7.348531E-17	4.118175E-18
1.779711E+03	7.506145E-17	4.206120E-18
1.819260E+03	7.654396E-17	4.288794E-18
1.858810E+03	7.792800E-17	4.365926E-18
1.898359E+03	7.915129E-17	4.434028E-18
1.937908E+03	8.019164E-17	4.491859E-18
1.977457E+03	8.102785E-17	4.538234E-18
2.017006E+03	8.168005E-17	4.574284E-18
2.056555E+03	8.223189E-17	4.604695E-18
2.096104E+03	8.290569E-17	4.641917E-18
2.135654E+03	8.393852E-17	4.699219E-18
2.175203E+03	8.552332E-17	4.787393E-18
2.214752E+03	8.769052E-17	4.908133E-18
2.254301E+03	9.030973E-17	5.054128E-18
2.293850E+03	9.318201E-17	5.214236E-18
2.333399E+03	9.613144E-17	5.378606E-18
2.372948E+03	9.905804E-17	5.541643E-18
2.412498E+03	1.018862E-16	5.699115E-18
2.452047E+03	1.045925E-16	5.849715E-18
2.491596E+03	1.071736E-16	5.993259E-18
2.531145E+03	1.096532E-16	6.131069E-18
2.570694E+03	1.120233E-16	6.262702E-18
2.610243E+03	1.142931E-16	6.388672E-18
2.649792E+03	1.164888E-16	6.510449E-18
2.689342E+03	1.185994E-16	6.627412E-18
2.728891E+03	1.206484E-16	6.740877E-18
2.768440E+03	1.226213E-16	6.850039E-18
2.807989E+03	1.245400E-16	6.956112E-18
2.847538E+03	1.263873E-16	7.058152E-18
2.887087E+03	1.281838E-16	7.157295E-18
2.926636E+03	1.299110E-16	7.252515E-18
2.966185E+03	1.315885E-16	7.344904E-18
2.976073E+03	1.319940E-16	7.367223E-18
2.985960E+03	1.324135E-16	7.390316E-18
2.995847E+03	1.328079E-16	7.412006E-18
3.005735E+03	1.332163E-16	7.434474E-18
3.015622E+03	1.335997E-16	7.455540E-18
3.025509E+03	1.339970E-16	7.477382E-18
3.035396E+03	1.343896E-16	7.498958E-18
3.045284E+03	1.347765E-16	7.520207E-18
3.055171E+03	1.351625E-16	7.541407E-18
3.065058E+03	1.355468E-16	7.562511E-18
3.074946E+03	1.359289E-16	7.583490E-18
3.084833E+03	1.363083E-16	7.604313E-18
3.094720E+03	1.367041E-16	7.626042E-18
3.104607E+03	1.370764E-16	7.646465E-18
3.114495E+03	1.374643E-16	7.667747E-18
3.124382E+03	1.378278E-16	7.687673E-18
3.134269E+03	1.382061E-16	7.708416E-18
3.144157E+03	1.385792E-16	7.728865E-18
3.154044E+03	1.389468E-16	7.749005E-18
3.163931E+03	1.393085E-16	7.768818E-18
3.173818E+03	1.396643E-16	7.788292E-18
3.183706E+03	1.400139E-16	7.807417E-18
3.193593E+03	1.403770E-16	7.827292E-18
3.203480E+03	1.407137E-16	7.845697E-18
3.213368E+03	1.410636E-16	7.864829E-18
3.223255E+03	1.413870E-16	7.882483E-18
3.233142E+03	1.417234E-16	7.900855E-18
3.243029E+03	1.420528E-16	7.918839E-18
3.252917E+03	1.423754E-16	7.936434E-18
3.262804E+03	1.426909E-16	7.953636E-18
3.272691E+03	1.429994E-16	7.970441E-18
3.282579E+03	1.433009E-16	7.986856E-18
3.292466E+03	1.435953E-16	8.002872E-18
3.302353E+03	1.439025E-16	8.019596E-18
3.312240E+03	1.441829E-16	8.034826E-18
3.322128E+03	1.444761E-16	8.050762E-18
3.332015E+03	1.447426E-16	8.065211E-18
3.341902E+03	1.450219E-16	8.080370E-18
3.351790E+03	1.452944E-16	8.095144E-18
3.361677E+03	1.455600E-16	8.109534E-18
3.371564E+03	1.458189E-16	8.123545E-18
3.381451E+03	1.460711E-16	8.137183E-18
3.391339E+03	1.463167E-16	8.150451E-18
3.401226E+03	1.465558E-16	8.163353E-18
3.411113E+03	1.467885E-16	8.175891E-18
3.421001E+03	1.470344E-16	8.189170E-18
3.430888E+03	1.472545E-16	8.201002E-18
3.440775E+03	1.474880E-16	8.213582E-18
3.450662E+03	1.477155E-16	8.225822E-18
3.460550E+03	1.479173E-16	8.236633E-18
3.470437E+03	1.481331E-16	8.248214E-18
3.480324E+03	1.483430E-16	8.259470E-18
3.490212E+03	1.485473E-16	8.270409E-18
3.500099E+03	1.487461E-16	8.281041E-18
3.509986E+03	1.489395E-16	8.291368E-18
3.519873E+03	1.491277E-16	8.301403E-18
3.529761E+03	1.493303E-16	8.312239E-18
3.539648E+03	1.495085E-16	8.321711E-18
3.549535E+03	1.496818E-16	8.330910E-18
3.559423E+03	1.498698E-16	8.340925E-18
3.569310E+03	1.500339E-16	8.349608E-18
