#wls	flux	fluxerr
1.600000E+03	7.096063E-16	2.311112E-17
1.640000E+03	7.255555E-16	2.359470E-17
1.680000E+03	7.412132E-16	2.406632E-17
1.720000E+03	7.567202E-16	2.453050E-17
1.760000E+03	7.718498E-16	2.497986E-17
1.800000E+03	7.864838E-16	2.541055E-17
1.840000E+03	8.008766E-16	2.583079E-17
1.880000E+03	8.147743E-16	2.623235E-17
1.920000E+03	8.280358E-16	2.661073E-17
1.960000E+03	8.410307E-16	2.697779E-17
2.000000E+03	8.533424E-16	2.732018E-17
2.040000E+03	8.651924E-16	2.764502E-17
2.080000E+03	8.766595E-16	2.795485E-17
2.120000E+03	8.875449E-16	2.824332E-17
2.160000E+03	8.978930E-16	2.851189E-17
2.200000E+03	9.077256E-16	2.876130E-17
2.240000E+03	9.167854E-16	2.898344E-17
2.280000E+03	9.249254E-16	2.917377E-17
2.320000E+03	9.317344E-16	2.931950E-17
2.360000E+03	9.370470E-16	2.941566E-17
2.400000E+03	9.405726E-16	2.945345E-17
2.440000E+03	9.419161E-16	2.942090E-17
2.480000E+03	9.409375E-16	2.931413E-17
2.520000E+03	9.372980E-16	2.912318E-17
2.560000E+03	9.308167E-16	2.884309E-17
2.600000E+03	9.214617E-16	2.847361E-17
2.640000E+03	9.091466E-16	2.801285E-17
2.680000E+03	8.937604E-16	2.745825E-17
2.720000E+03	8.756205E-16	2.682041E-17
2.760000E+03	8.547408E-16	2.610062E-17
2.800000E+03	8.315280E-16	2.531211E-17
2.840000E+03	8.060515E-16	2.445781E-17
2.880000E+03	7.786825E-16	2.354972E-17
2.920000E+03	7.495889E-16	2.259363E-17
2.960000E+03	7.192085E-16	2.160338E-17
3.000000E+03	6.880084E-16	2.059351E-17
3.010000E+03	6.801917E-16	2.034136E-17
3.020000E+03	6.723064E-16	2.008750E-17
3.030000E+03	6.644601E-16	1.983514E-17
3.040000E+03	6.566099E-16	1.958300E-17
3.050000E+03	6.487634E-16	1.933132E-17
3.060000E+03	6.409735E-16	1.908168E-17
3.070000E+03	6.332001E-16	1.883286E-17
3.080000E+03	6.254940E-16	1.858640E-17
3.090000E+03	6.178167E-16	1.834114E-17
3.100000E+03	6.102171E-16	1.809853E-17
3.110000E+03	6.026990E-16	1.785869E-17
3.120000E+03	5.952666E-16	1.762172E-17
3.130000E+03	5.879237E-16	1.738775E-17
3.140000E+03	5.806356E-16	1.715574E-17
3.150000E+03	5.734832E-16	1.692808E-17
3.160000E+03	5.664308E-16	1.670370E-17
3.170000E+03	5.594818E-16	1.648270E-17
3.180000E+03	5.526741E-16	1.626618E-17
3.190000E+03	5.459738E-16	1.605316E-17
3.200000E+03	5.394175E-16	1.584467E-17
3.210000E+03	5.330049E-16	1.564073E-17
3.220000E+03	5.267364E-16	1.544131E-17
3.230000E+03	5.205806E-16	1.524550E-17
3.240000E+03	5.146003E-16	1.505512E-17
3.250000E+03	5.087933E-16	1.487009E-17
3.260000E+03	5.031275E-16	1.468947E-17
3.270000E+03	4.976307E-16	1.451406E-17
3.280000E+03	4.922718E-16	1.434293E-17
3.290000E+03	4.871047E-16	1.417765E-17
3.300000E+03	4.820969E-16	1.401725E-17
3.310000E+03	4.772716E-16	1.386239E-17
3.320000E+03	4.725971E-16	1.371215E-17
3.330000E+03	4.681200E-16	1.356785E-17
3.340000E+03	4.638078E-16	1.342855E-17
3.350000E+03	4.596542E-16	1.329404E-17
3.360000E+03	4.557004E-16	1.316551E-17
3.370000E+03	4.519128E-16	1.304196E-17
3.380000E+03	4.482827E-16	1.292314E-17
3.390000E+03	4.448458E-16	1.281004E-17
3.400000E+03	4.415674E-16	1.270168E-17
3.410000E+03	4.384362E-16	1.259769E-17
3.420000E+03	4.355031E-16	1.249954E-17
3.430000E+03	4.327103E-16	1.240554E-17
3.440000E+03	4.300834E-16	1.231642E-17
3.450000E+03	4.275848E-16	1.223109E-17
3.460000E+03	4.252556E-16	1.215070E-17
3.470000E+03	4.230563E-16	1.207413E-17
3.480000E+03	4.210050E-16	1.200186E-17
3.490000E+03	4.190607E-16	1.193272E-17
3.500000E+03	4.172571E-16	1.186767E-17
3.510000E+03	4.155524E-16	1.180549E-17
3.520000E+03	4.139582E-16	1.174651E-17
3.530000E+03	4.124498E-16	1.169002E-17
3.540000E+03	4.110196E-16	1.163579E-17
3.550000E+03	4.096258E-16	1.158264E-17
3.560000E+03	4.082614E-16	1.153037E-17
3.570000E+03	4.068873E-16	1.147787E-17
3.580000E+03	4.054686E-16	1.142416E-17
3.590000E+03	4.040051E-16	1.136923E-17
3.600000E+03	4.024553E-16	1.131193E-17
3.610000E+03	4.008130E-16	1.125210E-17
3.620000E+03	3.990661E-16	1.118940E-17
3.630000E+03	3.972225E-16	1.112406E-17
3.640000E+03	3.952839E-16	1.105616E-17
3.650000E+03	3.932766E-16	1.098642E-17
3.660000E+03	3.912085E-16	1.091508E-17
3.670000E+03	3.891467E-16	1.084401E-17
3.680000E+03	3.871066E-16	1.077366E-17
3.690000E+03	3.851607E-16	1.070602E-17
3.700000E+03	3.833515E-16	1.064227E-17
3.710000E+03	3.817660E-16	1.058481E-17
3.720000E+03	3.804723E-16	1.053550E-17
3.730000E+03	3.795299E-16	1.049596E-17
3.740000E+03	3.790433E-16	1.046904E-17
3.750000E+03	3.790844E-16	1.045666E-17
3.760000E+03	3.797137E-16	1.046045E-17
3.770000E+03	3.810079E-16	1.048245E-17
3.780000E+03	3.830510E-16	1.052490E-17
3.790000E+03	3.858945E-16	1.058912E-17
3.800000E+03	3.896134E-16	1.067709E-17
3.810000E+03	3.942504E-16	1.078987E-17
3.820000E+03	3.998723E-16	1.092921E-17
3.830000E+03	4.065143E-16	1.109594E-17
3.840000E+03	4.142044E-16	1.129072E-17
3.850000E+03	4.229723E-16	1.151424E-17
3.860000E+03	4.328323E-16	1.176676E-17
3.870000E+03	4.437872E-16	1.204825E-17
3.880000E+03	4.558057E-16	1.235772E-17
3.890000E+03	4.688589E-16	1.269429E-17
3.900000E+03	4.828784E-16	1.305597E-17
3.910000E+03	4.977881E-16	1.344061E-17
3.920000E+03	5.134918E-16	1.384550E-17
3.930000E+03	5.298514E-16	1.426685E-17
3.940000E+03	5.467405E-16	1.470116E-17
3.950000E+03	5.639930E-16	1.514393E-17
3.960000E+03	5.814238E-16	1.559014E-17
3.970000E+03	5.988644E-16	1.603526E-17
3.980000E+03	6.160737E-16	1.647283E-17
3.990000E+03	6.328334E-16	1.689705E-17
4.000000E+03	6.489323E-16	1.730235E-17
4.010000E+03	6.641389E-16	1.768262E-17
4.020000E+03	6.782167E-16	1.803168E-17
4.030000E+03	6.909953E-16	1.834513E-17
4.040000E+03	7.023043E-16	1.861861E-17
4.050000E+03	7.119922E-16	1.884826E-17
4.060000E+03	7.199927E-16	1.903252E-17
4.070000E+03	7.262417E-16	1.916990E-17
4.080000E+03	7.307397E-16	1.926060E-17
4.090000E+03	7.335072E-16	1.930537E-17
4.100000E+03	7.346162E-16	1.930630E-17
4.110000E+03	7.341394E-16	1.926549E-17
4.120000E+03	7.321704E-16	1.918559E-17
4.130000E+03	7.288382E-16	1.907012E-17
4.140000E+03	7.242485E-16	1.892204E-17
4.150000E+03	7.185630E-16	1.874568E-17
4.160000E+03	7.118939E-16	1.854412E-17
4.170000E+03	7.044124E-16	1.832191E-17
4.180000E+03	6.962464E-16	1.808248E-17
4.190000E+03	6.875646E-16	1.783028E-17
4.200000E+03	6.784789E-16	1.756828E-17
4.210000E+03	6.691440E-16	1.730052E-17
4.220000E+03	6.596733E-16	1.702996E-17
4.230000E+03	6.501605E-16	1.675904E-17
4.240000E+03	6.406998E-16	1.649019E-17
4.250000E+03	6.313697E-16	1.622542E-17
4.260000E+03	6.222588E-16	1.596699E-17
4.270000E+03	6.134155E-16	1.571612E-17
4.280000E+03	6.049104E-16	1.547458E-17
4.290000E+03	5.968112E-16	1.524407E-17
4.300000E+03	5.891877E-16	1.502632E-17
4.310000E+03	5.820999E-16	1.482280E-17
4.320000E+03	5.756349E-16	1.463567E-17
4.330000E+03	5.698723E-16	1.446688E-17
4.340000E+03	5.648994E-16	1.431856E-17
4.350000E+03	5.607957E-16	1.419262E-17
4.360000E+03	5.576596E-16	1.409147E-17
4.370000E+03	5.555653E-16	1.401685E-17
