#wls	flux	fluxerr
1.600000E+03	6.553972E-17	9.918125E-18
1.640000E+03	6.707112E-17	1.014854E-17
1.680000E+03	6.862002E-17	1.038150E-17
1.720000E+03	7.021020E-17	1.062062E-17
1.760000E+03	7.182963E-17	1.086405E-17
1.800000E+03	7.347809E-17	1.111178E-17
1.840000E+03	7.516847E-17	1.136573E-17
1.880000E+03	7.688786E-17	1.162396E-17
1.920000E+03	7.863590E-17	1.188639E-17
1.960000E+03	8.042623E-17	1.215510E-17
2.000000E+03	8.224498E-17	1.242797E-17
2.040000E+03	8.409168E-17	1.270494E-17
2.080000E+03	8.598075E-17	1.298816E-17
2.120000E+03	8.789733E-17	1.327540E-17
2.160000E+03	8.985639E-17	1.356890E-17
2.200000E+03	9.184240E-17	1.386632E-17
2.240000E+03	9.385474E-17	1.416755E-17
2.280000E+03	9.590920E-17	1.447497E-17
2.320000E+03	9.798924E-17	1.478608E-17
2.360000E+03	1.001113E-16	1.510334E-17
2.400000E+03	1.022581E-16	1.542417E-17
2.440000E+03	1.044465E-16	1.575107E-17
2.480000E+03	1.066589E-16	1.608140E-17
2.520000E+03	1.088943E-16	1.641498E-17
2.560000E+03	1.111705E-16	1.675452E-17
2.600000E+03	1.134879E-16	1.710004E-17
2.640000E+03	1.158077E-16	1.744570E-17
2.680000E+03	1.181871E-16	1.780011E-17
2.720000E+03	1.205670E-16	1.815436E-17
2.760000E+03	1.230068E-16	1.851738E-17
2.800000E+03	1.254452E-16	1.887995E-17
2.840000E+03	1.279226E-16	1.924811E-17
2.880000E+03	1.304387E-16	1.962186E-17
2.920000E+03	1.329719E-16	1.999790E-17
2.960000E+03	1.355212E-16	2.037609E-17
3.000000E+03	1.381079E-16	2.075962E-17
3.010000E+03	1.387738E-16	2.085834E-17
3.020000E+03	1.394181E-16	2.095380E-17
3.030000E+03	1.400632E-16	2.104936E-17
3.040000E+03	1.407320E-16	2.114847E-17
3.050000E+03	1.413787E-16	2.124424E-17
3.060000E+03	1.420493E-16	2.134359E-17
3.070000E+03	1.426977E-16	2.143957E-17
3.080000E+03	1.433468E-16	2.153564E-17
3.090000E+03	1.440199E-16	2.163531E-17
3.100000E+03	1.446940E-16	2.173509E-17
3.110000E+03	1.453454E-16	2.183145E-17
3.120000E+03	1.460210E-16	2.193143E-17
3.130000E+03	1.466737E-16	2.202795E-17
3.140000E+03	1.473508E-16	2.212811E-17
3.150000E+03	1.480286E-16	2.222837E-17
3.160000E+03	1.486834E-16	2.232514E-17
3.170000E+03	1.493626E-16	2.242556E-17
3.180000E+03	1.500425E-16	2.252608E-17
3.190000E+03	1.506990E-16	2.262305E-17
3.200000E+03	1.513802E-16	2.272372E-17
3.210000E+03	1.520620E-16	2.282445E-17
3.220000E+03	1.527445E-16	2.292526E-17
3.230000E+03	1.534275E-16	2.302614E-17
3.240000E+03	1.540866E-16	2.312340E-17
3.250000E+03	1.547706E-16	2.322438E-17
3.260000E+03	1.554552E-16	2.332544E-17
3.270000E+03	1.561402E-16	2.342654E-17
3.280000E+03	1.568257E-16	2.352768E-17
3.290000E+03	1.575116E-16	2.362887E-17
3.300000E+03	1.581980E-16	2.373010E-17
3.310000E+03	1.588846E-16	2.383137E-17
3.320000E+03	1.595717E-16	2.393267E-17
3.330000E+03	1.602591E-16	2.403400E-17
3.340000E+03	1.609467E-16	2.413534E-17
3.350000E+03	1.616346E-16	2.423671E-17
3.360000E+03	1.623484E-16	2.434192E-17
3.370000E+03	1.630368E-16	2.444332E-17
3.380000E+03	1.637252E-16	2.454470E-17
3.390000E+03	1.644139E-16	2.464610E-17
3.400000E+03	1.651026E-16	2.474747E-17
3.410000E+03	1.657913E-16	2.484883E-17
3.420000E+03	1.665061E-16	2.495408E-17
3.430000E+03	1.671948E-16	2.505540E-17
3.440000E+03	1.678834E-16	2.515668E-17
3.450000E+03	1.685720E-16	2.525793E-17
3.460000E+03	1.692867E-16	2.536308E-17
3.470000E+03	1.699748E-16	2.546422E-17
3.480000E+03	1.706626E-16	2.556529E-17
3.490000E+03	1.713768E-16	2.567030E-17
3.500000E+03	1.720639E-16	2.577123E-17
3.510000E+03	1.727774E-16	2.587609E-17
3.520000E+03	1.734636E-16	2.597685E-17
3.530000E+03	1.741492E-16	2.607748E-17
3.540000E+03	1.748612E-16	2.618206E-17
3.550000E+03	1.755455E-16	2.628245E-17
3.560000E+03	1.762562E-16	2.638679E-17
3.570000E+03	1.769388E-16	2.648690E-17
3.580000E+03	1.776480E-16	2.659095E-17
3.590000E+03	1.783286E-16	2.669072E-17
3.600000E+03	1.790357E-16	2.679443E-17
3.610000E+03	1.797141E-16	2.689382E-17
3.620000E+03	1.804188E-16	2.699712E-17
