#wls	flux	fluxerr
1.600000E+03	1.252693E-15	8.228231E-16
1.640000E+03	1.286858E-15	8.308299E-16
1.680000E+03	1.322253E-15	8.384746E-16
1.720000E+03	1.358781E-15	8.456214E-16
1.760000E+03	1.396446E-15	8.521973E-16
1.800000E+03	1.435344E-15	8.581832E-16
1.840000E+03	1.475062E-15	8.632554E-16
1.880000E+03	1.515761E-15	8.674381E-16
1.920000E+03	1.557211E-15	8.705287E-16
1.960000E+03	1.599160E-15	8.723223E-16
2.000000E+03	1.641218E-15	8.725554E-16
2.040000E+03	1.683091E-15	8.710374E-16
2.080000E+03	1.724251E-15	8.674772E-16
2.120000E+03	1.763957E-15	8.615139E-16
2.160000E+03	1.801810E-15	8.529954E-16
2.200000E+03	1.837006E-15	8.416151E-16
2.240000E+03	1.868895E-15	8.271899E-16
2.280000E+03	1.897071E-15	8.096898E-16
2.320000E+03	1.921354E-15	7.892131E-16
2.360000E+03	1.941857E-15	7.659959E-16
2.400000E+03	1.958772E-15	7.403065E-16
2.440000E+03	1.972266E-15	7.124029E-16
2.480000E+03	1.982732E-15	6.826201E-16
2.520000E+03	1.990269E-15	6.511799E-16
2.560000E+03	1.995107E-15	6.183492E-16
2.600000E+03	1.997214E-15	5.843133E-16
2.640000E+03	1.996626E-15	5.492890E-16
2.680000E+03	1.993231E-15	5.134645E-16
2.720000E+03	1.986931E-15	4.770513E-16
2.760000E+03	1.977639E-15	4.402838E-16
2.800000E+03	1.965226E-15	4.034066E-16
2.840000E+03	1.949584E-15	3.666910E-16
2.880000E+03	1.930723E-15	3.304507E-16
2.920000E+03	1.908549E-15	2.949949E-16
2.960000E+03	1.883207E-15	2.606836E-16
3.000000E+03	1.854667E-15	2.278532E-16
3.010000E+03	1.847093E-15	2.199240E-16
3.020000E+03	1.839296E-15	2.121109E-16
3.030000E+03	1.831277E-15	2.044190E-16
3.040000E+03	1.823115E-15	1.968622E-16
3.050000E+03	1.814765E-15	1.894401E-16
3.060000E+03	1.806226E-15	1.821571E-16
3.070000E+03	1.797535E-15	1.750211E-16
3.080000E+03	1.788651E-15	1.680320E-16
3.090000E+03	1.779576E-15	1.611940E-16
3.100000E+03	1.770383E-15	1.545170E-16
3.110000E+03	1.761000E-15	1.479975E-16
3.120000E+03	1.751465E-15	1.416416E-16
3.130000E+03	1.741747E-15	1.354490E-16
3.140000E+03	1.731954E-15	1.294298E-16
3.150000E+03	1.721986E-15	1.235778E-16
3.160000E+03	1.711885E-15	1.178972E-16
3.170000E+03	1.701692E-15	1.123913E-16
3.180000E+03	1.691413E-15	1.070606E-16
3.190000E+03	1.680994E-15	1.019016E-16
3.200000E+03	1.670539E-15	9.692063E-17
3.210000E+03	1.659997E-15	9.211419E-17
3.220000E+03	1.649409E-15	8.748446E-17
3.230000E+03	1.638759E-15	8.303050E-17
3.240000E+03	1.628089E-15	7.875487E-17
3.250000E+03	1.617412E-15	7.465898E-17
3.260000E+03	1.606744E-15	7.074492E-17
3.270000E+03	1.596076E-15	6.701440E-17
3.280000E+03	1.585456E-15	6.347236E-17
3.290000E+03	1.574904E-15	6.012314E-17
3.300000E+03	1.564420E-15	5.697022E-17
3.310000E+03	1.554045E-15	5.401781E-17
3.320000E+03	1.543762E-15	5.126595E-17
3.330000E+03	1.533599E-15	4.871463E-17
3.340000E+03	1.523530E-15	4.636043E-17
3.350000E+03	1.513554E-15	4.419862E-17
3.360000E+03	1.503671E-15	4.222340E-17
3.370000E+03	1.493885E-15	4.042850E-17
3.380000E+03	1.484199E-15	3.880723E-17
3.390000E+03	1.474604E-15	3.735253E-17
3.400000E+03	1.465133E-15	3.605850E-17
3.410000E+03	1.455755E-15	3.491703E-17
3.420000E+03	1.446523E-15	3.392172E-17
3.430000E+03	1.437404E-15	3.306305E-17
3.440000E+03	1.428397E-15	3.233026E-17
3.450000E+03	1.419492E-15	3.171112E-17
3.460000E+03	1.410659E-15	3.119156E-17
3.470000E+03	1.401892E-15	3.075623E-17
3.480000E+03	1.393143E-15	3.038845E-17
3.490000E+03	1.384364E-15	3.007215E-17
3.500000E+03	1.375521E-15	2.979235E-17
3.510000E+03	1.366563E-15	2.953529E-17
3.520000E+03	1.357480E-15	2.929008E-17
3.530000E+03	1.348199E-15	2.904618E-17
3.540000E+03	1.338724E-15	2.879664E-17
3.550000E+03	1.329035E-15	2.853564E-17
3.560000E+03	1.319141E-15	2.825900E-17
3.570000E+03	1.309030E-15	2.796350E-17
3.580000E+03	1.298723E-15	2.764797E-17
3.590000E+03	1.288284E-15	2.731313E-17
3.600000E+03	1.277730E-15	2.695994E-17
3.610000E+03	1.267151E-15	2.659204E-17
3.620000E+03	1.256614E-15	2.621323E-17
3.630000E+03	1.246179E-15	2.582785E-17
3.640000E+03	1.235923E-15	2.544068E-17
3.650000E+03	1.225926E-15	2.505600E-17
3.660000E+03	1.216240E-15	2.467747E-17
3.663913E+03	5.308685E-16	2.139155E-16
3.668670E+03	5.236275E-16	1.899744E-16
3.673427E+03	5.098338E-16	1.848200E-16
3.678184E+03	4.947588E-16	1.643877E-16
3.682941E+03	4.766498E-16	1.642164E-16
3.687698E+03	4.593392E-16	1.661891E-16
3.692456E+03	4.453667E-16	1.439332E-16
3.697213E+03	4.431327E-16	1.439766E-16
3.701970E+03	4.475484E-16	1.425011E-16
3.706727E+03	4.402736E-16	1.382506E-16
3.711484E+03	4.488282E-16	1.353904E-16
3.716241E+03	4.628386E-16	1.220924E-16
3.720998E+03	4.797285E-16	1.196101E-16
3.725756E+03	4.974606E-16	1.374302E-16
3.730513E+03	5.303728E-16	1.391320E-16
3.735270E+03	5.728140E-16	1.314450E-16
3.740027E+03	6.096960E-16	1.298939E-16
3.744784E+03	6.353243E-16	1.408858E-16
3.749541E+03	6.628892E-16	1.454705E-16
3.754298E+03	6.841288E-16	1.505810E-16
3.759055E+03	6.956341E-16	1.567637E-16
3.763813E+03	7.164830E-16	1.611104E-16
3.768570E+03	7.391615E-16	1.570488E-16
3.773327E+03	7.519736E-16	1.464821E-16
3.778084E+03	7.633158E-16	1.417780E-16
3.782841E+03	7.610088E-16	1.342853E-16
3.787598E+03	7.639192E-16	1.370363E-16
3.792355E+03	7.678178E-16	1.383810E-16
3.797113E+03	7.716393E-16	1.392734E-16
3.801870E+03	7.686833E-16	1.396756E-16
3.806627E+03	7.608365E-16	1.355053E-16
3.811384E+03	7.455906E-16	1.302949E-16
3.816141E+03	7.252568E-16	1.269990E-16
3.820898E+03	7.003375E-16	1.231943E-16
3.825655E+03	6.716527E-16	1.162742E-16
3.830412E+03	6.407990E-16	1.091234E-16
3.835169E+03	6.058711E-16	1.159174E-16
3.839927E+03	5.722445E-16	1.125173E-16
3.844684E+03	5.441903E-16	1.075365E-16
3.849441E+03	5.209952E-16	1.029822E-16
3.854198E+03	4.986311E-16	9.731313E-17
3.858955E+03	4.785780E-16	9.437439E-17
3.863712E+03	4.599519E-16	8.717871E-17
3.868470E+03	4.379600E-16	8.385423E-17
3.873227E+03	4.204592E-16	8.276956E-17
3.877984E+03	4.075837E-16	8.879409E-17
3.882741E+03	3.946489E-16	7.674875E-17
3.887498E+03	3.835533E-16	7.102341E-17
3.892255E+03	3.731700E-16	7.238678E-17
3.897012E+03	3.685554E-16	7.312789E-17
3.901769E+03	3.610653E-16	7.135556E-17
3.906526E+03	3.547041E-16	7.431439E-17
3.911284E+03	3.553261E-16	7.382451E-17
3.916041E+03	3.619390E-16	7.639217E-17
3.920798E+03	3.706451E-16	7.694370E-17
3.925555E+03	3.815809E-16	7.113277E-17
3.930312E+03	3.997115E-16	6.910425E-17
3.935069E+03	4.234514E-16	7.205118E-17
3.939826E+03	4.563912E-16	7.513951E-17
3.944584E+03	4.830395E-16	7.824514E-17
3.949341E+03	5.094815E-16	8.348934E-17
3.954098E+03	5.405326E-16	8.413788E-17
3.958855E+03	5.645014E-16	8.751891E-17
3.963612E+03	5.921001E-16	9.160250E-17
3.968369E+03	6.257607E-16	9.828299E-17
3.973126E+03	6.611550E-16	1.029570E-16
3.977883E+03	6.917380E-16	1.071998E-16
3.982641E+03	7.233598E-16	1.110318E-16
3.987398E+03	7.538632E-16	1.153739E-16
3.992155E+03	7.818952E-16	1.192508E-16
3.996912E+03	8.115557E-16	1.209875E-16
4.001669E+03	8.476983E-16	1.255757E-16
4.006426E+03	8.849365E-16	1.354196E-16
4.011183E+03	9.173428E-16	1.393879E-16
4.015941E+03	9.494617E-16	1.408460E-16
4.020698E+03	9.820545E-16	1.523186E-16
4.025455E+03	1.012007E-15	1.549877E-16
4.030212E+03	1.036248E-15	1.574197E-16
4.034969E+03	1.059485E-15	1.596764E-16
4.039726E+03	1.082410E-15	1.623251E-16
4.044483E+03	1.103334E-15	1.646502E-16
4.049240E+03	1.116605E-15	1.672854E-16
4.053997E+03	1.122962E-15	1.650322E-16
4.058755E+03	1.123865E-15	1.616391E-16
