#wls	flux	fluxerr
1.600000E+03	3.411718E-16	2.307165E-16
1.640000E+03	3.486113E-16	2.322502E-16
1.680000E+03	3.560155E-16	2.335313E-16
1.720000E+03	3.632866E-16	2.344926E-16
1.760000E+03	3.705312E-16	2.352008E-16
1.800000E+03	3.775771E-16	2.355444E-16
1.840000E+03	3.846048E-16	2.356358E-16
1.880000E+03	3.913633E-16	2.353201E-16
1.920000E+03	3.980360E-16	2.347105E-16
1.960000E+03	4.044380E-16	2.336991E-16
2.000000E+03	4.106815E-16	2.323555E-16
2.040000E+03	4.166520E-16	2.306190E-16
2.080000E+03	4.223087E-16	2.284747E-16
2.120000E+03	4.277664E-16	2.259928E-16
2.160000E+03	4.328278E-16	2.230776E-16
2.200000E+03	4.376861E-16	2.198403E-16
2.240000E+03	4.420625E-16	2.161519E-16
2.280000E+03	4.461501E-16	2.121237E-16
2.320000E+03	4.499048E-16	2.077477E-16
2.360000E+03	4.532029E-16	2.029836E-16
2.400000E+03	4.560777E-16	1.978670E-16
2.440000E+03	4.586380E-16	1.924643E-16
2.480000E+03	4.606807E-16	1.867102E-16
2.520000E+03	4.623110E-16	1.806725E-16
2.560000E+03	4.635526E-16	1.743831E-16
2.600000E+03	4.642775E-16	1.678187E-16
2.640000E+03	4.646510E-16	1.610661E-16
2.680000E+03	4.645398E-16	1.541038E-16
2.720000E+03	4.640233E-16	1.469866E-16
2.760000E+03	4.631015E-16	1.397412E-16
2.800000E+03	4.617676E-16	1.323929E-16
2.840000E+03	4.600087E-16	1.249661E-16
2.880000E+03	4.578671E-16	1.175007E-16
2.920000E+03	4.553715E-16	1.100309E-16
2.960000E+03	4.525369E-16	1.025865E-16
3.000000E+03	4.493655E-16	9.519379E-17
3.010000E+03	4.485557E-16	9.336415E-17
3.020000E+03	4.476914E-16	9.153265E-17
3.030000E+03	4.467716E-16	8.969991E-17
3.040000E+03	4.459007E-16	8.788729E-17
3.050000E+03	4.449703E-16	8.607346E-17
3.060000E+03	4.440311E-16	8.426889E-17
3.070000E+03	4.430297E-16	8.246393E-17
3.080000E+03	4.420660E-16	8.067769E-17
3.090000E+03	4.410862E-16	7.890034E-17
3.100000E+03	4.400387E-16	7.712322E-17
3.110000E+03	4.390202E-16	7.536388E-17
3.120000E+03	4.379787E-16	7.361349E-17
3.130000E+03	4.369121E-16	7.187218E-17
3.140000E+03	4.358182E-16	7.014012E-17
3.150000E+03	4.347412E-16	6.842481E-17
3.160000E+03	4.335863E-16	6.671175E-17
3.170000E+03	4.324882E-16	6.502229E-17
3.180000E+03	4.313085E-16	6.333583E-17
3.190000E+03	4.301786E-16	6.167235E-17
3.200000E+03	4.289638E-16	6.001284E-17
3.210000E+03	4.277921E-16	5.837599E-17
3.220000E+03	4.265745E-16	5.674991E-17
3.230000E+03	4.253511E-16	5.514068E-17
3.240000E+03	4.241189E-16	5.354840E-17
3.250000E+03	4.228751E-16	5.197329E-17
3.260000E+03	4.216167E-16	5.041564E-17
3.270000E+03	4.203412E-16	4.887582E-17
3.280000E+03	4.190461E-16	4.735432E-17
3.290000E+03	4.177666E-16	4.585583E-17
3.300000E+03	4.164615E-16	4.437650E-17
3.310000E+03	4.151287E-16	4.291709E-17
3.320000E+03	4.138021E-16	4.148206E-17
3.330000E+03	4.124426E-16	4.006843E-17
3.340000E+03	4.110832E-16	3.868054E-17
3.350000E+03	4.097204E-16	3.731906E-17
3.360000E+03	4.083511E-16	3.598480E-17
3.370000E+03	4.069720E-16	3.467870E-17
3.380000E+03	4.056124E-16	3.340447E-17
3.390000E+03	4.042039E-16	3.215778E-17
3.400000E+03	4.027765E-16	3.094269E-17
3.410000E+03	4.013893E-16	2.976514E-17
3.420000E+03	3.999450E-16	2.861927E-17
3.430000E+03	3.985321E-16	2.751309E-17
3.440000E+03	3.970863E-16	2.644350E-17
3.450000E+03	3.956339E-16	2.541379E-17
3.460000E+03	3.941714E-16	2.442502E-17
3.470000E+03	3.926955E-16	2.347811E-17
3.480000E+03	3.912036E-16	2.257383E-17
3.490000E+03	3.897203E-16	2.171425E-17
3.500000E+03	3.882165E-16	2.089806E-17
3.510000E+03	3.867174E-16	2.012669E-17
3.520000E+03	3.851963E-16	1.939849E-17
3.530000E+03	3.837035E-16	1.871542E-17
3.540000E+03	3.822134E-16	1.807527E-17
3.550000E+03	3.807031E-16	1.747587E-17
3.560000E+03	3.792217E-16	1.691815E-17
3.570000E+03	3.777697E-16	1.640053E-17
3.580000E+03	3.763255E-16	1.592040E-17
3.590000E+03	3.749140E-16	1.547706E-17
3.600000E+03	3.735369E-16	1.506873E-17
3.610000E+03	3.721761E-16	1.469281E-17
3.620000E+03	3.708774E-16	1.434917E-17
3.630000E+03	3.696239E-16	1.403513E-17
3.640000E+03	3.684408E-16	1.374958E-17
3.650000E+03	3.673145E-16	1.348987E-17
3.660000E+03	3.662716E-16	1.325482E-17
3.670000E+03	3.653200E-16	1.304247E-17
3.680000E+03	3.644687E-16	1.285092E-17
3.690000E+03	3.637273E-16	1.267832E-17
3.700000E+03	3.631239E-16	1.252347E-17
3.710000E+03	3.626346E-16	1.238344E-17
3.720000E+03	3.623225E-16	1.225835E-17
3.730000E+03	3.621650E-16	1.214546E-17
3.740000E+03	3.622069E-16	1.204439E-17
3.750000E+03	3.624269E-16	1.195261E-17
3.760000E+03	3.628526E-16	1.186932E-17
3.770000E+03	3.635097E-16	1.179368E-17
3.780000E+03	3.643917E-16	1.172387E-17
3.790000E+03	3.655214E-16	1.165911E-17
3.800000E+03	3.668896E-16	1.159770E-17
3.810000E+03	3.685150E-16	1.153892E-17
3.820000E+03	3.703986E-16	1.148164E-17
3.830000E+03	3.725392E-16	1.142485E-17
3.840000E+03	3.749327E-16	1.136761E-17
3.850000E+03	3.775720E-16	1.130915E-17
3.860000E+03	3.804470E-16	1.124880E-17
3.870000E+03	3.835579E-16	1.118649E-17
3.880000E+03	3.868743E-16	1.112151E-17
3.890000E+03	3.903767E-16	1.105379E-17
3.900000E+03	3.940553E-16	1.098381E-17
3.910000E+03	3.978710E-16	1.091155E-17
3.920000E+03	4.018085E-16	1.083792E-17
3.930000E+03	4.058238E-16	1.076327E-17
3.940000E+03	4.098846E-16	1.068838E-17
3.950000E+03	4.139693E-16	1.061438E-17
3.960000E+03	4.180303E-16	1.054172E-17
3.970000E+03	4.220448E-16	1.047138E-17
3.980000E+03	4.259525E-16	1.040333E-17
3.990000E+03	4.297432E-16	1.033859E-17
4.000000E+03	4.333704E-16	1.027712E-17
4.010000E+03	4.367897E-16	1.021870E-17
4.020000E+03	4.399824E-16	1.016351E-17
4.030000E+03	4.429084E-16	1.011096E-17
4.040000E+03	4.455424E-16	1.006063E-17
4.050000E+03	4.478739E-16	1.001227E-17
4.060000E+03	4.498618E-16	9.964882E-18
4.070000E+03	4.514925E-16	9.918079E-18
4.080000E+03	4.527676E-16	9.871853E-18
4.090000E+03	4.536614E-16	9.825632E-18
4.100000E+03	4.541757E-16	9.779487E-18
4.110000E+03	4.543281E-16	9.733844E-18
4.120000E+03	4.541103E-16	9.688561E-18
4.130000E+03	4.535405E-16	9.643993E-18
4.140000E+03	4.526320E-16	9.600239E-18
4.150000E+03	4.514222E-16	9.557685E-18
4.160000E+03	4.499240E-16	9.515915E-18
4.170000E+03	4.481729E-16	9.474752E-18
4.180000E+03	4.462072E-16	9.433878E-18
4.190000E+03	4.440483E-16	9.392510E-18
4.200000E+03	4.417374E-16	9.350196E-18
4.210000E+03	4.393151E-16	9.306456E-18
4.220000E+03	4.368127E-16	9.260630E-18
4.230000E+03	4.342608E-16	9.212131E-18
4.240000E+03	4.316884E-16	9.160503E-18
4.250000E+03	4.291305E-16	9.105646E-18
4.260000E+03	4.266193E-16	9.047678E-18
4.270000E+03	4.241693E-16	8.986657E-18
4.280000E+03	4.218007E-16	8.923095E-18
4.290000E+03	4.195457E-16	8.858116E-18
4.300000E+03	4.174194E-16	8.792832E-18
4.310000E+03	4.154349E-16	8.728655E-18
4.320000E+03	4.136037E-16	8.667248E-18
4.330000E+03	4.119493E-16	8.610722E-18
4.340000E+03	4.104804E-16	8.560944E-18
4.350000E+03	4.092118E-16	8.519803E-18
4.360000E+03	4.081578E-16	8.488895E-18
4.370000E+03	4.073330E-16	8.469366E-18
4.380000E+03	4.067524E-16	8.461813E-18
4.390000E+03	4.064369E-16	8.466360E-18
4.400000E+03	4.064071E-16	8.482521E-18
4.410000E+03	4.066767E-16	8.509141E-18
4.420000E+03	4.072637E-16	8.544743E-18
4.430000E+03	4.081902E-16	8.587653E-18
4.440000E+03	4.094568E-16	8.635655E-18
4.450000E+03	4.110789E-16	8.686894E-18
4.460000E+03	4.130496E-16	8.739250E-18
4.470000E+03	4.153573E-16	8.790802E-18
4.480000E+03	4.179853E-16	8.839857E-18
4.490000E+03	4.209170E-16	8.885081E-18
4.500000E+03	4.241065E-16	8.924865E-18
4.510000E+03	4.275360E-16	8.958501E-18
4.520000E+03	4.311467E-16	8.984685E-18
4.530000E+03	4.349015E-16	9.002821E-18
4.540000E+03	4.387342E-16	9.011932E-18
4.550000E+03	4.425953E-16	9.011593E-18
4.560000E+03	4.464130E-16	9.001106E-18
4.570000E+03	4.501284E-16	8.980193E-18
4.580000E+03	4.536627E-16	8.948297E-18
4.590000E+03	4.569470E-16	8.905167E-18
4.600000E+03	4.599135E-16	8.850641E-18
4.610000E+03	4.624974E-16	8.784671E-18
4.620000E+03	4.646389E-16	8.707376E-18
4.630000E+03	4.662803E-16	8.618998E-18
4.640000E+03	4.673852E-16	8.520290E-18
4.650000E+03	4.679232E-16	8.412252E-18
4.660000E+03	4.678714E-16	8.296195E-18
4.670000E+03	4.672273E-16	8.174006E-18
4.680000E+03	4.660081E-16	8.048193E-18
4.690000E+03	4.642344E-16	7.921645E-18
4.700000E+03	4.619509E-16	7.798029E-18
4.710000E+03	4.592091E-16	7.681463E-18
4.720000E+03	4.560657E-16	7.576408E-18
4.730000E+03	4.525913E-16	7.487611E-18
4.740000E+03	4.488684E-16	7.419695E-18
4.750000E+03	4.449719E-16	7.376127E-18
4.760000E+03	4.409790E-16	7.357790E-18
4.770000E+03	4.369677E-16	7.361673E-18
4.780000E+03	4.329912E-16	7.382634E-18
4.790000E+03	4.291203E-16	7.415723E-18
4.800000E+03	4.254084E-16	7.456272E-18
4.810000E+03	4.219152E-16	7.500584E-18
4.820000E+03	4.186912E-16	7.545736E-18
4.830000E+03	4.157814E-16	7.589607E-18
4.840000E+03	4.132293E-16	7.630832E-18
4.850000E+03	4.110711E-16	7.668568E-18
4.860000E+03	4.093356E-16	7.702361E-18
4.870000E+03	4.080338E-16	7.731855E-18
4.880000E+03	4.071859E-16	7.757203E-18
4.890000E+03	4.067802E-16	7.778248E-18
4.900000E+03	4.068126E-16	7.795253E-18
4.910000E+03	4.072597E-16	7.808376E-18
4.920000E+03	4.080919E-16	7.817934E-18
4.930000E+03	4.092649E-16	7.824261E-18
4.940000E+03	4.107290E-16	7.827890E-18
4.950000E+03	4.124168E-16	7.829335E-18
4.960000E+03	4.142631E-16	7.829430E-18
4.970000E+03	4.161981E-16	7.829146E-18
4.980000E+03	4.181413E-16	7.829371E-18
4.990000E+03	4.200234E-16	7.831173E-18
5.000000E+03	4.217758E-16	7.835444E-18
5.010000E+03	4.233396E-16	7.842894E-18
5.020000E+03	4.246721E-16	7.854042E-18
5.030000E+03	4.257368E-16	7.868906E-18
5.040000E+03	4.265170E-16	7.887224E-18
5.050000E+03	4.270164E-16	7.908471E-18
5.060000E+03	4.272532E-16	7.931830E-18
5.070000E+03	4.272445E-16	7.956035E-18
5.080000E+03	4.270261E-16	7.979904E-18
5.090000E+03	4.266492E-16	8.002465E-18
5.100000E+03	4.261601E-16	8.022741E-18
5.110000E+03	4.255972E-16	8.039847E-18
5.120000E+03	4.250159E-16	8.053553E-18
5.130000E+03	4.244557E-16	8.063703E-18
5.140000E+03	4.239614E-16	8.070614E-18
5.150000E+03	4.235644E-16	8.074685E-18
5.160000E+03	4.232958E-16	8.076587E-18
5.170000E+03	4.231903E-16	8.077286E-18
5.180000E+03	4.232604E-16	8.077473E-18
5.190000E+03	4.235267E-16	8.078098E-18
5.200000E+03	4.240007E-16	8.079996E-18
5.210000E+03	4.246854E-16	8.083842E-18
5.220000E+03	4.255923E-16	8.090464E-18
5.230000E+03	4.267161E-16	8.100326E-18
5.240000E+03	4.280521E-16	8.113870E-18
5.250000E+03	4.295921E-16	8.131455E-18
5.260000E+03	4.313291E-16	8.153478E-18
5.270000E+03	4.332443E-16	8.180151E-18
5.280000E+03	4.353249E-16	8.211847E-18
5.290000E+03	4.375468E-16	8.248752E-18
5.300000E+03	4.398926E-16	8.291173E-18
5.310000E+03	4.423339E-16	8.339156E-18
5.320000E+03	4.448536E-16	8.392857E-18
5.330000E+03	4.474146E-16	8.451876E-18
5.340000E+03	4.499915E-16	8.515781E-18
5.350000E+03	4.525516E-16	8.583708E-18
5.360000E+03	4.550644E-16	8.654470E-18
5.370000E+03	4.574827E-16	8.726182E-18
5.380000E+03	4.597751E-16	8.796871E-18
5.390000E+03	4.618977E-16	8.863959E-18
5.400000E+03	4.637949E-16	8.924414E-18
5.410000E+03	4.654278E-16	8.975452E-18
5.420000E+03	4.667424E-16	9.014073E-18
5.430000E+03	4.676936E-16	9.037672E-18
5.440000E+03	4.682271E-16	9.043827E-18
5.450000E+03	4.682997E-16	9.030799E-18
5.460000E+03	4.678610E-16	8.997307E-18
5.470000E+03	4.668690E-16	8.942889E-18
5.480000E+03	4.652909E-16	8.867944E-18
5.490000E+03	4.630909E-16	8.773414E-18
5.500000E+03	4.602500E-16	8.661044E-18
5.510000E+03	4.567447E-16	8.532783E-18
5.520000E+03	4.525804E-16	8.391230E-18
5.530000E+03	4.477608E-16	8.238858E-18
5.540000E+03	4.423112E-16	8.078287E-18
5.550000E+03	4.362568E-16	7.911778E-18
5.560000E+03	4.296528E-16	7.741750E-18
5.570000E+03	4.225533E-16	7.570219E-18
5.580000E+03	4.150270E-16	7.399190E-18
5.590000E+03	4.071511E-16	7.230649E-18
5.600000E+03	3.990096E-16	7.066611E-18
5.610000E+03	3.906909E-16	6.909114E-18
5.620000E+03	3.822854E-16	6.760151E-18
5.630000E+03	3.738845E-16	6.621575E-18
5.640000E+03	3.655779E-16	6.494975E-18
5.650000E+03	3.574491E-16	6.381503E-18
5.660000E+03	3.495810E-16	6.281936E-18
5.670000E+03	3.420544E-16	6.196658E-18
5.680000E+03	3.349364E-16	6.125525E-18
5.690000E+03	3.282932E-16	6.068187E-18
5.700000E+03	3.221728E-16	6.023909E-18
5.710000E+03	3.166243E-16	5.992027E-18
5.720000E+03	3.116837E-16	5.971778E-18
5.730000E+03	3.073744E-16	5.962316E-18
5.740000E+03	3.037128E-16	5.962808E-18
5.750000E+03	3.007081E-16	5.972424E-18
5.760000E+03	2.983511E-16	5.990111E-18
5.770000E+03	2.966348E-16	6.015028E-18
5.780000E+03	2.955321E-16	6.046089E-18
5.790000E+03	2.950165E-16	6.082375E-18
5.800000E+03	2.950485E-16	6.122829E-18
5.810000E+03	2.955879E-16	6.166461E-18
5.820000E+03	2.965799E-16	6.212024E-18
5.830000E+03	2.979769E-16	6.258401E-18
5.840000E+03	2.997153E-16	6.304096E-18
5.850000E+03	3.017382E-16	6.347647E-18
5.860000E+03	3.039812E-16	6.387324E-18
5.870000E+03	3.063859E-16	6.421422E-18
5.880000E+03	3.088890E-16	6.448098E-18
5.890000E+03	3.114325E-16	6.465669E-18
5.900000E+03	3.139616E-16	6.472681E-18
5.910000E+03	3.164255E-16	6.468024E-18
5.920000E+03	3.187752E-16	6.450971E-18
5.930000E+03	3.209732E-16	6.421433E-18
5.940000E+03	3.229851E-16	6.379800E-18
5.950000E+03	3.247799E-16	6.326934E-18
5.960000E+03	3.263362E-16	6.264253E-18
5.970000E+03	3.276429E-16	6.193663E-18
5.980000E+03	3.286923E-16	6.117331E-18
5.990000E+03	3.294767E-16	6.037489E-18
6.000000E+03	3.300079E-16	5.956605E-18
6.010000E+03	3.302971E-16	5.876830E-18
6.020000E+03	3.303588E-16	5.799905E-18
6.030000E+03	3.302194E-16	5.727249E-18
6.040000E+03	3.299075E-16	5.659770E-18
6.050000E+03	3.294563E-16	5.597937E-18
6.060000E+03	3.289066E-16	5.541884E-18
6.070000E+03	3.282994E-16	5.491358E-18
6.080000E+03	3.276745E-16	5.445785E-18
6.090000E+03	3.270867E-16	5.404620E-18
6.100000E+03	3.265749E-16	5.366944E-18
6.110000E+03	3.261905E-16	5.332033E-18
6.120000E+03	3.259736E-16	5.299073E-18
6.130000E+03	3.259683E-16	5.267519E-18
6.140000E+03	3.262121E-16	5.236997E-18
6.150000E+03	3.267381E-16	5.207410E-18
6.160000E+03	3.275705E-16	5.178923E-18
6.170000E+03	3.287307E-16	5.152104E-18
6.180000E+03	3.302261E-16	5.127832E-18
6.190000E+03	3.320727E-16	5.107718E-18
6.200000E+03	3.342612E-16	5.093643E-18
6.210000E+03	3.367870E-16	5.088233E-18
6.220000E+03	3.396293E-16	5.094473E-18
6.230000E+03	3.427551E-16	5.115487E-18
6.240000E+03	3.461291E-16	5.154017E-18
6.250000E+03	3.497006E-16	5.210265E-18
6.260000E+03	3.534115E-16	5.281701E-18
6.270000E+03	3.572010E-16	5.364913E-18
6.280000E+03	3.610077E-16	5.456287E-18
6.290000E+03	3.647534E-16	5.552052E-18
6.300000E+03	3.683780E-16	5.648947E-18
6.310000E+03	3.718119E-16	5.743836E-18
6.320000E+03	3.749893E-16	5.833884E-18
6.330000E+03	3.778570E-16	5.916664E-18
6.340000E+03	3.803647E-16	5.989971E-18
6.350000E+03	3.824657E-16	6.051832E-18
6.360000E+03	3.841244E-16	6.100702E-18
6.370000E+03	3.853208E-16	6.135618E-18
6.380000E+03	3.860259E-16	6.155910E-18
6.390000E+03	3.862288E-16	6.161700E-18
6.400000E+03	3.859243E-16	6.153740E-18
6.410000E+03	3.851047E-16	6.133260E-18
6.420000E+03	3.837793E-16	6.102229E-18
6.430000E+03	3.819546E-16	6.062939E-18
6.440000E+03	3.796469E-16	6.018075E-18
6.450000E+03	3.768705E-16	5.970382E-18
6.460000E+03	3.736619E-16	5.922884E-18
6.470000E+03	3.700527E-16	5.878282E-18
6.480000E+03	3.660854E-16	5.839052E-18
6.490000E+03	3.618087E-16	5.807257E-18
6.500000E+03	3.572771E-16	5.784458E-18
6.510000E+03	3.525378E-16	5.771503E-18
6.520000E+03	3.476558E-16	5.768963E-18
6.530000E+03	3.426776E-16	5.776615E-18
6.540000E+03	3.376660E-16	5.794112E-18
6.550000E+03	3.326616E-16	5.820409E-18
6.560000E+03	3.277127E-16	5.854341E-18
6.570000E+03	3.228485E-16	5.894205E-18
6.580000E+03	3.181029E-16	5.938219E-18
6.590000E+03	3.134860E-16	5.984082E-18
6.600000E+03	3.090093E-16	6.029548E-18
6.610000E+03	3.046708E-16	6.072274E-18
6.620000E+03	3.004665E-16	6.110174E-18
6.630000E+03	2.963895E-16	6.141489E-18
6.640000E+03	2.924344E-16	6.164947E-18
6.650000E+03	2.885889E-16	6.179605E-18
6.660000E+03	2.848453E-16	6.185047E-18
6.670000E+03	2.812007E-16	6.181338E-18
6.680000E+03	2.776515E-16	6.168812E-18
6.690000E+03	2.741939E-16	6.147963E-18
6.700000E+03	2.708362E-16	6.119607E-18
6.710000E+03	2.675774E-16	6.084282E-18
6.720000E+03	2.644281E-16	6.042634E-18
6.730000E+03	2.614008E-16	5.995135E-18
6.740000E+03	2.585037E-16	5.941926E-18
6.750000E+03	2.557524E-16	5.883132E-18
6.760000E+03	2.531609E-16	5.818726E-18
6.770000E+03	2.507418E-16	5.748630E-18
6.780000E+03	2.485175E-16	5.673056E-18
6.790000E+03	2.465028E-16	5.592186E-18
6.800000E+03	2.447163E-16	5.506491E-18
