MJD	lascumbres_B	lascumbres_B_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err	lascumbres_u'	lascumbres_u'_err
57271.350000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.40000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.45000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.500000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.55000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.60000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.65000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.700000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.75000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.80000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.850000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.90000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57271.95000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57272.000000000044	nan	nan	3.190380695545116e-17	8.483627429676974e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.05000000005	nan	nan	4.5192506548082266e-17	8.288887410340874e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.10000000005	nan	nan	5.857584267118636e-17	8.099548215231929e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.15000000005	nan	nan	7.205432224556239e-17	7.915832120370372e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.200000000055	nan	nan	8.562845460755108e-17	7.737965231830561e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.25000000006	nan	nan	9.929875151951979e-17	7.566176149257606e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.30000000006	nan	nan	1.130657271808205e-16	7.400694333284508e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.350000000064	nan	nan	1.2692989823874183e-16	7.241748152471261e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.40000000007	nan	nan	1.4089149189001568e-16	7.089513589050403e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.45000000007	nan	nan	1.549495701551954e-16	6.943965269552142e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.50000000007	nan	nan	1.6910290558161292e-16	6.805023309470144e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.550000000076	nan	nan	1.8335027311931587e-16	6.672602832197385e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.60000000008	nan	nan	1.976904500873295e-16	6.546614550459112e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.65000000008	nan	nan	2.1212221614036002e-16	6.426965409252074e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.700000000084	nan	nan	2.266443532352483e-16	6.313559283497884e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.75000000009	nan	nan	2.412556455976671e-16	6.206297721357851e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.80000000009	6.426206156285038e-16	2.132238241727246e-16	2.559548796887151e-16	6.105080721953242e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.85000000009	6.582916489622263e-16	2.0956924508036827e-16	2.7074084417160803e-16	6.009807534077027e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.900000000096	6.741162473508258e-16	2.0597242525782583e-16	2.8561232987845186e-16	5.920377460648902e-17	nan	nan	nan	nan	nan	nan	nan	nan
57272.9500000001	6.900956294114418e-16	2.02435997920658e-16	3.005681297770616e-16	5.836690651996107e-17	4.0537221362993144e-16	7.809579557195633e-17	nan	nan	nan	nan	nan	nan
57273.0000000001	7.062310225397477e-16	1.98962662954746e-16	3.1560703893771557e-16	5.758648869904126e-17	4.207036683637694e-16	7.492723024050764e-17	nan	nan	nan	nan	nan	nan
57273.050000000105	7.225236629697954e-16	1.9555518249127174e-16	3.3072785450000595e-16	5.686156203526335e-17	4.361664804554051e-16	7.182198642827618e-17	nan	nan	nan	nan	nan	nan
57273.10000000011	7.389747958341922e-16	1.9221637526325778e-16	3.4592937563984276e-16	5.619119718067683e-17	4.517615289220567e-16	6.878716294248789e-17	nan	nan	3.5605148000018984e-16	8.344116217457773e-17	nan	nan
57273.15000000011	7.555856752247011e-16	1.889491095965861e-16	3.612104035362659e-16	5.557450017408606e-17	4.674896980654451e-16	6.583085543330429e-17	nan	nan	3.6537749574044845e-16	8.238035506156628e-17	nan	nan
57273.20000000011	7.723575642532211e-16	1.8575629488479097e-16	3.7656974133851943e-16	5.5010617027338445e-17	4.833518775016928e-16	6.296229794157325e-17	1.938003631032178e-16	5.2693182938868417e-17	3.747507838265713e-16	8.134242635023512e-17	nan	nan
57273.25000000012	7.892917351132181e-16	1.8264087139709316e-16	3.920061941329854e-16	5.449873710684922e-17	4.9934896219140275e-16	6.019201160081577e-17	1.9988124402487346e-16	5.1946020642874017e-17	3.841715302344973e-16	8.032790083996018e-17	nan	nan
57273.30000000012	8.063894691414919e-16	1.796057982735601e-16	4.075185689104049e-16	5.403809516599444e-17	5.154818524698936e-16	5.753195163711895e-17	2.0599233765732529e-16	5.121438558136236e-17	3.936399215963335e-16	7.933730048814712e-17	nan	nan
57273.35000000012	8.236520568803716e-16	1.7665403957166868e-16	4.2310567453263307e-16	5.362797190915595e-17	5.317514540776044e-16	5.499563761660191e-17	2.1213375974698235e-16	5.049865138206337e-17	4.031561452025887e-16	7.83711425373357e-17	nan	nan
57273.400000000125	8.410807981403433e-16	1.7378854824520224e-16	4.3876632170017373e-16	5.3267692998639444e-17	5.481586781906756e-16	5.25982433653069e-17	2.1830562643720016e-16	4.979919109601702e-17	4.1272038900426043e-16	7.74299374826458e-17	nan	nan
57273.45000000013	8.58677002063079e-16	1.7101224796107885e-16	4.544993229190106e-16	5.295662644962264e-17	5.64704441451664e-16	5.035661221161387e-17	2.2450805426965776e-16	4.9116375851123937e-17	4.2233284161512775e-16	7.651418688022169e-17	nan	nan
57273.50000000013	8.764419871848428e-16	1.683280126931234e-16	4.703034924680144e-16	5.269417839516121e-17	5.813896660004691e-16	4.828915126000246e-17	2.3074116018557067e-16	4.845057336812805e-17	4.319936923138702e-16	7.562438099918922e-17	nan	nan
57273.550000000134	8.943770815003705e-16	1.6573864407434364e-16	4.861776463659789e-16	5.247978724217782e-17	5.982152795053934e-16	4.6415548190214045e-17	2.37005061526958e-16	4.780214633646188e-17	4.417031310463399e-16	7.476099632235407e-17	nan	nan
57273.60000000014	9.12483622527115e-16	1.6324684654182905e-16	5.021206023390469e-16	5.231291627772603e-17	6.151822151943855e-16	4.4756251073411116e-17	2.432998760380568e-16	4.717145064898075e-17	4.514613484277285e-16	7.392449290368785e-17	nan	nan
57273.65000000014	9.307629573699766e-16	1.608552003707334e-16	5.181311797878678e-16	5.219304482434425e-17	6.322914118864491e-16	4.3331664047874207e-17	2.4962572186644003e-16	4.655883349689418e-17	4.612685357448052e-16	7.311531159374332e-17	nan	nan
57273.70000000014	9.492164427863552e-16	1.5856613276440262e-16	5.342081997550558e-16	5.2119658077332356e-17	6.495438140232274e-16	4.2161048226634405e-17	2.5598271756448526e-16	4.5964631328312284e-17	4.711248849581537e-16	7.23338711472585e-17	nan	nan
57273.750000000146	9.678454095337084e-16	1.5638183245990142e-16	5.503504848924435e-16	5.209223579033098e-17	6.669403717007493e-16	4.1261182260424996e-17	2.623709820905502e-16	4.5389167676820835e-17	4.810305378479192e-16	7.15805174415123e-17	nan	nan
57273.80000000015	9.866495802487638e-16	1.5430179293904304e-16	5.6655685942847575e-16	5.211024000101228e-17	6.844820407013794e-16	4.064492261495455e-17	2.6879063481037185e-16	4.48327508691124e-17	4.909850631928303e-16	7.085502950943055e-17	nan	nan
