#wls	flux	fluxerr	mangling_mask
4.000609E+03	4.112429E-15	7.965329E-16	7.657727E+00
4.002351E+03	4.102292E-15	7.964246E-16	7.657958E+00
4.004092E+03	4.085568E-15	7.962719E-16	7.658190E+00
4.005834E+03	4.084543E-15	7.962279E-16	7.658422E+00
4.007575E+03	4.091023E-15	7.962351E-16	7.658654E+00
4.009316E+03	4.091224E-15	7.961995E-16	7.658886E+00
4.011058E+03	4.088820E-15	7.961464E-16	7.659118E+00
4.012799E+03	4.083659E-15	7.960751E-16	7.659351E+00
4.014540E+03	4.074209E-15	7.959757E-16	7.659584E+00
4.016282E+03	4.053269E-15	7.958010E-16	7.659817E+00
4.018023E+03	4.034778E-15	7.956444E-16	7.660050E+00
4.019765E+03	4.017895E-15	7.955000E-16	7.660283E+00
4.021506E+03	4.022154E-15	7.954936E-16	7.660516E+00
4.023247E+03	4.026031E-15	7.954847E-16	7.660750E+00
4.024989E+03	4.003247E-15	7.953049E-16	7.660984E+00
4.026730E+03	3.985212E-15	8.460181E-16	7.661218E+00
4.028471E+03	3.991233E-15	8.405127E-16	7.661452E+00
4.030213E+03	3.977718E-15	8.490166E-16	7.661686E+00
4.031954E+03	3.953321E-15	8.171228E-16	7.661921E+00
4.033695E+03	3.943098E-15	8.075959E-16	7.662155E+00
4.035437E+03	3.929121E-15	8.153348E-16	7.662390E+00
4.037178E+03	3.926023E-15	8.264682E-16	7.662625E+00
4.038920E+03	3.951737E-15	7.874094E-16	7.662861E+00
4.040661E+03	3.950326E-15	7.806555E-16	7.663096E+00
4.042402E+03	3.927994E-15	7.799588E-16	7.663332E+00
4.044144E+03	3.929954E-15	7.942794E-16	7.663567E+00
4.045885E+03	3.925477E-15	8.005662E-16	7.663803E+00
4.047626E+03	3.936174E-15	8.006758E-16	7.664039E+00
4.049368E+03	3.930547E-15	8.234347E-16	7.664276E+00
4.051109E+03	3.931741E-15	8.718376E-16	7.664512E+00
4.052851E+03	3.958153E-15	9.057388E-16	7.664749E+00
4.054592E+03	3.975445E-15	9.006556E-16	7.664986E+00
