#wls	flux	fluxerr
1.570321E+03	2.810552E-05	1.897150E-06
1.609579E+03	2.775371E-05	1.858770E-06
1.648837E+03	2.748299E-05	1.825838E-06
1.688095E+03	2.729057E-05	1.798045E-06
1.727353E+03	2.718467E-05	1.775803E-06
1.766611E+03	2.716346E-05	1.758849E-06
1.805869E+03	2.723097E-05	1.747295E-06
1.845127E+03	2.739641E-05	1.741565E-06
1.884385E+03	2.766048E-05	1.741523E-06
1.923643E+03	2.803189E-05	1.747519E-06
1.962901E+03	2.851621E-05	1.759684E-06
2.002159E+03	2.912489E-05	1.778485E-06
2.041417E+03	2.986298E-05	1.803966E-06
2.080675E+03	3.074010E-05	1.836420E-06
2.119933E+03	3.176676E-05	1.876160E-06
2.159191E+03	3.294682E-05	1.923072E-06
2.198449E+03	3.428603E-05	1.977131E-06
2.237707E+03	3.580195E-05	2.038957E-06
2.276965E+03	3.752424E-05	2.109793E-06
2.316223E+03	3.950965E-05	2.192286E-06
2.355481E+03	4.181876E-05	2.289111E-06
2.394739E+03	4.452042E-05	2.403191E-06
2.433997E+03	4.770104E-05	2.538157E-06
2.473255E+03	5.145190E-05	2.697605E-06
2.512513E+03	5.589015E-05	2.886155E-06
2.551772E+03	6.115629E-05	3.109217E-06
2.591030E+03	6.742859E-05	3.373608E-06
2.630288E+03	7.492364E-05	3.687422E-06
2.669546E+03	8.391602E-05	4.060810E-06
2.708804E+03	9.475280E-05	4.506432E-06
2.748062E+03	1.078756E-04	5.040167E-06
2.787320E+03	1.238536E-04	5.682235E-06
2.826578E+03	1.434323E-04	6.458848E-06
2.865836E+03	1.675931E-04	7.404102E-06
2.905094E+03	1.976456E-04	8.562983E-06
2.944352E+03	2.353415E-04	9.994857E-06
2.954166E+03	2.462262E-04	1.040446E-05
2.963981E+03	2.577702E-04	1.083714E-05
2.973795E+03	2.700309E-04	1.129486E-05
2.983610E+03	2.830519E-04	1.177901E-05
2.993424E+03	2.968925E-04	1.229155E-05
3.003239E+03	3.116175E-04	1.283464E-05
3.013053E+03	3.272760E-04	1.340974E-05
3.022868E+03	3.439554E-04	1.401983E-05
3.032682E+03	3.617151E-04	1.466668E-05
3.042497E+03	3.806482E-04	1.535338E-05
3.052311E+03	4.008328E-04	1.608233E-05
3.062126E+03	4.223598E-04	1.685640E-05
3.071940E+03	4.453457E-04	1.767938E-05
3.081755E+03	4.698810E-04	1.855395E-05
3.091569E+03	4.961086E-04	1.948479E-05
3.101384E+03	5.241267E-04	2.047469E-05
3.111198E+03	5.540998E-04	2.152898E-05
3.121013E+03	5.861548E-04	2.265136E-05
3.130827E+03	6.204711E-04	2.384750E-05
3.140642E+03	6.572099E-04	2.512221E-05
3.150456E+03	6.965676E-04	2.648150E-05
3.160271E+03	7.387454E-04	2.793146E-05
3.170085E+03	7.839601E-04	2.947855E-05
3.179900E+03	8.324315E-04	3.112924E-05
3.189714E+03	8.844382E-04	3.289199E-05
3.199529E+03	9.402389E-04	3.477433E-05
3.209343E+03	1.000142E-03	3.678543E-05
3.219158E+03	1.064449E-03	3.893396E-05
3.228972E+03	1.133499E-03	4.122979E-05
3.238787E+03	1.207677E-03	4.368414E-05
3.248601E+03	1.287359E-03	4.630773E-05
3.258416E+03	1.372989E-03	4.911338E-05
3.268230E+03	1.465026E-03	5.211415E-05
3.278045E+03	1.563919E-03	5.532243E-05
3.287859E+03	1.670239E-03	5.875458E-05
3.297674E+03	1.784529E-03	6.242572E-05
3.307488E+03	1.907400E-03	6.635282E-05
3.317303E+03	2.039507E-03	7.055406E-05
3.327117E+03	2.181495E-03	7.504686E-05
3.336932E+03	2.334174E-03	7.985388E-05
3.346746E+03	2.498328E-03	8.499634E-05
3.356561E+03	2.674794E-03	9.049689E-05
3.366376E+03	2.864508E-03	9.638087E-05
3.376190E+03	3.068472E-03	1.026754E-04
3.386005E+03	3.287682E-03	1.094068E-04
3.395819E+03	3.523310E-03	1.166065E-04
3.405634E+03	3.776455E-03	1.243031E-04
3.415448E+03	4.048315E-03	1.325278E-04
3.425263E+03	4.339949E-03	1.413066E-04
3.435077E+03	4.652292E-03	1.506609E-04
3.444892E+03	4.986173E-03	1.606086E-04
3.454706E+03	5.342331E-03	1.711641E-04
3.464521E+03	5.721338E-03	1.823366E-04
3.474335E+03	6.123655E-03	1.941314E-04
3.484150E+03	6.549678E-03	2.065521E-04
3.493964E+03	6.999625E-03	2.195966E-04
3.503779E+03	7.473636E-03	2.332608E-04
3.513593E+03	7.971563E-03	2.475317E-04
3.523408E+03	8.493254E-03	2.623971E-04
3.533222E+03	9.038335E-03	2.778380E-04
3.543037E+03	9.606458E-03	2.938371E-04
3.552851E+03	1.019684E-02	3.103647E-04
3.562666E+03	1.080876E-02	3.273932E-04
3.572480E+03	1.144101E-02	3.448821E-04
3.582295E+03	1.209255E-02	3.627964E-04
3.592109E+03	1.276211E-02	3.810953E-04
3.601924E+03	1.344827E-02	3.997351E-04
3.611738E+03	1.414964E-02	4.186736E-04
3.621553E+03	1.486471E-02	4.378665E-04
3.631367E+03	1.559174E-02	4.572632E-04
3.641182E+03	1.632916E-02	4.768188E-04
3.650996E+03	1.707509E-02	4.964788E-04
3.660811E+03	1.782799E-02	5.162011E-04
3.670625E+03	1.858603E-02	5.359346E-04
3.680440E+03	1.934730E-02	5.556272E-04
3.690254E+03	2.011002E-02	5.752315E-04
3.700069E+03	2.087258E-02	5.947053E-04
3.709883E+03	2.163297E-02	6.139957E-04
3.719698E+03	2.238956E-02	6.330605E-04
3.729512E+03	2.314025E-02	6.518464E-04
3.739327E+03	2.388314E-02	6.703045E-04
3.749141E+03	2.461646E-02	6.883912E-04
3.758956E+03	2.533845E-02	7.060633E-04
3.768770E+03	2.604687E-02	7.232643E-04
3.778585E+03	2.674008E-02	7.399556E-04
3.788399E+03	2.741552E-02	7.560733E-04
3.798214E+03	2.807174E-02	7.715838E-04
3.808028E+03	2.870609E-02	7.864219E-04
3.817843E+03	2.931708E-02	8.005542E-04
3.827657E+03	2.990228E-02	8.139220E-04
3.837472E+03	3.045973E-02	8.264796E-04
3.847286E+03	3.098727E-02	8.381765E-04
3.857101E+03	3.148303E-02	8.489702E-04
3.866915E+03	3.194497E-02	8.588138E-04
3.876730E+03	3.237165E-02	8.676775E-04
3.886544E+03	3.276102E-02	8.755142E-04
3.896359E+03	3.311168E-02	8.822953E-04
3.906173E+03	3.342218E-02	8.879908E-04
3.915988E+03	3.369181E-02	8.925902E-04
3.925802E+03	3.391960E-02	8.960763E-04
3.935617E+03	3.410484E-02	8.984389E-04
3.945431E+03	5.343269E-02	1.403682E-03
3.954461E+03	5.116248E-02	1.340628E-03
3.963490E+03	4.807725E-02	1.256607E-03
3.972519E+03	4.517712E-02	1.177848E-03
3.981549E+03	4.248387E-02	1.104874E-03
3.990578E+03	4.002952E-02	1.038468E-03
3.999607E+03	3.792342E-02	9.814100E-04
4.008637E+03	3.665956E-02	9.463805E-04
4.017666E+03	3.500334E-02	9.014226E-04
4.026695E+03	3.470071E-02	8.914607E-04
4.035725E+03	3.433057E-02	8.798197E-04
4.044754E+03	3.455010E-02	8.833122E-04
4.053783E+03	3.357712E-02	8.563742E-04
4.062813E+03	3.236125E-02	8.233851E-04
4.071842E+03	3.105178E-02	7.881775E-04
4.080872E+03	3.097869E-02	7.844440E-04
4.089901E+03	3.266432E-02	8.251542E-04
4.098930E+03	3.226630E-02	8.131566E-04
4.107960E+03	3.072085E-02	7.723641E-04
4.116989E+03	3.162800E-02	7.932764E-04
4.126018E+03	3.180591E-02	7.958370E-04
4.135048E+03	3.202266E-02	7.993493E-04
4.144077E+03	3.335529E-02	8.306267E-04
4.153106E+03	3.279798E-02	8.147962E-04
4.162136E+03	3.265165E-02	8.092188E-04
4.171165E+03	3.223666E-02	7.970178E-04
4.180194E+03	3.150305E-02	7.770083E-04
4.189224E+03	3.091547E-02	7.606790E-04
4.198253E+03	2.999876E-02	7.363410E-04
4.207282E+03	2.961324E-02	7.251180E-04
4.216312E+03	2.859456E-02	6.984741E-04
4.225341E+03	2.930267E-02	7.140274E-04
4.234370E+03	2.906099E-02	7.064080E-04
4.243400E+03	3.025343E-02	7.335907E-04
4.252429E+03	3.045385E-02	7.366341E-04
4.261458E+03	3.065711E-02	7.397200E-04
4.270488E+03	3.059819E-02	7.364694E-04
4.279517E+03	3.054466E-02	7.333534E-04
4.288546E+03	2.957068E-02	7.081972E-04
4.297576E+03	2.852145E-02	6.813584E-04
4.306605E+03	2.758622E-02	6.573600E-04
4.315635E+03	2.703885E-02	6.426914E-04
4.324664E+03	2.653421E-02	6.291000E-04
4.333693E+03	2.580400E-02	6.102336E-04
4.342723E+03	2.562515E-02	6.044594E-04
4.351752E+03	2.516518E-02	5.920916E-04
4.360781E+03	2.563268E-02	6.015440E-04
4.369811E+03	2.590797E-02	6.064400E-04
4.378840E+03	2.678189E-02	6.252788E-04
4.387869E+03	2.762179E-02	6.432195E-04
4.396899E+03	2.852266E-02	6.624752E-04
4.405928E+03	2.960865E-02	6.859111E-04
4.414957E+03	3.097959E-02	7.158008E-04
4.423987E+03	3.280267E-02	7.559465E-04
4.433016E+03	3.375537E-02	7.758690E-04
4.442045E+03	3.537850E-02	8.110492E-04
4.451075E+03	3.690430E-02	8.438125E-04
4.460104E+03	3.852586E-02	8.785811E-04
4.469133E+03	4.014147E-02	9.130260E-04
4.478163E+03	4.166672E-02	9.452349E-04
4.487192E+03	4.333623E-02	9.805343E-04
4.496221E+03	4.510713E-02	1.017933E-03
4.505251E+03	4.666343E-02	1.050303E-03
4.514280E+03	4.747242E-02	1.065725E-03
4.523309E+03	4.895532E-02	1.096156E-03
4.532339E+03	4.973767E-02	1.110785E-03
4.541368E+03	5.062244E-02	1.127622E-03
4.550397E+03	5.063716E-02	1.125045E-03
4.559427E+03	5.043648E-02	1.117714E-03
4.568456E+03	5.028129E-02	1.111433E-03
4.577486E+03	4.983607E-02	1.098798E-03
4.586515E+03	4.898033E-02	1.077210E-03
4.595544E+03	4.832974E-02	1.060243E-03
4.604574E+03	4.714067E-02	1.031591E-03
4.613603E+03	4.613424E-02	1.007084E-03
4.622632E+03	4.529724E-02	9.864028E-04
4.631662E+03	4.424252E-02	9.611112E-04
4.640691E+03	4.334836E-02	9.394407E-04
4.649720E+03	4.277630E-02	9.248588E-04
4.658750E+03	4.208348E-02	9.077635E-04
4.667779E+03	4.161110E-02	8.955161E-04
4.676808E+03	4.094765E-02	8.792482E-04
4.685838E+03	4.072423E-02	8.725083E-04
4.694867E+03	4.014209E-02	8.581591E-04
4.703896E+03	3.908934E-02	8.338638E-04
4.712926E+03	3.756769E-02	7.997218E-04
4.721955E+03	3.645789E-02	7.745032E-04
4.730984E+03	3.477407E-02	7.372503E-04
4.740014E+03	3.321840E-02	7.028902E-04
4.749043E+03	3.125015E-02	6.599826E-04
4.758072E+03	2.990212E-02	6.303434E-04
4.767102E+03	2.906822E-02	6.116637E-04
4.776131E+03	2.830149E-02	5.944943E-04
4.785160E+03	2.813469E-02	5.899973E-04
4.794190E+03	2.800598E-02	5.863437E-04
4.803219E+03	2.807312E-02	5.868257E-04
4.812249E+03	2.836600E-02	5.920464E-04
4.821278E+03	2.870286E-02	5.981957E-04
4.830307E+03	2.882330E-02	5.998495E-04
4.839337E+03	2.872970E-02	5.970752E-04
4.848366E+03	2.897643E-02	6.013957E-04
4.857395E+03	2.895910E-02	6.002533E-04
4.866425E+03	2.926432E-02	6.058120E-04
4.875454E+03	2.945954E-02	6.091017E-04
4.884483E+03	2.976811E-02	6.147420E-04
4.893513E+03	3.027725E-02	6.245227E-04
4.902542E+03	3.067377E-02	6.319757E-04
4.911571E+03	3.131554E-02	6.444728E-04
4.920601E+03	3.159973E-02	6.496036E-04
4.929630E+03	3.173305E-02	6.516361E-04
4.938659E+03	3.151979E-02	6.465639E-04
4.947689E+03	3.104376E-02	6.361258E-04
4.956718E+03	3.050000E-02	6.243291E-04
4.965747E+03	2.974049E-02	6.081495E-04
4.974777E+03	2.874285E-02	5.871416E-04
4.983806E+03	2.774523E-02	5.661787E-04
4.992835E+03	2.686391E-02	5.476295E-04
5.001865E+03	2.641227E-02	5.378669E-04
5.010894E+03	2.616775E-02	5.323352E-04
5.019923E+03	2.607900E-02	5.299766E-04
5.028953E+03	2.663864E-02	5.407804E-04
5.037982E+03	2.735982E-02	5.548304E-04
5.047011E+03	2.846895E-02	5.767013E-04
5.056041E+03	2.936563E-02	5.942161E-04
5.065070E+03	3.054011E-02	6.172963E-04
5.074100E+03	3.165904E-02	6.391904E-04
5.083129E+03	3.219375E-02	6.492381E-04
5.092158E+03	3.276275E-02	6.599367E-04
5.101188E+03	3.337727E-02	6.715078E-04
5.110217E+03	3.406103E-02	6.844224E-04
5.119246E+03	3.465304E-02	6.954423E-04
5.128276E+03	3.505086E-02	7.025191E-04
5.137305E+03	3.568609E-02	7.143048E-04
5.146334E+03	3.682044E-02	7.360094E-04
5.155364E+03	3.759013E-02	7.503469E-04
5.164393E+03	3.834714E-02	7.643610E-04
5.173422E+03	3.890726E-02	7.743831E-04
5.182452E+03	3.954122E-02	7.858089E-04
5.191481E+03	3.995819E-02	7.928581E-04
5.200510E+03	4.029305E-02	7.982211E-04
5.209540E+03	4.053262E-02	8.016431E-04
5.218569E+03	4.056237E-02	8.008705E-04
5.227598E+03	4.072529E-02	8.026838E-04
5.236628E+03	4.087164E-02	8.041218E-04
5.245657E+03	4.096828E-02	8.045339E-04
5.254686E+03	4.107816E-02	8.051581E-04
5.263716E+03	4.129088E-02	8.077442E-04
5.272745E+03	4.159498E-02	8.120551E-04
5.281774E+03	4.143554E-02	8.072668E-04
5.290804E+03	4.132556E-02	8.034084E-04
5.299833E+03	4.121357E-02	7.994751E-04
5.308862E+03	4.100941E-02	7.937214E-04
5.317892E+03	4.087419E-02	7.892704E-04
5.326921E+03	4.037000E-02	7.776768E-04
5.335951E+03	4.005440E-02	7.697075E-04
5.344980E+03	3.957749E-02	7.586291E-04
5.354009E+03	3.897748E-02	7.451966E-04
5.363039E+03	3.858979E-02	7.358262E-04
5.372068E+03	3.828680E-02	7.280595E-04
5.381097E+03	3.790419E-02	7.187685E-04
5.390127E+03	3.726771E-02	7.046717E-04
5.399156E+03	3.665615E-02	6.910693E-04
5.408185E+03	3.632286E-02	6.827210E-04
5.417215E+03	3.604246E-02	6.753574E-04
5.426244E+03	3.562188E-02	6.653640E-04
5.435273E+03	3.550199E-02	6.609756E-04
5.444303E+03	3.541997E-02	6.572611E-04
5.453332E+03	3.514771E-02	6.499956E-04
5.462361E+03	3.507339E-02	6.463700E-04
5.471391E+03	3.487362E-02	6.404081E-04
5.480420E+03	3.447631E-02	6.308167E-04
