#wls	flux	fluxerr
1.570321E+03	9.684031E-04	8.938090E-05
1.609579E+03	1.019882E-03	9.410902E-05
1.648837E+03	1.075158E-03	9.918425E-05
1.688095E+03	1.134333E-03	1.046154E-04
1.727353E+03	1.197906E-03	1.104481E-04
1.766611E+03	1.266000E-03	1.166933E-04
1.805869E+03	1.338950E-03	1.233810E-04
1.845127E+03	1.417355E-03	1.305660E-04
1.884385E+03	1.501376E-03	1.382622E-04
1.923643E+03	1.591691E-03	1.465313E-04
1.962901E+03	1.688481E-03	1.553892E-04
2.002159E+03	1.792510E-03	1.649050E-04
2.041417E+03	1.903980E-03	1.750965E-04
2.080675E+03	2.023394E-03	1.860084E-04
2.119933E+03	2.152013E-03	1.977556E-04
2.159191E+03	2.289341E-03	2.102909E-04
2.198449E+03	2.436704E-03	2.237345E-04
2.237707E+03	2.594758E-03	2.381449E-04
2.276965E+03	2.764176E-03	2.535820E-04
2.316223E+03	2.944651E-03	2.700154E-04
2.355481E+03	3.138278E-03	2.876350E-04
2.394739E+03	3.344718E-03	3.064071E-04
2.433997E+03	3.565143E-03	3.264364E-04
2.473255E+03	3.799571E-03	3.477216E-04
2.512513E+03	4.049175E-03	3.703668E-04
2.551772E+03	4.313798E-03	3.943541E-04
2.591030E+03	4.594554E-03	4.197820E-04
2.630288E+03	4.891833E-03	4.466818E-04
2.669546E+03	5.205048E-03	4.749959E-04
2.708804E+03	5.535076E-03	5.047999E-04
2.748062E+03	5.880899E-03	5.359965E-04
2.787320E+03	6.244111E-03	5.687259E-04
2.826578E+03	6.621146E-03	6.026586E-04
2.865836E+03	7.014237E-03	6.379929E-04
2.905094E+03	7.420049E-03	6.744201E-04
2.944352E+03	7.836895E-03	7.117821E-04
2.954166E+03	7.943228E-03	7.213043E-04
2.963981E+03	8.050107E-03	7.308714E-04
2.973795E+03	8.157479E-03	7.404787E-04
2.983610E+03	8.265313E-03	7.501231E-04
2.993424E+03	8.372234E-03	7.596799E-04
3.003239E+03	8.480841E-03	7.693851E-04
3.013053E+03	8.589775E-03	7.791149E-04
3.022868E+03	8.698997E-03	7.888659E-04
3.032682E+03	8.808439E-03	7.986320E-04
3.042497E+03	8.918056E-03	8.084089E-04
3.052311E+03	9.029228E-03	8.183216E-04
3.062126E+03	9.139052E-03	8.281070E-04
3.071940E+03	9.248888E-03	8.378882E-04
3.081755E+03	9.358666E-03	8.476591E-04
3.091569E+03	9.468336E-03	8.574149E-04
3.101384E+03	9.579333E-03	8.672855E-04
3.111198E+03	9.688591E-03	8.769933E-04
3.121013E+03	9.797540E-03	8.866677E-04
3.130827E+03	9.907652E-03	8.964419E-04
3.140642E+03	1.001577E-02	9.060307E-04
3.150456E+03	1.012494E-02	9.157084E-04
3.160271E+03	1.023194E-02	9.251847E-04
3.170085E+03	1.033986E-02	9.347385E-04
3.179900E+03	1.044542E-02	9.440738E-04
3.189714E+03	1.055177E-02	9.534743E-04
3.199529E+03	1.065557E-02	9.626387E-04
3.209343E+03	1.076000E-02	9.718549E-04
3.219158E+03	1.086336E-02	9.809684E-04
3.228972E+03	1.096385E-02	9.898177E-04
3.238787E+03	1.106476E-02	9.986990E-04
3.248601E+03	1.116431E-02	1.007452E-03
3.258416E+03	1.126240E-02	1.016068E-03
3.268230E+03	1.135895E-02	1.024539E-03
3.278045E+03	1.145209E-02	1.032697E-03
3.287859E+03	1.154522E-02	1.040849E-03
3.297674E+03	1.163651E-02	1.048829E-03
3.307488E+03	1.172585E-02	1.056627E-03
3.317303E+03	1.181312E-02	1.064235E-03
3.327117E+03	1.189824E-02	1.071642E-03
3.336932E+03	1.198110E-02	1.078841E-03
3.346746E+03	1.206158E-02	1.085820E-03
3.356561E+03	1.213957E-02	1.092571E-03
3.366376E+03	1.221684E-02	1.099251E-03
3.376190E+03	1.228956E-02	1.105517E-03
3.386005E+03	1.235949E-02	1.111527E-03
3.395819E+03	1.242651E-02	1.117269E-03
3.405634E+03	1.249050E-02	1.122736E-03
3.415448E+03	1.255326E-02	1.128087E-03
3.425263E+03	1.261091E-02	1.132974E-03
3.435077E+03	1.266522E-02	1.137556E-03
3.444892E+03	1.271799E-02	1.141996E-03
3.454706E+03	1.276531E-02	1.145943E-03
3.464521E+03	1.280899E-02	1.149558E-03
3.474335E+03	1.285083E-02	1.153005E-03
3.484150E+03	1.288690E-02	1.155930E-03
3.493964E+03	1.291903E-02	1.158498E-03
3.503779E+03	1.294904E-02	1.160873E-03
3.513593E+03	1.297298E-02	1.162700E-03
3.523408E+03	1.299464E-02	1.164319E-03
3.533222E+03	1.301004E-02	1.165376E-03
3.543037E+03	1.302298E-02	1.166209E-03
3.552851E+03	1.302951E-02	1.166466E-03
3.562666E+03	1.303341E-02	1.166486E-03
3.572480E+03	1.303268E-02	1.166088E-03
3.582295E+03	1.302532E-02	1.165097E-03
3.592109E+03	1.301512E-02	1.163849E-03
3.601924E+03	1.299817E-02	1.161997E-03
3.611738E+03	1.297825E-02	1.159878E-03
3.621553E+03	1.295340E-02	1.157317E-03
3.631367E+03	1.292167E-02	1.154142E-03
3.641182E+03	1.288681E-02	1.150687E-03
3.650996E+03	1.284691E-02	1.146781E-03
3.660811E+03	1.280004E-02	1.142255E-03
3.670625E+03	1.274996E-02	1.137441E-03
3.680440E+03	1.269475E-02	1.132172E-03
3.690254E+03	1.263258E-02	1.126283E-03
3.700069E+03	1.256712E-02	1.120103E-03
3.709883E+03	1.249656E-02	1.113469E-03
3.719698E+03	1.242088E-02	1.106382E-03
3.729512E+03	1.233833E-02	1.098685E-03
3.739327E+03	1.225254E-02	1.090702E-03
3.749141E+03	1.216173E-02	1.082276E-03
3.758956E+03	1.206597E-02	1.073412E-03
3.768770E+03	1.196529E-02	1.064115E-03
3.778585E+03	1.185808E-02	1.054240E-03
3.788399E+03	1.174781E-02	1.044099E-03
3.798214E+03	1.163287E-02	1.033546E-03
3.808028E+03	1.151335E-02	1.022592E-03
3.817843E+03	1.138770E-02	1.011099E-03
3.827657E+03	1.125935E-02	9.993714E-04
3.837472E+03	1.112675E-02	9.872729E-04
3.847286E+03	1.099006E-02	9.748174E-04
3.857101E+03	1.084940E-02	9.620171E-04
3.866915E+03	1.070343E-02	9.487518E-04
3.876730E+03	1.055537E-02	9.353096E-04
3.886544E+03	1.040389E-02	9.215705E-04
3.896359E+03	1.024915E-02	9.075512E-04
3.906173E+03	1.009138E-02	8.932709E-04
3.915988E+03	9.929381E-03	8.786253E-04
3.925802E+03	9.766233E-03	8.638861E-04
3.935617E+03	9.600747E-03	8.489488E-04
3.945431E+03	9.433184E-03	8.338367E-04
3.955246E+03	9.262499E-03	8.184577E-04
3.965060E+03	9.091599E-03	8.030690E-04
3.974875E+03	8.919444E-03	7.875790E-04
3.984689E+03	8.745097E-03	7.719050E-04
3.994504E+03	8.571316E-03	7.562908E-04
4.004318E+03	8.397156E-03	7.406529E-04
4.014133E+03	8.222895E-03	7.250161E-04
4.023947E+03	8.047709E-03	7.093077E-04
4.033762E+03	7.874137E-03	6.937517E-04
4.043576E+03	7.700245E-03	6.781777E-04
4.053391E+03	7.528463E-03	6.627997E-04
4.063205E+03	7.357951E-03	6.475436E-04
4.073020E+03	7.187935E-03	6.323413E-04
4.082834E+03	7.020675E-03	6.173917E-04
4.092649E+03	6.854402E-03	6.025390E-04
4.102463E+03	6.691234E-03	5.879692E-04
4.112278E+03	6.529476E-03	5.735333E-04
4.122092E+03	6.371113E-03	5.594055E-04
4.131907E+03	6.214512E-03	5.454422E-04
4.141721E+03	6.061536E-03	5.318067E-04
4.151536E+03	5.910608E-03	5.183604E-04
4.161350E+03	5.763474E-03	5.052562E-04
4.171165E+03	5.618612E-03	4.923605E-04
4.180979E+03	5.476905E-03	4.797505E-04
4.190794E+03	5.339139E-03	4.674946E-04
4.200608E+03	5.203878E-03	4.554669E-04
4.210423E+03	5.071905E-03	4.437356E-04
4.220238E+03	4.943915E-03	4.323613E-04
4.230052E+03	4.818556E-03	4.212253E-04
4.239867E+03	4.696520E-03	4.103880E-04
4.249681E+03	4.577804E-03	3.998487E-04
4.259496E+03	4.462395E-03	3.896061E-04
4.269310E+03	4.350272E-03	3.796580E-04
4.279125E+03	4.241411E-03	3.700019E-04
4.288939E+03	4.135778E-03	3.606348E-04
4.298754E+03	4.033884E-03	3.516006E-04
4.308568E+03	3.934049E-03	3.427528E-04
4.318383E+03	3.837866E-03	3.342299E-04
4.328197E+03	3.744741E-03	3.259797E-04
4.338012E+03	3.654623E-03	3.179976E-04
4.347826E+03	3.567455E-03	3.102783E-04
4.357641E+03	3.483183E-03	3.028168E-04
4.367455E+03	3.401748E-03	2.956077E-04
4.377270E+03	3.322643E-03	2.886068E-04
4.387084E+03	3.246709E-03	2.818866E-04
4.396899E+03	3.173428E-03	2.754021E-04
4.406713E+03	3.102322E-03	2.691114E-04
4.416528E+03	3.034166E-03	2.630815E-04
4.426342E+03	2.968471E-03	2.572699E-04
4.436157E+03	2.904789E-03	2.516372E-04
4.445971E+03	2.843838E-03	2.462456E-04
4.455786E+03	2.784789E-03	2.410230E-04
4.465600E+03	2.727967E-03	2.359972E-04
4.475415E+03	2.673663E-03	2.311934E-04
4.485229E+03	2.621101E-03	2.265440E-04
4.495044E+03	2.570581E-03	2.220749E-04
4.504858E+03	2.522046E-03	2.177808E-04
4.514673E+03	2.475765E-03	2.136848E-04
4.524487E+03	2.431019E-03	2.097247E-04
4.534302E+03	2.388088E-03	2.059243E-04
4.544116E+03	2.346917E-03	2.022788E-04
4.553931E+03	2.307453E-03	1.987833E-04
4.563745E+03	2.269645E-03	1.954334E-04
4.573560E+03	2.233442E-03	1.922243E-04
4.583374E+03	2.198794E-03	1.891518E-04
4.593189E+03	2.165370E-03	1.861869E-04
4.603003E+03	2.133694E-03	1.833748E-04
4.612818E+03	2.103433E-03	1.806866E-04
4.622632E+03	2.074541E-03	1.781182E-04
4.632447E+03	2.046707E-03	1.756426E-04
4.642261E+03	2.020426E-03	1.733023E-04
4.652076E+03	1.995123E-03	1.710479E-04
4.661890E+03	1.971281E-03	1.689205E-04
4.671705E+03	1.948342E-03	1.668721E-04
4.681519E+03	1.926774E-03	1.649428E-04
4.691334E+03	1.906034E-03	1.630859E-04
4.701148E+03	1.886333E-03	1.613195E-04
4.710963E+03	1.867633E-03	1.596399E-04
4.720777E+03	1.849893E-03	1.580438E-04
4.730592E+03	1.833313E-03	1.565480E-04
4.740406E+03	1.817374E-03	1.551081E-04
4.750221E+03	1.802280E-03	1.537415E-04
4.760035E+03	1.787994E-03	1.524448E-04
4.769850E+03	1.774251E-03	1.511953E-04
4.779664E+03	1.761476E-03	1.500293E-04
4.789479E+03	1.749405E-03	1.489242E-04
4.799293E+03	1.738007E-03	1.478771E-04
4.809108E+03	1.727252E-03	1.468855E-04
4.818922E+03	1.716889E-03	1.459279E-04
4.828737E+03	1.707332E-03	1.450395E-04
4.838551E+03	1.698114E-03	1.441806E-04
4.848366E+03	1.689645E-03	1.433857E-04
4.858180E+03	1.681462E-03	1.426158E-04
4.867995E+03	1.673760E-03	1.418871E-04
4.877809E+03	1.666726E-03	1.412154E-04
4.887624E+03	1.659906E-03	1.405625E-04
4.897438E+03	1.653495E-03	1.399444E-04
4.907253E+03	1.647467E-03	1.393592E-04
4.917067E+03	1.641802E-03	1.388050E-04
4.926882E+03	1.636477E-03	1.382799E-04
4.936696E+03	1.631473E-03	1.377821E-04
4.946511E+03	1.626770E-03	1.373101E-04
4.956325E+03	1.622347E-03	1.368619E-04
4.966140E+03	1.618188E-03	1.364362E-04
4.975954E+03	1.614272E-03	1.360312E-04
4.985769E+03	1.610379E-03	1.356283E-04
4.995583E+03	1.606903E-03	1.352607E-04
5.005398E+03	1.603622E-03	1.349097E-04
5.015212E+03	1.600317E-03	1.345568E-04
5.025027E+03	1.597381E-03	1.342350E-04
5.034841E+03	1.594393E-03	1.339090E-04
5.044656E+03	1.591544E-03	1.335947E-04
5.054471E+03	1.589020E-03	1.333079E-04
5.064285E+03	1.586408E-03	1.330137E-04
5.074100E+03	1.583895E-03	1.327280E-04
5.083914E+03	1.581471E-03	1.324498E-04
5.093729E+03	1.579124E-03	1.321781E-04
5.103543E+03	1.576842E-03	1.319119E-04
5.113358E+03	1.574614E-03	1.316505E-04
5.123172E+03	1.572431E-03	1.313927E-04
5.132987E+03	1.570282E-03	1.311379E-04
5.142801E+03	1.568155E-03	1.308851E-04
5.152616E+03	1.565845E-03	1.306170E-04
5.162430E+03	1.563737E-03	1.303659E-04
5.172245E+03	1.561622E-03	1.301143E-04
5.182059E+03	1.559298E-03	1.298454E-04
5.191874E+03	1.557147E-03	1.295910E-04
5.201688E+03	1.554769E-03	1.293179E-04
5.211503E+03	1.552550E-03	1.290580E-04
5.221317E+03	1.550090E-03	1.287783E-04
5.231132E+03	1.547581E-03	1.284946E-04
5.240946E+03	1.545210E-03	1.282227E-04
5.250761E+03	1.542586E-03	1.279298E-04
5.260575E+03	1.539899E-03	1.276319E-04
5.270390E+03	1.537146E-03	1.273288E-04
5.280204E+03	1.534328E-03	1.270204E-04
5.290019E+03	1.531442E-03	1.267067E-04
5.299833E+03	1.528491E-03	1.263878E-04
5.309648E+03	1.525474E-03	1.260637E-04
5.319462E+03	1.522205E-03	1.257190E-04
5.329277E+03	1.519068E-03	1.253855E-04
5.339091E+03	1.515877E-03	1.250478E-04
5.348906E+03	1.512447E-03	1.246907E-04
5.358720E+03	1.509163E-03	1.243459E-04
5.368535E+03	1.505841E-03	1.239983E-04
5.378349E+03	1.502301E-03	1.236331E-04
5.388164E+03	1.498927E-03	1.232818E-04
5.397978E+03	1.495349E-03	1.229142E-04
5.407793E+03	1.491766E-03	1.225465E-04
5.417607E+03	1.488371E-03	1.221945E-04
5.427422E+03	1.484800E-03	1.218286E-04
5.437236E+03	1.481250E-03	1.214646E-04
5.447051E+03	1.477728E-03	1.211033E-04
5.456865E+03	1.474246E-03	1.207457E-04
5.466680E+03	1.470812E-03	1.203924E-04
5.476494E+03	1.467437E-03	1.200443E-04
5.486309E+03	1.464132E-03	1.197023E-04
5.496123E+03	1.460906E-03	1.193673E-04
5.505938E+03	1.457774E-03	1.190401E-04
5.515752E+03	1.454563E-03	1.187070E-04
5.525567E+03	1.451652E-03	1.183987E-04
5.535381E+03	1.448871E-03	1.181014E-04
5.545196E+03	1.446056E-03	1.178016E-04
5.555010E+03	1.443580E-03	1.175299E-04
5.564825E+03	1.441281E-03	1.172728E-04
5.574639E+03	1.438995E-03	1.170171E-04
5.584454E+03	1.437098E-03	1.167935E-04
5.594268E+03	1.435252E-03	1.165743E-04
5.604083E+03	1.433653E-03	1.163755E-04
5.613897E+03	1.432501E-03	1.162131E-04
5.623712E+03	1.431457E-03	1.160599E-04
5.633526E+03	1.430722E-03	1.159318E-04
5.643341E+03	1.430316E-03	1.158307E-04
5.653155E+03	1.430259E-03	1.157581E-04
5.662970E+03	1.430574E-03	1.157157E-04
5.672784E+03	1.431282E-03	1.157053E-04
5.682599E+03	1.432403E-03	1.157284E-04
5.692413E+03	1.433961E-03	1.157868E-04
5.702228E+03	1.435977E-03	1.158823E-04
5.712042E+03	1.438473E-03	1.160165E-04
5.721857E+03	1.441469E-03	1.161911E-04
5.731671E+03	1.444989E-03	1.164078E-04
5.741486E+03	1.448872E-03	1.166537E-04
5.751300E+03	1.453502E-03	1.169595E-04
5.761115E+03	1.458719E-03	1.173125E-04
5.770929E+03	1.464364E-03	1.176996E-04
5.780744E+03	1.470820E-03	1.181518E-04
5.790558E+03	1.477747E-03	1.186414E-04
5.800373E+03	1.485530E-03	1.191995E-04
5.810187E+03	1.493825E-03	1.197981E-04
5.820002E+03	1.503022E-03	1.204687E-04
5.829816E+03	1.512771E-03	1.211831E-04
